V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
0.015790000,0.068886122,0.097505714,0.096023673,0.067981224,0.027934286,-0.002692653,-0.004328571,0.032286939,0.102628571,0.191557143,0.280745510,0.355856531,0.409878163,0.442492857,0.457402041,0.459724898,0.454380408,0.445271837,0.434992041,0.424749184,0.414411429,0.402913061,0.389018776,0.372104898,0.352477347,0.331117755,0.309071837,0.286914286,0.264571837,0.241467755,0.216859184,0.190231837,0.161611633,0.131725102,0.101891429,0.073537551,0.047664082,0.024442449,0.003161633,-0.017501633,-0.039065918,-0.062607143,-0.088231020,-0.114848571,-0.140626122,-0.163943265,-0.184120408,-0.201543673,-0.217120000,-0.231528367,-0.244901837,-0.257131633,-0.268264286,-0.278664286,-0.288814490,-0.299030000,-0.309283061,-0.319260000,-0.328568163,-0.336823878,-0.343659796,-0.348632857,-0.351264286,-0.351178571,-0.348199388,-0.342416939,-0.334198980,-0.324113878,-0.312695510,-0.300175714,-0.286394082,-0.270925306,-0.253283673,-0.233120408,-0.210355918,-0.185234898,-0.158281429,-0.130155918,-0.101525306,-0.072914694,-0.044628571,-0.016714694,0.010949388,0.038430000,0.065520612,0.091566122,0.115530204,0.136168571,0.152197143,0.162457347,0.166098571,0.162800612,0.152798571,0.136713878,0.115393469,0.089966531,0.062050204,0.033940000,0.009945510,-0.015943592
-0.143220000,-0.119305306,-0.110512653,-0.112370000,-0.113902653,-0.102240408,-0.069415918,-0.016077143,0.050000408,0.118474286,0.180780408,0.232267143,0.271640612,0.298948571,0.314117143,0.316963061,0.308162245,0.289813673,0.265160204,0.237559184,0.209559184,0.182548571,0.157019184,0.132931633,0.110004286,0.087886939,0.066319592,0.045336327,0.025342857,0.007031837,-0.008825306,-0.021468776,-0.030167143,-0.034411429,-0.034280816,-0.030590000,-0.024521837,-0.017121633,-0.009130204,-0.001253265,0.005616122,0.010474898,0.012552857,0.011683061,0.008333265,0.003332245,-0.002477959,-0.008450816,-0.014254082,-0.019900000,-0.025805306,-0.032627347,-0.040902857,-0.050707755,-0.061582245,-0.072616531,-0.082791429,-0.091350204,-0.097947347,-0.102643265,-0.105602653,-0.106902245,-0.106510204,-0.104374286,-0.100500816,-0.094964082,-0.087821020,-0.079081837,-0.068689388,-0.056473061,-0.042205714,-0.025716735,-0.007024490,0.013624490,0.035828571,0.059057143,0.082590000,0.105541429,0.127002449,0.146282041,0.163113061,0.177754286,0.190773673,0.202721020,0.213812857,0.223763469,0.231825102,0.237026735,0.238479592,0.235604082,0.228277959,0.216831429,0.202055714,0.185090408,0.167215918,0.149360816,0.131801633,0.114290204,0.096510000,0.078890980,0.061242735
-0.139340000,-0.092617143,-0.051686531,-0.016010816,0.017233673,0.051989796,0.091651837,0.137711429,0.189082857,0.242431837,0.293244082,0.337273265,0.371840204,0.396483265,0.412677143,0.422815918,0.429123265,0.432977755,0.434868776,0.434698367,0.432204490,0.427207143,0.419634490,0.409447755,0.396533469,0.380757959,0.362100000,0.340766531,0.317200000,0.292007959,0.265816122,0.239199796,0.212662653,0.186678367,0.161668980,0.137934286,0.115618776,0.094682041,0.074951020,0.056184286,0.038135306,0.020643673,0.003708571,-0.012471429,-0.027510204,-0.041030612,-0.052726939,-0.062445918,-0.070167143,-0.076010000,-0.080101224,-0.082601633,-0.083550000,-0.082926735,-0.080749184,-0.077216122,-0.072690000,-0.067678571,-0.062665918,-0.058027143,-0.053920612,-0.050276939,-0.046936939,-0.043744286,-0.040547347,-0.037180408,-0.033456122,-0.029187551,-0.024246531,-0.018566939,-0.012091429,-0.004715918,0.003784490,0.013732245,0.025426122,0.039014694,0.054375102,0.071088571,0.088489592,0.105789592,0.122257959,0.137365714,0.150839388,0.162630408,0.172788571,0.181289388,0.187993673,0.192638571,0.194950816,0.194714082,0.191793673,0.186141429,0.177778163,0.166888367,0.154024082,0.140203265,0.126804694,0.115318163,0.107000000,0.092990061,0.081096734
-0.170640000,-0.107884286,-0.041096531,0.025568163,0.089334286,0.150902653,0.214569184,0.285892857,0.368041020,0.459702857,0.555411020,0.647654694,0.729228163,0.795000408,0.842737143,0.873070816,0.888602245,0.892611837,0.887851020,0.875837959,0.856821633,0.830165714,0.795066939,0.751363673,0.700322041,0.644847551,0.588903878,0.536405306,0.490108571,0.450998980,0.418415306,0.390746735,0.366231633,0.343511633,0.321714490,0.300318571,0.278950816,0.257464898,0.236014286,0.215095102,0.195454286,0.177887755,0.163080000,0.151469592,0.143116939,0.137498571,0.133662245,0.130437755,0.126842245,0.122300000,0.116594286,0.109766122,0.101857959,0.092909796,0.082927143,0.071867551,0.059692857,0.046395714,0.032001429,0.016640204,0.000612653,-0.015664082,-0.031683265,-0.046891429,-0.060660816,-0.072336735,-0.081320408,-0.087197551,-0.089822041,-0.089289388,-0.085715714,-0.079018980,-0.068948163,-0.055334286,-0.038426122,-0.018971837,0.002001429,0.023447143,0.044551224,0.064810408,0.083981837,0.101923469,0.118456939,0.133387551,0.146588571,0.158155510,0.168344286,0.177379388,0.185207755,0.191315918,0.194793265,0.194618571,0.190122245,0.181123061,0.167955714,0.151164286,0.131416735,0.109637143,0.087540000,0.068835204,0.048599347
-0.122150000,-0.091969388,-0.079011837,-0.080123061,-0.085507143,-0.081184694,-0.055576939,-0.005572857,0.062526327,0.136994694,0.206198776,0.262554490,0.303673265,0.331115102,0.347965714,0.356804490,0.358773469,0.353904286,0.342054898,0.323858367,0.301091020,0.276237143,0.251665306,0.228844898,0.208009388,0.188361429,0.168590408,0.147362857,0.123722857,0.097367755,0.068710612,0.038730204,0.008613469,-0.020581837,-0.048115306,-0.073607143,-0.097049184,-0.118736327,-0.139063265,-0.158313878,-0.176544490,-0.193671429,-0.209511429,-0.223862857,-0.236586939,-0.247620612,-0.256967143,-0.264637143,-0.270680408,-0.275170000,-0.278304694,-0.280524286,-0.282392449,-0.284494490,-0.287425102,-0.291653673,-0.297381429,-0.304470408,-0.312403061,-0.320545918,-0.328449184,-0.336042653,-0.343570408,-0.351407143,-0.359712245,-0.368119184,-0.375707347,-0.381288571,-0.383819592,-0.382640000,-0.377468571,-0.368143673,-0.354376735,-0.335766939,-0.312067959,-0.283561020,-0.251121020,-0.216027143,-0.179602041,-0.142926531,-0.106803878,-0.071836531,-0.038545510,-0.007447143,0.021002857,0.046446122,0.068719796,0.087844694,0.103796939,0.116221429,0.124337755,0.127250000,0.124319388,0.115492041,0.101333878,0.082971020,0.062186735,0.041532857,0.024310000,0.003821122,-0.015727470
0.034640000,0.087990000,0.126570000,0.146000000,0.150020000,0.152510000,0.173160000,0.228150000,0.321580000,0.442810000,0.571180000,0.685400000,0.772260000,0.830450000,0.868100000,0.896600000,0.924640000,0.955290000,0.986710000,1.015150000,1.037750000,1.053790000,1.063700000,1.067540000,1.064170000,1.051680000,1.028630000,0.994750000,0.951000000,0.899090000,0.840780000,0.777660000,0.711220000,0.643110000,0.575110000,0.508950000,0.445990000,0.387010000,0.332250000,0.281660000,0.235100000,0.192410000,0.153460000,0.118280000,0.087200000,0.060720000,0.039280000,0.022880000,0.010950000,0.002550000,-0.003370000,-0.007630000,-0.010720000,-0.012790000,-0.013800000,-0.013730000,-0.012790000,-0.011380000,-0.009870000,-0.008340000,-0.006610000,-0.004510000,-0.002060000,0.000490000,0.002650000,0.003910000,0.003810000,0.002190000,-0.000720000,-0.004380000,-0.007980000,-0.010620000,-0.011410000,-0.009660000,-0.004980000,0.002660000,0.013150000,0.026380000,0.042270000,0.060670000,0.081180000,0.103190000,0.125960000,0.148790000,0.170870000,0.191280000,0.208900000,0.222730000,0.232040000,0.236670000,0.237010000,0.233760000,0.227540000,0.218490000,0.206360000,0.190830000,0.171890000,0.149970000,0.125910000,0.101110000,0.077720000
-0.136000000,-0.069220000,0.001630000,0.075820000,0.154520000,0.240010000,0.334300000,0.438060000,0.550330000,0.668880000,0.790920000,0.913380000,1.033040000,1.146510000,1.250460000,1.342020000,1.419270000,1.481440000,1.528920000,1.562880000,1.584900000,1.596680000,1.599710000,1.595160000,1.583670000,1.565410000,1.540160000,1.507640000,1.467730000,1.420690000,1.367160000,1.308010000,1.244230000,1.176710000,1.106290000,1.033720000,0.959790000,0.885370000,0.811420000,0.738970000,0.669100000,0.602850000,0.541110000,0.484430000,0.432900000,0.386220000,0.343830000,0.305090000,0.269450000,0.236400000,0.205510000,0.176400000,0.148850000,0.122870000,0.098890000,0.077760000,0.060400000,0.047480000,0.039050000,0.034460000,0.032620000,0.032240000,0.032240000,0.031990000,0.031420000,0.031000000,0.031460000,0.033510000,0.037670000,0.044150000,0.052900000,0.063670000,0.076130000,0.090010000,0.105130000,0.121380000,0.138580000,0.156340000,0.174130000,0.191390000,0.207610000,0.222350000,0.235260000,0.246050000,0.254500000,0.260480000,0.263870000,0.264600000,0.262600000,0.257810000,0.250190000,0.239820000,0.226900000,0.211820000,0.195140000,0.177510000,0.159530000,0.141630000,0.123990000,0.106750000,0.090240000
-0.036180000,-0.019010000,-0.011700000,-0.006940000,0.005640000,0.036590000,0.092660000,0.174050000,0.274280000,0.382740000,0.488280000,0.582250000,0.659990000,0.720450000,0.764810000,0.794930000,0.812520000,0.818910000,0.815270000,0.802730000,0.782440000,0.755470000,0.722760000,0.685140000,0.643450000,0.598610000,0.551670000,0.503700000,0.455700000,0.408550000,0.362930000,0.319290000,0.277910000,0.238840000,0.202020000,0.167290000,0.134490000,0.103560000,0.074460000,0.047180000,0.021700000,-0.001980000,-0.023870000,-0.043980000,-0.062410000,-0.079390000,-0.095390000,-0.111000000,-0.126880000,-0.143510000,-0.161180000,-0.179890000,-0.199500000,-0.219810000,-0.240610000,-0.261710000,-0.282960000,-0.304160000,-0.325080000,-0.345450000,-0.364910000,-0.383110000,-0.399710000,-0.414380000,-0.426770000,-0.436570000,-0.443470000,-0.447230000,-0.447720000,-0.444930000,-0.438970000,-0.430010000,-0.418260000,-0.403870000,-0.387010000,-0.367810000,-0.346440000,-0.322970000,-0.297430000,-0.269730000,-0.239760000,-0.207510000,-0.173210000,-0.137330000,-0.100460000,-0.063240000,-0.026360000,0.009360000,0.042870000,0.072920000,0.098180000,0.117400000,0.129670000,0.134640000,0.132710000,0.125070000,0.113430000,0.099560000,0.084910000,0.070540000,0.057480000
0.019840000,0.065810000,0.101260000,0.132110000,0.168760000,0.222740000,0.301700000,0.405720000,0.527070000,0.653330000,0.771960000,0.873710000,0.953910000,1.011850000,1.049360000,1.069500000,1.075600000,1.070670000,1.056990000,1.036010000,1.008380000,0.974190000,0.933090000,0.884660000,0.828730000,0.765780000,0.697080000,0.624570000,0.550590000,0.477470000,0.407150000,0.340900000,0.279250000,0.222100000,0.169130000,0.120150000,0.075380000,0.035400000,0.000870000,-0.027800000,-0.050800000,-0.068910000,-0.083410000,-0.095660000,-0.106790000,-0.117390000,-0.127660000,-0.137550000,-0.147000000,-0.156090000,-0.165090000,-0.174520000,-0.185070000,-0.197530000,-0.212550000,-0.230510000,-0.251380000,-0.274700000,-0.299650000,-0.325240000,-0.350500000,-0.374670000,-0.397140000,-0.417490000,-0.435360000,-0.450510000,-0.462780000,-0.472070000,-0.478290000,-0.481240000,-0.480580000,-0.475850000,-0.466600000,-0.452460000,-0.433240000,-0.408980000,-0.379940000,-0.346660000,-0.309940000,-0.270810000,-0.230340000,-0.189460000,-0.148930000,-0.109310000,-0.071190000,-0.035170000,-0.001930000,0.027880000,0.053670000,0.074920000,0.091130000,0.101950000,0.107370000,0.107920000,0.104710000,0.099220000,0.092890000,0.086800000,0.081480000,0.077170000,0.074070000
-0.105950000,-0.043150000,-0.000820000,0.016240000,0.011050000,-0.004340000,-0.012730000,0.001010000,0.043720000,0.112180000,0.195780000,0.281360000,0.357960000,0.419640000,0.465750000,0.498990000,0.522570000,0.538380000,0.546790000,0.547800000,0.542050000,0.531070000,0.516620000,0.499910000,0.481230000,0.460310000,0.436830000,0.410880000,0.383110000,0.354380000,0.325390000,0.296270000,0.266610000,0.235730000,0.203240000,0.169470000,0.135470000,0.102530000,0.071630000,0.043130000,0.016820000,-0.007820000,-0.031260000,-0.053770000,-0.075370000,-0.095930000,-0.115350000,-0.133610000,-0.150730000,-0.166800000,-0.181950000,-0.196420000,-0.210560000,-0.224730000,-0.239260000,-0.254380000,-0.270160000,-0.286520000,-0.303140000,-0.319530000,-0.335150000,-0.349640000,-0.362810000,-0.374570000,-0.384710000,-0.392840000,-0.398420000,-0.400880000,-0.399710000,-0.394560000,-0.385340000,-0.372160000,-0.355310000,-0.335080000,-0.311690000,-0.285360000,-0.256370000,-0.225070000,-0.191970000,-0.157740000,-0.123090000,-0.088680000,-0.054940000,-0.022140000,0.009630000,0.040270000,0.069510000,0.096810000,0.121260000,0.141730000,0.157090000,0.166470000,0.169430000,0.166200000,0.157740000,0.145910000,0.133060000,0.121420000,0.112260000,0.105670000,0.100700000
