V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, X100, X101
-0.018010000,0.012282857,0.043900000,0.074778776,0.103644082,0.131328776,0.160800612,0.195571429,0.237731020,0.286786327,0.340033265,0.393907347,0.445072245,0.490827143,0.529052857,0.558115102,0.577007347,0.585508776,0.584232041,0.574594490,0.558500612,0.537917143,0.514551429,0.489925714,0.465705306,0.443735918,0.425635918,0.412234286,0.403191429,0.397002857,0.391486531,0.384510204,0.374666531,0.361609184,0.345939388,0.328748571,0.311217959,0.294427347,0.279478776,0.267560816,0.259785306,0.256841429,0.258575714,0.263764082,0.270294694,0.275717143,0.278139592,0.276975102,0.273158367,0.268640000,0.265520408,0.265161224,0.267837551,0.272904490,0.279236122,0.285744694,0.291787143,0.297294082,0.302589796,0.308063265,0.314021020,0.320710408,0.328481633,0.337697143,0.348438980,0.360249184,0.372132245,0.382900408,0.391558776,0.397611837,0.401148571,0.402673878,0.402869184,0.402416122,0.401875306,0.401586327,0.401579592,0.401540000,0.400840816,0.398618367,0.393902857,0.385798776,0.373656327,0.357149388,0.336294286,0.311416735,0.283104286,0.252107959,0.219205102,0.185080612,0.150342245,0.115644286,0.081936122,0.050495306,0.022712653,-0.000274000,-0.017859388,-0.030040612,-0.037280000,-0.052163367,-0.064483326
-0.068540000,-0.060840408,-0.043587755,-0.019533061,0.008693469,0.040559796,0.077118980,0.119262857,0.166523673,0.217180612,0.268801020,0.318734490,0.364229184,0.402642653,0.431818571,0.450617551,0.459293469,0.459413878,0.453345714,0.443498163,0.431743061,0.419290000,0.406812857,0.394568367,0.382475714,0.370409388,0.358502041,0.347144490,0.336660000,0.326979184,0.317648571,0.308103469,0.298105510,0.287962449,0.278308571,0.269858571,0.263187143,0.258599796,0.255947143,0.254568571,0.253507347,0.251813878,0.248888571,0.244553673,0.239017347,0.232802041,0.226676735,0.221542857,0.218244490,0.217240000,0.218411020,0.220984490,0.224083878,0.226914898,0.228843469,0.229389592,0.228355714,0.225988367,0.223000204,0.220312449,0.218783878,0.218984286,0.221117959,0.225142857,0.230922449,0.238258367,0.246808571,0.256113061,0.265766939,0.275554694,0.285395714,0.295094490,0.304055510,0.311264898,0.315688367,0.316758163,0.314521837,0.309361429,0.301556939,0.291054898,0.277615714,0.261078571,0.241496122,0.219103469,0.194230000,0.167262653,0.138717959,0.109367755,0.080347551,0.053125102,0.029264286,0.010087143,-0.003634898,-0.011843878,-0.015171429,-0.014846122,-0.012412041,-0.009361429,-0.006730000,-0.003987654,-0.001247756
-0.032940000,-0.013417551,0.011391837,0.040915510,0.074262857,0.110872041,0.150863878,0.194988571,0.244113061,0.298548776,0.357456939,0.418720816,0.479400000,0.536472653,0.587414286,0.630453061,0.664485306,0.688966327,0.703914082,0.709926735,0.708106327,0.699862857,0.686731837,0.670216939,0.651696939,0.632380612,0.613233673,0.594907143,0.577684286,0.561498367,0.546026939,0.530765510,0.515147551,0.498630816,0.480830408,0.461645714,0.441297143,0.420276735,0.399216735,0.378719388,0.359262245,0.341165510,0.324604286,0.309621837,0.296230408,0.284440612,0.274225510,0.265514898,0.258165918,0.252020000,0.247043061,0.243245918,0.240721020,0.239510000,0.239636531,0.241043878,0.243638571,0.247257347,0.251645102,0.256502245,0.261576939,0.266682245,0.271690816,0.276490000,0.280929796,0.284869796,0.288161020,0.290697347,0.292407551,0.293301429,0.293455714,0.293006735,0.292088980,0.290780000,0.289081020,0.286901837,0.284066327,0.280315714,0.275312653,0.268641224,0.259895714,0.248730816,0.234925306,0.218375510,0.199114286,0.177285306,0.153156531,0.127206327,0.100214694,0.073253469,0.047642245,0.024775714,0.005887959,-0.008109184,-0.016769388,-0.020142449,-0.018698980,-0.013291224,-0.005060000,-0.001634388,0.003431123
-0.054730000,-0.024321020,0.013886327,0.058501429,0.106321020,0.153324082,0.196196327,0.233411429,0.265384082,0.293858367,0.321037959,0.348943061,0.378957347,0.411683061,0.446941429,0.483873061,0.521226531,0.557723061,0.592423878,0.624782449,0.654411020,0.680685714,0.702403265,0.717833469,0.725084082,0.722670816,0.710126735,0.688371429,0.659674286,0.627112653,0.593751429,0.561884694,0.532705102,0.506411020,0.482646122,0.460847143,0.440497347,0.421179592,0.402656327,0.384930204,0.368260816,0.353075306,0.339795714,0.328756939,0.320169592,0.314105306,0.310401224,0.308607347,0.308226531,0.308900000,0.310532449,0.313203061,0.317111633,0.322413265,0.329065306,0.336796735,0.345125714,0.353554286,0.361687755,0.369377551,0.376720408,0.383899184,0.391049184,0.398067143,0.404576327,0.409990612,0.413781224,0.415781633,0.416370000,0.416414898,0.417002857,0.419042449,0.422975918,0.428626122,0.435253673,0.441760204,0.446974898,0.449950000,0.450078980,0.447015714,0.440532857,0.430376531,0.416226531,0.397826531,0.375135714,0.348416939,0.318166939,0.284906531,0.249025714,0.210744082,0.170300612,0.128155714,0.085301429,0.043342653,0.004565102,-0.028316122,-0.052474694,-0.065596327,-0.066700000,-0.085340103,-0.098167429
-0.005800000,0.015084898,0.035726531,0.053703061,0.068736122,0.084069796,0.105084490,0.135642857,0.175467347,0.220287143,0.264215714,0.302435918,0.332737959,0.355641837,0.373315714,0.387965714,0.400542857,0.410361837,0.415945918,0.416489388,0.412930204,0.407877143,0.404470612,0.404872041,0.409263469,0.415804286,0.421475306,0.423268980,0.419131429,0.408352245,0.391374694,0.369378776,0.343873878,0.316518163,0.289020204,0.263060000,0.240097959,0.221133061,0.206533469,0.195948980,0.188514286,0.183104694,0.178630000,0.174211429,0.169288980,0.163665510,0.157380204,0.150659796,0.143787551,0.137130000,0.131140612,0.126226327,0.122726327,0.120785918,0.120354286,0.121085306,0.122510000,0.124256939,0.126243265,0.128692245,0.132011633,0.136584286,0.142574694,0.149845714,0.158062041,0.166856327,0.176004490,0.185499184,0.195511224,0.206170408,0.217328571,0.228410204,0.238539592,0.246813878,0.252568980,0.255444082,0.255365102,0.252498571,0.247122857,0.239498367,0.229725714,0.217763265,0.203496327,0.186870204,0.167981429,0.147162245,0.125060612,0.102714082,0.081539388,0.063141429,0.048777959,0.038825714,0.032554286,0.028366939,0.024544490,0.019921633,0.014326122,0.008535918,0.003870000,-0.001822857,-0.007217368
-0.037990000,-0.013600000,0.007960000,0.023460000,0.032570000,0.040190000,0.055870000,0.089850000,0.148210000,0.230380000,0.329920000,0.437360000,0.543060000,0.639340000,0.721400000,0.787050000,0.835710000,0.867360000,0.882100000,0.880290000,0.863130000,0.833070000,0.793720000,0.749210000,0.703500000,0.659780000,0.620450000,0.587050000,0.560360000,0.540420000,0.526720000,0.518460000,0.514660000,0.513950000,0.514570000,0.514550000,0.512300000,0.506860000,0.498080000,0.486420000,0.472800000,0.458320000,0.444010000,0.430650000,0.418800000,0.408800000,0.400840000,0.394930000,0.390920000,0.388480000,0.387300000,0.387100000,0.387680000,0.388870000,0.390550000,0.392500000,0.394420000,0.395980000,0.397010000,0.397660000,0.398310000,0.399340000,0.400980000,0.403260000,0.406040000,0.408990000,0.411670000,0.413590000,0.414310000,0.413490000,0.410980000,0.406900000,0.401460000,0.394930000,0.387500000,0.379340000,0.370580000,0.361330000,0.351630000,0.341480000,0.330880000,0.319910000,0.308740000,0.297510000,0.286140000,0.274100000,0.260420000,0.243850000,0.223400000,0.198780000,0.170770000,0.141220000,0.112540000,0.086970000,0.065980000,0.049990000,0.038620000,0.030880000,0.025440000,0.020780000,0.015670000
-0.097030000,-0.092440000,-0.082550000,-0.067900000,-0.049800000,-0.029840000,-0.009170000,0.011860000,0.033740000,0.057410000,0.083930000,0.114220000,0.148750000,0.187360000,0.229070000,0.272030000,0.313830000,0.352000000,0.384610000,0.410630000,0.430030000,0.443590000,0.452620000,0.458580000,0.462820000,0.466330000,0.469640000,0.472790000,0.475420000,0.476870000,0.476380000,0.473200000,0.466700000,0.456440000,0.442250000,0.424200000,0.402590000,0.378010000,0.351290000,0.323460000,0.295650000,0.268910000,0.244060000,0.221620000,0.201850000,0.184880000,0.170810000,0.159730000,0.151750000,0.146840000,0.144770000,0.145070000,0.147020000,0.149740000,0.152410000,0.154340000,0.155150000,0.154750000,0.153340000,0.151310000,0.149140000,0.147300000,0.146170000,0.146060000,0.147290000,0.150150000,0.154900000,0.161650000,0.170300000,0.180590000,0.192160000,0.204670000,0.217850000,0.231520000,0.245560000,0.259830000,0.274090000,0.287970000,0.300970000,0.312450000,0.321710000,0.327990000,0.330470000,0.328370000,0.321050000,0.308160000,0.289770000,0.266390000,0.238830000,0.208140000,0.175440000,0.141840000,0.108470000,0.076380000,0.046580000,0.019930000,-0.002940000,-0.021820000,-0.036950000,-0.049010000,-0.058840000
-0.016680000,-0.021400000,-0.021750000,-0.017750000,-0.009380000,0.004290000,0.024870000,0.053690000,0.090960000,0.135360000,0.184200000,0.233660000,0.279430000,0.317660000,0.345820000,0.363220000,0.370810000,0.370640000,0.365100000,0.356490000,0.346680000,0.337090000,0.328630000,0.321760000,0.316470000,0.312450000,0.309120000,0.305860000,0.302070000,0.297290000,0.291140000,0.283360000,0.273730000,0.262110000,0.248530000,0.233220000,0.216630000,0.199440000,0.182410000,0.166300000,0.151710000,0.139050000,0.128480000,0.120000000,0.113510000,0.108780000,0.105480000,0.103160000,0.101260000,0.099280000,0.096960000,0.094420000,0.092080000,0.090480000,0.090190000,0.091620000,0.095090000,0.100760000,0.108690000,0.118870000,0.131200000,0.145500000,0.161580000,0.179160000,0.197980000,0.217770000,0.238220000,0.259010000,0.279770000,0.300130000,0.319750000,0.338310000,0.355580000,0.371350000,0.385460000,0.397770000,0.408100000,0.416180000,0.421680000,0.424180000,0.423290000,0.418700000,0.410300000,0.398110000,0.382150000,0.362400000,0.338760000,0.311190000,0.279810000,0.245010000,0.207500000,0.168220000,0.128280000,0.088820000,0.051020000,0.016130000,-0.014440000,-0.039130000,-0.056600000,-0.066190000,-0.068340000
-0.054810000,-0.030450000,0.004930000,0.047670000,0.093500000,0.139100000,0.182950000,0.225240000,0.267420000,0.311300000,0.357960000,0.407050000,0.456580000,0.503480000,0.544320000,0.576000000,0.596140000,0.603410000,0.597630000,0.579860000,0.552180000,0.517380000,0.478610000,0.438940000,0.401040000,0.366900000,0.337640000,0.313540000,0.294100000,0.278330000,0.265020000,0.252970000,0.241190000,0.228990000,0.216080000,0.202570000,0.189000000,0.176120000,0.164750000,0.155500000,0.148630000,0.143990000,0.141080000,0.139110000,0.137290000,0.134960000,0.131780000,0.127720000,0.123080000,0.118310000,0.113940000,0.110460000,0.108290000,0.107680000,0.108780000,0.111560000,0.115870000,0.121540000,0.128450000,0.136590000,0.146120000,0.157200000,0.169970000,0.184440000,0.200590000,0.218360000,0.237680000,0.258390000,0.280240000,0.302840000,0.325690000,0.348240000,0.369900000,0.390090000,0.408250000,0.423870000,0.436530000,0.445940000,0.452080000,0.455120000,0.455270000,0.452620000,0.447040000,0.438210000,0.425810000,0.409700000,0.389860000,0.366380000,0.339330000,0.308770000,0.274830000,0.237840000,0.198500000,0.157960000,0.117800000,0.079860000,0.046100000,0.018220000,-0.002890000,-0.017380000,-0.026510000
0.023030000,0.066920000,0.110350000,0.146740000,0.169910000,0.178200000,0.176470000,0.174440000,0.182430000,0.207530000,0.251730000,0.311830000,0.380550000,0.448860000,0.508940000,0.556450000,0.591100000,0.615030000,0.630510000,0.638360000,0.638060000,0.628990000,0.611620000,0.587750000,0.559860000,0.530430000,0.501770000,0.476090000,0.455440000,0.441110000,0.432950000,0.429040000,0.426170000,0.420830000,0.410250000,0.393060000,0.369390000,0.340650000,0.309030000,0.276950000,0.246510000,0.219180000,0.195680000,0.176130000,0.160330000,0.148000000,0.138890000,0.132870000,0.130020000,0.130570000,0.134790000,0.142710000,0.154010000,0.168010000,0.183730000,0.200080000,0.216020000,0.230850000,0.244310000,0.256620000,0.268290000,0.279990000,0.292310000,0.305730000,0.320520000,0.336760000,0.354340000,0.373000000,0.392340000,0.411870000,0.431010000,0.449140000,0.465740000,0.480410000,0.492990000,0.503440000,0.511780000,0.517970000,0.521830000,0.523050000,0.521250000,0.516070000,0.507190000,0.494340000,0.477310000,0.455880000,0.429940000,0.399520000,0.364890000,0.326650000,0.285780000,0.243640000,0.201740000,0.161330000,0.123190000,0.087750000,0.055590000,0.027800000,0.005840000,-0.009000000,-0.016280000
