V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
-0.010530000,-0.008070204,-0.008723673,-0.013019388,-0.020677347,-0.030280408,-0.039765306,-0.047241429,-0.051835306,-0.054028571,-0.055373469,-0.057718980,-0.062438163,-0.070000612,-0.080061429,-0.091652245,-0.103448163,-0.114002041,-0.122020000,-0.126631837,-0.127525714,-0.124932857,-0.119488776,-0.112018571,-0.103380204,-0.094262857,-0.085075102,-0.075939388,-0.066787143,-0.057473265,-0.047912041,-0.038147551,-0.028366735,-0.018813673,-0.009697755,-0.001110000,0.007032041,0.014881429,0.022566327,0.030123878,0.037491224,0.044575102,0.051297143,0.057653265,0.063725918,0.069638163,0.075442245,0.081046327,0.086265918,0.090910000,0.094919184,0.098360816,0.101365306,0.104108980,0.106716122,0.109276122,0.111825714,0.114351837,0.116756735,0.118877143,0.120541633,0.121656327,0.122300816,0.122648571,0.122872041,0.123025918,0.123100000,0.123059592,0.122893061,0.122556327,0.121998571,0.121165510,0.119986327,0.118388367,0.116291429,0.113631837,0.110367959,0.106467143,0.101916531,0.096732857,0.090968980,0.084731837,0.078148776,0.071347143,0.064447143,0.057536122,0.050703469,0.044122245,0.038057755,0.032902653,0.029064694,0.026818571,0.026171429,0.026820408,0.028148980,0.029480408,0.030231429,0.030103265,0.029060000,0.029371429,0.029232490
0.010550000,0.010586939,0.008335510,0.003600204,-0.003162653,-0.011119796,-0.019537347,-0.028127143,-0.036961020,-0.046276122,-0.056278163,-0.066850408,-0.077321020,-0.086618163,-0.093815714,-0.098536122,-0.100812041,-0.100732245,-0.098346122,-0.093727143,-0.087047551,-0.078564286,-0.068593673,-0.057549388,-0.045913061,-0.034193673,-0.022895306,-0.012445510,-0.003118571,0.005018776,0.012047347,0.018140816,0.023446122,0.028028980,0.031883265,0.034970000,0.037254082,0.038809388,0.039768163,0.040340000,0.040742041,0.041153061,0.041742857,0.042628571,0.043898367,0.045563673,0.047577551,0.049791020,0.052005714,0.054050000,0.055788367,0.057196122,0.058341837,0.059374898,0.060451429,0.061695102,0.063197143,0.065008163,0.067097755,0.069389592,0.071794286,0.074220408,0.076622857,0.078945714,0.081128367,0.083111224,0.084816531,0.086155714,0.087010000,0.087199796,0.086525714,0.084847755,0.082123265,0.078426531,0.073921429,0.068772449,0.063117143,0.057105714,0.050925714,0.044815510,0.039034082,0.033842653,0.029445918,0.025972041,0.023484286,0.022032449,0.021631837,0.022274694,0.023862857,0.026154694,0.028748776,0.031107143,0.032658571,0.032856939,0.031399796,0.028303469,0.023947143,0.018950408,0.013990000,0.009313470,0.004519755
-0.008390000,-0.008274082,-0.010053265,-0.013724898,-0.018888163,-0.025068776,-0.032054490,-0.039905714,-0.048860000,-0.059095102,-0.070629796,-0.083249388,-0.096525306,-0.109828776,-0.122367143,-0.133325306,-0.142108980,-0.148422449,-0.152257551,-0.153750408,-0.153074898,-0.150415714,-0.145977347,-0.140034286,-0.132970204,-0.125230408,-0.117239388,-0.109323673,-0.101651429,-0.094266122,-0.087123265,-0.080118980,-0.073123469,-0.066018980,-0.058734082,-0.051272857,-0.043747959,-0.036315510,-0.029142449,-0.022374694,-0.016109388,-0.010406327,-0.005250000,-0.000617347,0.003557755,0.007367959,0.010861837,0.014110612,0.017139592,0.019960000,0.022546939,0.024883673,0.026961429,0.028799796,0.030403878,0.031823061,0.033078571,0.034191633,0.035181633,0.036065306,0.036885102,0.037683469,0.038494898,0.039330000,0.040187143,0.041021429,0.041772449,0.042393673,0.042818571,0.042990000,0.042852857,0.042369184,0.041525918,0.040348367,0.038889184,0.037222653,0.035428163,0.033574286,0.031712857,0.029867959,0.028075510,0.026401633,0.024920612,0.023713673,0.022865714,0.022461633,0.022548571,0.023127347,0.024171429,0.025648980,0.027486327,0.029470000,0.031259388,0.032385918,0.032361429,0.030894898,0.027903265,0.023606939,0.018510000,0.014866021,0.010720919
-0.006390000,-0.011250816,-0.018916531,-0.029750000,-0.043389592,-0.058640612,-0.073756939,-0.087117143,-0.097802041,-0.105815102,-0.111931429,-0.117340204,-0.123211224,-0.130396122,-0.139227143,-0.149399592,-0.160135510,-0.170462041,-0.179523673,-0.186812653,-0.192165714,-0.195600000,-0.197108571,-0.196537347,-0.193577755,-0.187878776,-0.179265306,-0.167920000,-0.154437143,-0.139696735,-0.124635510,-0.110012245,-0.096291429,-0.083668367,-0.072152041,-0.061678571,-0.052166327,-0.043522857,-0.035652653,-0.028428367,-0.021728367,-0.015410816,-0.009327143,-0.003337551,0.002624082,0.008564898,0.014428571,0.020141837,0.025620612,0.030820000,0.035701429,0.040262245,0.044554898,0.048627551,0.052597959,0.056584898,0.060642857,0.064817551,0.069055918,0.073288571,0.077379796,0.081204694,0.084643878,0.087598571,0.090068980,0.092134286,0.093925510,0.095526327,0.096899796,0.097846735,0.098074286,0.097327347,0.095464082,0.092490204,0.088515714,0.083699796,0.078212245,0.072205714,0.065812245,0.059128571,0.052247959,0.045276531,0.038300204,0.031414082,0.024660000,0.018100000,0.011834082,0.006092449,0.001262449,-0.002133469,-0.003560204,-0.002615714,0.000781837,0.006321429,0.013135714,0.019867143,0.024778163,0.026155306,0.022890000,0.026034082,0.027078653
0.004530000,-0.001186531,-0.008045714,-0.015715510,-0.023853061,-0.032627551,-0.042611224,-0.054390000,-0.068050408,-0.083021633,-0.098315510,-0.112919184,-0.126206531,-0.138092653,-0.148868571,-0.158787959,-0.167690000,-0.174971837,-0.179845714,-0.181761633,-0.180731020,-0.177328571,-0.172386531,-0.166611837,-0.160330204,-0.153442449,-0.145619592,-0.136561837,-0.126172857,-0.114586327,-0.102104694,-0.089076122,-0.075794490,-0.062491429,-0.049358367,-0.036590000,-0.024373265,-0.012881020,-0.002244286,0.007452041,0.016174490,0.023960408,0.030888571,0.037061429,0.042612041,0.047641633,0.052226939,0.056461429,0.060440612,0.064240000,0.067911633,0.071490816,0.075006939,0.078450204,0.081826735,0.085197755,0.088604286,0.092076531,0.095632041,0.099287143,0.103117755,0.107163878,0.111436122,0.115855714,0.120264898,0.124466939,0.128217959,0.131252653,0.133301837,0.134126327,0.133571429,0.131569796,0.128144898,0.123374286,0.117338571,0.110101429,0.101731633,0.092287143,0.081874286,0.070678367,0.058987551,0.047174082,0.035657551,0.024886939,0.015311429,0.007369388,0.001390204,-0.002502449,-0.004531429,-0.005227347,-0.005268163,-0.005225714,-0.005281429,-0.005209184,-0.004584694,-0.003121837,-0.000986939,0.001245306,0.002740000,0.004923572,0.006905347
0.021120000,0.023360000,0.023780000,0.021450000,0.015340000,0.004180000,-0.013620000,-0.039370000,-0.073180000,-0.113620000,-0.158210000,-0.204270000,-0.249280000,-0.290960000,-0.327320000,-0.356940000,-0.379310000,-0.394770000,-0.404120000,-0.408230000,-0.407870000,-0.403780000,-0.396790000,-0.387700000,-0.377230000,-0.365820000,-0.353790000,-0.341390000,-0.328840000,-0.316270000,-0.303730000,-0.291270000,-0.278950000,-0.266680000,-0.254220000,-0.241260000,-0.227570000,-0.213160000,-0.198270000,-0.183230000,-0.168480000,-0.154420000,-0.141390000,-0.129600000,-0.119150000,-0.110000000,-0.102070000,-0.095250000,-0.089410000,-0.084430000,-0.080170000,-0.076510000,-0.073320000,-0.070510000,-0.067960000,-0.065580000,-0.063250000,-0.060840000,-0.058250000,-0.055500000,-0.052620000,-0.049680000,-0.046720000,-0.043770000,-0.040890000,-0.038070000,-0.035310000,-0.032570000,-0.029770000,-0.026800000,-0.023660000,-0.020400000,-0.017110000,-0.013950000,-0.011050000,-0.008560000,-0.006630000,-0.005390000,-0.004820000,-0.004860000,-0.005460000,-0.006610000,-0.008400000,-0.010930000,-0.014230000,-0.018140000,-0.022230000,-0.025780000,-0.028000000,-0.028210000,-0.026190000,-0.022290000,-0.017360000,-0.012470000,-0.008500000,-0.005980000,-0.005010000,-0.005290000,-0.006170000,-0.006720000,-0.005970000
0.044910000,0.042810000,0.037590000,0.029320000,0.018590000,0.006120000,-0.007570000,-0.022300000,-0.038320000,-0.056250000,-0.076850000,-0.100830000,-0.128520000,-0.159720000,-0.193480000,-0.228270000,-0.262230000,-0.293580000,-0.320930000,-0.343470000,-0.360890000,-0.373300000,-0.381040000,-0.384600000,-0.384490000,-0.381210000,-0.375220000,-0.366940000,-0.356640000,-0.344550000,-0.330800000,-0.315490000,-0.298750000,-0.280740000,-0.261680000,-0.241830000,-0.221500000,-0.201040000,-0.180820000,-0.161200000,-0.142490000,-0.124900000,-0.108520000,-0.093350000,-0.079310000,-0.066360000,-0.054480000,-0.043720000,-0.034140000,-0.025740000,-0.018410000,-0.011920000,-0.005980000,-0.000390000,0.004970000,0.010120000,0.015020000,0.019590000,0.023770000,0.027550000,0.030950000,0.034070000,0.036990000,0.039800000,0.042510000,0.045100000,0.047520000,0.049700000,0.051580000,0.053150000,0.054400000,0.055300000,0.055820000,0.055880000,0.055370000,0.054210000,0.052330000,0.049710000,0.046360000,0.042320000,0.037710000,0.032680000,0.027430000,0.022190000,0.017220000,0.012720000,0.008840000,0.005660000,0.003250000,0.001630000,0.000820000,0.000860000,0.001790000,0.003640000,0.006310000,0.009620000,0.013290000,0.017100000,0.020990000,0.025100000,0.029710000
0.023390000,0.020630000,0.015720000,0.008420000,-0.001280000,-0.013220000,-0.027250000,-0.043310000,-0.061360000,-0.081100000,-0.101910000,-0.122820000,-0.142770000,-0.160730000,-0.175970000,-0.188100000,-0.197010000,-0.202710000,-0.205330000,-0.205030000,-0.202100000,-0.196880000,-0.189720000,-0.180880000,-0.170610000,-0.159150000,-0.146760000,-0.133730000,-0.120350000,-0.106850000,-0.093420000,-0.080180000,-0.067160000,-0.054430000,-0.042060000,-0.030190000,-0.019000000,-0.008670000,0.000670000,0.008960000,0.016240000,0.022610000,0.028190000,0.033120000,0.037510000,0.041490000,0.045210000,0.048870000,0.052640000,0.056620000,0.060830000,0.065240000,0.069780000,0.074440000,0.079230000,0.084200000,0.089430000,0.094960000,0.100840000,0.107040000,0.113510000,0.120180000,0.126920000,0.133590000,0.140060000,0.146180000,0.151800000,0.156790000,0.161050000,0.164490000,0.167010000,0.168550000,0.169020000,0.168350000,0.166480000,0.163380000,0.159010000,0.153400000,0.146600000,0.138680000,0.129760000,0.119970000,0.109420000,0.098250000,0.086620000,0.074750000,0.062910000,0.051410000,0.040600000,0.030820000,0.022430000,0.015700000,0.010860000,0.008020000,0.007150000,0.008090000,0.010420000,0.013450000,0.016300000,0.018180000,0.018710000
0.011640000,0.005320000,-0.004930000,-0.018830000,-0.035300000,-0.052730000,-0.069650000,-0.085330000,-0.099810000,-0.113570000,-0.127120000,-0.140760000,-0.154540000,-0.168240000,-0.181330000,-0.193020000,-0.202480000,-0.209010000,-0.212190000,-0.211810000,-0.207840000,-0.200360000,-0.189690000,-0.176370000,-0.161120000,-0.144690000,-0.127740000,-0.110730000,-0.094000000,-0.077770000,-0.062180000,-0.047370000,-0.033490000,-0.020690000,-0.009140000,0.001040000,0.009760000,0.017080000,0.023100000,0.028040000,0.032130000,0.035590000,0.038610000,0.041330000,0.043890000,0.046390000,0.048980000,0.051790000,0.054950000,0.058600000,0.062840000,0.067750000,0.073370000,0.079700000,0.086680000,0.094220000,0.102230000,0.110610000,0.119290000,0.128210000,0.137350000,0.146670000,0.156130000,0.165700000,0.175300000,0.184840000,0.194200000,0.203220000,0.211710000,0.219450000,0.226220000,0.231780000,0.235940000,0.238560000,0.239510000,0.238750000,0.236250000,0.232000000,0.226040000,0.218390000,0.209130000,0.198370000,0.186300000,0.173110000,0.159030000,0.144270000,0.129080000,0.113750000,0.098610000,0.084060000,0.070530000,0.058450000,0.048140000,0.039720000,0.033170000,0.028360000,0.025020000,0.022660000,0.020740000,0.018940000,0.017330000
0.006820000,0.001540000,-0.005590000,-0.014070000,-0.022960000,-0.031450000,-0.039460000,-0.047730000,-0.057560000,-0.070180000,-0.086290000,-0.105710000,-0.127180000,-0.148600000,-0.167710000,-0.182940000,-0.193900000,-0.201200000,-0.205720000,-0.207930000,-0.207760000,-0.204920000,-0.199370000,-0.191510000,-0.181980000,-0.171440000,-0.160520000,-0.149740000,-0.139610000,-0.130480000,-0.122370000,-0.115010000,-0.107840000,-0.100310000,-0.091980000,-0.082690000,-0.072490000,-0.061620000,-0.050450000,-0.039350000,-0.028660000,-0.018620000,-0.009290000,-0.000650000,0.007390000,0.014950000,0.022140000,0.029070000,0.035780000,0.042330000,0.048760000,0.055110000,0.061410000,0.067640000,0.073730000,0.079640000,0.085330000,0.090830000,0.096150000,0.101300000,0.106270000,0.111060000,0.115660000,0.120080000,0.124300000,0.128270000,0.131920000,0.135170000,0.137940000,0.140120000,0.141600000,0.142270000,0.142020000,0.140740000,0.138330000,0.134670000,0.129710000,0.123400000,0.115760000,0.106850000,0.096820000,0.085860000,0.074190000,0.062060000,0.049750000,0.037560000,0.025820000,0.014920000,0.005210000,-0.003000000,-0.009470000,-0.014090000,-0.016810000,-0.017550000,-0.016140000,-0.012480000,-0.006830000,-0.000040000,0.006400000,0.010840000,0.012000000
