V1, V2, V3, V4, V5
-27.698608000,-27.794327000,-35.456944000,-31.439428000,-28.739752000
-27.266462000,-27.518888000,-34.726376000,-31.411596000,-28.934006000
-26.667269000,-27.091053000,-33.687984000,-31.152533000,-28.956045000
-25.903719000,-26.497293000,-32.363636000,-30.644218000,-28.779928000
-24.987633000,-25.732454000,-30.789570000,-29.879164000,-28.383890000
-23.943182000,-24.806051000,-29.017469000,-28.866169000,-27.756523000
-22.804014000,-23.742996000,-27.112436000,-27.631712000,-26.902508000
-21.608213000,-22.580589000,-25.147482000,-26.219469000,-25.846819000
-20.392412000,-21.363098000,-23.194981000,-24.685446000,-24.632624000
-19.187084000,-20.135189000,-21.319801000,-23.092590000,-23.316053000
-18.015324000,-18.937531000,-19.575058000,-21.504652000,-21.959986000
-16.892265000,-17.802773000,-17.999928000,-19.981138000,-20.628210000
-15.828407000,-16.753841000,-16.618540000,-18.571682000,-19.377026000
-14.832012000,-15.802495000,-15.441942000,-17.313217000,-18.248999000
-13.912173000,-14.951427000,-14.469711000,-16.227787000,-17.269861000
-13.079239000,-14.197503000,-13.693700000,-15.323910000,-16.448400000
-12.342607000,-13.534556000,-13.100192000,-14.599128000,-15.778393000
-11.707048000,-12.955360000,-12.672618000,-14.043295000,-15.243623000
-11.171628000,-12.452189000,-12.392735000,-13.640481000,-14.821965000
-10.728744000,-12.017108000,-12.241376000,-13.369938000,-14.489756000
-10.366487000,-11.641696000,-12.198313000,-13.207599000,-14.224249000
-10.069497000,-11.317689000,-12.242486000,-13.127318000,-14.005329000
-9.820005000,-11.036520000,-12.351781000,-13.102697000,-13.817060000
-9.599028000,-10.788683000,-12.502314000,-13.108662000,-13.646151000
-9.389565000,-10.564574000,-12.669535000,-13.122867000,-13.481513000
-9.179070000,-10.354870000,-12.829989000,-13.125649000,-13.313722000
-8.961940000,-10.151292000,-12.963631000,-13.102566000,-13.134540000
-8.738566000,-9.947541000,-13.054399000,-13.044410000,-12.937057000
-8.513277000,-9.740886000,-13.091472000,-12.947455000,-12.716475000
-8.292110000,-9.532763000,-13.069121000,-12.811126000,-12.471381000
-8.080564000,-9.327657000,-12.986335000,-12.639046000,-12.203778000
-7.883331000,-9.131654000,-12.846684000,-12.437357000,-11.918229000
-7.704578000,-8.951281000,-12.657577000,-12.213969000,-11.620475000
-7.547904000,-8.792540000,-12.428710000,-11.979613000,-11.316700000
-7.418038000,-8.661473000,-12.171490000,-11.746681000,-11.013613000
-7.321406000,-8.563470000,-11.899633000,-11.527408000,-10.718591000
-7.264355000,-8.503119000,-11.626868000,-11.332568000,-10.440008000
-7.251949000,-8.483827000,-11.365178000,-11.170522000,-10.186902000
-7.287187000,-8.507254000,-11.123099000,-11.047606000,-9.967533000
-7.371041000,-8.572674000,-10.905841000,-10.966538000,-9.789009000
-7.501064000,-8.677060000,-10.716253000,-10.926281000,-9.656049000
-7.671105000,-8.816068000,-10.554756000,-10.923541000,-9.571609000
-7.871454000,-8.983065000,-10.420558000,-10.953552000,-9.536797000
-8.089526000,-9.170684000,-10.311714000,-11.010242000,-9.549148000
-8.311861000,-9.371039000,-10.225118000,-11.085828000,-9.601204000
-8.524464000,-9.576410000,-10.157152000,-11.170685000,-9.681611000
-8.714947000,-9.780034000,-10.104140000,-11.253630000,-9.777916000
-8.872969000,-9.975825000,-10.062779000,-11.324594000,-9.879241000
-8.991326000,-10.159110000,-10.029726000,-11.377696000,-9.976999000
-9.067074000,-10.326317000,-10.001701000,-11.410609000,-10.065001000
-9.102884000,-10.475533000,-9.975938000,-11.423306000,-10.140024000
-9.104144000,-10.605842000,-9.949287000,-11.416795000,-10.201249000
-9.077806000,-10.717905000,-9.918420000,-11.392580000,-10.248699000
-9.030895000,-10.812379000,-9.882830000,-11.353646000,-10.283986000
-8.970302000,-10.889071000,-9.844886000,-11.304113000,-10.309852000
-8.902189000,-10.948361000,-9.806992000,-11.248665000,-10.329784000
-8.832630000,-10.992863000,-9.770337000,-11.192356000,-10.346649000
-8.767873000,-11.026047000,-9.735838000,-11.139074000,-10.362441000
-8.712509000,-11.051168000,-9.704559000,-11.090846000,-10.377412000
-8.669518000,-11.071594000,-9.677448000,-11.047646000,-10.391828000
-8.641264000,-11.089634000,-9.655457000,-11.008627000,-10.406363000
-8.629107000,-11.106575000,-9.639414000,-10.973727000,-10.422268000
-8.633415000,-11.122940000,-9.629169000,-10.942940000,-10.440183000
-8.653796000,-11.138982000,-9.623267000,-10.915136000,-10.460429000
-8.689900000,-11.154593000,-9.619980000,-10.888670000,-10.483034000
-8.740720000,-11.169865000,-9.616775000,-10.861919000,-10.506870000
-8.804756000,-11.184666000,-9.611465000,-10.832821000,-10.529957000
-8.879923000,-11.199286000,-9.601144000,-10.798804000,-10.550408000
-8.963034000,-11.213727000,-9.582762000,-10.757730000,-10.565612000
-9.050580000,-11.228379000,-9.553577000,-10.708127000,-10.572933000
-9.138246000,-11.242837000,-9.512317000,-10.649798000,-10.570145000
-9.221041000,-11.256864000,-9.458347000,-10.582973000,-10.556247000
-9.293798000,-11.270429000,-9.392132000,-10.508620000,-10.531806000
-9.351100000,-11.283270000,-9.315309000,-10.428344000,-10.497991000
-9.387862000,-11.295165000,-9.229959000,-10.344307000,-10.457150000
-9.399485000,-11.305076000,-9.138072000,-10.257772000,-10.411444000
-9.382592000,-11.310482000,-9.041089000,-10.169955000,-10.362773000
-9.334077000,-11.308333000,-8.939153000,-10.080510000,-10.311833000
-9.251944000,-11.294264000,-8.830792000,-9.986910000,-10.259427000
-9.135148000,-11.263749000,-8.713480000,-9.884630000,-10.205788000
-8.983794000,-11.211883000,-8.584142000,-9.768678000,-10.150507000
-8.799916000,-11.134573000,-8.439648000,-9.635171000,-10.092524000
-8.587857000,-11.029115000,-8.277844000,-9.482703000,-10.030448000
-8.353654000,-10.895194000,-8.098060000,-9.313353000,-9.962673000
-8.105580000,-10.735660000,-7.902102000,-9.132962000,-9.887835000
-7.854993000,-10.556496000,-7.694500000,-8.951226000,-9.806858000
-7.615848000,-10.366914000,-7.483475000,-8.780555000,-9.724108000
-7.403639000,-10.177529000,-7.280166000,-8.634413000,-9.647405000
-7.233279000,-9.999204000,-7.096984000,-8.525846000,-9.586390000
-7.117700000,-9.842355000,-6.946397000,-8.464613000,-9.550404000
-7.066010000,-9.716269000,-6.839584000,-8.457534000,-9.547523000
-7.082827000,-9.628057000,-6.785195000,-8.507448000,-9.583667000
-7.167698000,-9.582075000,-6.789158000,-8.613059000,-9.661163000
-7.315933000,-9.578571000,-6.853773000,-8.768299000,-9.779545000
-7.519487000,-9.614939000,-6.977705000,-8.964386000,-9.935485000
-7.768375000,-9.686724000,-7.156462000,-9.190427000,-10.123584000
-8.050911000,-9.789021000,-7.382700000,-9.434297000,-10.335874000
-8.354496000,-9.917319000,-7.648017000,-9.685191000,-10.561891000
-8.667203000,-10.068671000,-7.943263000,-9.934025000,-10.790204000
-8.978738000,-10.240911000,-8.260421000,-10.174187000,-11.010942000
-9.280060000,-10.434275000,-8.592584000,-10.401999000,-11.216564000
