V1, V2, V3, V4, V5
7.433432000,8.556880000,6.135047000,6.978992000,5.578726000
7.156870000,8.326314000,5.921077000,6.766943000,5.380588000
6.731390000,7.980886000,5.632750000,6.442980000,5.137319000
6.137794000,7.497659000,5.257499000,5.996557000,4.842573000
5.381676000,6.869635000,4.797983000,5.436176000,4.499187000
4.499973000,6.114815000,4.276275000,4.793818000,4.122143000
3.557908000,5.278605000,3.731100000,4.120140000,3.736576000
2.634871000,4.424674000,3.208496000,3.472736000,3.371122000
1.808607000,3.620973000,2.752630000,2.905477000,3.052396000
1.141925000,2.927263000,2.399112000,2.460768000,2.800923000
0.674103000,2.385597000,2.169705000,2.164160000,2.628500000
0.417694000,2.013631000,2.069759000,2.021561000,2.537706000
0.359745000,1.804307000,2.089152000,2.020267000,2.522817000
0.468456000,1.731907000,2.206515000,2.133710000,2.571576000
0.701495000,1.761635000,2.394284000,2.328066000,2.667934000
1.013429000,1.857951000,2.623314000,2.568221000,2.795487000
1.361442000,1.989702000,2.866480000,2.822551000,2.939975000
1.710667000,2.132933000,3.101956000,3.066691000,3.090974000
2.037976000,2.273196000,3.316068000,3.287326000,3.243563000
2.334497000,2.407920000,3.505466000,3.484708000,3.399665000
2.605205000,2.546918000,3.677087000,3.672004000,3.568057000
2.866833000,2.709822000,3.846814000,3.870855000,3.762296000
3.142518000,2.920868000,4.035823000,4.104668000,3.997607000
3.455595000,3.201939000,4.265368000,4.392365000,4.287087000
3.823426000,3.566195000,4.552022000,4.743586000,4.638834000
4.253145000,4.014369000,4.903896000,5.156712000,5.054110000
4.740692000,4.534672000,5.318991000,5.620018000,5.526888000
5.272467000,5.105276000,5.785902000,6.114746000,6.045199000
5.828816000,5.699227000,6.286357000,6.619123000,6.593396000
6.387723000,6.289966000,6.799686000,7.112008000,7.154456000
6.928310000,6.855351000,7.306548000,7.576469000,7.712063000
7.434176000,7.380271000,7.791296000,8.001948000,8.252540000
7.895015000,7.856862000,8.243425000,8.384538000,8.766124000
8.306863000,8.284141000,8.657798000,8.726076000,9.247531000
8.671268000,8.665974000,9.034567000,9.032469000,9.695812000
8.993749000,9.009069000,9.378075000,9.312318000,10.113461000
9.282379000,9.321393000,9.695568000,9.575166000,10.505211000
9.546227000,9.610809000,9.995381000,9.829111000,10.876224000
9.794241000,9.883783000,10.285305000,10.079533000,11.230697000
10.034189000,10.144922000,10.571205000,10.328831000,11.571207000
10.271768000,10.397410000,10.855678000,10.577422000,11.898616000
10.509722000,10.643609000,11.138374000,10.824080000,12.212315000
10.747954000,10.885065000,11.416857000,11.066474000,12.510744000
10.985225000,11.122894000,11.688044000,11.302351000,12.792449000
11.220526000,11.358199000,11.949539000,11.530740000,13.056831000
11.453505000,11.592166000,12.200150000,11.752410000,13.304171000
11.684556000,11.826667000,12.440234000,11.969256000,13.535154000
11.914907000,12.063783000,12.671748000,12.183198000,13.750973000
12.146235000,12.304770000,12.896961000,12.395026000,13.953194000
12.380284000,12.549670000,13.117391000,12.604503000,14.143144000
12.618011000,12.797610000,13.333611000,12.810733000,14.321639000
12.859414000,13.046720000,13.545278000,13.012667000,14.488865000
13.103742000,13.294413000,13.751572000,13.209245000,14.643685000
13.349257000,13.537559000,13.951792000,13.399790000,14.784668000
13.594204000,13.773587000,14.145751000,13.584105000,14.910921000
13.837560000,14.000657000,14.333898000,13.762609000,15.022527000
14.078794000,14.217838000,14.516820000,13.936209000,15.120488000
14.317530000,14.424654000,14.695551000,14.105751000,15.206562000
14.553280000,14.621570000,14.871147000,14.271827000,15.283025000
14.785187000,14.809712000,15.044564000,14.434581000,15.352393000
15.012428000,14.990792000,15.216487000,14.593459000,15.416956000
15.233964000,15.166412000,15.387341000,14.747431000,15.478545000
15.448597000,15.337362000,15.557557000,14.895539000,15.538322000
15.655287000,15.503803000,15.727691000,15.037099000,15.596527000
15.852924000,15.665274000,15.897470000,15.171456000,15.652616000
16.040440000,15.820838000,16.065418000,15.298007000,15.705817000
16.217106000,15.969399000,16.230066000,15.416337000,15.755508000
16.382603000,16.110247000,16.390465000,15.526194000,15.801675000
16.536963000,16.243364000,16.546074000,15.627449000,15.844453000
16.680300000,16.369087000,16.696508000,15.719756000,15.884208000
16.812630000,16.487703000,16.841446000,15.803101000,15.920813000
16.933836000,16.599384000,16.980213000,15.877464000,15.953734000
17.043661000,16.704035000,17.111774000,15.942269000,15.981673000
17.141348000,16.801117000,17.234743000,15.995627000,16.002607000
17.225449000,16.889124000,17.347267000,16.034462000,16.014120000
17.294020000,16.965858000,17.446894000,16.054995000,16.012716000
17.344643000,17.028778000,17.530027000,16.053247000,15.994326000
17.374208000,17.074594000,17.592010000,16.025045000,15.954364000
17.378365000,17.098629000,17.627012000,15.965643000,15.887206000
17.351059000,17.094477000,17.627888000,15.869068000,15.785981000
17.284517000,17.053621000,17.585976000,15.727544000,15.641919000
17.168673000,16.965343000,17.491072000,15.531379000,15.444263000
16.990812000,16.817177000,17.331066000,15.269114000,15.180479000
16.735146000,16.594561000,17.092417000,14.927693000,14.837021000
16.383007000,16.281496000,16.760597000,14.492936000,14.399653000
15.913823000,15.860628000,16.320107000,13.950072000,13.853789000
15.305819000,15.313465000,15.755255000,13.284133000,13.184117000
14.537401000,14.621257000,15.050458000,12.480733000,12.376045000
13.588088000,13.765944000,14.191228000,11.527316000,11.416502000
12.440665000,12.731257000,13.165098000,10.414800000,10.295703000
11.083446000,11.504544000,11.963982000,9.138874000,9.008627000
9.512950000,10.079336000,10.585223000,7.700871000,7.556778000
7.736171000,8.457457000,9.033392000,6.108983000,5.950119000
5.772585000,6.651397000,7.321650000,4.379354000,4.208748000
3.655136000,4.684833000,5.472387000,2.536972000,2.363224000
1.429555000,2.591989000,3.517674000,0.616301000,0.454232000
-0.848018000,0.416322000,1.498622000,-1.339123000,-1.469428000
-3.113668000,-1.791506000,-0.536460000,-3.279178000,-3.354607000
-5.301445000,-3.978492000,-2.535101000,-5.150917000,-5.147585000
-7.348551000,-6.093286000,-4.444102000,-6.902209000,-6.796873000
-9.197513000,-8.087540000,-6.212201000,-8.482959000,-8.254786000
