V1, V2, V3, V4, V5
3.831405000,3.134360000,2.486409000,3.133984000,2.038968000
3.790274000,3.220030000,2.464411000,3.215776000,2.159912000
3.764723000,3.304859000,2.441513000,3.291494000,2.270666000
3.764705000,3.389370000,2.422536000,3.358017000,2.370497000
3.796012000,3.473315000,2.412066000,3.412716000,2.460870000
3.858653000,3.554413000,2.413496000,3.453306000,2.544331000
3.946543000,3.628200000,2.428821000,3.478298000,2.623374000
4.049010000,3.688614000,2.458665000,3.487329000,2.700017000
4.153207000,3.729595000,2.502584000,3.481161000,2.775850000
4.247342000,3.746692000,2.559504000,3.462056000,2.852210000
4.323860000,3.738759000,2.628335000,3.434195000,2.930753000
4.381570000,3.709419000,2.708604000,3.404374000,3.014089000
4.426342000,3.667840000,2.801598000,3.382342000,3.106017000
4.469879000,3.628113000,2.910936000,3.380297000,3.211273000
4.527267000,3.607191000,3.042217000,3.411545000,3.335092000
4.614265000,3.622223000,3.201499000,3.488563000,3.482477000
4.744707000,3.687943000,3.393706000,3.620843000,3.657688000
4.928170000,3.814887000,3.621524000,3.813124000,3.863183000
5.168285000,4.007871000,3.884551000,4.063648000,4.098740000
5.461804000,4.264902000,4.178524000,4.363542000,4.360515000
5.798717000,4.576895000,4.494974000,4.697128000,4.640588000
6.163146000,4.928379000,4.821438000,5.043772000,4.927687000
6.535269000,5.299222000,5.142501000,5.380502000,5.208383000
6.894034000,5.667070000,5.441476000,5.685309000,5.468630000
7.219467000,6.010183000,5.702506000,5.940201000,5.695535000
7.495019000,6.309953000,5.912210000,6.133214000,5.879036000
7.708989000,6.552613000,6.061377000,6.259139000,6.013248000
7.855368000,6.730187000,6.146039000,6.319373000,6.096719000
7.933767000,6.840622000,6.167531000,6.320806000,6.132166000
7.948969000,6.887274000,6.132019000,6.274337000,6.125436000
7.909486000,6.877694000,6.049262000,6.192808000,6.084427000
7.825863000,6.822248000,5.931087000,6.089147000,6.018069000
7.709496000,6.732133000,5.789324000,5.974803000,5.935185000
7.571424000,6.617946000,5.634504000,5.858331000,5.843445000
7.421504000,6.488847000,5.475135000,5.745319000,5.748380000
7.268415000,6.352915000,5.317608000,5.638671000,5.653276000
7.119656000,6.217190000,5.166545000,5.539233000,5.559637000
6.981115000,6.087371000,5.025103000,5.446782000,5.467841000
6.856756000,5.967438000,4.894991000,5.360567000,5.377709000
6.748761000,5.859612000,4.776727000,5.279414000,5.288884000
6.657765000,5.764791000,4.669744000,5.201778000,5.201066000
6.582973000,5.682635000,4.572914000,5.125992000,5.113928000
6.522442000,5.611380000,4.484707000,5.050731000,5.027218000
6.473502000,5.548244000,4.403206000,4.975048000,4.940780000
6.433276000,5.489909000,4.326281000,4.898289000,4.854220000
6.399118000,5.433215000,4.252002000,4.819938000,4.766676000
6.368378000,5.375411000,4.178796000,4.739613000,4.677119000
6.338511000,5.314186000,4.105371000,4.657291000,4.584843000
6.307077000,5.247808000,4.030658000,4.573384000,4.489717000
6.271975000,5.174897000,3.953937000,4.488416000,4.392169000
6.231074000,5.094716000,3.874828000,4.402855000,4.293039000
6.181649000,5.007215000,3.792961000,4.316991000,4.193313000
6.121176000,4.912686000,3.707944000,4.231221000,4.094162000
6.048263000,4.811551000,3.619581000,4.146182000,3.996839000
5.962671000,4.704371000,3.527690000,4.062619000,3.902535000
5.864683000,4.591912000,3.431994000,3.981123000,3.812203000
5.755397000,4.475218000,3.332524000,3.901927000,3.726083000
5.636966000,4.355778000,3.229586000,3.824873000,3.643551000
5.512184000,4.235386000,3.123822000,3.749472000,3.563236000
5.384024000,4.116003000,3.016182000,3.675120000,3.483114000
5.255207000,3.999578000,2.907844000,3.600924000,3.400969000
5.127677000,3.887619000,2.799912000,3.525806000,3.314581000
5.002588000,3.780870000,2.693616000,3.448629000,3.221991000
4.879872000,3.679215000,2.589609000,3.368023000,3.121476000
4.758519000,3.581899000,2.487519000,3.282180000,3.011517000
4.636793000,3.487594000,2.385715000,3.188813000,2.890412000
4.512701000,3.394040000,2.281428000,3.085777000,2.756717000
4.384317000,3.298063000,2.171353000,2.971584000,2.609678000
4.249973000,3.195777000,2.052591000,2.845123000,2.449128000
4.108335000,3.083611000,1.922827000,2.705405000,2.275324000
3.958695000,2.959493000,1.780625000,2.551413000,2.088864000
3.800951000,2.822476000,1.625191000,2.382479000,1.890882000
3.635826000,2.672249000,1.457056000,2.198562000,1.682659000
3.465121000,2.509053000,1.277880000,2.000411000,1.465914000
3.291348000,2.334309000,1.089668000,1.789849000,1.242622000
3.116560000,2.150594000,0.894792000,1.569603000,1.015014000
2.942071000,1.961013000,0.695859000,1.342858000,0.785519000
2.768626000,1.768959000,0.495448000,1.112629000,0.556596000
2.596339000,1.577930000,0.296117000,0.881853000,0.330678000
2.425339000,1.391297000,0.100653000,0.653744000,0.110091000
2.256647000,1.212279000,-0.088054000,0.431421000,-0.102900000
2.092139000,1.043466000,-0.267349000,0.217761000,-0.305967000
1.934090000,0.886803000,-0.434978000,0.015323000,-0.496803000
1.784985000,0.743565000,-0.589059000,-0.173975000,-0.673364000
1.646773000,0.614425000,-0.728453000,-0.349034000,-0.833775000
1.520988000,0.499177000,-0.852904000,-0.509652000,-0.976323000
1.408765000,0.396429000,-0.962780000,-0.656360000,-1.099514000
1.310874000,0.303771000,-1.058954000,-0.790192000,-1.202181000
1.227492000,0.217518000,-1.142449000,-0.912458000,-1.283952000
1.157311000,0.133363000,-1.215030000,-1.024870000,-1.346136000
1.097065000,0.047371000,-1.279599000,-1.129709000,-1.392578000
1.041226000,-0.042994000,-1.340497000,-1.230454000,-1.429482000
0.982406000,-0.140240000,-1.403335000,-1.332894000,-1.465206000
0.911233000,-0.248933000,-1.474161000,-1.444575000,-1.509043000
0.817701000,-0.374726000,-1.558426000,-1.572694000,-1.569587000
0.693101000,-0.523054000,-1.659907000,-1.722045000,-1.652950000
0.531213000,-0.697902000,-1.779972000,-1.894419000,-1.761495000
0.329652000,-0.901037000,-1.916945000,-2.087815000,-1.893384000
0.091018000,-1.130636000,-2.065623000,-2.295778000,-2.043078000
-0.176543000,-1.380421000,-2.217775000,-2.506926000,-2.202701000
-0.460651000,-1.639992000,-2.363109000,-2.706745000,-2.363168000
