V1, V2, V3, V4, V5
-0.043098000,0.096904500,0.144078000,-0.009916500,-0.079728000
0.043428000,0.168300000,0.254265000,0.091723500,0.002227500
0.124278000,0.239728500,0.361333500,0.202422000,0.096310500
0.193578000,0.304491000,0.455268000,0.309210000,0.197521500
0.247731000,0.354057000,0.530277000,0.402798000,0.294937500
0.283189500,0.385225500,0.579199500,0.472824000,0.376134000
0.302494500,0.397419000,0.599478000,0.515410500,0.432597000
0.313681500,0.398029500,0.600369000,0.539583000,0.466405500
0.326271000,0.397930500,0.594346500,0.555258000,0.484720500
0.349915500,0.406890000,0.593785500,0.569761500,0.497458500
0.389845500,0.431722500,0.607860000,0.590584500,0.511269000
0.442744500,0.470910000,0.639391500,0.619987500,0.531069000
0.504157500,0.523462500,0.688116000,0.659406000,0.561115500
0.567369000,0.583968000,0.750304500,0.709318500,0.601870500
0.629557500,0.648664500,0.823647000,0.770170500,0.654109500
0.690822000,0.715275000,0.901626000,0.838843500,0.716826000
0.752994000,0.779707500,0.982162500,0.912763500,0.787809000
0.814192500,0.841863000,1.059316500,0.986287500,0.862917000
0.869236500,0.895240500,1.129590000,1.054135500,0.933124500
0.913687500,0.940087500,1.185327000,1.108503000,0.990924000
0.946126500,0.974341500,1.221907500,1.147294500,1.033345500
0.968764500,1.000296000,1.240074000,1.169668500,1.059151500
0.984340500,1.019617500,1.241427000,1.178463000,1.073539500
0.998646000,1.034566500,1.231362000,1.177176000,1.081327500
1.015228500,1.048525500,1.213690500,1.171038000,1.086178500
1.036827000,1.058854500,1.193989500,1.164405000,1.092151500
1.059943500,1.068210000,1.175608500,1.159851000,1.098603000
1.083505500,1.074744000,1.160247000,1.156567500,1.105500000
1.101276000,1.080915000,1.147327500,1.153779000,1.110021000
1.111308000,1.084611000,1.133286000,1.147888500,1.111720500
1.113964500,1.085221500,1.116357000,1.140430500,1.109971500
1.110978000,1.083571500,1.096920000,1.130085000,1.106919000
1.106110500,1.079116500,1.073094000,1.118122500,1.102744500
1.103305500,1.073325000,1.045869000,1.107265500,1.099147500
1.103652000,1.066791000,1.017621000,1.097761500,1.095435000
1.104889500,1.061989500,0.991320000,1.090980000,1.095963000
1.106952000,1.059597000,0.967840500,1.087020000,1.097019000
1.108288500,1.060422000,0.950070000,1.085617500,1.099147500
1.110648000,1.062352500,0.938701500,1.087119000,1.101936000
1.113915000,1.065603000,0.931359000,1.088752500,1.105368000
1.117165500,1.066428000,0.928422000,1.090320000,1.107925500
1.117512000,1.067121000,0.927003000,1.090534500,1.108552500
1.115136000,1.065834000,0.925353000,1.087746000,1.104807000
1.108866000,1.063458000,0.922680000,1.081096500,1.096821000
1.098339000,1.060884000,0.920337000,1.069233000,1.083819000
1.082251500,1.056693000,0.917086500,1.053921000,1.068408000
1.065058500,1.051693500,0.913176000,1.034946000,1.053904500
1.044829500,1.047271500,0.908325000,1.019617500,1.041958500
1.024914000,1.044351000,0.902764500,1.010014500,1.031943000
1.011516000,1.041480000,0.897600000,1.001797500,1.023346500
1.001946000,1.039071000,0.891000000,0.995412000,1.016977500
0.996484500,1.037718000,0.886347000,0.992376000,1.011466500
0.994554000,1.035573000,0.888277500,0.992755500,1.008529500
0.995049000,1.033494000,0.897121500,0.995082000,1.006450500
0.997359000,1.034781000,0.909018000,0.999553500,1.005543000
1.001946000,1.040935500,0.922828500,1.006071000,1.007110500
1.008645000,1.048921500,0.937018500,1.013463000,1.009783500
1.016598000,1.057600500,0.951852000,1.021399500,1.014304500
1.026019500,1.063573500,0.966471000,1.029798000,1.018462500
1.037883000,1.069200000,0.982030500,1.037553000,1.022356500
1.051231500,1.073985000,0.998151000,1.042321500,1.026630000
1.065603000,1.079331000,1.012621500,1.046347500,1.031167500
1.080040500,1.081443000,1.025277000,1.050192000,1.033857000
1.092910500,1.080007500,1.035655500,1.052304000,1.036563000
1.104048000,1.076460000,1.041942000,1.052040000,1.039747500
1.112925000,1.070173500,1.045489500,1.051545000,1.042767000
1.119525000,1.063293000,1.047882000,1.052469000,1.044202500
1.121950500,1.056924000,1.048096500,1.053739500,1.045720500
1.121092500,1.050192000,1.046562000,1.055769000,1.046611500
1.117759500,1.043097000,1.044466500,1.056033000,1.044054000
1.110598500,1.037338500,1.041826500,1.054482000,1.038229500
1.100253000,1.029979500,1.037190000,1.052172000,1.031019000
1.087713000,1.021086000,1.031299500,1.047073500,1.022191500
1.072038000,1.010823000,1.023313500,1.037652000,1.011615000
1.053789000,0.996435000,1.012704000,1.024980000,0.998910000
1.030540500,0.976816500,0.999867000,1.004866500,0.985050000
1.002721500,0.951142500,0.982195500,0.980578500,0.968863500
0.971025000,0.920485500,0.960085500,0.951885000,0.949096500
0.935038500,0.883509000,0.933042000,0.919644000,0.925600500
0.894597000,0.842325000,0.901461000,0.884301000,0.897468000
0.852538500,0.797709000,0.864484500,0.845427000,0.864072000
0.808615500,0.752251500,0.824323500,0.805563000,0.825924000
0.765715500,0.705325500,0.782463000,0.765517500,0.785218500
0.725422500,0.660759000,0.740668500,0.729085500,0.743770500
0.689766000,0.620202000,0.702586500,0.694551000,0.703312500
0.657904500,0.585337500,0.669372000,0.662821500,0.665494500
0.628155000,0.557089500,0.639754500,0.632610000,0.627973500
0.600286500,0.533643000,0.612183000,0.603273000,0.592086000
0.569827500,0.513166500,0.584743500,0.571824000,0.555951000
0.534946500,0.492129000,0.554565000,0.535705500,0.517737000
0.492871500,0.466521000,0.518314500,0.493218000,0.474342000
0.439972500,0.431986500,0.472642500,0.442530000,0.423241500
0.376266000,0.386479500,0.415305000,0.384961500,0.362142000
0.299970000,0.330313500,0.346516500,0.319473000,0.290944500
0.216315000,0.266029500,0.268933500,0.249232500,0.210738000
0.127627500,0.196201500,0.185674500,0.178662000,0.126819000
0.041349000,0.128370000,0.101244000,0.108817500,0.046167000
-0.034452000,0.062551500,0.021598500,0.043576500,-0.025872000
-0.097036500,0.004372500,-0.049846500,-0.013992000,-0.085816500
-0.144754500,-0.047470500,-0.109395000,-0.061297500,-0.131686500
-0.178662000,-0.098076000,-0.156585000,-0.100006500,-0.167904000
