V1, V2, V3, V4, V5
-0.015345000,-0.012606000,-0.012985500,-0.014190000,-0.013117500
-0.028165500,-0.025146000,-0.027555000,-0.028528500,-0.026037000
-0.045589500,-0.041728500,-0.046662000,-0.047206500,-0.042537000
-0.067600500,-0.062287500,-0.069910500,-0.069910500,-0.062205000
-0.093489000,-0.086361000,-0.096261000,-0.095650500,-0.084034500
-0.121588500,-0.112728000,-0.123997500,-0.122743500,-0.106573500
-0.149704500,-0.139656000,-0.151222500,-0.149160000,-0.128155500
-0.175725000,-0.165429000,-0.176352000,-0.173233500,-0.147477000
-0.198099000,-0.188743500,-0.198280500,-0.193693500,-0.163630500
-0.215787000,-0.208411500,-0.216084000,-0.209352000,-0.175989000
-0.228030000,-0.223410000,-0.229102500,-0.219235500,-0.183942000
-0.234646500,-0.233194500,-0.237072000,-0.222915000,-0.187176000
-0.236016000,-0.237765000,-0.240256500,-0.220572000,-0.185658000
-0.232914000,-0.237567000,-0.239200500,-0.212734500,-0.179635500
-0.226215000,-0.233112000,-0.234465000,-0.200046000,-0.169554000
-0.216760500,-0.224829000,-0.226528500,-0.183067500,-0.155710500
-0.205342500,-0.213114000,-0.215803500,-0.162310500,-0.138418500
-0.192654000,-0.198379500,-0.202620000,-0.138220500,-0.117942000
-0.179190000,-0.181120500,-0.187159500,-0.111045000,-0.094495500
-0.165099000,-0.161634000,-0.169488000,-0.080899500,-0.068310000
-0.150282000,-0.140118000,-0.149506500,-0.047734500,-0.039534000
-0.134359500,-0.116655000,-0.127050000,-0.011616000,-0.008299500
-0.116869500,-0.091278000,-0.101953500,0.027307500,0.025195500
-0.097317000,-0.064086000,-0.074101500,0.068755500,0.060703500
-0.075256500,-0.035145000,-0.043461000,0.112414500,0.097960500
-0.050374500,-0.004570500,-0.010131000,0.157872000,0.136702500
-0.022522500,0.027522000,0.025641000,0.204633000,0.176649000
0.008250000,0.060885000,0.063508500,0.252202500,0.217519500
0.041695500,0.095254500,0.103042500,0.300052500,0.259050000
0.077434500,0.130317000,0.143764500,0.347704500,0.301009500
0.115021500,0.165726000,0.185146500,0.394713000,0.343216500
0.153994500,0.201201000,0.226776000,0.440715000,0.385539000
0.193908000,0.236428500,0.268257000,0.485364000,0.427878000
0.234316500,0.271227000,0.309292500,0.528462000,0.470200500
0.274873500,0.305415000,0.349684500,0.569778000,0.512490000
0.315298500,0.338926500,0.389350500,0.609213000,0.554713500
0.355344000,0.371728500,0.428241000,0.646701000,0.596821500
0.394845000,0.403870500,0.466405500,0.682242000,0.638748000
0.433702500,0.435352500,0.503860500,0.715885500,0.680361000
0.471850500,0.466191000,0.540655500,0.747730500,0.721512000
0.509272500,0.496402500,0.576757500,0.777909000,0.761953500
0.545919000,0.526003500,0.612117000,0.806586000,0.801520500
0.581790000,0.555076500,0.646668000,0.833976000,0.839982000
0.616935000,0.583753500,0.680394000,0.860359500,0.877189500
0.651370500,0.612282000,0.713311500,0.886000500,0.913027500
0.685245000,0.640909500,0.745503000,0.911212500,0.947479500
0.718723500,0.670015500,0.777067500,0.936243000,0.980545500
0.751987500,0.699946500,0.808153500,0.961323000,1.012258500
0.785301000,0.730933500,0.838876500,0.986518500,1.042651500
0.818878500,0.763026000,0.869269500,1.011862500,1.071757500
0.852769500,0.796224000,0.899365500,1.037388000,1.099543500
0.887023500,0.830362500,0.929148000,1.063078500,1.125993000
0.921591000,0.865326000,0.958617000,1.088983500,1.151023500
0.956373000,0.900883500,0.987838500,1.115169000,1.174635000
0.991303500,0.936870000,1.016895000,1.141734000,1.196926500
1.026316500,0.973170000,1.045918500,1.168744500,1.218046500
1.061329500,1.009651500,1.075008000,1.196250000,1.238259000
1.096276500,1.046265000,1.104312000,1.224316500,1.257778500
1.131141000,1.082878500,1.133929500,1.252927500,1.276836000
1.165890000,1.119442500,1.163976000,1.282099500,1.295695500
1.200474000,1.155891000,1.194517500,1.311684000,1.314522000
1.234843500,1.192108500,1.225554000,1.341532500,1.333530000
1.268899500,1.227897000,1.257085500,1.371414000,1.352868000
1.302477000,1.263058500,1.288963500,1.401081000,1.372569000
1.335493500,1.297378500,1.320957000,1.430187000,1.392633000
1.367767500,1.330659000,1.352686500,1.458319500,1.412994000
1.399150500,1.362652500,1.383706500,1.485082500,1.433520000
1.429444500,1.393161000,1.413621000,1.510047000,1.453996500
