V1, V2, V3, V4, V5
0.174537000,0.269098500,0.131736000,0.249925500,0.087054000
0.310563000,0.332244000,0.192951000,0.292957500,0.099462000
0.434940000,0.399135000,0.273091500,0.344685000,0.138088500
0.529023000,0.456093000,0.361350000,0.397039500,0.195591000
0.574447500,0.485496000,0.443074500,0.437200500,0.262185000
0.553525500,0.471834000,0.496303500,0.449328000,0.322509000
0.471339000,0.407550000,0.507903000,0.427779000,0.366762000
0.355360500,0.306949500,0.485826000,0.384780000,0.393591000
0.248853000,0.204105000,0.450136500,0.342259500,0.415585500
0.190806000,0.136900500,0.426030000,0.325297500,0.446407500
0.205276500,0.139210500,0.433306500,0.352572000,0.497145000
0.298980000,0.225703500,0.482146500,0.429528000,0.569860500
0.454657500,0.386347500,0.569563500,0.545292000,0.656914500
0.637708500,0.585321000,0.678711000,0.676797000,0.747961500
0.812658000,0.781077000,0.788188500,0.799474500,0.827854500
0.951291000,0.939724500,0.877107000,0.888112500,0.882816000
1.034484000,1.036876500,0.930748500,0.931111500,0.902451000
1.055488500,1.061379000,0.939807000,0.924346500,0.882387000
1.014618000,1.012522500,0.901411500,0.866332500,0.824934000
0.922284000,0.900982500,0.822162000,0.764824500,0.736197000
0.791950500,0.748324500,0.712272000,0.638418000,0.630069000
0.648021000,0.581922000,0.589545000,0.509503500,0.521680500
0.511483500,0.431491500,0.473401500,0.396891000,0.427482000
0.403029000,0.318928500,0.380391000,0.316948500,0.355476000
0.335923500,0.256674000,0.319836000,0.277431000,0.315876000
0.312015000,0.240949500,0.296835000,0.276556500,0.307642500
0.324027000,0.263373000,0.306487500,0.303468000,0.324802500
0.359980500,0.306207000,0.341995500,0.344602500,0.358594500
0.406774500,0.354024000,0.386727000,0.386595000,0.396297000
0.452578500,0.395835000,0.427927500,0.415882500,0.429330000
0.486222000,0.420205500,0.456505500,0.424396500,0.449064000
0.500593500,0.422581500,0.466290000,0.412137000,0.452496000
0.492426000,0.403755000,0.457083000,0.379929000,0.437530500
0.464772000,0.368247000,0.430864500,0.334768500,0.405009000
0.421294500,0.322344000,0.391215000,0.281902500,0.357472500
0.367554000,0.276078000,0.343365000,0.229432500,0.302379000
0.312790500,0.232006500,0.293271000,0.183414000,0.248077500
0.264148500,0.194304000,0.244381500,0.148846500,0.202174500
0.225060000,0.164274000,0.201118500,0.126918000,0.166171500
0.196168500,0.142065000,0.169554000,0.115879500,0.138633000
0.178365000,0.126489000,0.149605500,0.111540000,0.120895500
0.173283000,0.118239000,0.138534000,0.113206500,0.110814000
0.173316000,0.118618500,0.134821500,0.118156500,0.105864000
0.173547000,0.123535500,0.133303500,0.122809500,0.103389000
