V1, V2, V3, V4, V5
-0.145134000,-0.172441500,-0.170890500,-0.174801000,-0.158218500
-0.152427000,-0.164587500,-0.159621000,-0.159109500,-0.140646000
-0.154407000,-0.154671000,-0.147427500,-0.141652500,-0.123684000
-0.147873000,-0.140860500,-0.132792000,-0.121027500,-0.105864000
-0.129937500,-0.120780000,-0.112959000,-0.095155500,-0.085371000
-0.097003500,-0.091608000,-0.083424000,-0.060736500,-0.058855500
-0.049252500,-0.050506500,-0.041497500,-0.016335000,-0.024469500
0.009009000,0.000973500,0.010659000,0.035475000,0.017209500
0.070867500,0.057684000,0.068508000,0.090568500,0.062980500
0.129937500,0.113388000,0.126901500,0.143847000,0.109395000
0.181813500,0.162112500,0.181665000,0.191202000,0.152790000
0.224680500,0.200656500,0.230422500,0.231115500,0.191581500
0.260568000,0.229993500,0.273240000,0.264841500,0.226396500
0.293848500,0.255222000,0.312427500,0.295333500,0.258637500
0.328812000,0.282364500,0.350460000,0.325429500,0.289987500
0.368181000,0.315678000,0.389598000,0.357687000,0.321733500
0.413028000,0.357225000,0.430534500,0.392485500,0.354370500
0.462693000,0.406741500,0.473434500,0.429412500,0.387684000
0.515806500,0.462478500,0.517621500,0.468039000,0.420783000
0.569926500,0.521565000,0.561775500,0.506995500,0.453106500
0.622809000,0.580453500,0.604114500,0.543807000,0.483367500
0.671286000,0.635481000,0.642559500,0.576031500,0.510064500
0.713377500,0.683083500,0.675444000,0.602217000,0.531795000
0.747202500,0.721429500,0.701679000,0.621175500,0.548674500
0.772117500,0.749578500,0.721132500,0.632428500,0.559812000
0.788205000,0.768751500,0.733771500,0.636339000,0.566016000
0.796372500,0.779707500,0.740322000,0.634012500,0.567831000
0.797758500,0.784245000,0.741378000,0.626290500,0.565735500
0.792825000,0.783486000,0.738474000,0.613783500,0.560670000
0.782149500,0.777579000,0.732402000,0.597498000,0.553179000
0.766458000,0.767002500,0.723442500,0.578242500,0.543972000
0.746295000,0.752103000,0.711678000,0.556182000,0.532983000
0.722023500,0.732682500,0.697174500,0.531729000,0.520789500
0.693594000,0.709104000,0.680047500,0.504916500,0.507474000
0.661369500,0.681813000,0.660511500,0.476124000,0.493482000
0.626142000,0.650710500,0.638632500,0.445434000,0.478335000
0.588043500,0.617133000,0.614542500,0.413292000,0.461703000
0.547965000,0.581608500,0.588736500,0.379714500,0.443124000
0.506946000,0.545028000,0.561297000,0.345246000,0.422829000
0.465712500,0.507985500,0.531696000,0.310695000,0.401214000
