V1, V2, V3, V4, V5
48.913930000,48.498300000,48.814170000,47.080420000,49.403500000
48.905640000,48.550060000,48.866650000,47.060210000,49.321230000
48.895160000,48.596570000,48.921170000,47.070250000,49.227620000
48.874340000,48.628550000,48.967530000,47.107210000,49.118770000
48.836810000,48.638970000,48.998520000,47.166030000,48.994320000
48.779130000,48.624470000,49.010260000,47.239760000,48.858260000
48.700270000,48.585250000,49.002390000,47.320320000,48.717290000
48.600270000,48.522290000,48.977240000,47.398990000,48.576660000
48.478940000,48.434320000,48.937180000,47.465770000,48.436260000
48.334260000,48.315240000,48.881660000,47.508120000,48.288150000
48.161540000,48.154040000,48.805100000,47.510320000,48.116620000
47.952940000,47.936460000,48.695290000,47.454160000,47.900970000
47.698600000,47.647430000,48.534950000,47.320930000,47.619670000
47.388840000,47.273740000,48.306030000,47.094310000,47.254610000
47.016340000,46.806870000,47.993980000,46.764260000,46.795560000
46.578270000,46.246030000,47.590720000,46.329560000,46.243420000
46.077920000,45.599520000,47.096920000,45.797410000,45.611490000
45.525550000,44.884110000,46.522520000,45.181720000,44.923310000
44.936950000,44.122280000,45.885560000,44.501480000,44.208250000
44.330990000,43.338870000,45.209140000,43.778720000,43.496960000
43.727840000,42.559110000,44.518550000,43.035960000,42.817580000
43.146800000,41.806920000,43.838240000,42.294110000,42.192390000
42.604040000,41.102800000,43.188550000,41.571530000,41.635610000
42.110660000,40.461550000,42.582910000,40.883400000,41.151230000
41.671860000,39.891710000,42.026430000,40.241470000,40.732940000
41.286100000,39.395620000,41.517440000,39.653680000,40.365380000
40.946000000,38.969390000,41.049640000,39.124050000,40.027030000
40.639820000,38.603600000,40.613990000,38.652490000,39.694890000
40.353280000,38.284650000,40.200160000,38.234610000,39.347560000
40.071040000,37.996590000,39.798020000,37.862300000,38.967010000
39.778590000,37.722700000,39.398050000,37.524060000,38.540020000
39.463380000,37.447230000,38.991840000,37.205840000,38.058720000
39.115380000,37.156600000,38.572280000,36.891940000,37.519410000
38.727010000,36.839830000,38.133660000,36.566200000,36.921810000
