V1, V2, V3, V4, V5
1.053610000,0.793660000,-1.252300000,-0.905480000,0.253130000
1.286320000,0.847350000,-1.143080000,-0.783960000,0.383670000
1.533480000,0.915210000,-1.008910000,-0.625750000,0.528490000
1.786550000,0.991470000,-0.857820000,-0.440160000,0.680700000
2.037120000,1.070530000,-0.698070000,-0.235820000,0.833870000
2.277380000,1.147060000,-0.537510000,-0.019980000,0.982340000
2.500730000,1.216070000,-0.382760000,0.200970000,1.122380000
2.702510000,1.273650000,-0.238840000,0.421430000,1.252970000
2.880350000,1.318050000,-0.108220000,0.637030000,1.376240000
3.034160000,1.350360000,0.009850000,0.844830000,1.497020000
3.166070000,1.374520000,0.119140000,1.043320000,1.621970000
3.279850000,1.396250000,0.226100000,1.232490000,1.758690000
3.380370000,1.421960000,0.338470000,1.413070000,1.914540000
3.472890000,1.457890000,0.464130000,1.585800000,2.094850000
3.562570000,1.509220000,0.609950000,1.750510000,2.301780000
3.654160000,1.579190000,0.780880000,1.906590000,2.534650000
3.750990000,1.668780000,0.978680000,2.053540000,2.789580000
3.854300000,1.776460000,1.200790000,2.191010000,3.059920000
3.963400000,1.899040000,1.440790000,2.318850000,3.337060000
4.075990000,2.032580000,1.689700000,2.436850000,3.611480000
4.188180000,2.172880000,1.937280000,2.544850000,3.873730000
4.295090000,2.315200000,2.172650000,2.642670000,4.114520000
4.391370000,2.454670000,2.385380000,2.730320000,4.325410000
4.471740000,2.586810000,2.567370000,2.808580000,4.499730000
4.531550000,2.708010000,2.714290000,2.879200000,4.633790000
4.567660000,2.816120000,2.825560000,2.944670000,4.727320000
4.579110000,2.910330000,2.903780000,3.007290000,4.783640000
4.567360000,2.990900000,2.954060000,3.068350000,4.809580000
4.535360000,3.059150000,2.983110000,3.128020000,4.814320000
4.486820000,3.116880000,2.997850000,3.185050000,4.807210000
4.425690000,3.165950000,3.004660000,3.236790000,4.795980000
4.355670000,3.207840000,3.008840000,3.279480000,4.786110000
4.280170000,3.243330000,3.013860000,3.308810000,4.780690000
4.201720000,3.272230000,3.020950000,3.320810000,4.780800000
4.121570000,3.293670000,3.029190000,3.312870000,4.786090000
4.039810000,3.306580000,3.036440000,3.284080000,4.794970000
3.955770000,3.310290000,3.040130000,3.236050000,4.805340000
3.868260000,3.304930000,3.038360000,3.173250000,4.815250000
3.775660000,3.292000000,3.030550000,3.102680000,4.823020000
3.676820000,3.274310000,3.017170000,3.032400000,4.827710000
3.571780000,3.255560000,3.000030000,2.969720000,4.828950000
3.461980000,3.239740000,2.982400000,2.920690000,4.827220000
3.349870000,3.230250000,2.968260000,2.889920000,4.823750000
3.238490000,3.229820000,2.961760000,2.880200000,4.820350000
3.131160000,3.240140000,2.966580000,2.892440000,4.818980000
3.031150000,3.262160000,2.984940000,2.925390000,4.821210000
2.941320000,3.296070000,3.017010000,2.975940000,4.827920000
2.863870000,3.341740000,3.061160000,3.039270000,4.838820000
2.800140000,3.399020000,3.114750000,3.109900000,4.852590000
2.750420000,3.467160000,3.174280000,3.182080000,4.867580000
2.713920000,3.543730000,3.235310000,3.249750000,4.882390000
2.689000000,3.624200000,3.292920000,3.306690000,4.895730000
2.673400000,3.703120000,3.343220000,3.348050000,4.906650000
2.664380000,3.775340000,3.383750000,3.371460000,4.914760000
2.659060000,3.836590000,3.413590000,3.377130000,4.920650000
2.654960000,3.884610000,3.433500000,3.367660000,4.925770000
2.650260000,3.919480000,3.446040000,3.347210000,4.932230000
2.644300000,3.943410000,3.454830000,3.320660000,4.942630000
2.637580000,3.959740000,3.463710000,3.292900000,4.959960000
2.631650000,3.972870000,3.476320000,3.268260000,4.987160000
2.628630000,3.987390000,3.495510000,3.250320000,5.026640000
2.630950000,4.007790000,3.522880000,3.241720000,5.080210000
2.640820000,4.037710000,3.558990000,3.243480000,5.148480000
2.659980000,4.079400000,3.603780000,3.255330000,5.230450000
2.689850000,4.133620000,3.656820000,3.276050000,5.323230000
2.732020000,4.199820000,3.717170000,3.303800000,5.422960000
2.787800000,4.276330000,3.783480000,3.336380000,5.525470000
2.857790000,4.360790000,3.853980000,3.371390000,5.626630000
2.941750000,4.450440000,3.926610000,3.406070000,5.722730000
3.038530000,4.542520000,3.999110000,3.437780000,5.810900000
3.146290000,4.634080000,4.069060000,3.464350000,5.889570000
3.262930000,4.722420000,4.133950000,3.484250000,5.959060000
3.386210000,4.805250000,4.191580000,3.496860000,6.021070000
3.514120000,4.881110000,4.240470000,3.502820000,6.078440000
3.645360000,4.949600000,4.280010000,3.504230000,6.134850000
3.779360000,5.011600000,4.310490000,3.504340000,6.194670000
3.916420000,5.068710000,4.333070000,3.507020000,6.262330000
4.057900000,5.123190000,4.349530000,3.516100000,6.341670000
4.205740000,5.177550000,4.362260000,3.534430000,6.435230000
4.361970000,5.233970000,4.374260000,3.562660000,6.544060000
4.528100000,5.293540000,4.388460000,3.598700000,6.667610000
4.704630000,5.355660000,4.406940000,3.637610000,6.803230000
4.890270000,5.418050000,4.430460000,3.671830000,6.945970000
5.081610000,5.476660000,4.458280000,3.691820000,7.089530000
5.273090000,5.526070000,4.487620000,3.687590000,7.226700000
5.457360000,5.560280000,4.513600000,3.650510000,7.350520000
5.625860000,5.573340000,4.529660000,3.575150000,7.454480000
5.769840000,5.559800000,4.528810000,3.459980000,7.532620000
5.880690000,5.515020000,4.504500000,3.306500000,7.579060000
5.950300000,5.435300000,4.451290000,3.117480000,7.588120000
5.971700000,5.318010000,4.365270000,2.895400000,7.554090000
5.939370000,5.161980000,4.244060000,2.641280000,7.471340000
5.849990000,4.967890000,4.086590000,2.355660000,7.335460000
5.703310000,4.738330000,3.893120000,2.039780000,7.144370000
5.503000000,4.477480000,3.665250000,1.696750000,6.899200000
5.256420000,4.190880000,3.406030000,1.332610000,6.604100000
4.973670000,3.884960000,3.120060000,0.956720000,6.266140000
4.666100000,3.567000000,2.813770000,0.581660000,5.894870000
4.345640000,3.245130000,2.495170000,0.222300000,5.501900000
4.024910000,2.928550000,2.174060000,-0.105980000,5.099990000
3.716180000,2.626830000,1.861680000,-0.389380000,4.702220000
