V1, V2, V3, V4, V5
1.365850000,1.260230000,1.403470000,0.770970000,1.152570000
1.307610000,1.133440000,1.269690000,0.710980000,1.073530000
1.260620000,1.033040000,1.150670000,0.613950000,1.027050000
1.236240000,0.978560000,1.062590000,0.503660000,1.014240000
1.240060000,0.977550000,1.013270000,0.399970000,1.029180000
1.272650000,1.026110000,1.002870000,0.316720000,1.062410000
1.332420000,1.113320000,1.027200000,0.263690000,1.106130000
1.419150000,1.228120000,1.083610000,0.248450000,1.159970000
1.536310000,1.362790000,1.173410000,0.277270000,1.232970000
1.690340000,1.512370000,1.300200000,0.353890000,1.340790000
1.886390000,1.671960000,1.467170000,0.477830000,1.499870000
2.124920000,1.836550000,1.674130000,0.644190000,1.721120000
2.399560000,2.003230000,1.916870000,0.845230000,2.005660000
2.697810000,2.172150000,2.186890000,1.072970000,2.343580000
3.002750000,2.345920000,2.471840000,1.320710000,2.714720000
3.295270000,2.528120000,2.756600000,1.582790000,3.091150000
3.557510000,2.721690000,3.027300000,1.854720000,3.444380000
3.775930000,2.927810000,3.274820000,2.133710000,3.752210000
3.942710000,3.145810000,3.495890000,2.417340000,4.003600000
4.057660000,3.373320000,3.690860000,2.703720000,4.199000000
4.127760000,3.607510000,3.862690000,2.991840000,4.348000000
4.165060000,3.845790000,4.017150000,3.281780000,4.466240000
4.183980000,4.085890000,4.161780000,3.573970000,4.571040000
4.199550000,4.325710000,4.304220000,3.866530000,4.679030000
4.224770000,4.561920000,4.450590000,4.155440000,4.803110000
4.269410000,4.789890000,4.603940000,4.435390000,4.950390000
4.338260000,5.004210000,4.764470000,4.700720000,5.121810000
4.430870000,5.199740000,4.930540000,4.946300000,5.311880000
4.543900000,5.371980000,5.100300000,5.168310000,5.509920000
4.672730000,5.518100000,5.270800000,5.364730000,5.703650000
4.811900000,5.637020000,5.438220000,5.535610000,5.882000000
4.954430000,5.729200000,5.597200000,5.682180000,6.036600000
5.091830000,5.795920000,5.742280000,5.805770000,6.161830000
