V1, V2, V3, V4, V5
1.426290000,6.419050000,1.030940000,6.557640000,1.895640000
1.048230000,5.961720000,1.006890000,6.309920000,1.486970000
0.804770000,5.354770000,0.958220000,6.027400000,1.217030000
0.706950000,4.639330000,0.898380000,5.721100000,1.130010000
0.753050000,3.862410000,0.843240000,5.395200000,1.254150000
0.929480000,3.076460000,0.808750000,5.050990000,1.594910000
1.208840000,2.335710000,0.804860000,4.690960000,2.122320000
1.545310000,1.685910000,0.828350000,4.319830000,2.763530000
1.875520000,1.155540000,0.860720000,3.944320000,3.410210000
2.127520000,0.752680000,0.873650000,3.571760000,3.939270000
2.236770000,0.467230000,0.839070000,3.209970000,4.242420000
2.161390000,0.275430000,0.735890000,2.864410000,4.251490000
1.892060000,0.143220000,0.555050000,2.537000000,3.951720000
1.451340000,0.031180000,0.300140000,2.224770000,3.380540000
0.885690000,-0.099400000,-0.013570000,1.921220000,2.615640000
0.253370000,-0.281220000,-0.365580000,1.617330000,1.753560000
-0.389040000,-0.540380000,-0.741530000,1.299290000,0.885000000
-0.997700000,-0.896020000,-1.138000000,0.947290000,0.075770000
-1.549250000,-1.360310000,-1.562560000,0.538480000,-0.643190000
-2.042230000,-1.936940000,-2.027130000,0.050430000,-1.273600000
-2.489660000,-2.620480000,-2.542310000,-0.533330000,-1.839570000
-2.910520000,-3.393440000,-3.111540000,-1.218060000,-2.373360000
-3.320440000,-4.227110000,-3.728380000,-1.994030000,-2.900670000
-3.727010000,-5.086960000,-4.379090000,-2.833130000,-3.434260000
-4.127730000,-5.933740000,-5.043000000,-3.695690000,-3.973540000
-4.514250000,-6.728710000,-5.693220000,-4.538870000,-4.505780000
-4.878040000,-7.439550000,-6.300920000,-5.324930000,-5.014410000
-5.214890000,-8.046140000,-6.842940000,-6.026600000,-5.486450000
-5.527240000,-8.543060000,-7.308660000,-6.632170000,-5.915140000
-5.822360000,-8.938310000,-7.698360000,-7.144640000,-6.299050000
-6.108640000,-9.248730000,-8.022540000,-7.577720000,-6.638870000
-6.389820000,-9.493940000,-8.297270000,-7.949930000,-6.935710000
-6.662710000,-9.691440000,-8.539860000,-8.278170000,-7.189880000
-6.920130000,-9.854130000,-8.765000000,-8.573590000,-7.400280000
-7.155240000,-9.990330000,-8.982180000,-8.839500000,-7.563420000
-7.360460000,-10.103650000,-9.194910000,-9.073420000,-7.676640000
-7.530260000,-10.194760000,-9.401340000,-9.271630000,-7.741050000
-7.662960000,-10.262450000,-9.595170000,-9.434140000,-7.758960000
-7.760960000,-10.306140000,-9.768560000,-9.564640000,-7.731870000
-7.828540000,-10.327310000,-9.915510000,-9.669330000,-7.663830000
-7.871320000,-10.329360000,-10.034420000,-9.752020000,-7.562950000
-7.895520000,-10.315110000,-10.127610000,-9.815780000,-7.442060000
-7.905650000,-10.286280000,-10.200340000,-9.861520000,-7.315360000
-7.906360000,-10.243590000,-10.257910000,-9.887520000,-7.193670000
-7.902630000,-10.187350000,-10.305080000,-9.890990000,-7.083150000
-7.899250000,-10.116410000,-10.344390000,-9.868620000,-6.987710000
-7.900770000,-10.029910000,-10.377170000,-9.817590000,-6.909180000
-7.911550000,-9.928110000,-10.402300000,-9.736020000,-6.846520000
-7.932800000,-9.813670000,-10.418540000,-9.626500000,-6.796850000
-7.963010000,-9.692930000,-10.424890000,-9.499540000,-6.759200000
-7.999070000,-9.575230000,-10.419850000,-9.367740000,-6.732270000
-8.038050000,-9.469050000,-10.401490000,-9.242690000,-6.713390000
-8.076800000,-9.379570000,-10.367980000,-9.134600000,-6.699010000
-8.113420000,-9.308130000,-10.316980000,-9.050780000,-6.686720000
-8.147080000,-9.251420000,-10.246520000,-8.994630000,-6.673070000
-8.177410000,-9.202600000,-10.157510000,-8.965060000,-6.654250000
-8.203380000,-9.150570000,-10.052720000,-8.954860000,-6.626890000
-8.224890000,-9.083910000,-9.936380000,-8.954550000,-6.587140000
-8.238430000,-8.996440000,-9.811370000,-8.953650000,-6.531200000
-8.238740000,-8.885680000,-9.678590000,-8.942480000,-6.455100000
-8.220210000,-8.751240000,-9.538020000,-8.915190000,-6.356230000
-8.175400000,-8.593160000,-9.388630000,-8.870550000,-6.235380000
-8.096480000,-8.410870000,-9.230320000,-8.810690000,-6.095510000
-7.979200000,-8.204810000,-9.062990000,-8.736670000,-5.937580000
-7.824770000,-7.976830000,-8.886480000,-8.648450000,-5.758470000
-7.637240000,-7.731080000,-8.701620000,-8.547770000,-5.551700000
-7.420620000,-7.471520000,-8.508710000,-8.438770000,-5.310900000
-7.178870000,-7.200960000,-8.307850000,-8.325740000,-5.032420000
-6.914530000,-6.920740000,-8.097990000,-8.211150000,-4.717420000
-6.628220000,-6.631690000,-7.878390000,-8.094510000,-4.372090000
