V1, V2, V3, V4, V5
53.421730000,55.189940000,54.617940000,54.988850000,54.075370000
53.151310000,54.866130000,54.520340000,54.804520000,53.932620000
52.887390000,54.532040000,54.401620000,54.595220000,53.775500000
52.638110000,54.189050000,54.257480000,54.358130000,53.597130000
52.414240000,53.840670000,54.087620000,54.095970000,53.395200000
52.227910000,53.494110000,53.896110000,53.818380000,53.172890000
52.091400000,53.159550000,53.690830000,53.541760000,52.938370000
52.014930000,52.846170000,53.481670000,53.286060000,52.702790000
52.002410000,52.557470000,53.276500000,53.066600000,52.476650000
52.047030000,52.289600000,53.076730000,52.886550000,52.266160000
52.129530000,52.030610000,52.874710000,52.733990000,52.070290000
52.220210000,51.761140000,52.654780000,52.585750000,51.880290000
52.283070000,51.457030000,52.396230000,52.413510000,51.680500000
52.280470000,51.094230000,52.076140000,52.187910000,51.449720000
52.178340000,50.653920000,51.673960000,51.882200000,51.164030000
51.953240000,50.126760000,51.175930000,51.474550000,50.801300000
51.596970000,49.515050000,50.578510000,50.952810000,50.346830000
51.115780000,48.833190000,49.888770000,50.318670000,49.796290000
50.527820000,48.107570000,49.122960000,49.587110000,49.155870000
49.860830000,47.373300000,48.306820000,48.784370000,48.441390000
49.146880000,46.666550000,47.470870000,47.944490000,47.677700000
48.418840000,46.018260000,46.645010000,47.103460000,46.895900000
47.706040000,45.451450000,45.857760000,46.295370000,46.127200000
47.028720000,44.978000000,45.134890000,45.548920000,45.399480000
46.397680000,44.595280000,44.494970000,44.883190000,44.735200000
45.815420000,44.287360000,43.944980000,44.305230000,44.148480000
45.278040000,44.027960000,43.480230000,43.810550000,43.642690000
44.778090000,43.784550000,43.087820000,43.387250000,43.210020000
44.303870000,43.521950000,42.749780000,43.017750000,42.834970000
43.839190000,43.206210000,42.444520000,42.680620000,42.498420000
43.366360000,42.810790000,42.148070000,42.353240000,42.179040000
42.871510000,42.321950000,41.837540000,42.014420000,41.854000000
42.348660000,41.740430000,41.496140000,41.649830000,41.501240000
41.799420000,41.080190000,41.114230000,41.253770000,41.102970000
41.229950000,40.363640000,40.689330000,40.826210000,40.648800000
40.647560000,39.616880000,40.223970000,40.369540000,40.136580000
40.058620000,38.865990000,39.724030000,39.888110000,39.572000000
39.467800000,38.132920000,39.196000000,39.387590000,38.965620000
38.877840000,37.432260000,38.645690000,38.873950000,38.328140000
38.289070000,36.769650000,38.078410000,38.352410000,37.668610000
37.700290000,36.143600000,37.498440000,37.825710000,36.994670000
37.110440000,35.550310000,36.908810000,37.293890000,36.312440000
36.518420000,34.986370000,36.311850000,36.755930000,35.625720000
35.923850000,34.445990000,35.709250000,36.211000000,34.936600000
35.327730000,33.921530000,35.102230000,35.658690000,34.247230000
34.732030000,33.405410000,34.491590000,35.099690000,33.560400000
34.137270000,32.890870000,33.878700000,34.535160000,32.878740000
33.541530000,32.372400000,33.265470000,33.965530000,32.204290000
32.943430000,31.846630000,32.653940000,33.390250000,31.538840000
32.345240000,31.311330000,32.045910000,32.808290000,30.884540000
31.750890000,30.765930000,31.443300000,32.218640000,30.243800000
31.163880000,30.212220000,30.847930000,31.621110000,29.618680000
30.586820000,29.653670000,30.260980000,31.017070000,29.010610000
30.020950000,29.093930000,29.682350000,30.409670000,28.420060000
29.466790000,28.536300000,29.111220000,29.803850000,27.846400000
28.923700000,27.983310000,28.546940000,29.205180000,27.288120000
28.389490000,27.437250000,27.990560000,28.619340000,26.743050000
27.861790000,26.899900000,27.444760000,28.051270000,26.208880000
27.339620000,26.371980000,26.912680000,27.504860000,25.683650000
26.822180000,25.853520000,26.396820000,26.982280000,25.166160000
26.308220000,25.345030000,25.898770000,26.483610000,24.656180000
25.797510000,24.847820000,25.419370000,26.007030000,24.154260000
25.291710000,24.363570000,24.959440000,25.549230000,23.660950000
24.794020000,23.893790000,24.520040000,25.105720000,23.176470000
24.308710000,23.438990000,24.102660000,24.671530000,22.700230000
23.840350000,22.998870000,23.708420000,24.243010000,22.231480000
23.391970000,22.572540000,23.337430000,23.817500000,21.769650000
22.964290000,22.159220000,22.988340000,23.393370000,21.314540000
22.555820000,21.757720000,22.658530000,22.969930000,20.866460000
22.163900000,21.366890000,22.344710000,22.548090000,20.426190000
21.785790000,20.985360000,22.043130000,22.129830000,19.994300000
21.418930000,20.611390000,21.749880000,21.717280000,19.570610000
21.060770000,20.243420000,21.460970000,21.312520000,19.154520000
20.709420000,19.880340000,21.173120000,20.917770000,18.745620000
20.364300000,19.522150000,20.884100000,20.535830000,18.344330000
20.026770000,19.169780000,20.592890000,20.169080000,17.952370000
19.700100000,18.824940000,20.300200000,19.819500000,17.572610000
19.389260000,18.490850000,20.008840000,19.489340000,17.209130000
19.100690000,18.172210000,19.723290000,19.182030000,16.867200000
18.841190000,17.874680000,19.449520000,18.901790000,16.553090000
18.616290000,17.603730000,19.194630000,18.652620000,16.273130000
18.429740000,17.364100000,18.965560000,18.437770000,16.032740000
18.282740000,17.158560000,18.767700000,18.259110000,15.835380000
18.173610000,16.987130000,18.603620000,18.116730000,15.682250000
18.098360000,16.848470000,18.472960000,18.009130000,15.572680000
18.052770000,16.741710000,18.373460000,17.934160000,15.505250000
18.035120000,16.669200000,18.303590000,17.890640000,15.478950000
18.048400000,16.636140000,18.264950000,17.879680000,15.494910000
18.099800000,16.650370000,18.262870000,17.906150000,15.556670000
18.199590000,16.720680000,18.306390000,17.979190000,15.670580000
18.358830000,16.854890000,18.406920000,18.110660000,15.845170000
18.588000000,17.060080000,18.576430000,18.312180000,16.090000000
18.896560000,17.343390000,18.826190000,18.595130000,16.414000000
19.292110000,17.710860000,19.165900000,18.970560000,16.824160000
19.779400000,18.168200000,19.603060000,19.448250000,17.324910000
20.360870000,18.721650000,20.142100000,20.035570000,17.917520000
21.036330000,19.376260000,20.785090000,20.737150000,18.600290000
21.804240000,20.134950000,21.532730000,21.554760000,19.369410000
22.663370000,20.997560000,22.384860000,22.486750000,20.219580000
23.612290000,21.961310000,23.339630000,23.528880000,21.145230000
24.649770000,23.021470000,24.393550000,24.674840000,22.141310000
