V1, V2, V3, V4, V5
-11.416980000,-14.579990000,-13.873760000,-13.665870000,-18.866980000
-11.733270000,-14.191100000,-13.622030000,-13.377720000,-18.424230000
-12.108900000,-13.809830000,-13.306230000,-13.047680000,-17.819870000
-12.528810000,-13.467920000,-12.943890000,-12.692990000,-17.067830000
-12.975900000,-13.196670000,-12.560990000,-12.339500000,-16.198100000
-13.433270000,-13.024170000,-12.192100000,-12.022330000,-15.255150000
-13.886070000,-12.970220000,-11.878360000,-11.783510000,-14.294760000
-14.319800000,-13.037290000,-11.660080000,-11.662970000,-13.376610000
-14.714280000,-13.203920000,-11.566040000,-11.685410000,-12.554580000
-15.041850000,-13.428790000,-11.607130000,-11.850690000,-11.869420000
-15.271360000,-13.661550000,-11.776290000,-12.132220000,-11.343230000
-15.376810000,-13.854490000,-12.050650000,-12.486590000,-10.978370000
-15.346180000,-13.970180000,-12.395010000,-12.864260000,-10.760890000
-15.185090000,-13.985750000,-12.766220000,-13.216200000,-10.664910000
-14.915390000,-13.894490000,-13.119330000,-13.501110000,-10.658370000
-14.570360000,-13.705100000,-13.414590000,-13.689010000,-10.709100000
-14.186380000,-13.438150000,-13.623710000,-13.762680000,-10.788570000
-13.794850000,-13.119220000,-13.731600000,-13.717140000,-10.873700000
-13.417890000,-12.773900000,-13.733300000,-13.557570000,-10.947590000
-13.069900000,-12.424400000,-13.632720000,-13.296810000,-10.998870000
-12.757180000,-12.086270000,-13.440970000,-12.953640000,-11.020770000
-12.478200000,-11.766780000,-13.174420000,-12.548730000,-11.011050000
-12.224200000,-11.463990000,-12.852340000,-12.100230000,-10.971490000
-11.979360000,-11.168030000,-12.492900000,-11.622800000,-10.906360000
-11.725990000,-10.865770000,-12.109010000,-11.127900000,-10.820190000
-11.450840000,-10.545860000,-11.706730000,-10.624660000,-10.716000000
-11.147470000,-10.200540000,-11.287950000,-10.121540000,-10.593060000
-10.817140000,-9.827540000,-10.855460000,-9.628150000,-10.446040000
-10.464590000,-9.430330000,-10.415440000,-9.155300000,-10.267290000
-10.095330000,-9.014620000,-9.978760000,-8.714350000,-10.051490000
-9.716360000,-8.589120000,-9.559490000,-8.315890000,-9.796870000
-9.337480000,-8.167150000,-9.173710000,-7.970870000,-9.504980000
-8.971470000,-7.765610000,-8.836720000,-7.690120000,-9.180730000
-8.632280000,-7.402560000,-8.559750000,-7.482040000,-8.832680000
-8.333880000,-7.093120000,-8.348730000,-7.350280000,-8.474010000
-8.087570000,-6.846720000,-8.205470000,-7.292180000,-8.122330000
-7.898340000,-6.665330000,-8.128660000,-7.299340000,-7.797440000
-7.762960000,-6.543030000,-8.111180000,-7.359080000,-7.517070000
-7.670750000,-6.469230000,-8.138460000,-7.455370000,-7.293690000
-7.605510000,-6.430300000,-8.191750000,-7.570010000,-7.133460000
-7.547020000,-6.409940000,-8.252530000,-7.684720000,-7.033440000
-7.474130000,-6.392090000,-8.304670000,-7.783310000,-6.982590000
-7.367380000,-6.362080000,-8.333610000,-7.853030000,-6.965460000
-7.211780000,-6.307340000,-8.325930000,-7.885680000,-6.964750000
-6.999180000,-6.219180000,-8.269430000,-7.877380000,-6.962690000
-6.730550000,-6.095210000,-8.154850000,-7.828050000,-6.942000000
-6.415860000,-5.937530000,-7.978170000,-7.741240000,-6.887950000
-6.072630000,-5.751400000,-7.741840000,-7.623910000,-6.789810000
-5.719190000,-5.544330000,-7.454610000,-7.485060000,-6.640890000
-5.369410000,-5.324260000,-7.127870000,-7.333460000,-6.437450000
-5.031770000,-5.098230000,-6.773340000,-7.176330000,-6.179080000
-4.710890000,-4.871250000,-6.402500000,-7.017470000,-5.869960000
-4.409560000,-4.645940000,-6.024940000,-6.856680000,-5.518480000
-4.127730000,-4.422350000,-5.647180000,-6.690450000,-5.136040000
-3.862220000,-4.197840000,-5.273310000,-6.514000000,-4.734490000
-3.607700000,-3.968830000,-4.905740000,-6.323780000,-4.323230000
-3.360040000,-3.733600000,-4.544380000,-6.117980000,-3.908810000
-3.117360000,-3.493310000,-4.187930000,-5.896000000,-3.495190000
-2.880430000,-3.251040000,-3.834770000,-5.658090000,-3.085120000
-2.652270000,-3.009950000,-3.484610000,-5.404630000,-2.680660000
-2.437220000,-2.773680000,-3.138730000,-5.137300000,-2.284070000
-2.239220000,-2.546960000,-2.799840000,-4.858310000,-1.898670000
-2.061040000,-2.334560000,-2.472070000,-4.569210000,-1.528420000
-1.904390000,-2.139540000,-2.159600000,-4.271480000,-1.176740000
-1.770640000,-1.963680000,-1.866400000,-3.968680000,-0.846460000
-1.659000000,-1.808130000,-1.596010000,-3.668020000,-0.540150000
-1.566950000,-1.673390000,-1.350120000,-3.379020000,-0.261290000
-1.492270000,-1.559820000,-1.128760000,-3.110600000,-0.014810000
-1.433370000,-1.467670000,-0.931240000,-2.869620000,0.192600000
-1.387410000,-1.396940000,-0.757790000,-2.660830000,0.353080000
-1.349260000,-1.346710000,-0.609730000,-2.486150000,0.462130000
-1.313600000,-1.314330000,-0.487620000,-2.345230000,0.521500000
-1.275920000,-1.296290000,-0.390860000,-2.234780000,0.537720000
-1.232030000,-1.288640000,-0.317290000,-2.149090000,0.519800000
-1.176910000,-1.287040000,-0.262970000,-2.081290000,0.477080000
-1.106070000,-1.286420000,-0.222610000,-2.023020000,0.417550000
-1.016760000,-1.281320000,-0.190730000,-1.965700000,0.347970000
-0.908210000,-1.266120000,-0.162540000,-1.901200000,0.275270000
-0.779900000,-1.235670000,-0.133670000,-1.822390000,0.207470000
-0.631210000,-1.186120000,-0.100040000,-1.722880000,0.152520000
-0.463390000,-1.116010000,-0.056870000,-1.597190000,0.116770000
-0.280160000,-1.027060000,0.000260000,-1.443760000,0.103080000
-0.087570000,-0.923380000,0.073140000,-1.264950000,0.109910000
0.104630000,-0.812400000,0.158530000,-1.066580000,0.130780000
0.281190000,-0.706950000,0.247840000,-0.858640000,0.155360000
0.422880000,-0.623550000,0.328630000,-0.655700000,0.170600000
0.508570000,-0.579570000,0.387480000,-0.476890000,0.163040000
0.519690000,-0.590370000,0.412430000,-0.343780000,0.119310000
0.443650000,-0.667500000,0.394700000,-0.278450000,0.027990000
0.274370000,-0.818210000,0.328830000,-0.299160000,-0.117210000
0.011330000,-1.045380000,0.211150000,-0.415590000,-0.316270000
-0.339860000,-1.346280000,0.038610000,-0.628510000,-0.564250000
-0.767300000,-1.712120000,-0.189250000,-0.933110000,-0.853390000
-1.256510000,-2.129400000,-0.468440000,-1.321170000,-1.173920000
-1.791840000,-2.582510000,-0.791800000,-1.781660000,-1.513470000
-2.357170000,-3.055760000,-1.148970000,-2.300680000,-1.857890000
-2.936600000,-3.534840000,-1.527440000,-2.861380000,-2.193950000
-3.514320000,-4.005270000,-1.913850000,-3.444300000,-2.510960000
-4.074690000,-4.452450000,-2.296430000,-4.029120000,-2.801620000
-4.600910000,-4.861970000,-2.666060000,-4.596960000,-3.061380000
-5.075630000,-5.221230000,-3.016400000,-5.132050000,-3.287930000
