V1, V2, V3, V4, V5
-0.016665000,-0.019800000,-0.019635000,-0.010560000,-0.025080000
-0.035475000,-0.041415000,-0.040260000,-0.027390000,-0.046695000
-0.060390000,-0.069630000,-0.067485000,-0.049995000,-0.074085000
-0.091575000,-0.103950000,-0.100815000,-0.077385000,-0.106590000
-0.127875000,-0.142395000,-0.138600000,-0.107910000,-0.142890000
-0.167145000,-0.182160000,-0.178365000,-0.139095000,-0.180015000
-0.207240000,-0.220770000,-0.217470000,-0.169290000,-0.215820000
-0.245520000,-0.255750000,-0.253770000,-0.197175000,-0.248325000
-0.280170000,-0.285450000,-0.285450000,-0.222090000,-0.275880000
-0.309705000,-0.308550000,-0.310860000,-0.243540000,-0.297165000
-0.332805000,-0.324225000,-0.329175000,-0.261525000,-0.312015000
-0.348645000,-0.332640000,-0.340560000,-0.275550000,-0.320265000
-0.357060000,-0.334455000,-0.345345000,-0.286110000,-0.322575000
-0.358380000,-0.330825000,-0.344850000,-0.293370000,-0.319605000
-0.352770000,-0.322740000,-0.339900000,-0.297495000,-0.312015000
-0.341220000,-0.311355000,-0.331815000,-0.298980000,-0.300465000
-0.324555000,-0.297660000,-0.321420000,-0.297990000,-0.284955000
-0.303435000,-0.282480000,-0.309540000,-0.295020000,-0.266145000
-0.278685000,-0.265980000,-0.296835000,-0.290235000,-0.243870000
-0.251295000,-0.248490000,-0.283635000,-0.283635000,-0.218295000
-0.221430000,-0.230175000,-0.270105000,-0.275385000,-0.189090000
-0.189585000,-0.210870000,-0.256245000,-0.265320000,-0.156255000
-0.155925000,-0.190410000,-0.241890000,-0.253110000,-0.119955000
-0.120615000,-0.168300000,-0.226710000,-0.238425000,-0.080190000
-0.083820000,-0.144705000,-0.210375000,-0.220770000,-0.037620000
-0.045870000,-0.119295000,-0.193050000,-0.200310000,0.007260000
-0.007095000,-0.092400000,-0.174405000,-0.176715000,0.053295000
0.031845000,-0.063855000,-0.154275000,-0.150150000,0.099660000
0.070455000,-0.034155000,-0.133155000,-0.120780000,0.145200000
0.108075000,-0.003300000,-0.110880000,-0.088935000,0.189255000
0.144540000,0.028545000,-0.087615000,-0.054780000,0.231165000
0.179520000,0.061215000,-0.063690000,-0.018645000,0.270600000
0.213015000,0.094875000,-0.038940000,0.019305000,0.307395000
0.245025000,0.129195000,-0.013365000,0.058410000,0.341715000
0.275550000,0.164340000,0.012870000,0.098505000,0.373560000
0.304920000,0.200145000,0.039930000,0.139425000,0.403095000
0.332805000,0.236445000,0.067980000,0.180675000,0.430650000
0.359535000,0.272910000,0.097020000,0.222420000,0.456555000
0.385275000,0.309705000,0.127215000,0.264165000,0.481140000
0.410025000,0.346335000,0.158730000,0.305745000,0.504900000
0.434115000,0.382800000,0.191400000,0.347160000,0.528165000
0.457545000,0.418935000,0.225390000,0.388245000,0.551595000
0.480645000,0.454905000,0.260700000,0.429000000,0.575520000
0.503745000,0.490710000,0.297495000,0.469095000,0.600600000
0.527010000,0.526185000,0.335445000,0.508860000,0.627165000
0.550770000,0.561660000,0.374880000,0.547965000,0.655875000
0.575355000,0.596970000,0.415305000,0.586575000,0.686730000
0.601095000,0.632610000,0.457050000,0.624690000,0.720225000
0.628155000,0.668415000,0.499785000,0.661980000,0.756195000
0.656700000,0.704715000,0.543840000,0.698610000,0.794640000
0.687060000,0.741510000,0.589050000,0.734580000,0.835230000
0.719070000,0.778800000,0.635415000,0.769890000,0.877635000
0.752895000,0.816750000,0.682935000,0.804705000,0.921195000
0.788370000,0.855195000,0.731610000,0.838860000,0.965250000
0.825660000,0.894135000,0.781275000,0.872355000,1.009305000
0.864270000,0.933405000,0.831765000,0.905190000,1.052535000
0.904365000,0.972840000,0.883080000,0.937365000,1.094445000
0.945615000,1.012605000,0.934725000,0.968715000,1.134705000
0.987690000,1.052535000,0.986535000,0.999240000,1.172985000
1.030590000,1.092465000,1.037850000,1.029105000,1.209285000
1.073655000,1.132395000,1.088505000,1.058310000,1.243440000
1.116720000,1.172160000,1.137840000,1.086525000,1.275780000
1.159290000,1.211595000,1.185360000,1.113750000,1.306305000
1.200870000,1.250700000,1.230900000,1.139985000,1.335180000
1.241295000,1.289145000,1.273800000,1.164900000,1.362240000
1.280070000,1.326435000,1.314060000,1.188495000,1.387485000
1.317030000,1.362405000,1.351185000,1.210605000,1.411080000
1.351845000,1.396725000,1.385175000,1.231395000,1.432860000
1.384515000,1.428900000,1.415865000,1.250535000,1.452495000
1.414875000,1.458600000,1.443585000,1.268355000,1.470150000
1.442760000,1.485495000,1.467840000,1.284690000,1.485495000
1.468005000,1.509420000,1.488960000,1.299540000,1.498365000
1.490445000,1.529715000,1.506945000,1.313070000,1.508595000
1.509915000,1.546380000,1.521465000,1.325115000,1.515855000
1.526250000,1.559085000,1.532685000,1.335840000,1.519815000
1.538955000,1.567500000,1.540275000,1.344585000,1.519980000
1.547535000,1.570965000,1.544070000,1.351350000,1.516020000
1.551000000,1.568985000,1.543740000,1.355310000,1.507605000
1.548690000,1.561230000,1.538955000,1.355640000,1.493910000
1.539780000,1.546545000,1.528890000,1.351350000,1.474440000
1.522785000,1.524435000,1.513215000,1.341450000,1.448700000
1.497045000,1.494075000,1.490775000,1.324620000,1.415865000
1.461570000,1.454640000,1.460910000,1.299870000,1.375275000
1.415535000,1.405305000,1.422300000,1.266045000,1.326600000
1.358445000,1.345740000,1.374120000,1.222650000,1.269180000
1.289805000,1.275780000,1.315545000,1.169025000,1.202850000
1.210110000,1.195425000,1.246080000,1.105005000,1.127610000
1.119855000,1.105335000,1.165560000,1.031085000,1.043955000
1.020195000,1.006500000,1.074645000,0.947925000,0.952710000
0.912945000,0.900900000,0.974325000,0.857010000,0.855030000
0.800745000,0.790350000,0.866745000,0.760155000,0.753060000
0.686400000,0.677820000,0.754545000,0.660000000,0.648945000
0.573045000,0.566280000,0.640530000,0.559020000,0.545490000
0.464145000,0.458700000,0.528495000,0.460515000,0.445665000
0.362670000,0.358380000,0.421905000,0.367455000,0.352440000
0.271260000,0.267630000,0.323730000,0.282645000,0.268125000
0.192060000,0.188430000,0.236775000,0.208395000,0.194700000
0.125730000,0.121935000,0.163020000,0.145695000,0.133320000
0.072765000,0.068640000,0.102960000,0.094545000,0.084150000
0.032175000,0.027885000,0.056265000,0.054285000,0.046035000
0.002475000,-0.001650000,0.021450000,0.023265000,0.017820000
