V1, V2, V3, V4, V5
0.011220000,0.014355000,0.022440000,0.010890000,0.055110000
0.008085000,0.019470000,0.018645000,0.015345000,0.057915000
0.006600000,0.028545000,0.017490000,0.022605000,0.061545000
0.007425000,0.040920000,0.019140000,0.032670000,0.066330000
0.010065000,0.054780000,0.022935000,0.043725000,0.070785000
0.014520000,0.068145000,0.027720000,0.053955000,0.073755000
0.020295000,0.080520000,0.033330000,0.063195000,0.074085000
0.028710000,0.094050000,0.040755000,0.073755000,0.073260000
0.043560000,0.113190000,0.053130000,0.090090000,0.075735000
0.069465000,0.140910000,0.072600000,0.115995000,0.086130000
0.106920000,0.178530000,0.100980000,0.151800000,0.108240000
0.154605000,0.225720000,0.137445000,0.195525000,0.142395000
0.209385000,0.280830000,0.180345000,0.245520000,0.186450000
0.268785000,0.341055000,0.228030000,0.299310000,0.237765000
0.330660000,0.402270000,0.279675000,0.354915000,0.293040000
0.392865000,0.461010000,0.332310000,0.409530000,0.349965000
0.453255000,0.514635000,0.383625000,0.460845000,0.405735000
0.509520000,0.561165000,0.430815000,0.507540000,0.458700000
0.559020000,0.600105000,0.472395000,0.548130000,0.507540000
0.600270000,0.630960000,0.507705000,0.582120000,0.550935000
0.633600000,0.653895000,0.537240000,0.609345000,0.588060000
0.660165000,0.670065000,0.561825000,0.630795000,0.618585000
0.681780000,0.681450000,0.582285000,0.647460000,0.643170000
0.699270000,0.689370000,0.599775000,0.660990000,0.662970000
0.713625000,0.695145000,0.615450000,0.672210000,0.679140000
0.724515000,0.698940000,0.630300000,0.682110000,0.692670000
0.732765000,0.701085000,0.644325000,0.690525000,0.704220000
0.738375000,0.701250000,0.658020000,0.698115000,0.713955000
0.742005000,0.699435000,0.671220000,0.705045000,0.722370000
0.743655000,0.695475000,0.683100000,0.711315000,0.728970000
0.742995000,0.689535000,0.693330000,0.716430000,0.734580000
0.740190000,0.682275000,0.701580000,0.720225000,0.739035000
0.734910000,0.673530000,0.707025000,0.722370000,0.742170000
0.726825000,0.663960000,0.709665000,0.722040000,0.743325000
0.716100000,0.653235000,0.709830000,0.719070000,0.742335000
0.703725000,0.642840000,0.707520000,0.713295000,0.738870000
0.690195000,0.632775000,0.703560000,0.704385000,0.733260000
0.675840000,0.623535000,0.698280000,0.693330000,0.725670000
0.660825000,0.614625000,0.692340000,0.680295000,0.716595000
0.645645000,0.606045000,0.685905000,0.665940000,0.706035000
0.631125000,0.597465000,0.679140000,0.650760000,0.694650000
0.617265000,0.588885000,0.671880000,0.635415000,0.682605000
0.604065000,0.580635000,0.663960000,0.619740000,0.670560000
0.591195000,0.572880000,0.655380000,0.604065000,0.658185000
0.578655000,0.565455000,0.646635000,0.588555000,0.645810000
0.566610000,0.558855000,0.637560000,0.573705000,0.633765000
0.555060000,0.553080000,0.628815000,0.559845000,0.622215000
0.544170000,0.548460000,0.620400000,0.547635000,0.610995000
0.534600000,0.545490000,0.612150000,0.536745000,0.600765000
0.526845000,0.544170000,0.604890000,0.527835000,0.591525000
0.520410000,0.544170000,0.598290000,0.520905000,0.583770000
0.515295000,0.545490000,0.593010000,0.516450000,0.577665000
0.511500000,0.548460000,0.589545000,0.514470000,0.573210000
0.509685000,0.552750000,0.588225000,0.515130000,0.570900000
0.509355000,0.557370000,0.588720000,0.517935000,0.570240000
0.510345000,0.563145000,0.591360000,0.523215000,0.571230000
0.512985000,0.569745000,0.595320000,0.530145000,0.573870000
0.516615000,0.577005000,0.600435000,0.538065000,0.577005000
0.521070000,0.584760000,0.606540000,0.546810000,0.580965000
0.525855000,0.593175000,0.613965000,0.557040000,0.585750000
0.530805000,0.601755000,0.621555000,0.567765000,0.590865000
0.536415000,0.610170000,0.629640000,0.579315000,0.595980000
0.542355000,0.618255000,0.638055000,0.591030000,0.601425000
0.548295000,0.626175000,0.646305000,0.602415000,0.607035000
0.553740000,0.633435000,0.654060000,0.612975000,0.612645000
0.558690000,0.640530000,0.660825000,0.622545000,0.617595000
0.562980000,0.646965000,0.666600000,0.630795000,0.622215000
0.567270000,0.652245000,0.670890000,0.637560000,0.625680000
0.571395000,0.656535000,0.673860000,0.642840000,0.628650000
0.575025000,0.659835000,0.675180000,0.646965000,0.630300000
0.578325000,0.662310000,0.675345000,0.649935000,0.630465000
0.581295000,0.663960000,0.674025000,0.652245000,0.629475000
0.582285000,0.664950000,0.670890000,0.652905000,0.626835000
0.581625000,0.664620000,0.666600000,0.652245000,0.622545000
0.579480000,0.663465000,0.660825000,0.650430000,0.616275000
0.576015000,0.660825000,0.652905000,0.647130000,0.607695000
0.571395000,0.656040000,0.643005000,0.641025000,0.596805000
0.564630000,0.647295000,0.630795000,0.630960000,0.583770000
0.555225000,0.634755000,0.616110000,0.617430000,0.568590000
0.543015000,0.618915000,0.598785000,0.601260000,0.550605000
0.527505000,0.599280000,0.579150000,0.582450000,0.529815000
0.508365000,0.575520000,0.556380000,0.560505000,0.505560000
0.485595000,0.547965000,0.530475000,0.535590000,0.477840000
0.458865000,0.516285000,0.500775000,0.506880000,0.446655000
0.428835000,0.481800000,0.467940000,0.474870000,0.412500000
0.396165000,0.444840000,0.432630000,0.439560000,0.375870000
0.361350000,0.406560000,0.395175000,0.401775000,0.337425000
0.324885000,0.367290000,0.355905000,0.362505000,0.297660000
0.287595000,0.327360000,0.315480000,0.321915000,0.257400000
0.250140000,0.286770000,0.274560000,0.280830000,0.217635000
0.213675000,0.245520000,0.234630000,0.240570000,0.179520000
0.178860000,0.202620000,0.196020000,0.202125000,0.143550000
0.146355000,0.160710000,0.159720000,0.166485000,0.110880000
0.115995000,0.123090000,0.126390000,0.133815000,0.081675000
0.088275000,0.090915000,0.096690000,0.103950000,0.056430000
0.063360000,0.064020000,0.070950000,0.076065000,0.035805000
0.042405000,0.042570000,0.049500000,0.051150000,0.019140000
0.025245000,0.025410000,0.032010000,0.030855000,0.006600000
0.011715000,0.011880000,0.018150000,0.014685000,-0.002640000
0.001650000,0.001815000,0.007425000,0.002310000,-0.008910000
-0.005445000,-0.005775000,-0.001320000,-0.007095000,-0.013695000
