V1, V2, V3, V4, V5
-0.008085000,-0.018975000,-0.016335000,-0.013365000,-0.015345000
-0.011550000,-0.017160000,-0.014355000,-0.009900000,-0.013365000
-0.014355000,-0.013530000,-0.011715000,-0.005775000,-0.010560000
-0.015675000,-0.008250000,-0.007920000,-0.000495000,-0.007260000
-0.014025000,-0.000825000,-0.002310000,0.006105000,-0.002970000
-0.008580000,0.008910000,0.005610000,0.015015000,0.002640000
0.000165000,0.019305000,0.014850000,0.024750000,0.010560000
0.010230000,0.028215000,0.023925000,0.033330000,0.019305000
0.019305000,0.034155000,0.031020000,0.039270000,0.027060000
0.025575000,0.034815000,0.034815000,0.040755000,0.032670000
0.027060000,0.029535000,0.033825000,0.035970000,0.034155000
0.023100000,0.019140000,0.027720000,0.025410000,0.030525000
0.014520000,0.006600000,0.017985000,0.010725000,0.022440000
0.003300000,-0.005445000,0.006600000,-0.005940000,0.011715000
-0.007920000,-0.014025000,-0.004620000,-0.021285000,-0.000165000
-0.016500000,-0.017490000,-0.012870000,-0.033330000,-0.011550000
-0.020625000,-0.015510000,-0.016830000,-0.039600000,-0.019965000
-0.019965000,-0.008910000,-0.016170000,-0.039435000,-0.024585000
-0.014685000,-0.000825000,-0.011385000,-0.033660000,-0.024750000
-0.007260000,0.006600000,-0.004620000,-0.024420000,-0.021120000
0.000000000,0.011220000,0.002145000,-0.014520000,-0.014850000
0.004785000,0.012210000,0.006930000,-0.006600000,-0.008250000
0.006435000,0.009570000,0.008250000,-0.002145000,-0.002805000
0.005115000,0.005115000,0.006105000,-0.001980000,0.000495000
0.001650000,0.000990000,0.001320000,-0.005280000,0.001155000
-0.002970000,-0.001155000,-0.004455000,-0.011220000,-0.000495000
-0.007425000,-0.000660000,-0.009075000,-0.017820000,-0.004125000
-0.010065000,0.002475000,-0.010725000,-0.023595000,-0.008745000
-0.010230000,0.007425000,-0.008745000,-0.026400000,-0.013365000
-0.007425000,0.013035000,-0.003300000,-0.026070000,-0.016500000
-0.002805000,0.018315000,0.004620000,-0.022605000,-0.017325000
0.003135000,0.022440000,0.012870000,-0.016500000,-0.014850000
0.009075000,0.025575000,0.020130000,-0.008910000,-0.009240000
0.014520000,0.027885000,0.025740000,-0.000990000,-0.000990000
0.018810000,0.030195000,0.029040000,0.006435000,0.008580000
0.021780000,0.033165000,0.030525000,0.012870000,0.018480000
0.023925000,0.037125000,0.031020000,0.017985000,0.027225000
0.025410000,0.041910000,0.032010000,0.022275000,0.034155000
0.026400000,0.047520000,0.033660000,0.025575000,0.038940000
0.027555000,0.053955000,0.037290000,0.028875000,0.041745000
0.029700000,0.060390000,0.042240000,0.032670000,0.043395000
0.032835000,0.067155000,0.048345000,0.036795000,0.044880000
0.036795000,0.073260000,0.055275000,0.041745000,0.046695000
0.041580000,0.079035000,0.062040000,0.047025000,0.049500000
0.046200000,0.084150000,0.068310000,0.052140000,0.052800000
0.050490000,0.088770000,0.073755000,0.056760000,0.056760000
0.054285000,0.093225000,0.078705000,0.060720000,0.060885000
0.057585000,0.097020000,0.083325000,0.063855000,0.065670000
0.060060000,0.100650000,0.087285000,0.066825000,0.070785000
0.062370000,0.104115000,0.090915000,0.068970000,0.076065000
0.064515000,0.108075000,0.094545000,0.071115000,0.081180000
0.066990000,0.112035000,0.098340000,0.073095000,0.086295000
0.069795000,0.116490000,0.102135000,0.075075000,0.091080000
0.072765000,0.121770000,0.106260000,0.077550000,0.095370000
0.076725000,0.127545000,0.110715000,0.080520000,0.099660000
0.082005000,0.133485000,0.115665000,0.084150000,0.104280000
0.087780000,0.139425000,0.121275000,0.088935000,0.109230000
0.093555000,0.145200000,0.127380000,0.094710000,0.115335000
0.099165000,0.150645000,0.133650000,0.101310000,0.121935000
0.104775000,0.155760000,0.140250000,0.107910000,0.129030000
0.110385000,0.160710000,0.147180000,0.114840000,0.136455000
0.115995000,0.165660000,0.153945000,0.121605000,0.143880000
0.121770000,0.170775000,0.160545000,0.128040000,0.151470000
0.127545000,0.175890000,0.166815000,0.134145000,0.158235000
0.133650000,0.180840000,0.172920000,0.140415000,0.165000000
0.139920000,0.185295000,0.179025000,0.146685000,0.171435000
0.145860000,0.189420000,0.184800000,0.153120000,0.177210000
0.151470000,0.193050000,0.190080000,0.158730000,0.182490000
0.156585000,0.196680000,0.194535000,0.164175000,0.187110000
0.161370000,0.199815000,0.198330000,0.168960000,0.191070000
0.165495000,0.202785000,0.201465000,0.173085000,0.194865000
0.169125000,0.205590000,0.203940000,0.176715000,0.198165000
0.172095000,0.208230000,0.205755000,0.179685000,0.200970000
0.174735000,0.210705000,0.207075000,0.182160000,0.203115000
0.177210000,0.213015000,0.208065000,0.184470000,0.204930000
0.179685000,0.215160000,0.209055000,0.186285000,0.206085000
0.181995000,0.216645000,0.209385000,0.187770000,0.206910000
0.183810000,0.217470000,0.209385000,0.188595000,0.206910000
0.184965000,0.217635000,0.208560000,0.188925000,0.206250000
0.185295000,0.216810000,0.206910000,0.188430000,0.204600000
0.184305000,0.215160000,0.204270000,0.187110000,0.201960000
0.182160000,0.212355000,0.200805000,0.184800000,0.198330000
0.179025000,0.208230000,0.196185000,0.181500000,0.193710000
0.175395000,0.203280000,0.190905000,0.177870000,0.187935000
0.171270000,0.197505000,0.185130000,0.173910000,0.181500000
0.166980000,0.191070000,0.178860000,0.169950000,0.173745000
0.162030000,0.183645000,0.172095000,0.165660000,0.165330000
0.156090000,0.174735000,0.164340000,0.160215000,0.155595000
0.148995000,0.163845000,0.155430000,0.153285000,0.144705000
0.140085000,0.150975000,0.144870000,0.144210000,0.132165000
0.129360000,0.135795000,0.132660000,0.132660000,0.118305000
0.116655000,0.118800000,0.118305000,0.118965000,0.103125000
0.101640000,0.100650000,0.102630000,0.103125000,0.087120000
0.084975000,0.081675000,0.085800000,0.085965000,0.070950000
0.066990000,0.062700000,0.068145000,0.067815000,0.054945000
0.049170000,0.044385000,0.050655000,0.049665000,0.039600000
0.032340000,0.027720000,0.033825000,0.032670000,0.025575000
0.016995000,0.013200000,0.018645000,0.017160000,0.013035000
0.004125000,0.001155000,0.005610000,0.003300000,0.002805000
-0.006105000,-0.008415000,-0.005445000,-0.008580000,-0.005775000
-0.013530000,-0.015345000,-0.014190000,-0.017820000,-0.012210000
