V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
6.759690000,4.374430593,0.901144864,-2.309325034,-4.346082729,-5.266287220,-5.346413644,-4.839568831,-4.080182441,-3.351558136,-2.666974254,-1.887747729,-1.025990949,-0.179602169,0.558817661,1.174436610,1.748340237,2.371671169,3.073337034,3.824424237,4.584337322,5.334489186,6.063199034,6.755163356,7.416448458,8.064534712,8.698136119,9.303883390,9.885480169,10.451135560,11.007404140,11.537629540,12.024099630,12.467134490,12.862539020,13.197043660,13.464500370,13.659071810,13.770444860,13.795141320,13.723716900,13.547725290,13.267896020,12.901122100,12.455001860,11.923859640,11.296933630,10.553933070,9.629985169,8.386109000,6.627785627,4.363773017,1.855716305,-0.664786712,-3.270543932,-6.159980797,-9.343461712,-12.520399020,-15.071573150,-16.259615000,-15.756332000,-14.289455180,-12.424313920,-10.537087920,-8.869085615,-7.510637000,-6.419976846,-5.466074282,-4.476940179,-3.295768077,-1.929008026,-0.437319256,1.082270692,2.521753667,3.790315513,4.838752077,5.654186282,6.275821923,6.768767462,7.163579667,7.473256897,7.695620077,7.819318872,7.831812513,7.716493231,7.490812359,7.221900667,6.993587692,6.871562462,6.879892462,6.994377692,7.154060564,7.279267744,7.331039538,7.345816744,7.400840282,7.556398769,7.783290615,7.908573128,7.606586000,7.304598872
1.653759000,0.262316508,-2.054731186,-3.836239254,-3.886261661,-2.551996356,-0.937249881,0.482715475,1.793531508,2.973887492,4.063478644,5.156884831,6.175090254,7.005970746,7.624538712,8.063112441,8.388945763,8.681725746,8.979303271,9.271648492,9.536610339,9.759975763,9.953123831,10.130978340,10.301578190,10.479001070,10.674418200,10.901761360,11.158338240,11.430303970,11.707265850,11.981818220,12.263685860,12.573731560,12.924287440,13.328620970,13.796609460,14.320991290,14.884527690,15.475571800,16.093633240,16.715622540,17.308541080,17.851372900,18.318020050,18.666229190,18.855301460,18.855544290,18.640481340,18.188692490,17.466678020,16.415715240,14.909674360,12.695441000,9.456772932,5.014975508,-0.411415983,-5.994983305,-10.368590190,-12.386093000,-11.984693000,-10.345113900,-8.441384410,-6.735207538,-5.342184795,-4.244917128,-3.359574769,-2.556387282,-1.735251128,-0.863119615,0.047655487,0.971662974,1.879248923,2.734944333,3.507370436,4.187161385,4.794476846,5.355084615,5.880653385,6.376413256,6.846137744,7.245671462,7.482548769,7.445624333,7.058960923,6.331377231,5.367996667,4.340486385,3.423046051,2.725572385,2.255992692,1.952958231,1.759622923,1.658571692,1.648036744,1.718104538,1.859857000,2.039193564,2.115410000,1.735309000,1.355208000
-1.286982000,-1.776221814,-2.184754814,-2.178479559,-1.694001559,-0.938480627,-0.103676593,0.724252288,1.518420169,2.257202593,2.901031593,3.447880119,3.976277678,4.535356254,5.117303203,5.697554746,6.258937458,6.786439000,7.274193373,7.736703797,8.195080746,8.655236712,9.105583458,9.534753119,9.932851237,10.288312880,10.599713370,10.877135420,11.133775420,11.381505490,11.619066690,11.837928640,12.051205250,12.267671680,12.474932170,12.665328860,12.845917370,13.013455420,13.157112510,13.266672460,13.332785580,13.352932100,13.324195510,13.245061530,13.124295580,12.966318690,12.755925810,12.463804120,12.049518800,11.458484760,10.615652710,9.519546186,8.225208237,6.813237932,5.371148356,4.010169034,2.855233102,2.005759508,1.526965492,1.453530000,1.718263000,2.115709923,2.569410154,3.040607385,3.512908795,3.986685410,4.471388385,4.976743359,5.503661410,6.041766462,6.568431846,7.059959231,7.500253231,7.879599333,8.190849846,8.425920385,8.572668744,8.630059154,8.608462077,8.506264026,8.322179308,8.054635615,7.701068821,7.258760410,6.727755385,6.121152487,5.443979667,4.695016385,3.880371564,3.021510256,2.157553538,1.339468538,0.640786846,0.102462077,-0.274183051,-0.510204231,-0.642100846,-0.715369051,-0.780156308,-0.888190000,-0.996223692
5.604945000,3.532166254,1.293456695,-0.407104373,-1.289436407,-1.450136237,-1.105523559,-0.411642763,0.544756797,1.699672898,2.938612729,4.056837847,4.917376729,5.571631610,6.163054864,6.782685661,7.435752881,8.087842475,8.691447797,9.194648169,9.581142458,9.897316525,10.213182000,10.567718580,10.962470100,11.387233190,11.854063930,12.377773390,12.949588690,13.552020360,14.184814950,14.845836240,15.514987730,16.166424140,16.783705920,17.361220290,17.879067860,18.307491080,18.616813290,18.794634410,18.845093850,18.767333440,18.554359240,18.199152690,17.699137950,17.053947050,16.262765560,15.315450030,14.179227320,12.789471390,11.036893150,8.764938559,5.802863983,2.048386390,-2.386309475,-7.019321203,-11.120594630,-14.107401680,-15.761752730,-16.110176000,-15.330718000,-13.819619970,-11.897292590,-9.834602385,-7.765976154,-5.711629077,-3.658411231,-1.614979538,0.386853615,2.316459692,4.152566333,5.874213436,7.456963231,8.862867667,10.038944260,10.960697380,11.659763100,12.191020100,12.571287850,12.756890850,12.702310150,12.425234690,12.005585640,11.557278310,11.176361230,10.885215030,10.631420000,10.337376920,9.937396897,9.396907385,8.735662308,8.049330205,7.492616385,7.200383692,7.189593949,7.338838744,7.479802231,7.479466282,7.191449077,6.402222000,5.612994923
1.864986000,-0.043593881,-2.950264186,-5.329351339,-6.004337102,-5.108968797,-3.563494593,-2.074310237,-0.793902373,0.338372051,1.371505644,2.368891203,3.378881983,4.357298220,5.227304153,5.963679203,6.582762136,7.118413186,7.606506763,8.073204797,8.520505136,8.938774017,9.320410915,9.653221085,9.925346898,10.162762970,10.405134420,10.666730200,10.940013420,11.217979590,11.499575250,11.770449420,12.021431460,12.269345140,12.520042290,12.741157150,12.910086460,13.043294050,13.145528590,13.220633170,13.264551310,13.268166830,13.223690370,13.112635730,12.906945680,12.589156660,12.136733120,11.492868610,10.552659470,9.232581763,7.442899186,5.070175237,1.995640593,-1.804890559,-6.095712695,-10.397815190,-14.309087660,-17.717019510,-20.505839170,-22.173609000,-22.066870000,-20.491047050,-17.998978560,-15.116387770,-12.301709330,-9.848758692,-7.859426000,-6.267607821,-4.904854103,-3.595555692,-2.248775436,-0.915828821,0.318396308,1.419245667,2.396154179,3.267915923,4.043109564,4.720135718,5.299182462,5.790376410,6.182068590,6.419936769,6.459746564,6.278401821,5.898921231,5.405898769,4.927156333,4.583039615,4.424953846,4.400364410,4.368248769,4.217217026,3.929885513,3.532546154,3.103184231,2.758492051,2.587750923,2.557304128,2.438381821,1.825399000,1.212416179
11.726490000,10.044658140,7.861099322,5.799243898,4.408170339,3.879565085,4.051500000,4.620013390,5.329976780,6.039667119,6.715820847,7.403197966,8.163256441,9.011065254,9.897960169,10.744108980,11.485762370,12.102504240,12.615087120,13.064860850,13.492237290,13.924849490,14.374200340,14.837564920,15.303440340,15.758268980,16.195251190,16.622412710,17.058964920,17.520945760,18.011395080,18.520708640,19.034443220,19.538412200,20.021264750,20.477723730,20.908046950,21.311694580,21.680900850,22.000212370,22.249166780,22.404460170,22.442604410,22.342426270,22.087334750,21.667975080,21.081477800,20.321717460,19.360407290,18.128393900,16.509946780,14.361194070,11.561417970,8.092004237,4.108809492,-0.045989322,-3.925818644,-7.114431017,-9.316295593,-10.373530000,-10.284700000,-9.349501000,-7.916962000,-6.322518500,-4.825822000,-3.545632500,-2.463010000,-1.473877000,-0.456052000,0.679669000,1.966485000,3.381506000,4.859162000,6.311517500,7.651205000,8.813090000,9.769948000,10.536499500,11.159860000,11.701188500,12.213780000,12.722144000,13.208791000,13.621089000,13.887686000,13.942892500,13.758715000,13.370143000,12.874000000,12.393405000,12.022790000,11.789632000,11.663516000,11.605766500,11.616309000,11.734785000,11.990230000,12.333197000,12.594144000,12.501258500,11.780560000
4.198550000,3.971810169,3.688842712,3.309386441,2.783535085,2.120103559,1.435760847,0.929991864,0.804147458,1.178884576,2.051290678,3.308357458,4.782686610,6.311839492,7.771791525,9.083580678,10.210933560,11.166603900,11.969583730,12.638861360,13.189680680,13.634921190,13.985887120,14.252082710,14.442173900,14.565431020,14.631182880,14.646641020,14.614988310,14.534446950,14.397564920,14.198459490,13.938330170,13.624208140,13.269875080,12.890484750,12.495279830,12.084042880,11.649222540,11.178955930,10.657476100,10.065655420,9.383667119,8.594322881,7.686147797,6.649450847,5.487405763,4.193977966,2.741297627,1.075522373,-0.872542034,-3.155085424,-5.763827458,-8.603891186,-11.507546440,-14.274416440,-16.699370680,-18.573000340,-19.684655080,-19.861530000,-19.088230000,-17.665222000,-15.743086000,-13.480792000,-11.022988000,-8.482565000,-5.938422000,-3.443088000,-1.034124000,1.256171000,3.396290000,5.330831000,7.059700000,8.574714000,9.877188000,10.974470000,11.875608000,12.587322000,13.111112000,13.442207000,13.571150000,13.463231000,13.149296000,12.649267000,11.995336000,11.227825000,10.390486000,9.526285000,8.674672000,7.870828000,7.146400000,6.545893000,6.075418000,5.737040000,5.517788000,5.391695000,5.323830000,5.275623000,5.211288000,5.105237000,4.950050000
0.735170000,-0.940103390,-2.848029153,-4.508719831,-5.543424237,-5.845678475,-5.549987288,-4.871114576,-3.969351186,-2.924537119,-1.783757458,-0.604196271,0.543337288,1.593972203,2.506406102,3.267780678,3.887086441,4.384610000,4.785020508,5.116386271,5.410165932,5.695404915,5.989187966,6.292600339,6.595785424,6.886173559,7.155410847,7.405691695,7.651327627,7.911047458,8.197130508,8.509645085,8.836898644,9.159593898,9.456376271,9.708567797,9.902500000,10.028673390,10.078159490,10.037984920,9.888910339,9.607767458,9.172843729,8.569439492,7.792495085,6.842715424,5.714038475,4.373459661,2.741058983,0.686867627,-1.937506949,-5.227703051,-9.137733559,-13.425149830,-17.687344410,-21.494168140,-24.533195250,-26.657947800,-27.820972880,-27.989540000,-27.162480000,-25.490813250,-23.215649500,-20.665826250,-18.134307000,-15.788091250,-13.664680000,-11.721824500,-9.890774000,-8.111792500,-6.354092500,-4.624730500,-2.964372000,-1.428924000,-0.068032000,1.083886250,2.002034000,2.666374750,3.070453500,3.236292750,3.216450000,3.076612750,2.871965500,2.635588500,2.383372000,2.124565000,1.866649000,1.614400250,1.371305000,1.147628750,0.968297500,0.870097000,0.886626000,1.030463750,1.282257500,1.585698750,1.842510000,1.907900250,1.600519000,0.751946500,-0.693530000
2.857440000,0.475020000,-2.104010000,-4.303710000,-5.721050000,-6.253300000,-6.018670000,-5.208600000,-4.008310000,-2.590320000,-1.112080000,0.307570000,1.602150000,2.744160000,3.724010000,4.541300000,5.206340000,5.740380000,6.170510000,6.524310000,6.826950000,7.098000000,7.348030000,7.579860000,7.795060000,7.999950000,8.205890000,8.424750000,8.664230000,8.925010000,9.200640000,9.481950000,9.763690000,10.044620000,10.320510000,10.579480000,10.803090000,10.968620000,11.050630000,11.024200000,10.868410000,10.567640000,10.111710000,9.495140000,8.716350000,7.775730000,6.671590000,5.393650000,3.912360000,2.163720000,0.037040000,-2.617750000,-5.947060000,-10.012900000,-14.702810000,-19.687030000,-24.466470000,-28.498280000,-31.336460000,-32.732700000,-32.682290000,-31.411580000,-29.299400000,-26.750230000,-24.074100000,-21.430670000,-18.850110000,-16.296470000,-13.731130000,-11.151750000,-8.600850000,-6.152910000,-3.893170000,-1.897890000,-0.219430000,1.123520000,2.147570000,2.896940000,3.429870000,3.804290000,4.065520000,4.238300000,4.325620000,4.316800000,4.205440000,4.008580000,3.772970000,3.562870000,3.437380000,3.426640000,3.519480000,3.676730000,3.865940000,4.085690000,4.355430000,4.677450000,4.988370000,5.120960000,4.811320000,3.788660000,1.942920000
3.866680000,2.478968814,0.596354915,-1.382461356,-2.984739153,-3.876008136,-3.960684407,-3.346704915,-2.251689153,-0.922766441,0.421344576,1.635811525,2.668371695,3.538066780,4.289380000,4.953466441,5.536218305,6.030172881,6.433880339,6.761865932,7.039940678,7.294356610,7.545110678,7.805067627,8.081554576,8.378825763,8.700823051,9.052570678,9.438912542,9.860874746,10.312946780,10.782546440,11.252465930,11.699806270,12.094331860,12.403432200,12.601957800,12.679727290,12.642086610,12.504641690,12.286058470,12.002078980,11.661698980,11.264647970,10.798674240,10.236588470,9.534883729,8.634923559,7.466238305,5.952108136,4.020793559,1.626756102,-1.219119492,-4.420592034,-7.785774407,-11.051258640,-13.939496610,-16.220181530,-17.740378140,-18.425220000,-18.287560000,-17.519276000,-16.318686000,-14.879394500,-13.364174000,-11.863280000,-10.385134000,-8.878250000,-7.271838000,-5.517087500,-3.614105000,-1.618377500,0.371636000,2.240164000,3.884457000,5.239260000,6.287308000,7.054139000,7.591001000,7.952906000,8.180450000,8.285919000,8.276161000,8.148150000,7.908756000,7.580085000,7.196629000,6.797937500,6.419634000,6.085098000,5.801190000,5.560797000,5.353078000,5.177447500,5.051833000,5.005837500,5.057082000,5.178663000,5.272638000,5.169426000,4.670790000
