V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,
-5.84765,-3.74457,-1.76535,-0.5052,-0.1477,-0.37889,-0.62432,-0.40834,0.38841,1.51798,2.58191,3.29277,3.5914,3.58458,3.40068,3.09282,2.66038,2.1367,1.62389,1.23041,0.99415,0.87614,0.80295,0.70641,0.5441,0.30417,0.00952,-0.2964,-0.59079,-0.88992,-1.22656,-1.61982,-2.05499,-2.48047,-2.8358,-3.0917,-3.26374,-3.39696,-3.54795,-3.77017,-4.0961,-4.53124,-5.06153,-5.65828,-6.28634,-6.92153,-7.56228,-8.22286,-8.91331,-9.61891,-10.29267,-10.87247,-11.31174,-11.59934,-11.7584,-11.83218,-11.8755,-11.94423,-12.05428,-12.13165,-12.01293,-11.50919,-10.52141,-9.16032,-7.74123,-6.61752,-5.97338,-5.73676,-5.68268,-5.62741,-5.53165,-5.44369,-5.37974,-5.28431,-5.10871,-4.87537,-4.64069,-4.45063,-4.34278,-4.33832,-4.40924,-4.47504,-4.45128,-4.30469,-4.07016,-3.82485,-3.63965,-3.55089,-3.58927,-3.80583,-4.23896,-4.88441,-5.71592,-6.71965,-7.88212,-9.12998,-10.28485,-11.08757,-11.27992,-10.69495,-11.732957
-13.68092,-12.43443,-10.13144,-7.41275,-4.98902,-3.17621,-1.88967,-0.91456,-0.09287,0.65159,1.36247,2.0971,2.9086,3.77688,4.58436,5.18388,5.49786,5.55907,5.46918,5.32902,5.19726,5.08954,5.00327,4.93637,4.87082,4.75174,4.52598,4.20839,3.87594,3.59489,3.37426,3.17948,2.97015,2.73039,2.47299,2.21755,1.96727,1.70768,1.41911,1.08152,0.67194,0.16543,-0.45881,-1.20873,-2.07121,-3.00766,-3.96074,-4.87274,-5.6991,-6.40753,-6.97852,-7.41253,-7.72999,-7.96465,-8.15512,-8.32354,-8.43118,-8.32567,-7.75371,-6.52315,-4.7172,-2.73575,-1.10607,-0.20721,-0.08457,-0.46108,-0.92425,-1.15895,-1.08583,-0.83563,-0.61382,-0.5831,-0.8211,-1.3333,-2.0842,-3.01478,-4.04497,-5.08236,-6.04066,-6.85551,-7.49141,-7.93085,-8.15418,-8.15468,-7.99027,-7.79626,-7.73441,-7.92338,-8.38668,-9.05059,-9.79173,-10.48002,-11.00224,-11.30751,-11.44952,-11.57634,-11.86701,-12.43225,-13.20471,-13.8727,-14.369728
-5.30796,-3.28233,-1.09204,0.77184,2.05856,2.84072,3.40206,3.97548,4.5997,5.20211,5.69298,6.01133,6.14669,6.12016,5.96388,5.72029,5.43968,5.1615,4.88807,4.59134,4.25135,3.88253,3.52602,3.21987,2.98133,2.81081,2.69858,2.62652,2.57177,2.52088,2.47761,2.44624,2.41224,2.34706,2.2317,2.06007,1.81811,1.48611,1.05887,0.5464,-0.03339,-0.65153,-1.27625,-1.89015,-2.49134,-3.08866,-3.6949,-4.31565,-4.94579,-5.5721,-6.18498,-6.7979,-7.4501,-8.17628,-8.96944,-9.78956,-10.59132,-11.29412,-11.7198,-11.59351,-10.70727,-9.19759,-7.60879,-6.58214,-6.46283,-7.13434,-8.14906,-9.02622,-9.48098,-9.45755,-9.038,-8.36265,-7.59373,-6.86891,-6.25941,-5.77618,-5.3868,-5.02933,-4.66296,-4.30512,-3.9937,-3.73462,-3.51213,-3.31889,-3.15347,-3.00581,-2.85463,-2.69522,-2.56844,-2.53419,-2.63263,-2.88923,-3.32414,-3.93466,-4.68894,-5.5328,-6.37109,-7.02513,-7.2152,-6.62657,-7.463653
-12.71974,-11.21228,-8.60594,-5.33664,-1.99765,0.86886,2.93746,4.15842,4.70765,4.85835,4.83659,4.74148,4.56526,4.27536,3.88346,3.45286,3.05583,2.73084,2.4738,2.25612,2.04501,1.81321,1.54237,1.22454,0.86087,0.46042,0.04186,-0.36719,-0.73911,-1.05991,-1.33681,-1.59183,-1.8456,-2.10534,-2.36657,-2.62365,-2.87852,-3.14225,-3.42822,-3.74326,-4.08707,-4.459,-4.86146,-5.29749,-5.76761,-6.26937,-6.7986,-7.34889,-7.90812,-8.45535,-8.96157,-9.3935,-9.71924,-9.9161,-9.97629,-9.90737,-9.72792,-9.45773,-9.1082,-8.67555,-8.1245,-7.36958,-6.29644,-4.83742,-3.04862,-1.12843,0.63613,1.97252,2.73035,2.93288,2.73514,2.32471,1.8429,1.36481,0.91856,0.509,0.12978,-0.23376,-0.59648,-0.95563,-1.28582,-1.56352,-1.79854,-2.03145,-2.29772,-2.60124,-2.91764,-3.21804,-3.49808,-3.79162,-4.1576,-4.65594,-5.33368,-6.22368,-7.34241,-8.68089,-10.19851,-11.82366,-13.45225,-14.94334,-16.553322
-3.42311,-2.52258322,-2.128379153,-2.271102881,-2.693127966,-2.941181525,-2.581357797,-1.435315424,0.313382712,2.228281864,3.860393051,4.953261186,5.499879661,5.660417288,5.635158305,5.570395932,5.526699661,5.503354576,5.481614237,5.44827661,5.393527288,5.306032203,5.181143559,5.028119492,4.86397661,4.703789492,4.55840322,4.435966949,4.338400847,4.254515254,4.162617966,4.046488305,3.902285593,3.726592373,3.514110508,3.268530339,3.005982881,2.741859661,2.474717797,2.183601356,1.840543729,1.425759322,0.933850678,0.369310508,-0.261013559,-0.949278983,-1.680187119,-2.421038814,-3.110637119,-3.64965322,-3.901291017,-3.716602203,-2.995310508,-1.764375085,-0.209926949,1.386292881,2.759482542,3.738624237,4.277320678,4.47494,4.54261,4.6581775,4.833919,4.965208,4.93901,4.7039025,4.269276,3.665397,2.915904,2.044934,1.09785,0.144169,-0.742032,-1.5052275,-2.117814,-2.574955,-2.887506,-3.084689,-3.217745,-3.344276,-3.49886,-3.684205,-3.887568,-4.1041635,-4.332974,-4.57063,-4.809903,-5.050137,-5.3061,-5.601023,-5.95694,-6.3867875,-6.876226,-7.3575655,-7.702567,-7.75727,-7.408802,-6.642767,-5.555985,-4.3246385,-3.15991
-0.7782,-0.298478475,0.351871186,1.070468305,1.765064915,2.355113898,2.760602542,2.946117966,2.991252373,3.081340847,3.397725254,3.995341525,4.763521017,5.49607339,6.007558644,6.203338814,6.092393729,5.7754,5.354571356,4.910667966,4.484698983,4.080364237,3.678259831,3.253211186,2.789828475,2.291232881,1.775571017,1.262074746,0.757257119,0.252334237,-0.266028136,-0.798811356,-1.33064339,-1.841947119,-2.321930847,-2.775982034,-3.222319153,-3.679392034,-4.151436271,-4.623406102,-5.069378475,-5.465504576,-5.796901695,-6.054077458,-6.221884746,-6.263299661,-6.131912034,-5.766701695,-5.093652712,-4.046955085,-2.601444237,-0.791980508,1.302640508,3.599078305,6.031660847,8.528785763,10.96151068,13.12585356,14.8074061,15.90022,16.43981,16.663703,16.749668,16.695941,16.443194,15.92055,15.088174,13.962835,12.622112,11.189807,9.80963,8.651942,7.786102,7.237184,6.983174,6.962655,7.085576,7.247192,7.344226,7.291332,7.03503,6.541704,5.881426,5.122516,4.341994,3.61272,2.992486,2.515585,2.188508,1.991448,1.88622,1.826919,1.76241,1.662817,1.510978,1.30564,1.064378,0.82454,0.639624,0.568636,0.65716
-3.83505,-3.238260169,-2.529951695,-1.584265763,-0.23995661,1.571578136,3.721243898,5.905090847,7.791085424,9.168610169,9.995971186,10.35970797,10.41139949,10.31202356,10.18814525,10.10841136,10.08387847,10.08415831,10.06282271,9.983941186,9.835680169,9.627174068,9.381144576,9.128669153,8.89708339,8.690500339,8.483849831,8.243618475,7.957063898,7.64227661,7.331822373,7.045677797,6.77537678,6.488048475,6.142909153,5.708355763,5.173271695,4.550867966,3.872510678,3.171199153,2.466226271,1.764270339,1.072956441,0.408412203,-0.211844068,-0.781170339,-1.308349661,-1.816449661,-2.347606271,-2.971491525,-3.775081356,-4.808956102,-5.993576441,-7.040052203,-7.487718305,-6.934581864,-5.359442881,-3.261018136,-1.434501864,-0.51394,-0.60746,-1.2533585,-1.863119,-2.04438425,-1.732478,-1.11883875,-0.463301,0.06314875,0.424034,0.66684225,0.8455275,0.97758325,1.050759,1.0543905,1.001682,0.92608875,0.863946,0.83998125,0.853804,0.868354,0.81518,0.6229165,0.2541145,-0.27230975,-0.885044,-1.48875875,-2.006354,-2.41434275,-2.747387,-3.06832875,-3.425555,-3.8255915,-4.238916,-4.63079675,-4.9833185,-5.28665,-5.513926,-5.61043,-5.510961,-5.1743165,-4.6118
-3.93971,-3.66177,-3.58553,-3.69733,-3.74505,-3.36953,-2.32508,-0.64908,1.34149,3.22582,4.68783,5.61304,6.05752,6.16329,6.07997,5.91495,5.7188,5.4977,5.23703,4.92453,4.56418,4.17513,3.78235,3.40945,3.07507,2.78862,2.54546,2.32869,2.1188,1.90433,1.68466,1.46504,1.25054,1.04046,0.82442,0.58491,0.30364,-0.03284,-0.42851,-0.87446,-1.3491,-1.82274,-2.26466,-2.64921,-2.95873,-3.18449,-3.32456,-3.37978,-3.35403,-3.25925,-3.11673,-2.94783,-2.75646,-2.51131,-2.14205,-1.56761,-0.75747,0.20791,1.13118,1.76853,1.93589,1.58892,0.83993,-0.09231,-0.97079,-1.61833,-1.95237,-1.97678,-1.75248,-1.37008,-0.93137,-0.53121,-0.23857,-0.08714,-0.078,-0.18561,-0.36219,-0.54965,-0.70079,-0.79488,-0.83993,-0.86676,-0.91746,-1.02846,-1.21418,-1.46039,-1.72993,-1.97656,-2.16329,-2.28209,-2.36509,-2.47275,-2.66025,-2.95078,-3.33282,-3.7632,-4.16503,-4.43562,-4.4816,-4.28128,-3.93797
-1.85708,-0.783891186,0.338170508,1.343874407,2.12820661,2.678360339,3.06052678,3.370828136,3.671086102,3.959319153,4.199290847,4.369442203,4.480370508,4.554120678,4.596173898,4.591600508,4.524748305,4.395515763,4.216173051,4.00044678,3.761372542,3.514428644,3.273606102,3.041736949,2.806991864,2.551343729,2.265284915,1.954746102,1.633248136,1.308505763,0.977440678,0.630339322,0.255466949,-0.160831186,-0.632534237,-1.170214915,-1.776277119,-2.441069153,-3.142068644,-3.848522712,-4.531406949,-5.170972542,-5.755324576,-6.273497627,-6.711094576,-7.050728814,-7.272133051,-7.348386949,-7.242383729,-6.906715254,-6.282732203,-5.298733898,-3.881431356,-1.992885763,0.31930339,2.887079831,5.422762712,7.565398644,8.984191525,9.52228,9.30026,8.70252,8.042005,7.5029695,7.13822,6.9111675,6.753952,6.6039065,6.414186,6.152765,5.8035,5.371471,4.885106,4.388943,3.93034,3.54819,3.266,3.0861265,2.985533,2.917233,2.81944,2.625355,2.306305,1.870705,1.359138,0.8211875,0.287853,-0.243662,-0.80281,-1.419583,-2.095705,-2.793616,-3.450536,-4.004646,-4.41379,-4.6572,-4.723258,-4.592993,-4.230738,-3.5924135,-2.65654
-10.25456,-8.307494237,-6.053612881,-4.176851864,-2.92372,-2.130645424,-1.511106271,-0.87550339,-0.15787339,0.64866678,1.528948475,2.441452034,3.302891525,4.006554576,4.469407966,4.690489661,4.747506102,4.734142542,4.703295254,4.657962203,4.570380169,4.409376271,4.175291864,3.886966441,3.566088983,3.226628644,2.875652542,2.523241525,2.193048305,1.910371356,1.680012203,1.486377458,1.313759661,1.143041695,0.94268678,0.677239492,0.320902881,-0.13702678,-0.694065254,-1.338284407,-2.056631525,-2.827207797,-3.617544237,-4.383178475,-5.076021695,-5.649727627,-6.068200508,-6.325811525,-6.465495424,-6.554470169,-6.572620339,-6.323451525,-5.541362881,-4.11225,-2.220755254,-0.293962881,1.190218305,1.90113678,1.800220847,1.16702,0.50153,0.0914645,-0.154717,-0.2831375,-0.35912,-0.4533625,-0.630271,-0.9494545,-1.432574,-2.02238,-2.67,-3.328855,-3.96174,-4.5454815,-5.064687,-5.52528,-5.920488,-6.226346,-6.418862,-6.4861025,-6.44135,-6.3380495,-6.266004,-6.270825,-6.37506,-6.5802975,-6.870823,-7.2210485,-7.586738,-7.924196,-8.205495,-8.422163,-8.594536,-8.7786545,-9.105981,-9.68314,-10.474186,-11.3324305,-12.028439,-12.3042285,-11.94586
