V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,
-2.199,-2.46875,-2.74297,-2.60167,-1.60616,0.26586,2.52353,4.50349,5.78002,6.31478,6.3262,6.07226,5.70028,5.21046,4.52889,3.63012,2.6104,1.65719,0.9527,0.59156,0.55461,0.72845,0.95067,1.057,0.92573,0.53123,-0.03327,-0.60263,-1.02379,-1.21808,-1.19638,-1.03694,-0.8442,-0.7035,-0.64745,-0.65574,-0.6829,-0.68428,-0.6361,-0.55175,-0.47549,-0.45481,-0.51408,-0.64514,-0.81792,-1.00337,-1.18912,-1.37743,-1.57509,-1.7877,-2.02011,-2.28298,-2.60243,-3.02158,-3.58854,-4.34084,-5.29146,-6.40352,-7.55814,-8.54895,-9.12809,-9.09467,-8.37441,-7.04478,-5.3038,-3.41575,-1.66789,-0.33007,0.40297,0.47295,-0.00896,-0.78452,-1.53085,-1.97979,-2.01258,-1.66782,-1.07722,-0.39436,0.25203,0.78627,1.19984,1.54066,1.87349,2.23328,2.59533,2.87588,2.97042,2.80605,2.36756,1.68235,0.79612,-0.22169,-1.26186,-2.19364,-2.92561,-3.4573,-3.84538,-4.11364,-4.25274,-4.34228,-4.34228
-2.63238,-2.54941,-2.17257,-1.32217,0.08648,1.96505,4.07092,6.10957,7.80303,8.88949,9.14036,8.44992,6.93644,4.95911,3.02045,1.58117,0.86509,0.77698,0.99963,1.19533,1.17461,0.94799,0.66087,0.46885,0.42905,0.4762,0.49835,0.43461,0.30323,0.16088,0.05465,0.00588,0.01603,0.07446,0.16153,0.25005,0.31131,0.32619,0.29098,0.21161,0.09347,-0.06586,-0.27661,-0.54894,-0.8839,-1.2678,-1.67206,-2.06193,-2.41289,-2.72397,-3.01588,-3.31456,-3.63084,-3.95065,-4.24277,-4.4731,-4.60891,-4.61499,-4.4637,-4.16619,-3.78446,-3.38109,-2.94598,-2.39637,-1.68562,-0.92304,-0.36569,-0.27715,-0.78108,-1.81097,-3.15021,-4.51051,-5.61745,-6.28444,-6.44831,-6.15269,-5.49597,-4.58252,-3.50255,-2.33384,-1.15665,-0.07209,0.79776,1.33768,1.48162,1.24831,0.74959,0.15701,-0.36055,-0.69006,-0.79791,-0.73508,-0.62953,-0.64465,-0.89194,-1.34497,-1.84007,-2.18707,-2.30364,-2.24407,-2.24407
-6.54777,-7.17032,-7.74438,-7.64261,-6.32056,-3.96508,-1.45169,0.33152,1.01684,0.75261,-0.09429,-1.17851,-2.24404,-3.0957,-3.59056,-3.67913,-3.44895,-3.11085,-2.9107,-3.01258,-3.42425,-4.00784,-4.5645,-4.93758,-5.08006,-5.06164,-5.01378,-5.04425,-5.18251,-5.38977,-5.60819,-5.80058,-5.96061,-6.10607,-6.26492,-6.45549,-6.67317,-6.8991,-7.11909,-7.32805,-7.51716,-7.66461,-7.74547,-7.7475,-7.67191,-7.52592,-7.32115,-7.07679,-6.82044,-6.58121,-6.37628,-6.20203,-6.05058,-5.94638,-5.96169,-6.20009,-6.76141,-7.68148,-8.86474,-10.07553,-11.01115,-11.38958,-11.00844,-9.81473,-7.99117,-5.96434,-4.24215,-3.15019,-2.67932,-2.56365,-2.48964,-2.2677,-1.88401,-1.45208,-1.13214,-1.05222,-1.24265,-1.62153,-2.03617,-2.32471,-2.3747,-2.16175,-1.74785,-1.23458,-0.7077,-0.21901,0.19008,0.45871,0.50798,0.27963,-0.22677,-0.94872,-1.77591,-2.57233,-3.21805,-3.66786,-3.97617,-4.25848,-4.6429,-5.25548,-5.25548
-12.95984,-12.97916,-12.49928,-11.6316,-10.5355,-9.34354,-8.1146,-6.84414,-5.53077,-4.24177,-3.11364,-2.29541,-1.89149,-1.93218,-2.36232,-3.04601,-3.79784,-4.43475,-4.82406,-4.91006,-4.71858,-4.34715,-3.94173,-3.65534,-3.59582,-3.78601,-4.15927,-4.59565,-4.98002,-5.24765,-5.39425,-5.45835,-5.49694,-5.56336,-5.68863,-5.87174,-6.08318,-6.2787,-6.41727,-6.47845,-6.4707,-6.42438,-6.37535,-6.35048,-6.36129,-6.40486,-6.46846,-6.5364,-6.59671,-6.6426,-6.66862,-6.66868,-6.64029,-6.58997,-6.53426,-6.49613,-6.50119,-6.57619,-6.74665,-7.02952,-7.42443,-7.9112,-8.45277,-8.99652,-9.47965,-9.84804,-10.07971,-10.19405,-10.24061,-10.277,-10.34388,-10.44005,-10.51037,-10.46444,-10.22295,-9.76328,-9.13462,-8.43667,-7.78008,-7.24892,-6.87799,-6.64986,-6.51129,-6.40198,-6.28143,-6.14233,-6.00819,-5.91883,-5.90979,-5.99777,-6.1815,-6.45412,-6.81582,-7.28152,-7.8816,-8.65164,-9.60556,-10.69763,-11.80014,-12.72926,-12.72926
3.49135,4.542492712,5.79606322,6.395987119,5.511137288,3.171507797,0.343652203,-1.81633339,-2.702854068,-2.401550169,-1.360847966,-0.042485085,1.21485322,2.200016102,2.82016339,3.080354407,3.042086271,2.789037627,2.415314237,2.023262542,1.714300339,1.566554068,1.605956949,1.792854407,2.041722203,2.262912034,2.398935254,2.435735763,2.390809492,2.296925254,2.192462712,2.112223051,2.072646102,2.070121695,2.090760847,2.122772712,2.15973661,2.199954237,2.24605661,2.301796102,2.369904237,2.45159661,2.543941864,2.64003661,2.735294576,2.835124237,2.959578305,3.141766949,3.419406441,3.823657119,4.371670339,5.066249153,5.900675763,6.864824237,7.94399339,9.098135593,10.22330424,11.12719847,11.57142864,11.38954,10.62312,9.5348475,8.358087,7.3326405,6.643374,6.38196,6.53207,6.9868115,7.594034,8.2048085,8.69943,8.988523,9.004992,8.702293,8.063267,7.112445,5.920688,4.597387,3.274923,2.095654,1.20425,0.7588235,0.812087,1.3438105,2.233996,3.284005,4.261703,4.9528175,5.208884,4.989513,4.38841,3.615983,2.92268,2.4919255,2.365203,2.44748,2.588788,2.6873835,2.754781,2.925989,3.41712
-15.0628,-14.95376525,-14.88263136,-14.8195078,-14.66141034,-14.22348271,-13.29314,-11.75898085,-9.739971356,-7.596969153,-5.800185254,-4.740035932,-4.588034576,-5.264592373,-6.499890678,-7.937221695,-9.228649661,-10.17016864,-10.70551712,-10.89063407,-10.84336627,-10.69716644,-10.57153237,-10.55426814,-10.68700712,-10.95754576,-11.30926271,-11.66670051,-11.96477576,-12.17139085,-12.29715169,-12.3945978,-12.52391424,-12.72720373,-13.02057932,-13.39501576,-13.82561712,-14.28452051,-14.74986831,-15.20708576,-15.64668339,-16.06475525,-16.46695475,-16.87068254,-17.29992271,-17.77419305,-18.28849373,-18.81704932,-19.32580203,-19.78477525,-20.17458932,-20.48322983,-20.69443237,-20.77144186,-20.64073085,-20.18352525,-19.24904424,-17.69998508,-15.48906373,-12.74667,-10.0115,-7.81775,-6.203024,-5.360046,-5.345844,-6.090225,-7.428742,-9.144343,-11.00593,-12.797109,-14.33448,-15.417657,-16.015946,-16.122214,-15.78172,-15.08348,-14.147072,-13.107335,-12.099262,-11.244811,-10.64236,-10.401304,-10.500616,-10.912772,-11.577638,-12.411175,-13.316636,-14.197109,-14.967824,-15.566383,-15.95899,-16.118344,-16.096914,-15.933011,-15.673238,-15.37101,-15.083202,-14.862957,-14.74915,-14.75514,-14.86125
-3.25063,-2.425225763,-1.571627119,-0.635335254,0.483400339,1.795065593,3.178755085,4.421048305,5.277422542,5.555538305,5.201997627,4.328963559,3.16207339,1.96062661,0.954372034,0.300565254,0.059355763,0.193980508,0.592320508,1.098632034,1.551326949,1.826560169,1.878134407,1.751852542,1.559087797,1.421191186,1.415062373,1.547535254,1.766017288,1.991269831,2.150874915,2.200507797,2.130298983,1.958433559,1.718060339,1.442826441,1.154834576,0.860065424,0.552717966,0.223361695,-0.136519661,-0.534932881,-0.97765661,-1.462027119,-1.974051525,-2.495967627,-3.022218475,-3.573794915,-4.199173898,-4.956815085,-5.88920661,-7.004198305,-8.265822712,-9.586289322,-10.81248898,-11.71239661,-11.98670644,-11.33427864,-9.57078339,-6.7528,-3.2916,0.19239675,3.1969095,5.28504225,6.285561,6.30922125,5.646869,4.619993,3.470582,2.33130125,1.25783,0.27808,-0.573725,-1.246745,-1.6853195,-1.85550625,-1.768006,-1.478454,-1.0661205,-0.61063575,-0.18288,0.15043625,0.32204,0.272921,-0.02558,-0.55323875,-1.2437405,-2.008524,-2.764089,-3.44718575,-4.0161225,-4.44608475,-4.726742,-4.86412025,-4.884137,-4.8316,-4.757572,-4.69832275,-4.661647,-4.62761825,-4.5476
-9.03422,-8.47603,-7.5916,-6.29255,-4.611,-2.82789,-1.39304,-0.68636,-0.8301,-1.68208,-2.95767,-4.35607,-5.63437,-6.63967,-7.31393,-7.67692,-7.79635,-7.75795,-7.64385,-7.52241,-7.44569,-7.4438,-7.51598,-7.63204,-7.75178,-7.85003,-7.92941,-8.01586,-8.14395,-8.33823,-8.59804,-8.89625,-9.19546,-9.46982,-9.71661,-9.95434,-10.21296,-10.52212,-10.90064,-11.35005,-11.85499,-12.38919,-12.92391,-13.43747,-13.92126,-14.37841,-14.81678,-15.24138,-15.65173,-16.04649,-16.43115,-16.82239,-17.2431,-17.70168,-18.15751,-18.49562,-18.54484,-18.15242,-17.27662,-16.02419,-14.59682,-13.19092,-11.92496,-10.82831,-9.87636,-9.03767,-8.30515,-7.70099,-7.26114,-7.01346,-6.9629,-7.08813,-7.3444,-7.6689,-7.98699,-8.21872,-8.29167,-8.16219,-7.83223,-7.34929,-6.79182,-6.25165,-5.82019,-5.57574,-5.56693,-5.79504,-6.2064,-6.70394,-7.17788,-7.54571,-7.78345,-7.92882,-8.0546,-8.23562,-8.52348,-8.91992,-9.35669,-9.70923,-9.84912,-9.70339,-9.27169
-9.412,-9.788685932,-10.07621814,-9.948970847,-9.150845254,-7.67896339,-5.819677797,-4.024967797,-2.72036661,-2.147335763,-2.311441356,-3.044042203,-4.112504746,-5.296467966,-6.406561017,-7.283135593,-7.814341864,-7.972429153,-7.833659831,-7.551598136,-7.290749153,-7.159947119,-7.182308136,-7.309759153,-7.464935254,-7.583351695,-7.635635085,-7.626852712,-7.582175763,-7.529488305,-7.487699322,-7.464961186,-7.465885763,-7.50042339,-7.585403729,-7.739113898,-7.972868305,-8.284611017,-8.657441186,-9.063412542,-9.471950169,-9.859919831,-10.21867746,-10.55421966,-10.88152305,-11.21881475,-11.58572763,-12.00317695,-12.49080475,-13.06156915,-13.71721542,-14.44789458,-15.23370407,-16.04186458,-16.81422898,-17.4476822,-17.78571068,-17.64961441,-16.92050102,-15.63499,-14.07622,-12.6235845,-11.476616,-10.7856115,-10.560156,-10.69646,-11.033992,-11.410843,-11.699578,-11.820975,-11.741835,-11.4653295,-11.02009,-10.450099,-9.80533,-9.134435,-8.48198,-7.889966,-7.399647,-7.049957,-6.87187,-6.889996,-7.081417,-7.406387,-7.804232,-8.205035,-8.546459,-8.7926595,-8.948086,-9.05658,-9.180335,-9.3652495,-9.610694,-9.863344,-10.043157,-10.0897875,-10.001932,-9.8436365,-9.712891,-9.691657,-9.80104
-1.95472,-1.45571322,-0.548587797,0.874137627,2.770871186,4.889154237,6.842796949,8.279851186,8.973508475,8.802191525,7.745315424,5.986779661,4.034677627,2.396561186,1.417662881,1.136208475,1.310006102,1.584384915,1.689160339,1.550138305,1.270482712,1.027593898,0.911345254,0.894029153,0.888754237,0.827221017,0.703207288,0.563895593,0.471286271,0.467343729,0.561819492,0.7219,0.893944915,1.029624576,1.096647627,1.084038305,0.994816441,0.832618136,0.593672542,0.271331525,-0.132082881,-0.583377797,-1.04109339,-1.475384237,-1.877985593,-2.258745424,-2.625852203,-2.97009661,-3.270962881,-3.504495593,-3.621124915,-3.568892712,-3.322588644,-2.922039322,-2.465822373,-2.044121525,-1.66871339,-1.292737119,-0.922364237,-0.6933,-0.80023,-1.233747,-1.936323,-2.831266,-3.812624,-4.7622275,-5.565645,-6.1062025,-6.300904,-6.196212,-5.8274,-5.2421165,-4.492056,-3.626258,-2.686124,-1.734395,-0.82366,-0.002587,0.684048,1.19876,1.51428,1.5708645,1.421677,1.090604,0.616528,0.0535925,-0.530958,-1.051991,-1.427856,-1.6711935,-1.8205,-1.9270505,-2.036524,-2.172281,-2.314758,-2.4123775,-2.451264,-2.446215,-2.422415,-2.398537,-2.36775
