V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
5.795814000,4.169881186,2.416474831,0.896261831,-0.454663831,-1.878119508,-3.316682322,-4.511568441,-5.265460153,-5.443393627,-4.941337203,-3.738612949,-2.104049576,-0.453431119,0.784020068,1.364514153,1.305256712,0.832750475,0.201913847,-0.425893610,-1.003516458,-1.510182915,-1.912130898,-2.208347254,-2.361162695,-2.329626424,-2.116687644,-1.761158831,-1.359700610,-1.002029017,-0.723370407,-0.560254508,-0.492869932,-0.463029831,-0.427923339,-0.372807475,-0.297279458,-0.197855136,-0.042772593,0.220609254,0.597978593,1.004167237,1.349367136,1.581078271,1.702582458,1.781121525,1.899492034,2.106800831,2.414875271,2.776867153,3.101888559,3.356143881,3.536634102,3.653536678,3.777045034,3.971876898,4.142632220,4.072730831,3.643314763,2.975254000,2.390311000,2.055297667,1.919814000,1.956966462,2.097023821,2.251614897,2.329151769,2.248776795,1.957361051,1.446297308,0.818658897,0.120713974,-0.635207308,-1.438346000,-2.267362615,-3.094212077,-3.873640282,-4.546749718,-5.103111000,-5.520180128,-5.773762590,-5.835604538,-5.669865154,-5.231739667,-4.449071000,-3.330175538,-1.939771333,-0.338119154,1.403077410,3.192370846,4.911795154,6.419598128,7.524364487,8.198469308,8.458032718,8.353691949,7.978935154,7.416716077,6.683607949,5.705516000,4.890746598
2.149640000,1.929213797,2.598798712,4.174475475,5.436130661,5.276870593,4.057657678,2.994799034,2.712105983,3.038401068,3.624979373,4.207409458,4.592025356,4.748515271,4.810526119,4.896420864,5.016566424,5.138172678,5.241360271,5.293164983,5.271915949,5.173313475,5.018587847,4.827818492,4.589324814,4.290548712,3.918605576,3.464907712,2.947574424,2.401140831,1.849286186,1.309859915,0.832827305,0.500358593,0.373597017,0.464373322,0.728960424,1.092547814,1.465999186,1.777961322,1.985450847,2.077053797,2.063238814,1.985210508,1.916150102,1.932127119,2.081614644,2.353422119,2.676388119,2.978985017,3.257801220,3.551067339,3.863331610,4.145206542,4.311523458,4.235669949,3.778203305,2.939818119,1.943117847,1.013981000,0.264586000,-0.313024795,-0.733110462,-0.988720692,-1.122347795,-1.181422103,-1.191493769,-1.177684923,-1.196458513,-1.310266615,-1.553295795,-1.929353615,-2.428633231,-3.035907000,-3.728020205,-4.478426923,-5.268948487,-6.085124538,-6.903328923,-7.699815795,-8.449280205,-9.090185231,-9.525521026,-9.692344846,-9.581977000,-9.184430744,-8.449383333,-7.291831846,-5.631549615,-3.495002128,-1.108050385,1.130100590,2.825118333,3.781858692,4.050119436,3.845161769,3.434434923,2.993058667,2.551448103,2.126616000,1.690598256
5.855076000,6.157750780,6.506872966,6.692447237,6.339985610,5.297639847,3.880088847,2.637425237,1.945468983,1.878412492,2.292548525,2.895531695,3.395882966,3.653325898,3.654541407,3.475739102,3.231520339,3.030075169,2.918871661,2.882090136,2.902085814,2.931563186,2.942900102,2.943530441,2.928712424,2.864202949,2.707784678,2.441514373,2.084510983,1.702478763,1.345279593,1.041212695,0.839508712,0.788004695,0.906174322,1.161804000,1.478645508,1.809455424,2.152208000,2.499227102,2.818710847,3.071205254,3.240924780,3.349497288,3.445297881,3.571429932,3.762716712,4.040048068,4.393672305,4.777224814,5.099911881,5.264409797,5.230321797,5.054021322,4.829090169,4.598258475,4.351511085,4.075756085,3.793402271,3.546391000,3.380963000,3.290080128,3.230886821,3.191337538,3.165804359,3.146419231,3.122189462,3.081571872,3.011454282,2.886890923,2.709757897,2.489371949,2.237457231,1.961747000,1.663980538,1.343650308,1.014477128,0.700159333,0.412467769,0.161360282,-0.045129564,-0.197252231,-0.283129744,-0.292400000,-0.214540000,-0.067920410,0.136478667,0.401380615,0.742918359,1.192189333,1.786664462,2.548324154,3.434539385,4.284394615,4.987574923,5.511030359,5.876918769,6.132405385,6.320909872,6.467551000,6.642101034
-2.337612000,-1.896138508,-1.471852746,-1.218794576,-1.515961017,-2.637942119,-4.315502932,-5.842458407,-6.646359186,-6.620242000,-6.011342271,-5.222262949,-4.627155831,-4.408072390,-4.535972932,-4.856467458,-5.175403085,-5.339408119,-5.280322492,-5.041901932,-4.749394136,-4.479378068,-4.297731407,-4.204603814,-4.151429627,-4.122477322,-4.162539203,-4.339554424,-4.699864475,-5.232637492,-5.845819593,-6.436166610,-6.966203458,-7.390702339,-7.624296966,-7.579275814,-7.225467492,-6.657050983,-6.022817102,-5.386903373,-4.739234932,-4.098244237,-3.512859017,-3.033749169,-2.660115271,-2.339366237,-2.009174068,-1.631209169,-1.166531847,-0.577489542,0.145738085,0.952674441,1.724430678,2.294929593,2.526058237,2.434235915,2.189926220,1.929412593,1.665431441,1.344122000,0.949876000,0.521068769,0.089034359,-0.308313615,-0.641208974,-0.911659795,-1.136338462,-1.322334308,-1.489013154,-1.661905308,-1.862693590,-2.121261615,-2.474442846,-2.938932333,-3.500274103,-4.134962769,-4.828929769,-5.568604846,-6.298542462,-6.944350744,-7.440696256,-7.741991000,-7.832987154,-7.699586026,-7.363795923,-6.877363487,-6.305869000,-5.721026615,-5.199960436,-4.782025410,-4.423288692,-4.016969231,-3.493217231,-2.906463000,-2.399831846,-2.073152128,-1.894814615,-1.746483897,-1.522106436,-1.193980000,-0.935019547
0.219187000,0.039693525,-0.530507051,-1.055849237,-1.046797169,-0.538535915,-0.065612119,-0.007998864,-0.272148831,-0.564506475,-0.751388847,-0.898987712,-1.032404203,-1.058736576,-0.953630678,-0.761889661,-0.495135119,-0.136336881,0.291957153,0.702924610,1.004705186,1.160791288,1.182889610,1.081425203,0.875956203,0.633516966,0.426923407,0.298449085,0.268179559,0.369775237,0.625257271,1.026913983,1.530676966,2.072403000,2.592961508,3.080274373,3.535956729,3.960914831,4.357360068,4.719557559,5.038122492,5.320783780,5.577835542,5.792120525,5.943874102,6.049879254,6.184093797,6.428353864,6.799320712,7.225349797,7.619526847,7.982173712,8.363700898,8.746152153,9.096781746,9.445737237,9.775867475,9.951431508,9.789543949,9.185671000,8.312437000,7.429302641,6.581781718,5.845882000,5.245854769,4.771500897,4.401930385,4.121032821,3.918808744,3.782399615,3.695560128,3.640510641,3.585793846,3.511615333,3.403694564,3.238485462,2.983873923,2.617581744,2.143692846,1.580986154,0.936288846,0.281823538,-0.316170692,-0.817681846,-1.189506769,-1.398126769,-1.408655333,-1.189324769,-0.726469513,-0.058391000,0.699009000,1.325090026,1.627110051,1.527233846,1.119916026,0.649827872,0.379032923,0.417524923,0.627870641,0.710800000,0.878673598
17.202790000,17.511813560,16.548090000,14.649517120,12.680904240,11.480491190,11.384911020,12.164380680,13.254807970,14.069594240,14.253813220,13.792800680,12.947004580,12.072832030,11.451142370,11.214303390,11.364852710,11.825600000,12.482721190,13.216790340,13.924689660,14.533465420,15.007901530,15.349856780,15.589092030,15.773152200,15.959001530,16.199284070,16.522310170,16.920307630,17.353907120,17.759732370,18.065219320,18.205552540,18.149028310,17.914841020,17.568460000,17.197305590,16.884431360,16.693315760,16.659436780,16.778767970,17.001300850,17.245438310,17.427367630,17.488341530,17.409524580,17.210576950,16.936461020,16.638134580,16.344659830,16.037927970,15.661632200,15.171695590,14.589004240,14.009669320,13.565525590,13.365445930,13.454723390,13.807980000,14.329740000,14.901345500,15.468505000,15.984630000,16.436700000,16.838280000,17.213165000,17.583269000,17.966036000,18.373822500,18.809195000,19.260016000,19.700804000,20.100516000,20.431516000,20.675602500,20.826202000,20.886620000,20.865661000,20.774853000,20.627660000,20.439436500,20.236480000,20.044375500,19.877252000,19.721672500,19.526285000,19.204280500,18.656346000,17.812542500,16.675425000,15.344645500,14.009660000,12.905566500,12.244243000,12.153212500,12.652226000,13.663183500,15.017436000,16.435149000,17.506920000
-13.567820000,-12.834712540,-12.042101690,-11.221756270,-10.432645250,-9.754766441,-9.239574407,-8.865239322,-8.557514068,-8.269265424,-8.040280508,-7.972053220,-8.135296949,-8.493443220,-8.907382881,-9.205985085,-9.267423559,-9.092074576,-8.749187966,-8.337161017,-7.942620847,-7.619631017,-7.388098305,-7.240189661,-7.147464237,-7.071081525,-6.975948475,-6.842069322,-6.668773220,-6.474981356,-6.300381525,-6.199441695,-6.216208475,-6.371333220,-6.655623390,-7.038131695,-7.480083220,-7.944589492,-8.397715085,-8.804168983,-9.124977797,-9.323105424,-9.375909831,-9.287143898,-9.091555085,-8.851635085,-8.649435932,-8.558569492,-8.636046271,-8.914002203,-9.392245932,-10.030901190,-10.748708810,-11.434667290,-11.970784070,-12.255071860,-12.216834580,-11.824102030,-11.087956610,-10.069740000,-8.963850000,-7.974543000,-7.113684000,-6.467401000,-6.084034000,-5.970065000,-6.094864000,-6.400381000,-6.812390000,-7.250842000,-7.638310000,-7.884073000,-7.950500000,-7.814750000,-7.474676000,-6.944785000,-6.251054000,-5.426681000,-4.509934000,-3.544229000,-2.579420000,-1.691120000,-0.947740000,-0.422437000,-0.187612000,-0.305890000,-0.818416000,-1.733035000,-3.015358000,-4.585542000,-6.322830000,-8.058318000,-9.626422000,-10.913070000,-11.847144000,-12.403915000,-12.601106000,-12.489593000,-12.141102000,-11.635138000,-11.046790000
-2.063150000,-1.303328475,-0.808304068,-0.547061525,-0.393517797,-0.248396610,-0.104010169,-0.008461864,0.016988305,0.029569492,0.141262712,0.441626441,0.933526780,1.529775932,2.102787797,2.546477627,2.815879661,2.931915593,2.958585085,2.970785085,3.029042712,3.168072881,3.400902034,3.731064915,4.158523220,4.674306271,5.252560508,5.849452203,6.409543051,6.872395085,7.175562881,7.261785763,7.098052203,6.698135424,6.128805254,5.488462034,4.870185424,4.332870678,3.892616102,3.532019661,3.220280678,2.934096441,2.667790000,2.429728136,2.231476610,2.078224915,1.965704915,1.881899153,1.807035424,1.711382542,1.556197797,1.300301864,0.908196102,0.356673220,-0.357309492,-1.206271356,-2.123683559,-3.000887627,-3.693068644,-4.042150000,-3.924890000,-3.334400750,-2.355295000,-1.143944000,0.123247000,1.309426250,2.344064500,3.215651500,3.947194000,4.569584250,5.103315000,5.554730500,5.925865000,6.229631500,6.498062000,6.776016250,7.105630000,7.509543500,7.974244000,8.437628500,8.790770000,8.898840000,8.635816500,7.921797250,6.750418000,5.195158750,3.389896000,1.492094250,-0.353580000,-2.038896250,-3.501622500,-4.722463500,-5.710262000,-6.479443000,-7.028965000,-7.333983750,-7.357190000,-7.076974250,-6.518399500,-5.764994750,-4.933310000
-12.282760000,-11.667200000,-11.016100000,-10.158270000,-8.897910000,-7.224320000,-5.410150000,-3.906530000,-3.113990000,-3.186180000,-3.978500000,-5.146150000,-6.307550000,-7.180410000,-7.643960000,-7.728180000,-7.555540000,-7.268850000,-6.976300000,-6.729840000,-6.532870000,-6.359060000,-6.169340000,-5.924490000,-5.596240000,-5.178370000,-4.694730000,-4.198560000,-3.757420000,-3.429050000,-3.244020000,-3.202130000,-3.277160000,-3.422510000,-3.578830000,-3.688880000,-3.717150000,-3.663770000,-3.565730000,-3.484660000,-3.483920000,-3.602440000,-3.839260000,-4.158060000,-4.506250000,-4.836400000,-5.121830000,-5.362630000,-5.581720000,-5.812080000,-6.078420000,-6.382360000,-6.701630000,-7.001280000,-7.244450000,-7.397210000,-7.432930000,-7.341230000,-7.134830000,-6.840840000,-6.476510000,-6.030560000,-5.470500000,-4.772030000,-3.946460000,-3.045590000,-2.142650000,-1.304920000,-0.573570000,0.041820000,0.554250000,0.983840000,1.345190000,1.641940000,1.868890000,2.020750000,2.101240000,2.127850000,2.132090000,2.154250000,2.232680000,2.392210000,2.635420000,2.934720000,3.224230000,3.397220000,3.317540000,2.847850000,1.888620000,0.416120000,-1.493740000,-3.668670000,-5.875000000,-7.875310000,-9.484340000,-10.597910000,-11.191950000,-11.309740000,-11.053190000,-10.575630000,-10.051590000
7.796540000,7.901213051,8.046014237,8.099444576,7.999230000,7.795265424,7.579577458,7.377067288,7.114752881,6.693794407,6.082293559,5.347374237,4.617374407,4.017162373,3.619950339,3.432438305,3.408557797,3.480519831,3.592836949,3.723159153,3.881122881,4.091166610,4.373668983,4.733409831,5.155823220,5.609854915,6.056445424,6.458981695,6.791623559,7.041931525,7.203672373,7.269626102,7.231556780,7.091086949,6.870591864,6.601982712,6.307535763,5.994564576,5.665695763,5.330999492,5.011707966,4.734722712,4.522382712,4.383310339,4.308274915,4.271229492,4.233557119,4.150643390,3.979472542,3.683790000,3.235948983,2.617847119,1.822245424,0.854680000,-0.261099153,-1.469807119,-2.668263051,-3.704122881,-4.406034915,-4.639060000,-4.361950000,-3.676933500,-2.689121000,-1.515141000,-0.269070000,0.955177500,2.092163000,3.105437000,3.983834000,4.736696000,5.388695000,5.973558500,6.527102000,7.081108500,7.658554000,8.270030000,8.912998000,9.575191500,10.238826000,10.881640000,11.476340000,11.985511500,12.380383000,12.633202000,12.722096000,12.631297500,12.352237000,11.888123500,11.260756000,10.515022000,9.716980000,8.943521500,8.264310000,7.720412500,7.309103000,6.987117500,6.698300000,6.414072500,6.157985000,5.991136500,5.964850000
