V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
4.509093000,4.815932237,4.344478746,3.686602051,3.569998203,3.982190237,4.645081661,5.358757102,5.926671492,6.219339627,6.299699797,6.295556119,6.206391542,5.970158407,5.558180610,5.005530525,4.433755051,4.000782610,3.788524119,3.769827847,3.872928407,4.032781712,4.194213576,4.311811797,4.376834712,4.392097847,4.353150847,4.270948780,4.173834627,4.079165661,3.990838186,3.893333847,3.780521390,3.672344644,3.591974424,3.559408169,3.596998661,3.725203831,3.961049932,4.329497966,4.860707576,5.553231136,6.404016932,7.422609797,8.610250034,9.972885712,11.538041560,13.349662970,15.453737860,17.908323510,20.852409270,24.345238950,28.306051030,32.514711320,36.803685460,41.087245030,45.235437310,49.075980070,52.498475710,55.548134000,58.108757000,60.227438230,62.202524100,63.960670620,65.441949720,66.616435360,67.486132690,68.076485100,68.414615970,68.509322770,68.407406100,68.103930030,67.574463000,66.786552670,65.711189790,64.332700460,62.639494360,60.666615640,58.470178850,56.066775720,53.470384030,50.691224380,47.735003720,44.604254490,41.289109770,37.811525050,34.214424330,30.552574690,26.896800740,23.313920100,19.852523850,16.542783280,13.441788870,10.578910620,8.035625410,5.969244641,4.561294462,3.927498154,4.024088974,4.582974000,4.833662889
12.691176000,14.667908580,15.891506710,17.315666690,19.674793610,22.409792390,24.590550730,26.001546200,26.814922410,27.116166900,27.110218590,27.017791660,26.804364610,26.344639120,25.616308340,24.678591710,23.612996360,22.497886510,21.374642140,20.242992590,19.083866660,17.880472560,16.648917760,15.419760170,14.212838970,13.039435850,11.898775240,10.789868390,9.701472559,8.621153169,7.545278729,6.474947034,5.428680559,4.446070017,3.576582119,2.866823305,2.349318915,2.037337695,1.929175373,2.020842559,2.315358542,2.797839220,3.449386508,4.263813169,5.231223305,6.326898627,7.536241915,8.868541712,10.356830490,12.056915490,14.044737460,16.405830780,19.216982850,22.529907460,26.365519050,30.669525030,35.236012800,39.778180970,44.145321070,48.354939000,52.233105000,55.717456670,58.912780130,61.771920920,64.258357590,66.322264770,67.947774620,69.171224330,70.037537590,70.566541310,70.761201770,70.629913360,70.187630080,69.441568670,68.387705380,67.019530080,65.330364920,63.305270790,60.933442230,58.216101330,55.149701670,51.747289080,48.052927820,44.094834460,39.880909310,35.429429280,30.819511330,26.220088690,21.856245050,17.928195770,14.555030150,11.784778030,9.636435333,8.120293231,7.247815744,7.065260949,7.647009692,8.994203974,10.950261510,13.132087000,15.163400520
17.879490000,18.694513860,19.551598580,20.661717100,22.040966810,23.480536050,24.760410660,25.804128930,26.657617800,27.384246100,27.940901900,28.199796780,28.170107640,27.929523930,27.560933850,27.134564830,26.698743150,26.263966760,25.806062170,25.304424880,24.772862080,24.235014560,23.703762470,23.184629930,22.674572070,22.170056120,21.671744390,21.182180120,20.709868850,20.275600930,19.884569370,19.520341690,19.183090510,18.889985860,18.652412410,18.470827660,18.345484970,18.283548270,18.302301970,18.414965080,18.633907980,18.956945690,19.381379000,19.915024800,20.577747540,21.394482490,22.401860800,23.650815420,25.184913690,27.021934810,29.164664420,31.548483220,34.119440170,36.819240660,39.559656120,42.248085440,44.825494460,47.258208080,49.506632900,51.527557000,53.126339000,54.314567510,55.312982100,56.106574150,56.681984150,57.032761740,57.162091690,57.082470310,56.805338920,56.326603770,55.676434490,54.850730100,53.845739850,52.664714670,51.317884720,49.817159920,48.158843050,46.331505460,44.347802690,42.218369820,39.963964510,37.611954770,35.191201560,32.726336640,30.233824540,27.730022080,25.238215670,22.791190000,20.435554310,18.236271690,16.280258460,14.677008150,13.630085380,13.172707230,13.247904260,13.752602510,14.563728310,15.560591280,16.632475510,17.672981000,18.734405650
10.721106000,11.870120880,12.920761460,14.276693680,16.039137070,17.858726220,19.315833510,20.270798920,20.847704000,21.237879690,21.496366410,21.492590760,21.112308900,20.414489470,19.550976660,18.641767830,17.755366310,16.933825470,16.176181640,15.429021900,14.647544370,13.862810880,13.124317970,12.461428610,11.884934830,11.391125780,10.981748880,10.655246610,10.391730950,10.167252140,9.986886254,9.862003136,9.776992695,9.712549373,9.667046441,9.660892237,9.711927763,9.816682373,9.963349186,10.168253120,10.475845390,10.910054830,11.474689540,12.164559750,12.980640320,13.935325710,15.048128390,16.346281440,17.883011810,19.729664590,21.939529140,24.517680460,27.424075580,30.590041580,33.942533780,37.415846320,40.914808020,44.310768760,47.518421240,50.534916000,53.251381000,55.680057210,57.924458410,59.938613080,61.683728950,63.127981130,64.241573080,64.995540410,65.371436310,65.374609310,65.031540080,64.370475920,63.409481380,62.152318330,60.587576950,58.708246620,56.534422330,54.098426130,51.411848850,48.459753310,45.236398690,41.780442540,38.149027790,34.409323050,30.627173310,26.842740670,23.075775330,19.356283230,15.740417670,12.323525690,9.255155769,6.737621923,4.986267872,4.149478308,4.225812974,5.046263128,6.352634923,7.895070641,9.450064513,10.806568000,12.295398410
10.933577000,12.902804460,14.159112460,15.138307610,16.467338800,18.379460470,20.667776310,22.866229250,24.564481190,25.614536340,26.114195050,26.282130220,26.309651360,26.264895150,26.126585000,25.857817540,25.445552150,24.902682290,24.270666390,23.590285510,22.859833080,22.064297290,21.210084080,20.316514730,19.409788050,18.529857980,17.697841370,16.901708070,16.113451150,15.320470710,14.533212680,13.779253340,13.087368530,12.484134730,11.979885580,11.555748420,11.206476390,10.953513140,10.821719360,10.839870310,11.028298830,11.408023850,12.001712830,12.812352460,13.815143030,14.989392250,16.346003980,17.914036860,19.748499080,21.896348050,24.403268020,27.289242640,30.520912610,34.005414530,37.649114900,41.401558660,45.223607950,49.044438020,52.772052290,56.355671000,59.512379000,62.183929900,64.668336970,66.923744000,68.905754720,70.579967490,71.927544150,72.949457280,73.666276310,74.106830000,74.271353330,74.121126460,73.669336080,72.918645330,71.887919870,70.594570770,69.042351640,67.223885870,65.131325150,62.759587900,60.082576100,57.099770230,53.845698620,50.343174000,46.615326690,42.692616970,38.618306330,34.445174920,30.228201720,26.028697950,21.938001150,18.048490820,14.468926130,11.350755920,8.892630923,7.304199564,6.736543154,7.199933641,8.501962897,10.251997000,11.703361210
19.948290000,20.881965080,22.069906100,23.639266610,25.519576780,27.495800170,29.331983560,30.860598810,32.014941020,32.821317290,33.372776780,33.786413390,34.145806950,34.463377970,34.688492030,34.745538980,34.575569660,34.163790000,33.542426270,32.772146950,31.921055420,31.053701360,30.223470680,29.466083220,28.799245930,28.224954580,27.733183730,27.310961530,26.951543560,26.657921860,26.441207800,26.308927120,26.257492030,26.277474750,26.358399660,26.491843560,26.669819150,26.881554410,27.114207120,27.358426440,27.613099490,27.885628140,28.189665760,28.543131690,28.967755930,29.490224070,30.144008810,30.971202540,32.022333050,33.350605590,34.996589320,36.966808810,39.223615760,41.699227120,44.322496950,47.037304920,49.803873050,52.586471690,55.343158980,58.032190000,60.539380000,62.814791500,64.954429000,66.896965000,68.564384000,69.885885000,70.819761000,71.361971500,71.539892000,71.396742500,70.974210000,70.300226500,69.385344000,68.226967000,66.818096000,65.157132500,63.256622000,61.148456000,58.880905000,56.504730500,54.053550000,51.524849500,48.891668000,46.106864500,43.125426000,39.926142500,36.531567000,33.020222000,29.522200000,26.198393500,23.214450000,20.716173500,18.807296000,17.534042500,16.881969000,16.782645000,17.123140000,17.757692000,18.529318000,19.309945500,20.055230000
10.909290000,11.717575420,13.036241190,14.782352030,16.828044750,19.036227290,21.286877120,23.474606100,25.495709490,27.252779490,28.679528640,29.762474240,30.535114070,31.046704240,31.331598310,31.398069660,31.240429660,30.870915590,30.295993730,29.525185930,28.574701020,27.472103730,26.255661020,24.967569320,23.645867970,22.320110680,21.012000340,19.738800000,18.515603050,17.353832710,16.260492540,15.234624240,14.272446440,13.377802540,12.563320850,11.847756610,11.250705420,10.789675590,10.478810170,10.325612200,10.328053900,10.477392200,10.765401020,11.189639660,11.754162370,12.475892200,13.367691020,14.452292880,15.763131690,17.338076610,19.211466100,21.405974240,23.929203050,26.775577460,29.928000340,33.353861020,36.998421530,40.782351530,44.603902880,48.344070000,51.652950000,54.377250000,56.822878000,58.968428000,60.812462000,62.366185000,63.643428000,64.651227000,65.383874000,65.822290000,65.938930000,65.661298000,65.020594000,64.025533000,62.699698000,61.075890000,59.189878000,57.074800000,54.757258000,52.256009000,49.584080000,46.738910000,43.768204000,40.710413000,37.613126000,34.527905000,31.504332000,28.584777000,25.801320000,23.175925000,20.724370000,18.489445000,16.471344000,14.694343000,13.180696000,11.947445000,11.005618000,10.362370000,10.025362000,10.007467000,10.328740000
6.040860000,7.356787797,8.814375593,10.406712540,12.066607460,13.684954070,15.158056780,16.422960000,17.459883390,18.268810000,18.847098140,19.184713900,19.271058980,19.103349660,18.694005250,18.074581530,17.292643900,16.401577630,15.449378640,14.472990340,13.499346270,12.546752200,11.621871860,10.717445590,9.818499153,8.914616102,8.009052712,7.119663559,6.270702881,5.480086780,4.753593559,4.089893898,3.488583390,2.954701356,2.499533220,2.139807797,1.896445763,1.792470000,1.849594746,2.084244068,2.504694915,3.109755424,3.888765932,4.825206780,5.904259661,7.119991864,8.477389153,9.989413729,11.674832030,13.561294580,15.690547120,18.114179490,20.871478470,23.956407120,27.296978310,30.769141860,34.243451690,37.634007460,40.911330510,44.070590000,47.037560000,49.740162500,52.187975000,54.325146000,56.119548000,57.555278750,58.620504500,59.305660250,59.611718000,59.556743000,59.172530000,58.493262000,57.545467000,56.346067750,54.904995000,53.224805000,51.295118000,49.092172750,46.595784000,43.816327500,40.807770000,37.653131000,34.433963000,31.206954750,27.999762000,24.822236250,21.683986000,18.609703750,15.645046000,12.852362250,10.301342500,8.059015000,6.182588000,4.716471250,3.690260500,3.113910000,2.971885000,3.222337750,3.805752000,4.662329750,5.752370000
8.468960000,10.007230000,11.645190000,13.385210000,15.152990000,16.808830000,18.246020000,19.460980000,20.516960000,21.450990000,22.227010000,22.767130000,23.005780000,22.914740000,22.500130000,21.793130000,20.842430000,19.706790000,18.446650000,17.115460000,15.752780000,14.380560000,13.003680000,11.616420000,10.213460000,8.800220000,7.397330000,6.037710000,4.758270000,3.590990000,2.559370000,1.681920000,0.976720000,0.458350000,0.129070000,0.025830000,0.034170000,0.071240000,0.260710000,0.515490000,0.832890000,1.224440000,1.707650000,2.296740000,2.999920000,3.823950000,4.780330000,5.888790000,7.178320000,8.685370000,10.447980000,12.497380000,14.850770000,17.507630000,20.450560000,23.646690000,27.047250000,30.591820000,34.222530000,37.895930000,41.573460000,45.194160000,48.656680000,51.831470000,54.597430000,56.877970000,58.655290000,59.959920000,60.846590000,61.369970000,61.570270000,61.468970000,61.071100000,60.372200000,59.368740000,58.066550000,56.481350000,54.632110000,52.535230000,50.204850000,47.656610000,44.908630000,41.976850000,38.871540000,35.604170000,32.201610000,28.713760000,25.207180000,21.751910000,18.410830000,15.236560000,12.282280000,9.622580000,7.366090000,5.641110000,4.557110000,4.161900000,4.415970000,5.197940000,6.344760000,7.715380000
11.159650000,11.958259660,12.520814580,13.043954580,13.792450510,14.913237970,16.343746440,17.865614410,19.224014750,20.217381190,20.736651020,20.773932540,20.408112710,19.766816270,18.977390340,18.129945930,17.266157630,16.390152880,15.489024410,14.550263730,13.569124240,12.548736100,11.498856610,10.435566100,9.381805424,8.367434746,7.425950000,6.588845424,5.880750847,5.315631864,4.896514915,4.611150169,4.434709492,4.333872373,4.267744746,4.200418136,4.115871695,4.024153729,3.956608305,3.957036780,4.074577627,4.358042203,4.850088136,5.581422712,6.566528136,7.803366102,9.279265424,10.981271860,12.906249490,15.065462030,17.480529320,20.172609830,23.150664580,26.403013900,29.892342880,33.553253050,37.295532200,41.018350680,44.633597800,48.083880000,51.233850000,54.035286000,56.625483000,58.959722500,60.988318000,62.671172500,63.988654000,64.944694000,65.562310000,65.873931500,65.909960000,65.689106000,65.213976000,64.473978000,63.453999000,62.144000000,60.544978000,58.669851000,56.540241000,54.180754500,51.612990000,48.839683500,45.873795000,42.710292500,39.347440000,35.799570000,32.108316000,28.348580500,24.625976000,21.064550000,17.788710000,14.907052000,12.504660000,10.643441500,9.363665000,8.679690000,8.567722000,8.949825500,9.684043000,10.574193500,11.409120000
