V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,
-2.431791,-2.951618017,-3.484014712,-3.673829831,-3.658567661,-3.727046559,-3.927118831,-4.152013593,-4.311205492,-4.363390407,-4.363371186,-4.487168169,-4.758466051,-5.002484864,-5.030163085,-4.834581254,-4.570322136,-4.370307644,-4.240149525,-4.140142068,-4.034650576,-3.883448898,-3.704894068,-3.526351102,-3.354037203,-3.207696949,-3.098940542,-2.998126712,-2.895753831,-2.824682864,-2.802173051,-2.816119797,-2.848538186,-2.891823847,-2.94123478,-2.990287136,-3.031892203,-3.061432966,-3.084765119,-3.10796939,-3.128570237,-3.125388458,-3.099178288,-3.073127542,-3.06378422,-3.091185373,-3.156866559,-3.243857339,-3.377566305,-3.595493542,-3.936608068,-4.450570814,-5.144533186,-5.909140915,-6.536491,-6.814159898,-6.672008322,-6.235373712,-5.741025797,-5.370921,-5.172955,-5.072553,-4.989412692,-4.908363,-4.846364769,-4.836778359,-4.917867923,-5.123802179,-5.480557205,-6.014927538,-6.673539436,-7.431530205,-8.266683231,-9.138581,-9.990110897,-10.76539831,-11.41388379,-11.91172477,-12.29896069,-12.57710346,-12.71418623,-12.66018531,-12.36902331,-11.81925977,-10.99470485,-9.946182077,-8.752258333,-7.499745154,-6.281228795,-5.189573256,-4.307836077,-3.688930795,-3.348345821,-3.154587769,-2.992313051,-2.788160538,-2.544336231,-2.330674179,-2.247141462,-2.368783,-2.017250341
-6.03744,-6.743898932,-7.089540763,-6.683747458,-5.874416915,-5.20327722,-5.119291864,-5.428936153,-5.578765136,-5.521946983,-5.476895695,-5.55206122,-5.740612644,-5.940773068,-6.037016288,-5.981406373,-5.796401898,-5.532691966,-5.239859864,-4.969051034,-4.756173441,-4.604218424,-4.484954305,-4.370633492,-4.260871271,-4.180875034,-4.160001119,-4.200909085,-4.281263576,-4.378921542,-4.491053797,-4.614665458,-4.738154932,-4.863973136,-5.002319085,-5.149079898,-5.284071983,-5.388953644,-5.443011661,-5.424406441,-5.341305966,-5.210521983,-5.041475983,-4.839590746,-4.606461322,-4.349364864,-4.079559,-3.801102,-3.506174881,-3.195525763,-2.897782644,-2.692492915,-2.673905458,-2.882597542,-3.303389034,-3.889926729,-4.574677475,-5.302966373,-5.988020339,-6.397256,-6.318435,-5.827945923,-5.10794659,-4.361648462,-3.769082949,-3.445696846,-3.414158385,-3.630672615,-4.037404231,-4.587428,-5.250267718,-6.011403,-6.864812769,-7.802907333,-8.809402744,-9.854896769,-10.90250067,-11.92142226,-12.87990338,-13.74553908,-14.45634892,-14.91784031,-15.05191782,-14.82664413,-14.24884954,-13.34221362,-12.134184,-10.67600323,-9.099037538,-7.619934026,-6.440703769,-5.659987,-5.246295128,-5.064482154,-4.978089692,-4.950414667,-5.012279846,-5.173082128,-5.450906026,-5.931703,-5.761560026
-2.579089,-2.57451739,-2.541952339,-2.430909475,-2.370839627,-2.519345475,-2.853628153,-3.207386525,-3.429286492,-3.434233441,-3.219105407,-2.911179441,-2.690693492,-2.62756961,-2.677631051,-2.747162441,-2.770919559,-2.726736678,-2.621493373,-2.478809814,-2.310958729,-2.136935051,-1.979370881,-1.846268,-1.745792322,-1.687206169,-1.669774186,-1.678243475,-1.702590339,-1.745006373,-1.796591559,-1.843062746,-1.886733508,-1.924570356,-1.949308627,-1.963670356,-1.973672424,-1.972967424,-1.949065407,-1.897329525,-1.832365203,-1.786331305,-1.766074593,-1.750340831,-1.721420254,-1.678967881,-1.624373983,-1.561918373,-1.505714085,-1.468218644,-1.464647034,-1.503558017,-1.570592797,-1.646422136,-1.699831644,-1.675605203,-1.536900576,-1.301727559,-1.038207169,-0.817025,-0.672697,-0.569369256,-0.475823436,-0.401851538,-0.360867256,-0.369145667,-0.440956385,-0.581909974,-0.784031256,-1.035936846,-1.313492077,-1.601151821,-1.894977308,-2.201581,-2.531160231,-2.885872,-3.238316,-3.539270359,-3.770939,-3.931103462,-4.027034462,-4.068391077,-4.063121974,-4.017195051,-3.935323923,-3.840717359,-3.742043,-3.630940308,-3.49252559,-3.318561026,-3.117765846,-2.918997718,-2.774352128,-2.709085,-2.699151026,-2.704272974,-2.695774538,-2.666892128,-2.630928103,-2.610488,-2.606710582
-2.503657,-2.778752831,-3.088017746,-3.223385576,-3.212450966,-3.325258475,-3.689742712,-4.152070356,-4.513255034,-4.665001085,-4.570599593,-4.29709822,-4.040084017,-3.977479525,-4.112303085,-4.298853339,-4.378889068,-4.280412102,-4.01899722,-3.660319508,-3.287316983,-2.93677722,-2.625742492,-2.361704966,-2.13636778,-1.95032761,-1.81748339,-1.736446136,-1.684172017,-1.650784017,-1.646190763,-1.669509407,-1.708237203,-1.753610424,-1.795189441,-1.821019712,-1.828767576,-1.826632356,-1.81425561,-1.780893169,-1.707536644,-1.58999361,-1.455919407,-1.345355864,-1.262006712,-1.182445373,-1.092724119,-1.000732644,-0.915262102,-0.842123237,-0.788194831,-0.752320322,-0.718755576,-0.669118288,-0.583098559,-0.450969322,-0.279101017,-0.036295254,0.357773322,0.941551,1.591615,2.126647333,2.466124795,2.599209846,2.590441846,2.498260436,2.348413692,2.144083103,1.867300641,1.501056385,1.051193744,0.538937718,-0.011730615,-0.570412,-1.110297744,-1.637908308,-2.183591974,-2.753922692,-3.275932385,-3.640968231,-3.776951769,-3.696897462,-3.467861641,-3.150960667,-2.799888923,-2.457222744,-2.169687333,-1.976597,-1.884287179,-1.853132744,-1.830435154,-1.79371959,-1.7643,-1.792224615,-1.916496667,-2.115369872,-2.310696692,-2.435330692,-2.490358256,-2.556593,-2.768265564
5.080424,5.187244407,5.375647017,5.613028746,5.813095593,5.953162034,6.03364461,6.115083746,6.229740424,6.351401746,6.425994932,6.406936441,6.310566373,6.194768949,6.11389222,6.091687746,6.144767661,6.283206746,6.499344729,6.760726627,7.012858153,7.214130051,7.371494102,7.518077831,7.670018898,7.818957475,7.963162559,8.091511475,8.185736424,8.251335169,8.304779508,8.359193153,8.395987492,8.382864576,8.324904847,8.265490322,8.241513305,8.248321169,8.276614593,8.323382424,8.377660339,8.423512136,8.451793797,8.464151085,8.463690949,8.456551695,8.44607122,8.450752576,8.493244898,8.530494576,8.456832271,8.221757203,7.871382831,7.489841458,7.170764983,7.048428458,7.233808864,7.662602186,8.062019712,8.138514,7.804437,7.208597,6.464272564,5.678096385,4.930911667,4.287537641,3.779417385,3.388679974,3.051416385,2.686289692,2.239417769,1.731481846,1.207277615,0.679872,0.147656077,-0.403827154,-0.992362923,-1.617977923,-2.251700077,-2.861401154,-3.424623846,-3.863420462,-4.108099026,-4.122951077,-3.910720769,-3.479027821,-2.823802,-1.943371846,-0.868940179,0.325412718,1.539762846,2.642016974,3.510923026,4.072703308,4.340778436,4.431678333,4.509772538,4.688193205,4.950118385,5.172048,5.276931579
8.50946,9.163057119,9.253815593,8.821732034,8.213482373,7.891339492,8.165406949,9.025604576,10.14671831,11.06839508,11.45175441,11.24549203,10.65971288,9.996210847,9.479737288,9.192421017,9.10565339,9.146145424,9.245018475,9.354037627,9.440441864,9.482304746,9.472070339,9.415855424,9.325496441,9.214921356,9.103493559,9.015241525,8.968205254,8.964841017,8.992666949,9.027356271,9.035690339,8.980173729,8.834031695,8.599390339,8.310355932,8.016657288,7.760591017,7.563459153,7.42653678,7.338798475,7.283992542,7.246347627,7.215158644,7.18951661,7.182809661,7.220654746,7.330752712,7.530909153,7.820170847,8.178727797,8.579162203,8.999867288,9.433086949,9.888621017,10.39067542,10.96747814,11.63823881,12.39602,13.16699,13.8610885,14.445486,14.8696755,15.11839,15.2150825,15.210013,15.1618345,15.124312,15.1404725,15.237725,15.4204685,15.665086,15.924483,16.143281,16.27624,16.29847,16.2017995,15.985724,15.656377,15.23262,14.743237,14.219411,13.6650265,13.054488,12.339605,11.470358,10.4198605,9.20811,7.914654,6.66324,5.583564,4.777134,4.3056455,4.195237,4.4402025,5.002122,5.8127715,6.780129,7.784658,8.66451
-3.52396,-3.145658475,-2.708126949,-2.250026441,-1.815368983,-1.463809831,-1.26115322,-1.233732203,-1.328887966,-1.440535254,-1.485035424,-1.452585424,-1.390922203,-1.347498136,-1.327603898,-1.298673898,-1.222899492,-1.09284339,-0.927707288,-0.76395322,-0.643619661,-0.603778983,-0.667249322,-0.835177627,-1.084890169,-1.376648475,-1.668245424,-1.929965932,-2.151561017,-2.338481356,-2.500136271,-2.640098475,-2.752995593,-2.829727458,-2.866496271,-2.870321186,-2.857554407,-2.845694746,-2.844297627,-2.851804068,-2.859848136,-2.860015763,-2.848935254,-2.830116102,-2.812211695,-2.806971356,-2.82606,-2.880527119,-2.98102,-3.137064576,-3.357119153,-3.648066271,-4.013703898,-4.451627458,-4.946629492,-5.461371695,-5.931682203,-6.274865932,-6.412879492,-6.30641,-6.00959,-5.671937,-5.391708,-5.268086,-5.361212,-5.678065,-6.173742,-6.763977,-7.343498,-7.804987,-8.05498,-7.986121,-7.605166,-6.925807,-5.990194,-4.86107,-3.612902,-2.323334,-1.065848,0.095831,1.11131,1.919654,2.522718,2.910751,3.07741,3.020395,2.744668,2.266201,1.61474,0.834542,-0.01756,-0.870202,-1.659636,-2.346249,-2.906118,-3.32804,-3.609358,-3.752431,-3.763098,-3.651745,-3.4366
0.23946,0.230422373,0.187669492,0.19711339,0.38507,0.809588644,1.388224576,1.933291017,2.268683559,2.334754746,2.203012373,2.008033898,1.863747119,1.817781017,1.852494915,1.913168644,1.939980847,1.889242203,1.742879831,1.509805254,1.219144237,0.907945593,0.613060169,0.368579322,0.198061356,0.100052881,0.045389492,-0.002261186,-0.06018322,-0.119297966,-0.157830169,-0.159570508,-0.122960339,-0.059443729,0.013971186,0.083094068,0.142565254,0.196892881,0.254340339,0.315591695,0.367754407,0.392672034,0.381566949,0.340863559,0.286294746,0.235083729,0.204439322,0.21331322,0.279441356,0.411542712,0.602308814,0.824996271,1.034902034,1.181250508,1.23349322,1.202912712,1.132603559,1.068405085,1.051652203,1.13891,1.40274,1.88395125,2.5612805,3.33164575,4.063381,4.66322625,5.108374,5.432278,5.68677,5.9080635,6.1020075,6.25128,6.337333,6.36385525,6.365412,6.39215125,6.484144,6.65284375,6.869074,7.0577905,7.110085,6.9146385,6.3974235,5.5552225,4.469798,3.29166125,2.19162,1.29864675,0.659208,0.241765,-0.0233575,-0.19951225,-0.321358,-0.40035625,-0.4417255,-0.45413375,-0.447776,-0.43033025,-0.410816,-0.409064,-0.45485
2.52569,3.00865,3.44665,3.83074,4.25783,4.84154,5.59106,6.36244,6.92501,7.09664,6.8478,6.30467,5.66733,5.11128,4.72688,4.5126,4.40857,4.34127,4.25609,4.13096,3.97294,3.80395,3.6462,3.51521,3.41907,3.35793,3.32241,3.29643,3.26624,3.22795,3.18577,3.14576,3.11435,3.09912,3.10662,3.13982,3.19732,3.27275,3.35541,3.43288,3.49412,3.5295,3.5281,3.47639,3.36028,3.1681,2.89472,2.5455,2.13649,1.69018,1.22982,0.77547,0.34393,-0.04658,-0.3708,-0.59586,-0.69011,-0.64163,-0.47704,-0.26179,-0.07246,0.04534,0.10528,0.17259,0.32282,0.597,0.98511,1.44335,1.92599,2.40831,2.88906,3.37825,3.88133,4.38717,4.86817,5.2944,5.64956,5.93714,6.1768,6.39536,6.61458,6.83848,7.04514,7.18781,7.20579,7.04081,6.65443,6.04405,5.25183,4.35707,3.45429,2.6323,1.96335,1.49096,1.21627,1.1039,1.1106,1.2161,1.43308,1.78302,2.25087
0.14193,0.694696271,1.236473051,1.725865763,2.187608136,2.668472203,3.183271356,3.693363898,4.118924576,4.374409661,4.413022542,4.253920508,3.970824407,3.649111186,3.342325763,3.055199492,2.756571864,2.406658983,1.980783051,1.479871186,0.927661525,0.359911864,-0.188412542,-0.692873051,-1.142463051,-1.535252034,-1.871455932,-2.149977458,-2.369618305,-2.532032034,-2.642928814,-2.712778305,-2.752909322,-2.772111525,-2.777266102,-2.774028475,-2.766430847,-2.756057966,-2.741840339,-2.721327797,-2.692874407,-2.656418136,-2.611775932,-2.556010339,-2.482214576,-2.380457288,-2.239546949,-2.047668305,-1.791683559,-1.457383051,-1.033229492,-0.518578644,0.06444322,0.661035593,1.187151017,1.554435254,1.709451525,1.663585424,1.492320339,1.30679,1.22241,1.3076915,1.584547,2.044553,2.646694,3.333735,4.048853,4.746047,5.394764,5.981735,6.510995,7.000862,7.47707,7.963949,8.476688,9.016465,9.569184,10.1075765,10.594161,10.982552,11.21914,11.2351855,10.997674,10.4888575,9.720876,8.7338075,7.587054,6.3488085,5.087556,3.867213,2.7449,1.7674195,0.964742,0.3446225,-0.1051,-0.4042175,-0.563446,-0.574842,-0.419446,-0.091046,0.37833
2.71525,3.064686949,3.416325085,3.672867627,3.829754237,3.940376271,4.047875932,4.160763559,4.275999322,4.402608983,4.561096102,4.767627797,4.998902203,5.195900169,5.29144678,5.256512881,5.115961864,4.922702203,4.722102203,4.53471322,4.356238305,4.168302203,3.964483559,3.756631864,3.562290678,3.391682881,3.244356949,3.117281356,3.016961017,2.955979322,2.938903729,2.956725932,2.998124237,3.052902373,3.109033051,3.155876102,3.188510508,3.209380847,3.225674237,3.243096949,3.258731525,3.262599322,3.252842712,3.240219322,3.240740169,3.267234915,3.325380678,3.418293051,3.556513898,3.764418644,4.092452034,4.57155678,5.176808475,5.800436271,6.283306949,6.495238305,6.408298136,6.106958983,5.728347797,5.38437,5.14583,4.994972,4.875971,4.791874,4.756096,4.787835,4.907411,5.1387895,5.498824,5.971998,6.553945,7.2349805,7.998716,8.8207485,9.661373,10.46035,11.17818,11.7874365,12.268223,12.604084,12.7766,12.713037,12.427938,11.91478,11.182752,10.2573025,9.180024,8.008163,6.841486,5.7680635,4.847555,4.115224,3.577376,3.2096875,2.965695,2.7679175,2.594122,2.460192,2.398289,2.4422815,2.61093
6.2798,6.681242034,6.745021525,6.410547458,5.883568475,5.483310339,5.383282203,5.494227458,5.610034407,5.628345593,5.595420508,5.600935932,5.678738136,5.784724068,5.83957678,5.783590169,5.605807797,5.348897458,5.068244915,4.812041525,4.603159153,4.43714339,4.295971186,4.167625593,4.057081186,3.981581186,3.957415424,3.988457458,4.062609831,4.159179322,4.261588983,4.364509322,4.471045932,4.585042712,4.703316441,4.81256,4.898342712,4.954755932,4.977943559,4.955742034,4.875411695,4.737839322,4.556576949,4.347188136,4.120802034,3.882520508,3.633918475,3.375865085,3.112135085,2.858949661,2.66106322,2.590382712,2.716303898,3.074098814,3.654504746,4.407404068,5.243576102,6.033044915,6.612461695,6.82272,6.5976,6.084438,5.423804,4.760605,4.223368,3.89993,3.82922,4.005983,4.39355,4.939813,5.59342,6.32449,7.10968,7.94696,8.832584,9.756945,10.704278,11.652827,12.573556,13.427478,14.1642,14.695335,14.97983,14.966543,14.61458,13.90822,12.871748,11.574878,10.126184,8.656808,7.29968,6.203471,5.396142,4.864008,4.56015,4.43582,4.460686,4.625164,4.926522,5.344918,5.81605
1.13305,1.009421525,1.034206271,1.225433051,1.538172712,1.861798644,2.064288136,2.065063898,1.876653051,1.586416102,1.303155763,1.106404746,1.02004661,1.010712034,1.014785593,0.99300661,0.938866271,0.869627288,0.808641017,0.771140678,0.758456441,0.761829322,0.772178475,0.788577119,0.820460678,0.881752034,0.978874068,1.10631678,1.244531695,1.369417966,1.466730508,1.540288475,1.607042034,1.681960847,1.767084915,1.853578305,1.927757119,1.976675085,1.99350339,1.980692203,1.952007119,1.926625424,1.916616949,1.916126441,1.902157288,1.847041356,1.732413729,1.558339831,1.350675763,1.168488983,1.080528983,1.145082712,1.385250847,1.771777288,2.226051864,2.648731356,2.956420847,3.095842203,3.032367966,2.74327,2.27162,1.72492875,1.111915,0.4841975,-0.10387,-0.60118375,-0.9666875,-1.17591875,-1.22624,-1.12259625,-0.926995,-0.66584875,-0.351735,0.01491625,0.4409025,0.934,1.49729,2.1340275,2.8182325,3.5329925,4.25742,4.96419625,5.6179,6.17533375,6.58906,6.778585,6.747865,6.49473125,6.036545,5.41202,4.6806475,3.91822,3.20695,2.64279375,2.22854,1.94178875,1.746225,1.60748125,1.501115,1.413685,1.33791
-5.12162,-5.316569322,-5.657115424,-6.054114407,-6.385532034,-6.586590678,-6.656559492,-6.607821695,-6.447538305,-6.208284237,-5.958485932,-5.769602034,-5.687304068,-5.727436949,-5.869106441,-6.085933559,-6.346361356,-6.620982034,-6.890368305,-7.143865254,-7.370180508,-7.557177458,-7.701632373,-7.811782881,-7.900372203,-7.981878475,-8.069658814,-8.171916271,-8.289659322,-8.417286102,-8.542693559,-8.647043051,-8.710497966,-8.725048644,-8.702477797,-8.665547119,-8.631409322,-8.605241186,-8.587193051,-8.576623559,-8.568720508,-8.552730678,-8.516127797,-8.454455254,-8.380086441,-8.31634678,-8.277435085,-8.254774746,-8.214758644,-8.111494915,-7.912565763,-7.627759322,-7.324770847,-7.110950847,-7.09058339,-7.312242712,-7.723662373,-8.166328644,-8.430354068,-8.346,-7.89285,-7.237895,-6.44677,-5.60219375,-4.778775,-4.03268875,-3.3936275,-2.86075375,-2.40438,-1.97380125,-1.524045,-1.0450175,-0.539135,-0.0098075,0.5459175,1.13884875,1.78158,2.48265625,3.2126,3.93659875,4.60821,5.173745,5.5789225,5.77621,5.73127,5.38147125,4.77041,3.91743,2.86567,1.68329375,0.4576525,-0.716055,-1.75006,-2.54628375,-3.1360175,-3.56646125,-3.90306,-4.20518125,-4.50683,-4.80668875,-5.07177
4.95369,5.273881695,5.675884407,6.086354237,6.432197627,6.728798644,7.042697288,7.381022881,7.666597797,7.824550339,7.851140169,7.792314746,7.687655085,7.547300508,7.365349322,7.137804068,6.869253898,6.572932881,6.267216949,5.969296102,5.687238136,5.415737458,5.147318814,4.885013729,4.633943729,4.388000339,4.131603729,3.851849831,3.549595085,3.241201525,2.947831186,2.684161695,2.460286441,2.288134915,2.176225254,2.119362203,2.100097458,2.101099492,2.114234576,2.13991322,2.182494068,2.246637119,2.337305593,2.455644068,2.593695932,2.737838136,2.879330339,3.022004237,3.179775763,3.366227966,3.584831356,3.823314407,4.04903678,4.206774237,4.228501017,4.061135593,3.69855661,3.192368983,2.634107627,2.12618,1.77741,1.62806875,1.652221,1.82505125,2.097734,2.417865,2.746884,3.06738775,3.379848,3.69312975,4.014115,4.3403915,4.658581,4.94963275,5.1954145,5.39336875,5.551702,5.678679,5.7760345,5.835733,5.84287,5.78198575,5.64314,5.426026,5.14189,4.812995,4.4694015,4.14438425,3.868642,3.65783475,3.51972,3.451849,3.446288,3.49934875,3.615494,3.79849625,4.035955,4.29232,4.522863,4.706105,4.87131
2.21351,1.331791864,0.423722712,-0.370027458,-0.887062034,-1.036498305,-0.871305085,-0.575557119,-0.362781186,-0.340584068,-0.452143729,-0.548302203,-0.512334746,-0.32512,-0.044734576,0.246176271,0.479410508,0.619360339,0.663925763,0.63694,0.581290169,0.547875254,0.565648644,0.630680508,0.721300339,0.823754237,0.938707288,1.065171695,1.186234407,1.27389,1.306933898,1.283902373,1.220977966,1.140284068,1.059643898,0.988750339,0.930074407,0.881639831,0.839462034,0.798450847,0.752996271,0.699414576,0.635329831,0.555225424,0.448055254,0.299697797,0.098827627,-0.161508475,-0.490601356,-0.906765085,-1.437527797,-2.115032881,-2.966045085,-3.995775254,-5.173506102,-6.431577288,-7.688765424,-8.898366102,-10.08534407,-11.3297,-12.6339,-13.931416,-15.207478,-16.30808575,-17.082536,-17.43432875,-17.345712,-16.869158,-16.096784,-15.12759425,-14.0480775,-12.928647,-11.826502,-10.785316,-9.836488,-8.97838875,-8.185202,-7.422003,-6.6556425,-5.86583425,-5.050055,-4.22186575,-3.404673,-2.624885,-1.907814,-1.27572375,-0.742472,-0.303134,0.085057,0.4872135,0.9495775,1.48365875,2.067712,2.660378,3.2069095,3.6370225,3.868328,3.827404,3.483985,2.87559375,2.09716
