V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,
6.26414,5.978,5.55212,4.94928,4.12003,3.06294,1.84198,0.54656,-0.72795,-1.85518,-2.68604,-3.1275,-3.21597,-3.10334,-2.96662,-2.91929,-2.98473,-3.12385,-3.27682,-3.39713,-3.46835,-3.50096,-3.52183,-3.56228,-3.64162,-3.7587,-3.90252,-4.06311,-4.22769,-4.37423,-4.47448,-4.50944,-4.48657,-4.43868,-4.40096,-4.38947,-4.39757,-4.39994,-4.35779,-4.23292,-4.002,-3.65682,-3.20103,-2.65155,-2.03555,-1.37959,-0.69639,0.02322,0.80277,1.65451,2.55241,3.42694,4.18976,4.77848,5.18911,5.45334,5.55942,5.38794,4.75732,3.58579,2.04525,0.55287,-0.43297,-0.67772,-0.30729,0.28369,0.68683,0.71326,0.45132,0.13696,-0.04619,-0.09139,-0.14004,-0.33598,-0.69085,-1.07343,-1.31728,-1.34389,-1.20814,-1.04309,-0.95515,-0.95708,-0.98294,-0.94917,-0.79425,-0.47273,0.0633,0.86047,1.9412,3.276,4.7635,6.23834,7.52108,8.49143,9.14151,9.56904,9.90118,10.20101,10.43196,10.49298,10.66728667
0.25822,-1.66493,-3.37903,-4.49031,-4.89447,-4.82043,-4.64601,-4.65254,-4.89595,-5.24986,-5.52977,-5.5724,-5.26244,-4.57254,-3.60548,-2.57929,-1.75292,-1.32626,-1.34823,-1.68585,-2.09314,-2.34142,-2.32422,-2.0781,-1.72023,-1.35952,-1.04917,-0.79601,-0.58859,-0.41319,-0.2585,-0.11664,0.02167,0.17729,0.38535,0.68203,1.08746,1.5987,2.19371,2.84056,3.50799,4.17345,4.82303,5.4426,6.00769,6.48245,6.82955,7.01865,7.0207,6.79001,6.25411,5.33395,3.99202,2.27246,0.30232,-1.74802,-3.73072,-5.58173,-7.32427,-8.99224,-10.53844,-11.82722,-12.72559,-13.19155,-13.2653,-12.98954,-12.35847,-11.34674,-9.98113,-8.38193,-6.73834,-5.24467,-4.04821,-3.22611,-2.77366,-2.60395,-2.57965,-2.56947,-2.49116,-2.31757,-2.05665,-1.72791,-1.34898,-0.9346,-0.50487,-0.09327,0.25653,0.50747,0.65051,0.71656,0.771,0.89283,1.14448,1.53898,2.01866,2.46155,2.71248,2.61693,2.04928,0.95617,0.213366667
4.30885,3.80665,3.31078,2.83178,2.3095,1.63244,0.70803,-0.45942,-1.7401,-2.92263,-3.8051,-4.28147,-4.37673,-4.21715,-3.96782,-3.78168,-3.76784,-3.96566,-4.32957,-4.74352,-5.0703,-5.21447,-5.16283,-4.97665,-4.74229,-4.52011,-4.32637,-4.14749,-3.96349,-3.76186,-3.54018,-3.30418,-3.06326,-2.82347,-2.58212,-2.3281,-2.04674,-1.72427,-1.34933,-0.9122,-0.40369,0.18421,0.85372,1.59423,2.37718,3.15683,3.87618,4.4749,4.89731,5.0987,5.04923,4.73861,4.18199,3.42386,2.54351,1.66554,0.95727,0.58225,0.61079,0.95373,1.39786,1.73871,1.90604,1.98282,2.12274,2.44449,2.975,3.65414,4.36899,4.98813,5.3889,5.47918,5.21451,4.60878,3.7333,2.70127,1.64238,0.67817,-0.09558,-0.61952,-0.8735,-0.87253,-0.65788,-0.28242,0.20783,0.78387,1.42475,2.09763,2.74981,3.32431,3.78669,4.14061,4.41897,4.65571,4.85764,4.9973,5.02923,4.91384,4.63432,4.20432,3.87464
0.64524,-2.34013,-4.90531,-6.61338,-7.41664,-7.50948,-7.16022,-6.64069,-6.18036,-5.90585,-5.8234,-5.86455,-5.94036,-5.97855,-5.94504,-5.84376,-5.69324,-5.50637,-5.29897,-5.10344,-4.94807,-4.82232,-4.68277,-4.49287,-4.24737,-3.96852,-3.69244,-3.45225,-3.25893,-3.10717,-2.99709,-2.92737,-2.87916,-2.82175,-2.72918,-2.58913,-2.39881,-2.1646,-1.90475,-1.64719,-1.42025,-1.23188,-1.05664,-0.8541,-0.59037,-0.24095,0.20912,0.75437,1.35665,1.95698,2.50623,2.97756,3.35494,3.61067,3.67401,3.42876,2.78825,1.79858,0.64964,-0.46037,-1.51665,-2.7284,-4.28557,-6.039,-7.49597,-8.16012,-7.87745,-6.90953,-5.72399,-4.71756,-4.08244,-3.84861,-3.97754,-4.38313,-4.88823,-5.2521,-5.31062,-5.07406,-4.68757,-4.327,-4.10473,-4.0182,-3.98097,-3.9071,-3.75373,-3.49945,-3.11754,-2.5864,-1.91497,-1.15027,-0.35498,0.44031,1.25931,2.14063,3.06593,3.91054,4.46228,4.52106,4.02006,3.05174,2.394966667
4.60698,2.52719,0.42159,-1.52904,-3.20249,-4.514,-5.44084,-6.06743,-6.5452,-6.98987,-7.4259,-7.80362,-8.05168,-8.13439,-8.07946,-7.95881,-7.8425,-7.76355,-7.71665,-7.6738,-7.59798,-7.46191,-7.26668,-7.04273,-6.83043,-6.65718,-6.52646,-6.42047,-6.31761,-6.20974,-6.09747,-5.97487,-5.82581,-5.63319,-5.38748,-5.08829,-4.73919,-4.34375,-3.90855,-3.44321,-2.95372,-2.43709,-1.88718,-1.30381,-0.69523,-0.07292,0.55614,1.18526,1.78767,2.2998,2.62878,2.68091,2.39581,1.77513,0.88603,-0.17023,-1.29556,-2.39894,-3.37637,-4.11527,-4.53855,-4.64517,-4.50137,-4.21114,-3.91025,-3.72948,-3.69987,-3.7201,-3.6478,-3.39398,-2.93155,-2.2686,-1.44775,-0.57372,0.16858,0.55324,0.43477,-0.13208,-0.91998,-1.67754,-2.24105,-2.54765,-2.59556,-2.41453,-2.04941,-1.53064,-0.85093,0.02501,1.12829,2.45721,3.9674,5.57627,7.1697,8.60304,9.70543,10.32124,10.38984,9.99393,9.31347,8.50776,7.78555
7.42259,7.692455254,8.228901864,8.642636271,8.389932373,7.148806271,5.052271356,2.611560678,0.43703322,-1.049891186,-1.76041339,-1.884379492,-1.714863729,-1.488618136,-1.322148983,-1.231212203,-1.183421695,-1.144754746,-1.100913559,-1.052257288,-0.998917288,-0.933696271,-0.843715763,-0.715990678,-0.544455424,-0.335182034,-0.102545424,0.142082542,0.394430678,0.653232373,0.917880508,1.188300678,1.461510508,1.730604576,1.992481864,2.254781525,2.531603051,2.834373559,3.16836,3.532795763,3.922367458,4.332426949,4.765221695,5.234431356,5.761987797,6.359018814,7.001032542,7.620010339,8.116970508,8.381615763,8.309879661,7.813858475,6.823061525,5.298705763,3.291643051,1.020752712,-1.116250339,-2.68419322,-3.464134746,-3.59926,-3.449,-3.278969,-3.124319,-2.965398,-2.802306,-2.63343,-2.421743,-2.10127,-1.61484,-0.954924,-0.183555,0.582828,1.219634,1.646996,1.860071,1.9225825,1.93085,1.972233,2.103332,2.3507745,2.7187,3.192864,3.722621,4.254897,4.746682,5.173265,5.527964,5.825961,6.10912,6.4364595,6.854575,7.3631495,7.901434,8.368335,8.664314,8.73049,8.566874,8.228133,7.808039,7.4244145,7.20657
0.71081,-0.05041,-0.58385,-1.00101,-1.54749,-2.43457,-3.70824,-5.21262,-6.65294,-7.73108,-8.27939,-8.31234,-7.97935,-7.4702,-6.93592,-6.45644,-6.04881,-5.69351,-5.35986,-5.02293,-4.67167,-4.31039,-3.95627,-3.63449,-3.37046,-3.17925,-3.05793,-2.98525,-2.92889,-2.85787,-2.75267,-2.60574,-2.41489,-2.17923,-1.89971,-1.57953,-1.2233,-0.83851,-0.43849,-0.04196,0.33168,0.66706,0.95556,1.19648,1.3958,1.55974,1.68275,1.73631,1.66718,1.40927,0.90333,0.11417,-0.96264,-2.30584,-3.87979,-5.63062,-7.4516,-9.15332,-10.50147,-11.32395,-11.60653,-11.49498,-11.19813,-10.86661,-10.53851,-10.17288,-9.71496,-9.13436,-8.42811,-7.61629,-6.74785,-5.90422,-5.1809,-4.65067,-4.33357,-4.19502,-4.16823,-4.1788,-4.15857,-4.05182,-3.81609,-3.41833,-2.83335,-2.05196,-1.09487,-0.02071,1.0799,2.10545,2.97226,3.63357,4.08005,4.3334,4.44386,4.48243,4.51434,4.55962,4.56631,4.4234,4.02212,3.34257,2.5073
4.13269,3.74841,3.3194,2.82136,2.08948,0.93974,-0.64943,-2.47364,-4.20891,-5.58818,-6.50726,-7.01381,-7.2321,-7.28812,-7.26813,-7.21416,-7.14039,-7.05079,-6.94778,-6.8337,-6.71138,-6.58429,-6.45389,-6.31728,-6.16933,-6.0076,-5.83647,-5.66782,-5.51788,-5.40127,-5.32408,-5.27886,-5.2449,-5.19329,-5.09404,-4.92316,-4.66627,-4.3172,-3.87543,-3.34656,-2.74487,-2.09344,-1.42127,-0.75894,-0.13433,0.42942,0.91347,1.30329,1.59238,1.79078,1.93669,2.10518,2.39464,2.86578,3.44774,3.89689,3.91223,3.38764,2.58718,2.02391,2.09628,2.79207,3.71255,4.37232,4.51061,4.19097,3.67377,3.20938,2.90678,2.73434,2.60884,2.48012,2.35066,2.24817,2.19812,2.21162,2.28244,2.38922,2.50176,2.58984,2.63538,2.64399,2.64614,2.68449,2.79236,2.97455,3.2044,3.44295,3.66678,3.8808,4.10787,4.37048,4.68068,5.0374,5.42042,5.78009,6.03759,6.10521,5.91771,5.46349,4.80885
12.25324,10.94686373,9.984120169,9.492015424,9.258960678,8.840072203,7.850684237,6.206653729,4.131711356,1.993559831,0.126020847,-1.273423559,-2.159305424,-2.598337627,-2.713548305,-2.634800508,-2.464109661,-2.260949661,-2.048979492,-1.835271695,-1.627606102,-1.440489492,-1.289543898,-1.180679153,-1.102427119,-1.028215932,-0.92993,-0.794777458,-0.632505424,-0.466664407,-0.315638305,-0.176242712,-0.021574068,0.184757458,0.469788305,0.843481864,1.304054746,1.844946949,2.456187627,3.122104237,3.818981186,4.515099492,5.17384,5.758471864,6.236509153,6.582571525,6.780004576,6.820341864,6.698722712,6.408030508,5.937251356,5.273860508,4.407796949,3.342246102,2.122355254,0.875504068,-0.187144576,-0.86544322,-1.122620339,-1.14004,-1.17879,-1.3577225,-1.5440785,-1.50720975,-1.115076,-0.4103125,0.452392,1.31785975,2.101106,2.78957775,3.40488,3.96724,4.482371,4.940194,5.3188015,5.60157625,5.80207,5.97239425,6.1833505,6.4920365,6.921585,7.4648695,8.103967,8.82605575,9.624418,10.48766375,11.3858895,12.26347375,13.048308,13.6803545,14.14669,14.4950215,14.805076,15.13222375,15.4651065,15.725975,15.800308,15.56369175,14.903544,13.76978625,12.2664
-4.18554,-4.240970508,-4.515228136,-4.913194237,-5.299632881,-5.524912203,-5.469029831,-5.099575593,-4.49412661,-3.806845254,-3.20480339,-2.807530169,-2.649364915,-2.675109322,-2.771815593,-2.822635593,-2.754273729,-2.55632661,-2.26993661,-1.95651661,-1.664101695,-1.406793559,-1.168711525,-0.930165763,-0.680652542,-0.424134915,-0.176928136,0.042722373,0.230065763,0.403751864,0.601844746,0.866191864,1.225622034,1.687668644,2.241261864,2.865777627,3.539237966,4.240497966,4.94554,5.623622203,6.235825593,6.748531695,7.136103559,7.371242542,7.420449492,7.243237966,6.796870508,6.047508475,4.986864915,3.645934746,2.093875932,0.417802712,-1.307889492,-3.046200678,-4.799664746,-6.580198305,-8.354694068,-10.0024778,-11.33158458,-12.16215,-12.40731,-12.067429,-11.3455905,-10.4195265,-9.3556,-8.13479125,-6.728563,-5.17254,-3.596228,-2.19145525,-1.1324825,-0.490764,-0.200858,-0.10523075,-0.043916,0.07337875,0.267816,0.55297275,0.9537585,1.48126325,2.097265,2.706752,3.1944325,3.4851405,3.584446,3.57224,3.559928,3.64592225,3.870771,4.166944,4.3717725,4.258124,3.607198,2.30819425,0.46941,-1.53191375,-3.170336,-4.056015,-4.1714985,-3.84801775,-3.51405
