V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,
-6.70738,-6.11564,-5.16542,-4.07703,-3.26946,-3.12194,-3.72775,-4.83228,-5.99829,-6.86299,-7.2934,-7.3697,-7.26218,-7.10296,-6.92436,-6.67711,-6.29486,-5.76033,-5.13812,-4.56084,-4.17521,-4.07335,-4.25134,-4.62131,-5.06193,-5.46815,-5.77913,-5.9852,-6.1128,-6.19665,-6.26033,-6.31589,-6.37372,-6.44811,-6.55183,-6.68703,-6.84376,-7.00367,-7.14144,-7.22666,-7.23313,-7.15239,-6.9985,-6.79856,-6.57773,-6.34919,-6.11236,-5.85768,-5.5767,-5.27274,-4.96188,-4.65635,-4.34056,-3.96222,-3.44626,-2.72118,-1.75223,-0.58173,0.64372,1.69401,2.33127,2.39693,1.85814,0.80721,-0.56782,-2.03393,-3.37212,-4.42994,-5.16313,-5.64813,-6.03521,-6.45847,-6.96758,-7.52433,-8.05329,-8.49986,-8.85203,-9.12014,-9.30225,-9.37301,-9.31329,-9.15619,-9.00501,-8.99938,-9.24451,-9.74017,-10.35254,-10.85414,-11.01521,-10.70373,-9.95005,-8.94322,-7.95803,-7.24465,-6.9212,-6.92246,-7.05342,-7.11553,-7.0042,-6.71815,-6.54858
16.92661,17.50015,18.0138,18.01121,17.06399,15.07276,12.38527,9.61877,7.34938,5.90848,5.38231,5.71954,6.79713,8.40716,10.23597,11.89691,13.02331,13.39436,13.03608,12.22492,11.36898,10.82562,10.75747,11.10005,11.64316,12.16099,12.50905,12.65025,12.62862,12.52607,12.42335,12.37542,12.40545,12.51398,12.6923,12.9291,13.21007,13.51736,13.83242,14.14142,14.44023,14.73611,15.04491,15.38413,15.76494,16.18834,16.64615,17.12288,17.59508,18.03067,18.39404,18.66033,18.83429,18.96261,19.12433,19.38963,19.75908,20.12144,20.27362,20.00807,19.21842,17.96689,16.48734,15.12693,14.24714,14.11212,14.79315,16.12347,17.73564,19.17908,20.06628,20.18077,19.51019,18.21406,16.55929,14.84736,13.34583,12.23726,11.59659,11.40032,11.55802,11.95021,12.46019,12.9955,13.49963,13.95425,14.36827,14.75382,15.1015,15.37551,15.53885,15.59367,15.60287,15.66171,15.8282,16.0679,16.26611,16.30715,16.16742,15.94893,15.78294667
2.68657,1.94003,1.24339,0.51105,-0.44252,-1.77065,-3.42933,-5.13046,-6.45486,-7.03729,-6.70702,-5.52691,-3.75007,-1.74495,0.07743,1.33777,1.77915,1.35591,0.26614,-1.11043,-2.35146,-3.14267,-3.37162,-3.13233,-2.64832,-2.15708,-1.81408,-1.65453,-1.6179,-1.60823,-1.5524,-1.43102,-1.27376,-1.12911,-1.03144,-0.9839,-0.96168,-0.92696,-0.84383,-0.68726,-0.44508,-0.11463,0.30358,0.81186,1.4177,2.13212,2.96656,3.92958,5.02175,6.2258,7.49116,8.71785,9.75035,10.38983,10.42794,9.70113,8.15364,5.88461,3.1553,0.35059,-2.09714,-3.8055,-4.52883,-4.20292,-2.94073,-0.98943,1.33605,3.72227,5.90571,7.68792,8.92884,9.54021,9.49204,8.82766,7.66895,6.19844,4.62019,3.11413,1.80319,0.74544,-0.04884,-0.58998,-0.89104,-0.96805,-0.85081,-0.59172,-0.26223,0.06799,0.36256,0.63911,0.96204,1.40782,2.01818,2.76063,3.51544,4.10327,4.34701,4.13927,3.48373,2.4937,1.726663333
10.0072,12.29425,14.02644,14.57408,13.56723,11.15963,7.93915,4.59916,1.69043,-0.44304,-1.6275,-1.82018,-1.11351,0.23687,1.84138,3.30022,4.33618,4.84036,4.83868,4.44391,3.82353,3.17516,2.69164,2.50269,2.61522,2.90875,3.20894,3.38554,3.40816,3.34011,3.28447,3.32408,3.49457,3.78777,4.1616,4.55148,4.89371,5.15252,5.32037,5.39247,5.35863,5.22145,5.00676,4.75565,4.51134,4.30624,4.15158,4.03612,3.93707,3.83625,3.73114,3.63328,3.55676,3.51494,3.53741,3.68526,4.04269,4.70511,5.77047,7.28862,9.16375,11.09027,12.60186,13.25113,12.84184,11.56296,9.92679,8.53457,7.80111,7.80356,8.33511,9.09479,9.84579,10.44143,10.77492,10.767,10.40746,9.77678,9.0206,8.3026,7.74916,7.40259,7.222,7.13479,7.0877,7.06791,7.10298,7.25027,7.58067,8.15226,8.961,9.89874,10.77947,11.43203,11.79323,11.93385,11.99608,12.07453,12.12204,11.98593,11.97223333
14.35505,13.30683,11.75167,9.79908,7.35295,4.36758,1.11502,-1.83377,-3.85984,-4.53552,-3.74452,-1.7004,1.12029,4.10873,6.68015,8.41774,9.16156,9.01227,8.26288,7.30138,6.51444,6.19308,6.44402,7.14844,8.02189,8.76451,9.20507,9.34243,9.28305,9.14694,9.00596,8.87615,8.746,8.60847,8.47414,8.36261,8.29156,8.27268,8.30777,8.38726,8.49466,8.61174,8.72164,8.81439,8.89364,8.97559,9.07634,9.19994,9.34279,9.50937,9.72165,10.01424,10.42028,10.95427,11.59735,12.28553,12.90147,13.28442,13.26563,12.71859,11.61592,10.08203,8.39944,6.93161,5.99157,5.73264,6.10737,6.9059,7.85805,8.74062,9.42261,9.83974,9.95688,9.76982,9.32837,8.73059,8.0799,7.43811,6.80974,6.1678,5.50386,4.86849,4.36848,4.11519,4.1606,4.46568,4.91948,5.39625,5.8148,6.163,6.48912,6.88991,7.49829,8.44274,9.77033,11.36889,12.95719,14.19224,14.84499,14.91472,15.37313
11.25613,10.95330949,11.01919051,11.11147051,10.56577949,9.139024237,7.361951864,6.009904068,5.445414068,5.553095932,6.072561525,6.816912203,7.657004576,8.45826,9.090037119,9.478893559,9.63615,9.638115085,9.588014407,9.582775593,9.687024915,9.919335085,10.25680932,10.64994949,11.03812237,11.36712881,11.60422644,11.74376254,11.80469102,11.8210839,11.83045763,11.86304898,11.92901559,12.01689339,12.10421136,12.17615102,12.23616068,12.30039373,12.38580576,12.5043661,12.66396186,12.86870593,13.11414831,13.38011373,13.63176847,13.83628695,13.98710441,14.11834797,14.29803695,14.60187102,15.08402271,15.76350847,16.62881983,17.64481644,18.74599356,19.82208763,20.71595288,21.23841814,21.19700847,20.45385,19.06277,17.308899,15.44557,13.7727055,12.509564,11.75901,11.522576,11.731314,12.267154,12.973804,13.674025,14.204542,14.455736,14.3927895,14.050072,13.508465,12.86704,12.2177835,11.635053,11.181367,10.91246,10.8801125,11.069201,11.4264135,11.858238,12.2493,12.490836,12.520928,12.360904,12.119044,11.944865,11.9514015,12.151128,12.44862,12.696864,12.7776325,12.647806,12.3254815,11.847024,11.2563245,10.65829
11.32406,10.63464,9.58605,8.26274,6.80964,5.39145,4.16797,3.28234,2.84163,2.88805,3.37831,4.18978,5.15624,6.11751,6.95913,7.62441,8.10113,8.40328,8.56211,8.62357,8.6424,8.66837,8.72892,8.81996,8.91167,8.96467,8.94831,8.85633,8.71432,8.57323,8.48911,8.49919,8.60855,8.79476,9.02416,9.26876,9.51734,9.77654,10.06145,10.38293,10.73978,11.11866,11.5008,11.87275,12.23495,12.60231,12.9976,13.44185,13.94528,14.50231,15.09304,15.68904,16.25835,16.76572,17.16666,17.39655,17.36176,16.94731,16.05258,14.64515,12.80338,10.72152,8.67074,6.92651,5.69279,5.06102,5.01495,5.45954,6.25157,7.22585,8.21892,9.09014,9.73724,10.10505,10.18753,10.02247,9.67877,9.23937,8.78389,8.3766,8.06404,7.88125,7.8603,8.03298,8.4223,9.02545,9.79745,10.64618,11.44714,12.07635,12.44874,12.5451,12.41632,12.16464,11.9099,11.75382,11.75332,11.90735,12.15699,12.39316,12.46646
4.02252,5.12364,6.11117,6.49496,5.94197,4.5248,2.65872,0.83205,-0.60806,-1.50367,-1.84357,-1.71463,-1.26148,-0.6534,-0.05666,0.39333,0.61625,0.60026,0.40099,0.12124,-0.12666,-0.26092,-0.25537,-0.14057,0.01782,0.15322,0.22819,0.24779,0.25153,0.28814,0.38826,0.55025,0.74508,0.93479,1.0908,1.20161,1.27113,1.31439,1.35296,1.40959,1.50263,1.64153,1.82598,2.05031,2.31085,2.61186,2.9685,3.40824,3.96869,4.6913,5.61668,6.78543,8.2364,9.98432,11.96859,13.9937,15.70477,16.63917,16.36509,14.66373,11.66467,7.85724,3.9572,0.67333,-1.52467,-2.52729,-2.54735,-1.96595,-1.15937,-0.38716,0.23605,0.70517,1.06234,1.34673,1.57342,1.73289,1.80278,1.76861,1.64119,1.45656,1.26361,1.11445,1.05616,1.11582,1.28528,1.52244,1.77076,1.98064,2.12097,2.18327,2.18139,2.1455,2.1132,2.12149,2.19785,2.3494,2.55819,2.79965,3.08409,3.47937,4.05658
2.59299,1.864293729,0.960617119,-0.314191695,-2.049276949,-4.038754576,-5.826711864,-6.954168475,-7.194359831,-6.617505254,-5.487484576,-4.106395424,-2.71364339,-1.459860339,-0.424469661,0.356527288,0.875722034,1.157818644,1.266989831,1.297117627,1.339238305,1.445694915,1.617468475,1.82078678,2.015692881,2.176310508,2.295920169,2.382567966,2.451853729,2.519449322,2.594480678,2.676022373,2.75588,2.827030169,2.890977458,2.958397119,3.044764746,3.166346441,3.337940678,3.568790847,3.856557288,4.185212203,4.530531017,4.869354407,5.186381525,5.476173729,5.742455424,5.997418475,6.261989492,6.565611186,6.942437966,7.417901695,7.978698814,8.531705593,8.882402542,8.775217458,8.006528814,6.556844746,4.650020508,2.68153,1.0352,-0.00527275,-0.3701935,-0.2251,0.187565,0.6669375,1.114564,1.51562475,1.874914,2.16749975,2.33527,2.31688425,2.080766,1.64147275,1.059593,0.43180875,-0.128742,-0.51790975,-0.6599735,-0.5178135,-0.100365,0.53151975,1.270002,1.98604225,2.572232,2.98270625,3.2484575,3.4576865,3.705496,4.03615375,4.413505,4.74361125,4.939724,4.98615475,4.9493665,4.91906375,4.927017,4.9226645,4.830611,4.625252,4.32703
10.55277,8.545995763,7.061451186,6.205068475,5.994881864,6.401649322,7.336160339,8.622041356,10.00202373,11.1898678,11.94864712,12.16378034,11.88033237,11.28579814,10.64127475,10.18776254,10.06636847,10.28367831,10.73191831,11.24986847,11.69138576,11.97694542,12.11522407,12.15171661,12.13960949,12.12035814,12.11985237,12.15437746,12.23765475,12.38280627,12.5986578,12.88447203,13.2279239,13.60817271,14.00243847,14.39315746,14.77300593,15.1454,15.5206122,15.91105322,16.32955356,16.78283356,17.26716322,17.76782627,18.26173288,18.72340068,19.13175169,19.47858831,19.77811102,20.07039102,20.41027712,20.84114085,21.36378695,21.91636898,22.37837932,22.60222,22.46240508,21.90220237,20.9605478,19.77256,18.48906,17.3826635,16.7724675,16.73071525,17.170603,17.882945,18.5978685,19.054284,19.064072,18.5563325,17.5890425,16.324944,14.979771,13.76168175,12.838946,12.281225,12.082124,12.1987275,12.563188,13.09579675,13.715615,14.3494575,14.9361315,15.42444075,15.77256,15.96203375,16.022534,16.039141,16.116005,16.290384,16.5203925,16.73222675,16.889834,17.025196,17.1886255,17.337175,17.243474,16.54434575,14.973536,12.61063175,9.89914
