V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
39.825989000,39.996107050,40.243261250,40.506497020,40.727302200,40.863680530,40.852265580,40.617770170,40.127851390,39.408844440,38.502851730,37.464507270,36.356604560,35.216852950,34.053639560,32.840842020,31.555672250,30.200028220,28.789137370,27.350222630,25.889495980,24.406381710,22.933020590,21.510686420,20.137068100,18.783964340,17.445367510,16.136294530,14.858882560,13.617563410,12.410304140,11.207864170,9.982682881,8.742447186,7.509921966,6.287721186,5.076197034,3.882480017,2.720381983,1.604935237,0.561283847,-0.393371407,-1.257227983,-2.025893424,-2.698255593,-3.271135780,-3.739023339,-4.088176864,-4.272970288,-4.215003136,-3.836578729,-3.105923644,-2.057682763,-0.765832237,0.703905763,2.319072932,4.062731542,5.920290966,7.882067000,9.935183000,11.945289000,13.855146460,15.751026360,17.623392540,19.451072720,21.219868310,22.928612000,24.587169920,26.201248150,27.772874620,29.302193740,30.785107150,32.214073380,33.574596330,34.843147000,36.008128230,37.081726440,38.058696310,38.917929920,39.657175870,40.287614130,40.818954540,41.241051620,41.537973180,41.709955000,41.760449850,41.682385670,41.477321310,41.154507210,40.731791050,40.245823230,39.750906030,39.301152280,38.933307770,38.665727490,38.503731970,38.430100770,38.416432130,38.442016330,38.503979000,38.509936780
37.744644000,37.321818270,36.669640850,35.945006610,35.341006240,34.905359560,34.530519470,34.078296050,33.442395140,32.570634880,31.489425540,30.276020920,29.010492610,27.734465530,26.459648370,25.186277930,23.901308590,22.567804080,21.147339140,19.647691730,18.092832630,16.500446170,14.905876860,13.335599470,11.795468420,10.306140490,8.892253542,7.558346542,6.298616288,5.087949339,3.908204034,2.760034407,1.649719492,0.576363271,-0.473078424,-1.506852356,-2.523658085,-3.518440356,-4.480474881,-5.392840983,-6.233324797,-6.982553475,-7.632621424,-8.177575017,-8.600910322,-8.871620492,-8.970306441,-8.896013254,-8.628316051,-8.132015237,-7.390541627,-6.405747169,-5.178381356,-3.705642017,-1.986449051,-0.021980051,2.156437305,4.471374288,6.834017169,9.202798000,11.509867000,13.779473510,16.063352540,18.348839460,20.595430310,22.752535850,24.786494310,26.681145490,28.440248230,30.077225620,31.603981210,33.031470690,34.373677310,35.639722330,36.836482690,37.969166690,39.031504280,40.013550280,40.905437230,41.689120100,42.337729440,42.824662150,43.132626870,43.259617640,43.215667620,43.016406180,42.681410670,42.224317080,41.649523460,40.963824790,40.198196540,39.423250380,38.735723280,38.232418000,37.970931540,37.933884920,38.045918460,38.189132620,38.225639330,38.060238000,38.150098440
33.736694000,33.262486000,32.867027000,32.656086000,32.613258000,32.594292000,32.432095000,32.029892000,31.396162000,30.597420000,29.681858000,28.650225000,27.484367000,26.175350000,24.725456000,23.149727000,21.487539000,19.799557000,18.151100000,16.600574000,15.176612000,13.854167000,12.577076000,11.297077000,9.994742000,8.690354000,7.415361000,6.192448000,5.029229000,3.920624000,2.868190000,1.877410000,0.945948000,0.065177000,-0.780547000,-1.609271000,-2.441182000,-3.297203000,-4.181284000,-5.080120000,-5.973679000,-6.843681000,-7.677457000,-8.466957000,-9.204391000,-9.874711000,-10.458552000,-10.938154000,-11.293524000,-11.495265000,-11.491566000,-11.219840000,-10.646513000,-9.790806000,-8.716270000,-7.490964000,-6.158964000,-4.737618000,-3.221776000,-1.597100000,0.155503000,2.106426128,4.206021769,6.422470385,8.705867308,10.998678970,13.260770620,15.469460620,17.604765850,19.660736150,21.640150770,23.545778950,25.373434540,27.106987330,28.735143640,30.266306460,31.713085950,33.072743100,34.328378690,35.463279620,36.465333970,37.327416310,38.048698000,38.596734900,38.996393150,39.254609440,39.350772670,39.283773690,39.064909080,38.710320950,38.232979150,37.654627030,37.010810620,36.345657080,35.711140150,35.152763620,34.687915920,34.264552590,33.840604900,33.355988000,32.932332490
27.491804000,27.384955120,27.122847020,26.812570950,26.566925760,26.421642100,26.274730710,25.957410340,25.386462270,24.564374310,23.509908370,22.260926420,20.883421410,19.444612360,18.012032020,16.628995410,15.299577710,14.024690590,12.802398250,11.608717980,10.434435800,9.278162441,8.131628542,7.006322610,5.921496254,4.895796051,3.946786915,3.081456407,2.282825051,1.518101119,0.766249712,0.010873034,-0.776856644,-1.627151661,-2.550710881,-3.538060441,-4.551079169,-5.528057712,-6.419348458,-7.231600017,-7.972920576,-8.584921271,-9.055422356,-9.438568525,-9.788949983,-10.137718800,-10.487580660,-10.793735970,-10.976148680,-10.921822830,-10.534075640,-9.784489390,-8.711477288,-7.401395915,-5.924150424,-4.304088271,-2.561739932,-0.729368576,1.173882000,3.120876000,4.971364000,6.703452590,8.415992333,10.113545690,11.772128900,13.363811380,14.886460460,16.355013900,17.783751820,19.176772690,20.528761510,21.833669310,23.087848000,24.285246330,25.413060870,26.452842150,27.386535030,28.187947640,28.833630460,29.328439510,29.679033490,29.884011150,29.936934950,29.828196870,29.570258150,29.193221080,28.726704330,28.180406920,27.555609080,26.876532510,26.215945310,25.687820260,25.402551770,25.399617690,25.611861050,25.918710690,26.221733920,26.462618790,26.603758870,26.611286000,26.802298470
38.000305000,37.183546690,36.085043050,34.907352080,33.802081310,32.835576560,31.999502030,31.201989610,30.343104370,29.362390170,28.239871050,27.002353900,25.697807640,24.345042200,22.957137370,21.587412270,20.323189410,19.232680920,18.320642880,17.542747540,16.852828470,16.205748830,15.568547540,14.927088310,14.278398660,13.598429710,12.874743020,12.111987100,11.305576250,10.468177030,9.636758271,8.824333051,8.018196102,7.220465458,6.433964695,5.644725492,4.845194203,4.046554203,3.262333475,2.500734814,1.782236203,1.124759424,0.539606881,0.034342475,-0.396531051,-0.770918017,-1.110328441,-1.421260186,-1.669675424,-1.772198271,-1.599462390,-1.073036322,-0.157631644,1.136987627,2.781924373,4.738530051,6.939170797,9.274403559,11.627102560,13.945422000,16.038824000,17.866208050,19.682298460,21.469008460,23.208801310,24.891734790,26.516441620,28.086415720,29.600509820,31.040326000,32.417339540,33.752089260,35.057357460,36.334850330,37.577389000,38.773531000,39.903498330,40.944191410,41.881737920,42.706594590,43.414754870,43.998072000,44.441717620,44.730195770,44.840470850,44.776087950,44.549572000,44.171880850,43.664846080,43.060166820,42.393005540,41.689852490,40.954279050,40.191964080,39.442115620,38.780134590,38.270206080,37.913901620,37.623925440,37.247936000,36.924795680
34.218770000,33.796292540,33.582259150,33.691066440,34.010571360,34.300573900,34.386655760,34.239386100,33.909167800,33.437413050,32.833701530,32.101994750,31.255822200,30.305691860,29.248781860,28.080515930,26.810290170,25.461888640,24.064333390,22.647361690,21.242749830,19.883077970,18.595474410,17.395577120,16.285204920,15.254332370,14.286630170,13.367558470,12.492514410,11.665755420,10.887553390,10.142220340,9.405564746,8.657182373,7.882013559,7.067211186,6.201194237,5.275727966,4.288937627,3.247485593,2.166838305,1.068120339,-0.028362373,-1.110443559,-2.176993051,-3.231100000,-4.262809661,-5.227791525,-6.035575593,-6.564611864,-6.709316949,-6.435786441,-5.806862712,-4.955267797,-4.017193220,-3.067530000,-2.101015593,-1.063801695,0.101969322,1.430100000,2.872280000,4.363875000,5.940025000,7.573419500,9.239692000,10.915042500,12.576443000,14.205258000,15.789682000,17.322967500,18.799795000,20.214959000,21.565426000,22.853064500,24.084927000,25.270030000,26.413472000,27.511051500,28.550297000,29.518511000,30.409820000,31.217063500,31.933839000,32.538947500,33.007430000,33.319627500,33.469114000,33.467617500,33.347288000,33.159841000,32.969850000,32.841005000,32.819956000,32.924745000,33.140831000,33.423277500,33.703734000,33.902526000,33.946628000,33.795436000,33.474450000
50.117570000,50.641490000,51.143130000,51.528960000,51.705020000,51.600310000,51.182720000,50.465310000,49.501260000,48.368230000,47.145180000,45.889450000,44.624410000,43.342800000,42.021420000,40.636530000,39.172450000,37.623080000,35.991000000,34.287220000,32.530930000,30.746920000,28.960380000,27.191780000,25.454680000,23.756340000,22.100230000,20.488820000,18.925860000,17.417020000,15.968070000,14.581250000,13.252080000,11.968820000,10.716020000,9.482480000,8.269060000,7.090710000,5.971180000,4.935670000,4.004750000,3.189590000,2.488040000,1.883680000,1.349070000,0.852730000,0.367790000,-0.119170000,-0.599570000,-1.035740000,-1.358400000,-1.473070000,-1.278870000,-0.698220000,0.294050000,1.658710000,3.304520000,5.118230000,6.998190000,8.878700000,10.737380000,12.586870000,14.457190000,16.375780000,18.352390000,20.373340000,22.405350000,24.406020000,26.336850000,28.173670000,29.910370000,31.554570000,33.118400000,34.609660000,36.028020000,37.367070000,38.620070000,39.783960000,40.858280000,41.840250000,42.721340000,43.487980000,44.126170000,44.626590000,44.988020000,45.219510000,45.341360000,45.383010000,45.377320000,45.354380000,45.337400000,45.341680000,45.376580000,45.448870000,45.564890000,45.729890000,45.945220000,46.207900000,46.516200000,46.875850000,47.294170000
37.408580000,37.771210000,38.243460000,38.760080000,39.210300000,39.479660000,39.491880000,39.223310000,38.692600000,37.941960000,37.020910000,35.975000000,34.838790000,33.631480000,32.355900000,31.002210000,29.557590000,28.019970000,26.406610000,24.748110000,23.072930000,21.396610000,19.722280000,18.048160000,16.374610000,14.708100000,13.060860000,11.445600000,9.868970000,8.328280000,6.812460000,5.306500000,3.797780000,2.282290000,0.766620000,-0.734840000,-2.203040000,-3.615100000,-4.945040000,-6.167020000,-7.260270000,-8.213640000,-9.028690000,-9.719940000,-10.312190000,-10.834670000,-11.312930000,-11.759620000,-12.166590000,-12.500860000,-12.705240000,-12.703910000,-12.415870000,-11.777490000,-10.767720000,-9.421490000,-7.820900000,-6.065050000,-4.232060000,-2.354140000,-0.418840000,1.608040000,3.754720000,6.024740000,8.392620000,10.812190000,13.231140000,15.604430000,17.901620000,20.106740000,22.215010000,24.230880000,26.165830000,28.033660000,29.842750000,31.588340000,33.250320000,34.798920000,36.204130000,37.442630000,38.499940000,39.369960000,40.054030000,40.558860000,40.892840000,41.061820000,41.068080000,40.914240000,40.609000000,40.170880000,39.629320000,39.024920000,38.408950000,37.839710000,37.373870000,37.053750000,36.895030000,36.884430000,36.993380000,37.200900000,37.507260000
26.510510000,26.278785250,26.106021690,26.018577290,25.984519320,25.938235590,25.808584920,25.531893390,25.055453220,24.340878640,23.368879320,22.141059320,20.675822030,19.002238980,17.155629150,15.175342370,13.103728810,10.985975250,8.869041525,6.798495085,4.813118136,2.938346949,1.182697797,-0.459484237,-2.001810000,-3.461588305,-4.858529322,-6.213330000,-7.544276610,-8.863485085,-10.176285590,-11.485217120,-12.795198640,-14.114923730,-15.453755420,-16.817715420,-18.207865760,-19.620778980,-21.048617460,-22.477975760,-23.888878310,-25.255236950,-26.546794070,-27.732093390,-28.781873560,-29.671724750,-30.382977120,-30.901294410,-31.211943220,-31.292207970,-31.105391360,-30.603826950,-29.744111190,-28.508939320,-26.923834580,-25.060072880,-23.021477800,-20.918296100,-18.836149830,-16.813100000,-14.801310000,-12.732256250,-10.599125500,-8.377713750,-6.086428000,-3.766880000,-1.455814500,0.828544250,3.083230000,5.311865250,7.518170000,9.701846500,11.857116000,13.973667000,16.038701500,18.037703750,19.954412000,21.771906750,23.474188000,25.045614000,26.469480000,27.728060250,28.802908500,29.674744500,30.325878000,30.745562500,30.933914000,30.901400250,30.664770000,30.243335000,29.661250000,28.957494000,28.195664000,27.461211250,26.840588500,26.389516250,26.107407000,25.935902000,25.788419500,25.599959250,25.368720000
36.612180000,36.213384070,35.684199150,34.994972710,34.153915080,33.201133390,32.191859490,31.176800510,30.186063220,29.221382540,28.259772880,27.266113900,26.207104070,25.059733220,23.813227630,22.468164580,21.035707970,19.536375080,17.996669320,16.444420850,14.906404580,13.407214580,11.962264070,10.580397630,9.262568136,8.001686949,6.784869322,5.598369831,4.432192203,3.281314407,2.144044576,1.020725932,-0.085700169,-1.168673898,-2.218452881,-3.224216102,-4.176366949,-5.067703051,-5.893032542,-6.648697288,-7.330065424,-7.938387119,-8.474167966,-8.932322542,-9.301463559,-9.563308644,-9.692654068,-9.657894068,-9.422564576,-8.948830000,-8.203587458,-7.166795593,-5.839987119,-4.251085424,-2.451584576,-0.505409661,1.526689492,3.601121356,5.698991695,7.824970000,10.116260000,12.651551250,15.240273000,17.833695750,20.369413000,22.790052500,25.058043500,27.161696000,29.109914000,30.919596750,32.605610000,34.179196500,35.650269000,37.027255000,38.313354000,39.519368750,40.657080000,41.729473250,42.724008000,43.609858750,44.340095000,44.856103500,45.094298500,44.997965000,44.536520000,43.730050000,42.668373500,41.511338750,40.468947000,39.707226000,39.300525000,39.206225750,39.280098000,39.335828250,39.227390500,38.913880000,38.467136000,38.013500250,37.645844500,37.365363000,37.086450000
