V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
-0.472140000,0.245609559,1.182892678,2.247204627,3.252870271,4.126627983,4.926808373,5.731231983,6.531559746,7.204481051,7.600252932,7.666092932,7.515231237,7.278569102,7.041640288,6.820803746,6.600510780,6.379337525,6.178197254,6.009919881,5.868915542,5.731327034,5.574935322,5.399877780,5.226624356,5.084912898,4.985360661,4.912430424,4.849487627,4.789517678,4.727529153,4.663768390,4.609617966,4.567372102,4.532542610,4.498517186,4.452858763,4.379442322,4.270190593,4.122573271,3.928072339,3.678452847,3.364998508,2.978414136,2.496712847,1.882562661,1.092318000,0.101281153,-1.079293356,-2.401167661,-3.766464441,-5.085960797,-6.344791898,-7.526603271,-8.565811644,-9.378357576,-9.916690390,-10.165530220,-10.111400390,-9.796018000,-9.403434000,-9.074548513,-8.786154462,-8.542970615,-8.339075744,-8.162491282,-7.998860077,-7.834620795,-7.659893051,-7.453360077,-7.219423410,-6.975807846,-6.738459231,-6.518153667,-6.318811154,-6.137716615,-5.970998923,-5.811564103,-5.652078385,-5.490430692,-5.325725538,-5.154076154,-4.970017231,-4.772730513,-4.564557231,-4.347107000,-4.119349667,-3.883684615,-3.647834308,-3.423845051,-3.223538385,-3.050276179,-2.884668282,-2.678996538,-2.406839359,-2.082575615,-1.737680077,-1.387336077,-1.010530308,-0.563752000,-0.226935715
-0.217692000,0.193678966,0.607047610,1.047005983,1.591557339,2.245080814,2.851038542,3.273919153,3.538068339,3.754270644,3.982987017,4.224342017,4.465117271,4.690338576,4.875547627,4.995242186,5.040398051,5.031843390,4.999345254,4.950614254,4.887621119,4.828467254,4.786714729,4.756238390,4.725465695,4.687259085,4.636422864,4.571069780,4.502635508,4.442573068,4.401473898,4.387606915,4.394868424,4.406174763,4.408993203,4.405062322,4.401294475,4.405611966,4.421023780,4.447529508,4.488493102,4.541361458,4.586485220,4.600348136,4.552869356,4.414036102,4.171994881,3.836987678,3.421595305,2.919314254,2.315155983,1.616896441,0.874860102,0.161911678,-0.481689712,-1.080248068,-1.695643119,-2.358408559,-3.039512797,-3.669588000,-4.109711000,-4.289346000,-4.267094718,-4.139070077,-3.975025462,-3.804423564,-3.631357154,-3.450649974,-3.257877000,-3.059047769,-2.868940231,-2.699800385,-2.556733231,-2.441981000,-2.357281128,-2.300472308,-2.261135128,-2.226937564,-2.193479077,-2.162864256,-2.140969744,-2.131217385,-2.133325692,-2.137180205,-2.132307154,-2.116141128,-2.093443667,-2.069431923,-2.048103692,-2.036217128,-2.042575462,-2.067391128,-2.089933590,-2.072998846,-1.984899359,-1.813823231,-1.566691231,-1.258290872,-0.905661103,-0.526968000,-0.243864710
-0.306870000,0.218425305,0.815961407,1.481393864,2.206735424,2.931209746,3.550187949,3.986514695,4.249042831,4.406624153,4.533030797,4.675132780,4.836374576,4.984478068,5.091436661,5.137430153,5.115279051,5.032484780,4.906335356,4.761151492,4.613620847,4.471391119,4.339307186,4.218666508,4.105398593,3.994015814,3.885309034,3.785017475,3.698426661,3.627140831,3.569379746,3.513049424,3.443098542,3.362856220,3.283617508,3.204838407,3.116589610,3.015157203,2.901240746,2.771409898,2.615710678,2.424758475,2.193354271,1.912631322,1.576210390,1.188865576,0.757125847,0.280803475,-0.240352695,-0.789830458,-1.339565068,-1.857251017,-2.313537797,-2.686650881,-2.967424441,-3.159432729,-3.274098356,-3.321526915,-3.305846814,-3.231118000,-3.107631000,-2.956256000,-2.777976974,-2.577507154,-2.360559974,-2.137066410,-1.917866923,-1.711488744,-1.523839205,-1.360080308,-1.224482231,-1.121348051,-1.048613308,-1.004938667,-0.987731692,-0.994954692,-1.024000385,-1.070028333,-1.126753615,-1.190924744,-1.262425256,-1.337839231,-1.414178205,-1.492753077,-1.576001923,-1.665097744,-1.758283000,-1.849821923,-1.929458974,-1.982859103,-1.996897692,-1.976125205,-1.924550821,-1.841925077,-1.727432641,-1.580960641,-1.398128000,-1.167159590,-0.875513256,-0.525358000,-0.319277890
0.845537000,1.421260593,2.102038763,2.897393797,3.787123051,4.693960593,5.509518051,6.128473271,6.507121831,6.684312407,6.744084237,6.774805797,6.831279153,6.914949508,6.998915763,7.055633169,7.059905712,7.000658017,6.884359932,6.730296169,6.562666983,6.394022678,6.227673847,6.062881966,5.900719508,5.750082831,5.621087475,5.514199780,5.415864305,5.315939915,5.212747458,5.110315508,5.007162000,4.888287441,4.740370186,4.568706814,4.386829220,4.201911559,4.012847339,3.818589305,3.619099068,3.408837322,3.172094153,2.896633136,2.583166119,2.234708458,1.858803695,1.472286576,1.082447000,0.676915136,0.240602966,-0.227384898,-0.704358881,-1.147728085,-1.516141169,-1.784500492,-1.948653898,-2.022843000,-2.033359441,-2.005747000,-1.939027000,-1.822786949,-1.661431564,-1.459171923,-1.227836538,-0.989360333,-0.758359385,-0.538274923,-0.335716231,-0.160089000,-0.014328949,0.096760641,0.163073000,0.178326333,0.150685000,0.097117923,0.031291410,-0.042700692,-0.125436769,-0.211121744,-0.288777667,-0.353147154,-0.406158872,-0.448948513,-0.482388308,-0.515235179,-0.562400333,-0.635791154,-0.735164103,-0.844454359,-0.941104462,-1.013666615,-1.056244385,-1.048926692,-0.965212846,-0.795334949,-0.554390462,-0.250360205,0.120796256,0.564190000,0.835251113
3.975997000,4.505134712,5.127430203,5.809323288,6.522323068,7.257414492,8.033211847,8.848076153,9.626126424,10.270033410,10.739488860,11.036347150,11.174365050,11.191249270,11.141040290,11.061376390,10.964052880,10.852208360,10.725824220,10.587890970,10.451260690,10.321043140,10.184625540,10.029616920,9.860229864,9.683156898,9.511925186,9.367595864,9.249640864,9.137594627,9.015384000,8.875531424,8.730825949,8.584865034,8.440838492,8.318165220,8.231803525,8.176009932,8.134198254,8.079346627,7.979227169,7.818968949,7.608103153,7.372232678,7.127958237,6.872818983,6.577439390,6.201169390,5.709635915,5.092438898,4.377017661,3.636253136,2.950077356,2.349667780,1.817491169,1.331346085,0.895573475,0.522603763,0.210224237,-0.056695000,-0.256211000,-0.361876538,-0.367445462,-0.264027000,-0.062444538,0.209443154,0.520441923,0.845035000,1.160412769,1.446307231,1.694575231,1.912559846,2.104893000,2.270277000,2.405194846,2.507824308,2.578693846,2.623333846,2.646887077,2.660295538,2.683617077,2.736458231,2.826435154,2.945806538,3.075696385,3.196025154,3.292159000,3.347175308,3.359345769,3.335312692,3.282396154,3.206957077,3.116349154,3.025537769,2.969827154,3.000402846,3.153059923,3.420184846,3.769581231,4.185036000,4.401389254
2.585520000,2.907896271,3.235225593,3.552581186,3.880868475,4.262806949,4.729624068,5.281168475,5.887753390,6.502037119,7.073624746,7.560004915,7.934829831,8.194558644,8.356859322,8.450270847,8.504576610,8.544946441,8.586265085,8.629868475,8.666932881,8.687222203,8.688264237,8.678247119,8.670712881,8.678095424,8.708291695,8.760823220,8.823579492,8.877985763,8.909106271,8.912574576,8.891506949,8.850230678,8.792945085,8.722897797,8.641651017,8.549406441,8.446053729,8.330252034,8.196141186,8.032507458,7.827584746,7.576734576,7.287346271,6.978035085,6.673220339,6.394835932,6.153374068,5.941673729,5.734920339,5.499891356,5.213663051,4.883029492,4.549111864,4.271073051,4.101614576,4.068800000,4.167984915,4.368630000,4.628630000,4.921040000,5.249540000,5.597699500,5.937984000,6.245165000,6.507889000,6.728590500,6.916046000,7.078066000,7.217905000,7.334389000,7.424244000,7.484813000,7.515895000,7.520080000,7.501596000,7.464905000,7.413627000,7.349708000,7.272910000,7.177615500,7.053215000,6.883091000,6.650018000,6.339867500,5.943129000,5.458342000,4.898618000,4.296083500,3.698760000,3.159009500,2.718298000,2.395879000,2.187667000,2.075717500,2.041374000,2.073399500,2.167816000,2.321992500,2.526290000
-3.260350000,-2.952880000,-2.449640000,-1.767740000,-0.960600000,-0.103470000,0.729050000,1.483020000,2.132180000,2.670320000,3.098440000,3.418030000,3.632700000,3.752650000,3.796370000,3.788020000,3.752380000,3.710370000,3.677730000,3.666440000,3.686320000,3.744640000,3.843580000,3.977250000,4.130390000,4.280440000,4.402820000,4.477740000,4.495540000,4.458090000,4.375930000,4.263050000,4.131880000,3.990030000,3.838970000,3.673720000,3.484200000,3.258320000,2.986020000,2.662360000,2.288790000,1.872450000,1.424260000,0.956760000,0.481910000,0.008550000,-0.460100000,-0.928110000,-1.407870000,-1.921210000,-2.498780000,-3.173690000,-3.967260000,-4.870360000,-5.830670000,-6.757900000,-7.549440000,-8.123630000,-8.442900000,-8.517360000,-8.390930000,-8.119760000,-7.752750000,-7.320290000,-6.834240000,-6.296780000,-5.711250000,-5.088860000,-4.449340000,-3.817560000,-3.218590000,-2.672960000,-2.193180000,-1.782880000,-1.439310000,-1.157870000,-0.935690000,-0.771540000,-0.663220000,-0.606000000,-0.593740000,-0.621430000,-0.686830000,-0.789900000,-0.929760000,-1.101230000,-1.293920000,-1.494580000,-1.690310000,-1.870360000,-2.027370000,-2.158530000,-2.266260000,-2.357900000,-2.443780000,-2.532740000,-2.625240000,-2.706710000,-2.746170000,-2.700970000,-2.524520000
2.536040000,3.204680000,3.936600000,4.684680000,5.405740000,6.079250000,6.712090000,7.323850000,7.922260000,8.487890000,8.979550000,9.354890000,9.590850000,9.691310000,9.680840000,9.592720000,9.459630000,9.309520000,9.164630000,9.040720000,8.944980000,8.873580000,8.811940000,8.739580000,8.637920000,8.497550000,8.322650000,8.130920000,7.947390000,7.794590000,7.684790000,7.617460000,7.581000000,7.557110000,7.526280000,7.471980000,7.382450000,7.251700000,7.080500000,6.875390000,6.645180000,6.396560000,6.131160000,5.845130000,5.532010000,5.186870000,4.808730000,4.399990000,3.962430000,3.490380000,2.965260000,2.356920000,1.634130000,0.781070000,-0.187300000,-1.219270000,-2.235690000,-3.153300000,-3.911060000,-4.484780000,-4.882630000,-5.127000000,-5.236820000,-5.220790000,-5.081320000,-4.821600000,-4.451200000,-3.988820000,-3.461710000,-2.901990000,-2.341780000,-1.807750000,-1.316970000,-0.876340000,-0.486040000,-0.144970000,0.145550000,0.382640000,0.565150000,0.695780000,0.781140000,0.831850000,0.861710000,0.884360000,0.908430000,0.933490000,0.950070000,0.945200000,0.909860000,0.843680000,0.755980000,0.665070000,0.596410000,0.578910000,0.639590000,0.798600000,1.066820000,1.446160000,1.931720000,2.513110000,3.172620000
-3.046460000,-2.479672203,-1.758327458,-0.852195254,0.229504068,1.430942034,2.674414576,3.892436271,5.039124068,6.079118644,6.973121525,7.678058814,8.162605254,8.423254746,8.487520678,8.402956949,8.221336102,7.987000169,7.732081695,7.476545424,7.230369153,6.996365763,6.772676441,6.554982542,6.339084068,6.122709153,5.904855593,5.684621695,5.462438983,5.242074576,5.030271356,4.834299831,4.659271864,4.505793559,4.368257458,4.234883220,4.089922712,3.916792542,3.700772542,3.430909492,3.101483051,2.713439661,2.275318475,1.802616441,1.314395763,0.827983220,0.354982712,-0.099541356,-0.536643559,-0.964273390,-1.399404746,-1.869763729,-2.411273390,-3.057902542,-3.825066610,-4.695526949,-5.619034915,-6.527239322,-7.352423898,-8.037630000,-8.541020000,-8.812080000,-8.814105000,-8.550927000,-8.056586000,-7.385978750,-6.600075500,-5.754149000,-4.894518000,-4.061213500,-3.290047500,-2.610749000,-2.042533000,-1.591179500,-1.249446000,-1.000408750,-0.822592000,-0.696042500,-0.608764500,-0.561260750,-0.565740000,-0.639314500,-0.795461000,-1.038874250,-1.364996000,-1.761686250,-2.210475000,-2.687034750,-3.161834000,-3.602356750,-3.978247500,-4.268337750,-4.464458000,-4.566985750,-4.574685500,-4.478710000,-4.268718000,-3.946172500,-3.529611000,-3.043729250,-2.499690000
3.158960000,3.336204746,3.519126780,3.733141356,3.987970508,4.277680339,4.585784237,4.890317458,5.167365593,5.394981864,5.557845424,5.650699322,5.678723390,5.654732881,5.594751186,5.514206102,5.426128814,5.340375593,5.261702373,5.187460339,5.106829831,5.001896780,4.855644576,4.656110169,4.403046780,4.112092203,3.812688814,3.539037458,3.319211017,3.168603729,3.089060000,3.070923051,3.095663729,3.138957458,3.174478814,3.177591525,3.127922712,3.010831695,2.818624915,2.551610847,2.217338305,1.837696610,1.440011356,1.051135424,0.691475593,0.367577288,0.066679831,-0.244154068,-0.612171017,-1.086511695,-1.702714237,-2.469653898,-3.364084237,-4.335557119,-5.320644576,-6.260598475,-7.113386610,-7.853995763,-8.465536949,-8.931400000,-9.240130000,-9.345345750,-9.221159000,-8.884199250,-8.370255000,-7.728647500,-7.012983000,-6.271344500,-5.539884000,-4.842830000,-4.197342500,-3.618113750,-3.119554000,-2.716437500,-2.427562000,-2.258587500,-2.204174000,-2.250244000,-2.370799500,-2.529500500,-2.687190000,-2.813312000,-2.895783500,-2.945407250,-2.992888000,-3.078267500,-3.234642500,-3.470346750,-3.745616000,-3.974358750,-4.059727500,-3.930920250,-3.571496000,-3.018124250,-2.336841500,-1.598606250,-0.866520000,-0.190168750,0.401391000,0.905841500,1.343640000
