V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
-2.416372000,-3.104563814,-3.902658119,-4.454251102,-4.566194831,-4.320235424,-3.927369864,-3.604272271,-3.498283458,-3.629965610,-3.871765644,-4.060662102,-4.128773356,-4.124498627,-4.125332220,-4.126163017,-4.086780712,-4.000422186,-3.878161339,-3.743088661,-3.603945949,-3.465299881,-3.327054424,-3.174635915,-2.986847712,-2.740897610,-2.488823695,-2.372312915,-2.475220356,-2.778238559,-3.159962576,-3.448059661,-3.573497186,-3.590163695,-3.555154220,-3.489417034,-3.434470881,-3.441771153,-3.512997780,-3.613356390,-3.723936966,-3.832804407,-3.933135695,-4.028075051,-4.126641458,-4.266207831,-4.483265559,-4.776823593,-5.154963593,-5.628227254,-6.172992136,-6.727962356,-7.212407881,-7.565633492,-7.758028407,-7.791745458,-7.692138102,-7.496989220,-7.234673390,-6.900803000,-6.480159000,-5.968349385,-5.402461179,-4.795694385,-4.127600487,-3.390690667,-2.624531923,-1.912651000,-1.309761308,-0.832876462,-0.470309692,-0.174818923,0.115572615,0.429402000,0.753932923,1.047123385,1.220096205,1.262795564,1.241509000,1.179798179,1.064105821,0.857138692,0.543747846,0.130215205,-0.358963846,-0.907542564,-1.490242667,-2.053348154,-2.528923872,-2.856396769,-2.992616231,-2.923750718,-2.681804282,-2.350707077,-2.045407692,-1.860477282,-1.827439769,-1.932099949,-2.181630205,-2.630962000,-2.808057218
5.404666000,6.289581729,6.784077780,6.744749458,6.362902034,6.086209576,6.187432458,6.441102288,6.474092644,6.192163237,5.738080847,5.263043017,4.831198932,4.480950814,4.260548424,4.196687610,4.240265746,4.307597254,4.335317322,4.295136102,4.221755288,4.165125356,4.129286627,4.074386254,3.944730102,3.697101814,3.353433712,2.990753644,2.632678508,2.246344712,1.794193051,1.291662627,0.790973305,0.332021542,-0.089350949,-0.500077898,-0.935940814,-1.403748339,-1.878325729,-2.332948441,-2.734701695,-3.053983763,-3.294123288,-3.485730847,-3.657962949,-3.830823508,-4.032989644,-4.302474068,-4.638038424,-5.000195542,-5.375145305,-5.803289898,-6.328439237,-6.930659864,-7.522519424,-8.007096949,-8.327641102,-8.482841034,-8.502942729,-8.371903000,-8.064681000,-7.609138949,-7.033183718,-6.360472846,-5.593234000,-4.706199897,-3.678818154,-2.528121282,-1.301096949,-0.035293462,1.256712590,2.566134128,3.868966308,5.140159333,6.364929436,7.540957538,8.668333923,9.719677513,10.640426770,11.385700670,11.927001410,12.242891460,12.325444820,12.172906620,11.775711460,11.122114280,10.219147000,9.120542846,7.924579051,6.741308744,5.680454154,4.844521744,4.285252718,3.966290462,3.782699513,3.653902128,3.571803385,3.630160821,3.981036026,4.645657000,4.850273321
0.608657000,1.810079000,3.153056000,4.469614000,5.787207000,7.205215000,8.706996000,10.117054000,11.131677000,11.499063000,11.257501000,10.743388000,10.352211000,10.317077000,10.647371000,11.217718000,11.871207000,12.508790000,13.117078000,13.692079000,14.215958000,14.690813000,15.144773000,15.601788000,16.033262000,16.371983000,16.556192000,16.536818000,16.301550000,15.889504000,15.363964000,14.794198000,14.247809000,13.787981000,13.456181000,13.269533000,13.208785000,13.227861000,13.286385000,13.369337000,13.472668000,13.575953000,13.624307000,13.561466000,13.358585000,13.012940000,12.557453000,12.048300000,11.556239000,11.146483000,10.846418000,10.639672000,10.491811000,10.382257000,10.338468000,10.447123000,10.790520000,11.388062000,12.207442000,13.198376000,14.275265000,15.324567260,16.166649360,16.692481080,16.896251030,16.881370900,16.777521770,16.665486330,16.568585000,16.506333620,16.512561050,16.600316950,16.744751310,16.896127330,17.011122560,17.070467690,17.080304410,17.056616050,17.006975540,16.941698260,16.871097740,16.775559460,16.595889000,16.239897330,15.617038460,14.664841410,13.376909670,11.801018690,10.007373460,8.075052077,6.096436692,4.183769590,2.461042821,1.045164231,0.019268179,-0.594306179,-0.791314077,-0.567905897,0.072359385,1.103829000,1.535665731
-8.429488000,-10.462932240,-11.582906100,-11.609818980,-10.448861250,-8.142013780,-5.066192797,-1.974272559,0.272157441,1.183522153,0.890745847,-0.110149322,-1.330386814,-2.439676136,-3.280529492,-3.819119288,-4.082469593,-4.144162746,-4.096333390,-3.990469339,-3.836754983,-3.563131356,-3.141728864,-2.673444254,-2.226374763,-1.799896864,-1.414777881,-1.103418966,-0.837477085,-0.573917390,-0.321757085,-0.115620271,0.007351305,0.022580763,-0.056004407,-0.199559797,-0.457789576,-0.891624458,-1.427579847,-1.897655814,-2.193889085,-2.354853915,-2.379382085,-2.257589559,-2.042469186,-1.814090390,-1.633394729,-1.566735000,-1.613719508,-1.773286831,-2.041207542,-2.298605203,-2.355972153,-2.043750898,-1.391711610,-0.636605034,-0.072336085,0.050612508,-0.321336610,-0.968227000,-1.528401000,-1.832603615,-1.926158282,-1.875709769,-1.747690615,-1.612232410,-1.557443000,-1.619912436,-1.754590897,-1.879755462,-1.931833718,-1.889956487,-1.767188231,-1.587711333,-1.367083462,-1.111305615,-0.846292256,-0.609004538,-0.389652615,-0.167600744,0.065027744,0.308416538,0.491293051,0.432076897,-0.040430923,-0.915490795,-2.005219667,-3.006861308,-3.609735949,-3.615301359,-3.036855231,-2.103148179,-1.159140000,-0.527082385,-0.410732462,-0.909052897,-2.066146769,-3.830560179,-5.984661513,-8.152464000,-10.111721370
-8.267282000,-6.969925356,-5.913474102,-5.012255678,-3.741825780,-1.966227305,-0.231254746,0.991620542,1.612952169,1.605105508,1.003678271,0.077816390,-0.752500441,-1.267316695,-1.391533814,-1.206011542,-0.863360508,-0.506078119,-0.219723831,0.010547695,0.254988424,0.548070983,0.869431017,1.198800847,1.466488915,1.561066169,1.451561593,1.224427915,0.989885797,0.795911458,0.669619136,0.601224441,0.557030288,0.498361915,0.375401864,0.178833322,-0.069648017,-0.363522169,-0.701475780,-1.076263729,-1.478252661,-1.865453000,-2.180414559,-2.384547847,-2.491379237,-2.573623763,-2.717661136,-2.974945508,-3.358874068,-3.836981000,-4.344255254,-4.877049763,-5.443548593,-6.009534610,-6.547622881,-7.016468559,-7.331806441,-7.421265237,-7.264660966,-6.955214000,-6.757588000,-6.799126410,-7.012254846,-7.301514231,-7.557383538,-7.690883846,-7.648719538,-7.415569795,-7.008010051,-6.481094385,-5.886865462,-5.226220590,-4.507742385,-3.752356667,-2.985048667,-2.224312846,-1.501550436,-0.852458590,-0.297728154,0.130246769,0.392875410,0.455143000,0.285405436,-0.151971897,-0.901738154,-1.953199590,-3.238512667,-4.663581769,-6.112453667,-7.468039974,-8.628404077,-9.516985744,-10.059515030,-10.304692000,-10.318327770,-10.176586740,-9.913027385,-9.498980359,-8.873021205,-8.029945000,-7.509941910
5.520780000,6.225859492,6.402425254,6.036925085,5.642335085,5.925747627,7.211760169,9.224111695,11.349883730,13.017990510,13.885395590,13.837086950,12.943265420,11.434769150,9.652041356,7.943331186,6.571430339,5.679879831,5.297343390,5.350900847,5.696444576,6.175110508,6.670870678,7.131681525,7.556795424,7.975542034,8.423567797,8.922963729,9.472699153,10.050871020,10.625857970,11.162049490,11.621200680,11.968577290,12.188814410,12.292603220,12.309268640,12.278673390,12.245828980,12.250172370,12.312301360,12.429822880,12.581714070,12.731669490,12.830964070,12.829556100,12.696439490,12.435308310,12.078870680,11.661268140,11.186667630,10.619251190,9.912302712,9.066881356,8.175632542,7.406792373,6.930170169,6.839587119,7.127061525,7.713610000,8.472300000,9.287913000,10.137996000,10.993445000,11.846324000,12.694670000,13.520361000,14.280879500,14.924542000,15.415568000,15.748575000,15.945902500,16.044838000,16.084283000,16.096224000,16.102542500,16.114322000,16.131624500,16.145760000,16.144224000,16.115040000,16.040408000,15.894496000,15.641867500,15.255718000,14.726417500,14.054289000,13.234351500,12.245688000,11.059203000,9.670055000,8.138774500,6.604920000,5.249021500,4.221515000,3.590167500,3.342534000,3.430257000,3.808888000,4.434579000,5.208050000
-5.338790000,-3.991290000,-2.760040000,-1.772830000,-1.185910000,-1.115570000,-1.566760000,-2.421430000,-3.486920000,-4.559270000,-5.464810000,-6.076970000,-6.325650000,-6.207010000,-5.783270000,-5.162320000,-4.462600000,-3.780400000,-3.172570000,-2.655720000,-2.216700000,-1.826850000,-1.454970000,-1.077420000,-0.685220000,-0.287170000,0.091960000,0.417770000,0.654670000,0.773900000,0.759450000,0.610250000,0.338030000,-0.038040000,-0.496550000,-1.014540000,-1.563850000,-2.108650000,-2.608210000,-3.024740000,-3.332330000,-3.522690000,-3.605890000,-3.608010000,-3.567870000,-3.533500000,-3.558060000,-3.694970000,-3.991970000,-4.484420000,-5.188340000,-6.093710000,-7.158870000,-8.309470000,-9.445090000,-10.454150000,-11.232720000,-11.699170000,-11.800000000,-11.509800000,-10.835490000,-9.829140000,-8.596800000,-7.285380000,-6.047890000,-5.006480000,-4.229910000,-3.728460000,-3.462620000,-3.359650000,-3.332900000,-3.299880000,-3.196720000,-2.986890000,-2.662290000,-2.237520000,-1.740510000,-1.204150000,-0.661950000,-0.147710000,0.303700000,0.656280000,0.872410000,0.911610000,0.731350000,0.292560000,-0.430110000,-1.434410000,-2.678220000,-4.075100000,-5.499690000,-6.803790000,-7.843030000,-8.508120000,-8.746810000,-8.566980000,-8.023890000,-7.204380000,-6.217350000,-5.183520000,-4.208840000
-7.482180000,-6.803990000,-6.395420000,-6.192870000,-6.062650000,-5.904650000,-5.712750000,-5.548810000,-5.466160000,-5.446590000,-5.395170000,-5.194620000,-4.777930000,-4.168900000,-3.470180000,-2.812520000,-2.295780000,-1.952650000,-1.748440000,-1.604420000,-1.427650000,-1.141230000,-0.709290000,-0.145230000,0.499170000,1.152840000,1.740940000,2.192670000,2.445550000,2.451930000,2.186950000,1.655050000,0.894180000,-0.025040000,-1.008330000,-1.953950000,-2.771830000,-3.402120000,-3.826940000,-4.067360000,-4.165220000,-4.160920000,-4.081910000,-3.946460000,-3.773800000,-3.590820000,-3.433960000,-3.348560000,-3.383710000,-3.580850000,-3.960530000,-4.516730000,-5.222190000,-6.038090000,-6.920040000,-7.819690000,-8.682900000,-9.445220000,-10.029810000,-10.353240000,-10.342240000,-9.960660000,-9.233820000,-8.251150000,-7.139710000,-6.019200000,-4.964920000,-4.000010000,-3.114890000,-2.295900000,-1.544660000,-0.877970000,-0.312710000,0.149740000,0.528340000,0.857150000,1.174820000,1.512930000,1.885530000,2.281720000,2.661300000,2.953290000,3.061630000,2.883800000,2.340190000,1.401120000,0.096710000,-1.493000000,-3.258040000,-5.077040000,-6.829470000,-8.405130000,-9.714940000,-10.699420000,-11.327770000,-11.587330000,-11.474900000,-11.003720000,-10.228000000,-9.265080000,-8.284130000
-6.817510000,-6.129059831,-5.968487627,-6.066281525,-6.058199153,-5.723965932,-5.111879661,-4.470986441,-4.074379153,-4.066928644,-4.410922712,-4.923437966,-5.365527627,-5.543315085,-5.384126271,-4.955481186,-4.417639492,-3.940905254,-3.635640000,-3.524150169,-3.554415932,-3.636915593,-3.681699661,-3.621427797,-3.420199492,-3.075304915,-2.617252373,-2.106397119,-1.620328305,-1.231318136,-0.983014237,-0.879654576,-0.892785424,-0.977854237,-1.091012712,-1.202273051,-1.302637966,-1.401948136,-1.517809153,-1.661300339,-1.827082712,-1.993286102,-2.131083729,-2.218007797,-2.247625254,-2.231366271,-2.192635424,-2.156819153,-2.142364576,-2.155513729,-2.189147288,-2.226293051,-2.246902542,-2.234860847,-2.184732712,-2.108663220,-2.040200508,-2.030199153,-2.132158136,-2.377390000,-2.757180000,-3.200746750,-3.578570500,-3.777892000,-3.733195000,-3.442238750,-2.953294500,-2.333838750,-1.639704000,-0.900192750,-0.125665000,0.670505250,1.455373000,2.178151750,2.786526000,3.244268750,3.540802000,3.689624250,3.717060500,3.648318750,3.496920000,3.259589250,2.917041000,2.437168250,1.774996000,0.873107500,-0.328182500,-1.869781250,-3.746715000,-5.882573250,-8.119755000,-10.240433000,-12.017992000,-13.279362000,-13.947020500,-14.038276250,-13.631427000,-12.836035250,-11.793708500,-10.692638000,-9.744830000
8.013810000,7.849113051,7.486681186,6.949327966,6.307440508,5.650409322,5.059385424,4.590439661,4.268010169,4.086792542,4.019244237,4.026316441,4.069080847,4.118796780,4.162903220,4.204421525,4.253627119,4.315004746,4.377584915,4.416514068,4.404307966,4.327062034,4.194562373,4.023777797,3.827425932,3.604915424,3.342364915,3.020832542,2.626510847,2.156658305,1.619689492,1.032125593,0.415473390,-0.205930339,-0.806628644,-1.362397797,-1.854010678,-2.270916441,-2.612307627,-2.884758136,-3.098013729,-3.269872373,-3.419676780,-3.565053051,-3.720491017,-3.896504237,-4.100680508,-4.340746271,-4.627842373,-4.976067119,-5.395912881,-5.884725085,-6.421615593,-6.971917288,-7.498018305,-7.967532881,-8.353795932,-8.633115254,-8.785540847,-8.798810000,-8.654970000,-8.323659000,-7.818728500,-7.135735500,-6.268726000,-5.225646250,-4.038755000,-2.757311250,-1.425602000,-0.063159000,1.336062500,2.786914250,4.297400000,5.863391250,7.463067500,9.041001250,10.518988000,11.813968000,12.852275000,13.569725250,13.907075000,13.814014250,13.262996000,12.265726250,10.884804000,9.234161250,7.464083500,5.738532500,4.213507000,2.992500500,2.150200000,1.737284750,1.783102000,2.276541000,3.127670500,4.153701250,5.135451000,5.922667750,6.494824500,6.909273750,7.191440000
