V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
3.078287000,2.831787322,2.696905661,2.664290322,2.696031678,2.837891847,3.033927881,3.131973983,3.064491508,2.950180119,2.918042797,2.954081593,2.974185186,2.959665814,2.960489441,3.001159763,3.070663763,3.165226000,3.304226339,3.491032559,3.681240153,3.832996898,3.943373881,4.033725949,4.109980729,4.163759576,4.196547610,4.225853576,4.258775644,4.298725610,4.335542051,4.344203271,4.320899169,4.290264051,4.262188966,4.228824661,4.195657441,4.174816864,4.170739932,4.165584407,4.148291763,4.141368559,4.162728390,4.221397169,4.312128051,4.421850339,4.552379831,4.719489153,4.941900915,5.206045864,5.447679729,5.600408678,5.634926339,5.572771508,5.470468458,5.364557305,5.261642085,5.164369898,5.126679322,5.239724000,5.455555000,5.588204744,5.546345385,5.297613231,4.863789667,4.308826385,3.712034462,3.145593692,2.629000154,2.160465923,1.745752974,1.373120436,1.011905462,0.649816333,0.296119282,-0.024054462,-0.249450538,-0.386274821,-0.486242231,-0.553251077,-0.546963923,-0.418796462,-0.160274359,0.208195513,0.648289615,1.145135051,1.689789333,2.245910154,2.764626769,3.204120051,3.536218308,3.749005590,3.847490051,3.856546769,3.820809769,3.779269897,3.733666615,3.653884000,3.501802718,3.265349000,3.208882738
-1.072906000,-1.928358186,-2.631261678,-2.936500831,-3.004962695,-3.179734729,-3.623729051,-4.229176356,-4.655805593,-4.660573407,-4.375043441,-4.022879000,-3.614756169,-3.114845407,-2.596246898,-2.121991237,-1.687412983,-1.296990525,-0.953000593,-0.596359203,-0.156680169,0.362969000,0.882884746,1.327883153,1.690477966,1.998765627,2.251192746,2.427684881,2.533449492,2.588127271,2.605810220,2.603889712,2.595916678,2.596656271,2.604034203,2.594112729,2.565674254,2.537500390,2.511076831,2.480795153,2.454707068,2.443066915,2.452144780,2.485556661,2.537579983,2.589421576,2.621450000,2.628647881,2.608795559,2.554238017,2.456994102,2.311207034,2.116031475,1.881071237,1.657623034,1.538215339,1.566866508,1.680046542,1.792873898,1.875120000,1.966315000,2.127747769,2.340564051,2.506243846,2.514079974,2.290947103,1.827788846,1.160848795,0.333862795,-0.632219462,-1.732762308,-2.954815692,-4.265196615,-5.616391333,-6.949339949,-8.204042462,-9.327172744,-10.255551460,-10.920422620,-11.281824560,-11.329556460,-11.059538770,-10.469707540,-9.569835077,-8.386856769,-6.963241179,-5.365760000,-3.708912923,-2.158705949,-0.890993282,-0.024094000,0.431253333,0.563776026,0.510722231,0.412449590,0.343422615,0.254826231,0.045991410,-0.340327026,-0.922754000,-1.062020100
-0.731491000,-1.271066000,-1.948088000,-2.708853000,-3.610495000,-4.586113000,-5.462836000,-6.127564000,-6.549362000,-6.704990000,-6.557950000,-6.141411000,-5.635581000,-5.262321000,-5.091741000,-5.031840000,-4.952157000,-4.772408000,-4.481273000,-4.112694000,-3.704773000,-3.275375000,-2.846401000,-2.457752000,-2.125882000,-1.825338000,-1.522939000,-1.210886000,-0.914263000,-0.671044000,-0.502810000,-0.397501000,-0.318646000,-0.245400000,-0.178978000,-0.122360000,-0.082030000,-0.064366000,-0.067952000,-0.090209000,-0.129360000,-0.177243000,-0.228867000,-0.288135000,-0.355008000,-0.422993000,-0.491620000,-0.571640000,-0.681858000,-0.854859000,-1.135905000,-1.553640000,-2.118896000,-2.839236000,-3.722509000,-4.785534000,-6.035354000,-7.426492000,-8.874531000,-10.329981000,-11.772063000,-13.158822770,-14.291012460,-14.989560850,-15.194475820,-15.030965050,-14.716221000,-14.421986330,-14.225966440,-14.149750620,-14.207556000,-14.417783460,-14.776468690,-15.242276670,-15.756393380,-16.271028770,-16.755477590,-17.177212870,-17.497344460,-17.688104690,-17.731729820,-17.595167460,-17.212199050,-16.496261000,-15.403189000,-13.941814900,-12.183291000,-10.259551380,-8.334322462,-6.562210949,-5.040713000,-3.791015667,-2.774958231,-1.938516615,-1.254649744,-0.725073333,-0.346230769,-0.150296564,-0.186252923,-0.519959000,-0.214500564
-5.054035000,-4.843508797,-4.579726864,-4.309068119,-4.282345102,-4.647998864,-5.308099712,-6.049478559,-6.619458186,-6.822506051,-6.675248322,-6.342909627,-5.997245695,-5.747922119,-5.636947814,-5.627705797,-5.633032814,-5.602083305,-5.545655780,-5.487863542,-5.433844864,-5.392983373,-5.381302508,-5.396841559,-5.429321814,-5.446706593,-5.409788932,-5.338338119,-5.282686373,-5.243810712,-5.179566627,-5.076400797,-4.951852661,-4.823610288,-4.715592729,-4.651451169,-4.628465695,-4.612102068,-4.560834542,-4.455783288,-4.289994864,-4.058170712,-3.790294712,-3.518879763,-3.252404475,-2.984343153,-2.709475051,-2.415553186,-2.104756881,-1.803314864,-1.551667203,-1.426015475,-1.517998085,-1.878895525,-2.430807661,-2.963522610,-3.264003322,-3.186368881,-2.720643220,-2.048918000,-1.475881000,-1.155581487,-1.076309026,-1.203398385,-1.480325359,-1.839627872,-2.215505231,-2.577421821,-2.924298744,-3.274951000,-3.666366923,-4.133415282,-4.688228000,-5.315046667,-5.982046590,-6.662023538,-7.312920513,-7.858057487,-8.253172000,-8.513905026,-8.633674974,-8.546816000,-8.201929487,-7.570173462,-6.691608462,-5.713568974,-4.812078667,-4.125946769,-3.721879538,-3.587723846,-3.650206462,-3.810648513,-3.992968436,-4.182619538,-4.413090128,-4.696375410,-4.978815923,-5.163749897,-5.177449128,-5.052114000,-5.286733987
-0.166543000,-0.648140915,-0.963610915,-0.963309966,-0.930715390,-1.026796407,-1.211360864,-1.371751831,-1.428832712,-1.430448169,-1.530521000,-1.787057288,-2.038525763,-2.111111729,-1.973875203,-1.759742542,-1.625506085,-1.604699441,-1.616286458,-1.584012898,-1.469969983,-1.291158356,-1.113368627,-0.975144305,-0.864045424,-0.751250085,-0.635433153,-0.526203966,-0.427903288,-0.353992237,-0.324640729,-0.332851169,-0.345034305,-0.348772254,-0.339943678,-0.315464661,-0.280818559,-0.245981610,-0.208437339,-0.159095949,-0.093858203,-0.028124814,0.023901339,0.060579203,0.072368254,0.049470593,-0.008328051,-0.106977542,-0.272225831,-0.538553390,-0.911921983,-1.326464220,-1.723904949,-2.063685085,-2.276471254,-2.286573288,-2.111851932,-1.846685814,-1.524929814,-1.121647000,-0.717229000,-0.406760179,-0.177693615,-0.056354846,-0.065888615,-0.224896923,-0.542503846,-1.012075026,-1.608137744,-2.278845615,-2.967645513,-3.668051513,-4.385014538,-5.116428333,-5.850870538,-6.574098769,-7.254719487,-7.820743282,-8.209432769,-8.388728308,-8.356012462,-8.119010154,-7.676304077,-7.007231359,-6.085327462,-4.967751564,-3.758869667,-2.564748462,-1.493458923,-0.637335590,-0.055923077,0.238659872,0.281971513,0.241350846,0.234739205,0.263283154,0.263035615,0.179436436,0.008970641,-0.245787000,-0.287873815
-2.401600000,-2.300834407,-1.983496441,-1.629391695,-1.613300508,-2.251687288,-3.551486102,-5.190932034,-6.714270169,-7.748377458,-8.110667458,-7.813497458,-7.010230000,-5.922365254,-4.775527288,-3.752922881,-2.970282373,-2.475135763,-2.259815932,-2.274683051,-2.443230339,-2.683056610,-2.924196102,-3.117032034,-3.235089153,-3.277470847,-3.262295593,-3.212735763,-3.148602881,-3.084824407,-3.030793051,-2.985820847,-2.939491356,-2.879491695,-2.796947797,-2.688069322,-2.555240339,-2.408842203,-2.265333559,-2.141528644,-2.049981864,-1.997502542,-1.984094915,-1.998840508,-2.018205593,-2.016179831,-1.980430000,-1.915854407,-1.830648644,-1.720573390,-1.569399831,-1.367935085,-1.135516441,-0.922635254,-0.785128644,-0.744676610,-0.771191864,-0.819734576,-0.899709153,-1.092000000,-1.460890000,-1.969064000,-2.555601000,-3.167070000,-3.799368000,-4.467960000,-5.160878000,-5.824847500,-6.390732000,-6.811946000,-7.087990000,-7.261078500,-7.391558000,-7.528792500,-7.693753000,-7.878805000,-8.057820000,-8.196110000,-8.256669000,-8.205963000,-8.020770000,-7.684251500,-7.208215000,-6.609473500,-5.927528000,-5.229892500,-4.600465000,-4.111263000,-3.791126000,-3.610599000,-3.495060000,-3.362412000,-3.164918000,-2.909815500,-2.646859000,-2.434110000,-2.307216000,-2.269792500,-2.300879000,-2.362482500,-2.395970000
1.378480000,0.702470000,0.127250000,-0.309980000,-0.598800000,-0.741980000,-0.747590000,-0.621710000,-0.369560000,-0.014920000,0.377660000,0.706450000,0.870040000,0.814750000,0.558830000,0.180150000,-0.219670000,-0.551280000,-0.757930000,-0.818580000,-0.740580000,-0.549360000,-0.279780000,0.029850000,0.342360000,0.626610000,0.861910000,1.040570000,1.167030000,1.253580000,1.315280000,1.367030000,1.422090000,1.489420000,1.570710000,1.660110000,1.746890000,1.818580000,1.863660000,1.874630000,1.850400000,1.796560000,1.723570000,1.644520000,1.572780000,1.518500000,1.484140000,1.462690000,1.440900000,1.405810000,1.350330000,1.275450000,1.190540000,1.112880000,1.064450000,1.062780000,1.109160000,1.180970000,1.232220000,1.202650000,1.038480000,0.722960000,0.300540000,-0.128840000,-0.449990000,-0.582430000,-0.508370000,-0.269070000,0.058750000,0.387850000,0.635960000,0.732910000,0.626940000,0.294410000,-0.251960000,-0.964510000,-1.772470000,-2.595910000,-3.355030000,-3.976890000,-4.403080000,-4.596470000,-4.543130000,-4.249150000,-3.735910000,-3.036330000,-2.192260000,-1.252100000,-0.268550000,0.703000000,1.606180000,2.388910000,3.011920000,3.454430000,3.711740000,3.787190000,3.685400000,3.413090000,2.989650000,2.461970000,1.909480000
3.110140000,3.384820000,3.759590000,4.123740000,4.312680000,4.212950000,3.849250000,3.376040000,2.979690000,2.766640000,2.714440000,2.709490000,2.633870000,2.437250000,2.154300000,1.871740000,1.676080000,1.614340000,1.684130000,1.847070000,2.049490000,2.241250000,2.389970000,2.485050000,2.530660000,2.536080000,2.511620000,2.469900000,2.425780000,2.391450000,2.371700000,2.364290000,2.363570000,2.363800000,2.360880000,2.352760000,2.339930000,2.326230000,2.318420000,2.323160000,2.343480000,2.378140000,2.423890000,2.477790000,2.538700000,2.607140000,2.683100000,2.764040000,2.845310000,2.921190000,2.985350000,3.034930000,3.079650000,3.146800000,3.272580000,3.481300000,3.763870000,4.070180000,4.322340000,4.440010000,4.363250000,4.069980000,3.587360000,2.990160000,2.380320000,1.850150000,1.444440000,1.145130000,0.888700000,0.606760000,0.265290000,-0.123980000,-0.524210000,-0.901540000,-1.238250000,-1.532120000,-1.790500000,-2.022950000,-2.235020000,-2.423440000,-2.568840000,-2.627170000,-2.531600000,-2.212890000,-1.632730000,-0.812480000,0.162600000,1.168820000,2.081740000,2.804430000,3.280530000,3.499670000,3.498710000,3.354360000,3.162460000,3.007190000,2.933000000,2.936760000,2.988260000,3.067240000,3.187110000
-1.162560000,-1.593785085,-1.844513390,-1.884457458,-1.832650169,-1.865040678,-2.065065932,-2.356496102,-2.567288305,-2.551407288,-2.271777966,-1.806209153,-1.294877966,-0.870070169,-0.604797797,-0.498956441,-0.499464407,-0.535915932,-0.553123220,-0.528671356,-0.472207458,-0.411611864,-0.375635932,-0.380844407,-0.425755424,-0.493702542,-0.564495593,-0.628237627,-0.690944576,-0.768254407,-0.872919831,-1.004812712,-1.149674746,-1.287746949,-1.405596610,-1.501002712,-1.578589831,-1.643058983,-1.695871864,-1.734971525,-1.755080847,-1.748093051,-1.704215254,-1.614000678,-1.470962712,-1.274038305,-1.027937458,-0.741159153,-0.424721186,-0.092960847,0.235237119,0.534046271,0.766593220,0.883657966,0.834758644,0.593810508,0.185191864,-0.310513559,-0.777600339,-1.100680000,-1.191710000,-0.996272750,-0.540894500,0.076546750,0.716928000,1.251166250,1.600694500,1.741302500,1.677946000,1.419416250,0.974190000,0.364527000,-0.362460000,-1.141562000,-1.907007000,-2.604745000,-3.196092000,-3.657545250,-3.979111500,-4.161901000,-4.214815000,-4.149205000,-3.972737500,-3.685156250,-3.277644000,-2.737622500,-2.060407000,-1.266013750,-0.413629000,0.398025500,1.052075000,1.450655000,1.551184000,1.386612000,1.058749500,0.698855000,0.404464000,0.187728000,-0.020440000,-0.301172000,-0.660000000
-3.987440000,-4.517285424,-4.911154407,-5.104436780,-5.081553729,-4.861907627,-4.485442712,-4.007915593,-3.494363559,-3.004956102,-2.580106271,-2.232326949,-1.946238644,-1.685960000,-1.409112034,-1.083068644,-0.695492373,-0.254888983,0.216370339,0.691221525,1.144024237,1.551792203,1.897328475,2.165545932,2.348607627,2.449388475,2.480188475,2.458489322,2.403238136,2.332832542,2.263582373,2.207733390,2.171614068,2.155135593,2.153223729,2.158724576,2.165865254,2.173027797,2.183351864,2.202535763,2.235898475,2.284912034,2.348664237,2.425332712,2.510855593,2.596236610,2.665352542,2.696197288,2.666497458,2.561878475,2.383064576,2.148878814,1.893442881,1.657593390,1.476569322,1.369782203,1.340985254,1.390886610,1.530637458,1.778670000,2.161810000,2.653621250,3.109652000,3.401621000,3.437183000,3.184892500,2.664612000,1.915035750,0.963264000,-0.183765500,-1.523205000,-3.031667750,-4.654195000,-6.312740000,-7.913956500,-9.360943750,-10.559412000,-11.410453500,-11.817578500,-11.699006500,-11.010230000,-9.771851250,-8.087139500,-6.136794250,-4.150440000,-2.361332500,-0.952162500,-0.014784750,0.488090000,0.703217000,0.753012500,0.695630500,0.515208000,0.165194250,-0.364282500,-1.005091250,-1.639891000,-2.186921750,-2.656938500,-3.116997000,-3.600990000
