V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
-0.01101,-0.016940816,-0.02297102,-0.028706735,-0.033727551,-0.037543878,-0.039770816,-0.040204286,-0.038936531,-0.036302857,-0.032768163,-0.028773061,-0.02465551,-0.020572041,-0.016547143,-0.012503265,-0.008305714,-0.003816735,0.001100816,0.006515306,0.012423469,0.01877,0.025440204,0.032254898,0.039008367,0.045457347,0.051352449,0.056482245,0.060724286,0.064097755,0.066773265,0.069066531,0.07134898,0.073978571,0.077243061,0.08129,0.086156122,0.091761429,0.097911633,0.104391837,0.110989796,0.117560204,0.124027143,0.13044102,0.13693,0.143659592,0.150799592,0.158462245,0.16666551,0.17538,0.184477347,0.193852449,0.203424694,0.213185918,0.22316551,0.233469592,0.244201429,0.255442653,0.267256939,0.279693673,0.29274449,0.306392245,0.320552041,0.335078571,0.34972449,0.364182041,0.378178163,0.391544286,0.404205306,0.416148163,0.427364286,0.437850408,0.447627755,0.456712653,0.465100408,0.472737959,0.479479796,0.485095714,0.489283673,0.491691837,0.491946735,0.489653265,0.48436102,0.475592449,0.462827143,0.44559,0.423525918,0.396518163,0.364786939,0.328893061,0.28974102,0.248555714,0.206726531,0.165727755,0.12699,0.091747551,0.060932041,0.03518102,0.01485,-0.028660875,-0.060903054
0.001,-0.002853061,-0.00854898,-0.015260612,-0.021636122,-0.026195306,-0.027990816,-0.026812857,-0.023236122,-0.018362653,-0.013511633,-0.009785714,-0.007793061,-0.007576122,-0.008772857,-0.01088,-0.013487755,-0.016418163,-0.019633265,-0.023093265,-0.026617755,-0.029872857,-0.03240102,-0.033770408,-0.033723061,-0.032258776,-0.029658776,-0.026414082,-0.023115714,-0.020325918,-0.018485102,-0.017823469,-0.018363878,-0.019922449,-0.022206122,-0.024857143,-0.027566939,-0.03004449,-0.032031429,-0.033243878,-0.033458163,-0.032531224,-0.030507143,-0.027602449,-0.024133061,-0.020409592,-0.016627143,-0.012841429,-0.009026327,-0.0051,-0.000973265,0.00337,0.007871224,0.012379388,0.01670898,0.020637551,0.024037143,0.026866939,0.029228367,0.031305918,0.033316939,0.035525102,0.038166531,0.041488571,0.045667143,0.050863878,0.057160408,0.064591429,0.073137551,0.082741633,0.093305714,0.104663265,0.11658102,0.128757755,0.140859796,0.152542245,0.163487551,0.173427143,0.182158367,0.189535918,0.195445102,0.199773265,0.202376735,0.203047755,0.201545714,0.197641224,0.191217143,0.182307755,0.171130612,0.157934694,0.142964082,0.126471429,0.108764082,0.090322041,0.071810816,0.054079796,0.037922449,0.024016327,0.01282,-0.007799504,-0.024025649
-0.02113,-0.040548571,-0.063542857,-0.088081837,-0.111906735,-0.132962857,-0.149819592,-0.161808571,-0.168966531,-0.171897551,-0.171607755,-0.169333265,-0.166344286,-0.163752449,-0.162301429,-0.162194286,-0.163065306,-0.164109796,-0.164311837,-0.162733265,-0.158774082,-0.152255714,-0.14341449,-0.132753469,-0.120897959,-0.10844898,-0.095931837,-0.083757551,-0.072214286,-0.06148102,-0.05165449,-0.042739388,-0.034673673,-0.027315714,-0.020471224,-0.013895714,-0.007367959,-0.000716531,0.006155714,0.013211633,0.020287143,0.027149388,0.033554286,0.039292857,0.044253265,0.04844102,0.052008776,0.055174286,0.05822898,0.06145,0.065103878,0.069322653,0.074175102,0.079631837,0.085563469,0.091817755,0.098217143,0.104607347,0.110875714,0.116992041,0.122997755,0.12901449,0.135188163,0.141685714,0.148647959,0.156160612,0.164266531,0.172947347,0.182130612,0.191714286,0.20159,0.211643878,0.221775714,0.231889184,0.241863673,0.251545306,0.260757959,0.269271429,0.276836939,0.283192041,0.288048163,0.291101633,0.292004286,0.290391633,0.285881429,0.278110408,0.266811429,0.251859592,0.23336898,0.211748571,0.18766,0.161985714,0.135675306,0.109665918,0.084836327,0.061953469,0.041665306,0.024461633,0.01068,-0.01708965,-0.038109847
-0.02418,-0.035243673,-0.046377143,-0.056147755,-0.063137551,-0.066150816,-0.064495714,-0.058131429,-0.047734694,-0.03454551,-0.020074082,-0.005897551,0.00662898,0.016553061,0.02338,0.027100408,0.028103673,0.02700449,0.024477551,0.021090816,0.017229592,0.01308,0.008722449,0.004235918,-0.00023102,-0.004414694,-0.007980816,-0.010612653,-0.012102857,-0.012385714,-0.011583673,-0.009946939,-0.007816735,-0.005554898,-0.003476939,-0.00183,-0.000756122,-0.000323673,-0.000531429,-0.00129449,-0.002523061,-0.004065306,-0.005768571,-0.007493061,-0.009127755,-0.010603265,-0.011912245,-0.013102653,-0.014266735,-0.01555,-0.017130204,-0.019163673,-0.02179102,-0.025017143,-0.028766122,-0.032835918,-0.03694,-0.040798367,-0.044172449,-0.046876531,-0.048845306,-0.050064082,-0.050580612,-0.05045,-0.049697959,-0.048318776,-0.046245714,-0.043358367,-0.039521633,-0.03459102,-0.028454286,-0.021046122,-0.01235102,-0.002430204,0.008600408,0.020586939,0.03332102,0.046558571,0.060043673,0.073553878,0.086891837,0.099862449,0.112274694,0.123882041,0.134387143,0.143416122,0.150520408,0.155202041,0.156967551,0.155353265,0.150011633,0.140787143,0.127773673,0.11141449,0.09246551,0.072051224,0.051482857,0.032145714,0.01529,-0.004906822,-0.024084366
-0.01187,-0.014071633,-0.014571633,-0.012985102,-0.009253265,-0.003658367,0.00322898,0.010601429,0.017596122,0.023516939,0.028053673,0.031211633,0.033235714,0.03443898,0.035098571,0.035406735,0.035460612,0.035313265,0.035025102,0.034670408,0.034343878,0.034164286,0.034233265,0.034613469,0.035296735,0.03618449,0.037096327,0.037808571,0.038111429,0.037883673,0.037142857,0.036037143,0.034816327,0.033746735,0.033041429,0.032791429,0.032965714,0.033455306,0.034117347,0.034811224,0.035464286,0.036048571,0.03662,0.037279184,0.038177143,0.039500612,0.041403061,0.044023469,0.047421429,0.05162,0.056572041,0.062196939,0.068399184,0.075083265,0.082151633,0.089485102,0.09695,0.104438571,0.111846939,0.11914898,0.126384898,0.133596327,0.140857551,0.148234286,0.155775102,0.163530612,0.17152551,0.17979898,0.188376939,0.197242245,0.206371429,0.215726531,0.225266327,0.234952449,0.244738163,0.254543878,0.264257143,0.273722857,0.282712041,0.290924286,0.297990612,0.303475102,0.30688102,0.307646735,0.305167143,0.298848776,0.288183469,0.27284102,0.252784286,0.228341429,0.200235918,0.169548571,0.137653673,0.106143878,0.07662449,0.050538367,0.028914286,0.012239592,0.00042,-0.033526501,-0.056641494
-0.03203,-0.04339,-0.05277,-0.0581,-0.05752,-0.04983,-0.03501,-0.01448,0.00906,0.03223,0.05173,0.06504,0.0708,0.06902,0.06087,0.04827,0.03346,0.01859,0.00538,-0.00502,-0.01212,-0.01602,-0.01724,-0.01651,-0.01458,-0.01205,-0.00937,-0.00679,-0.00448,-0.00255,-0.00113,-2.90E-04,-4.00E-05,-2.60E-04,-6.90E-04,-9.90E-04,-7.70E-04,2.10E-04,0.00209,0.00476,0.00801,0.01153,0.015,0.0182,0.02101,0.02338,0.02536,0.02703,0.02854,0.03002,0.03161,0.03344,0.03552,0.03784,0.04032,0.04283,0.04525,0.04749,0.0495,0.05132,0.05303,0.05476,0.05667,0.0589,0.06156,0.06476,0.06857,0.07308,0.07836,0.08444,0.09131,0.09891,0.10712,0.11577,0.1247,0.13375,0.14278,0.15168,0.16038,0.16885,0.17706,0.18497,0.19246,0.19925,0.20489,0.20875,0.21011,0.20822,0.20245,0.19235,0.17784,0.15931,0.13761,0.11397,0.08977,0.06643,0.04527,0.0273,0.01315,0.00294,-0.00358
-0.07956,-0.10602,-0.13074,-0.15105,-0.16494,-0.17128,-0.16989,-0.16159,-0.14799,-0.13122,-0.11357,-0.09715,-0.08361,-0.07396,-0.06855,-0.06705,-0.06867,-0.07227,-0.07665,-0.08066,-0.08337,-0.0841,-0.08245,-0.07831,-0.07177,-0.06309,-0.0526,-0.04067,-0.02761,-0.0137,8.30E-04,0.01579,0.03097,0.04614,0.06103,0.07536,0.08887,0.10136,0.11267,0.12274,0.13154,0.1391,0.14548,0.15081,0.15529,0.15915,0.16273,0.16637,0.17044,0.17526,0.18107,0.188,0.19609,0.20528,0.21546,0.22651,0.23832,0.25087,0.26416,0.2783,0.29341,0.30961,0.327,0.34559,0.36533,0.38603,0.40745,0.42926,0.45115,0.47277,0.49385,0.51414,0.53344,0.5516,0.56846,0.58389,0.59767,0.60954,0.61913,0.62595,0.62941,0.6288,0.62335,0.61226,0.59481,0.57043,0.53889,0.50036,0.45556,0.40573,0.35263,0.2983,0.24485,0.19424,0.14806,0.1074,0.07283,0.04446,0.02204,0.00508,-0.00706
-0.02348,-0.03094,-0.03806,-0.04433,-0.04943,-0.05323,-0.05591,-0.05795,-0.06001,-0.06285,-0.06709,-0.0731,-0.08095,-0.09044,-0.10109,-0.11232,-0.12346,-0.13389,-0.14305,-0.15056,-0.15615,-0.15973,-0.16136,-0.16119,-0.15949,-0.15652,-0.15256,-0.14787,-0.14267,-0.13714,-0.1314,-0.12557,-0.11973,-0.11395,-0.1083,-0.10284,-0.09767,-0.09286,-0.08848,-0.0846,-0.08125,-0.07844,-0.07615,-0.07435,-0.07299,-0.07201,-0.07138,-0.07106,-0.07103,-0.07128,-0.07178,-0.0725,-0.07336,-0.07431,-0.07523,-0.07605,-0.07665,-0.07693,-0.07677,-0.07605,-0.07462,-0.0723,-0.06889,-0.06416,-0.05789,-0.04988,-0.03997,-0.02808,-0.01422,0.00153,0.01899,0.03793,0.05805,0.07903,0.10052,0.12216,0.14365,0.1647,0.18507,0.20459,0.22307,0.24036,0.25627,0.2706,0.28309,0.29344,0.30127,0.3061,0.30737,0.30453,0.29706,0.28458,0.26697,0.24442,0.21751,0.18724,0.15492,0.12214,0.09055,0.06171,0.03688
-0.06906,-0.09205,-0.11382,-0.13232,-0.14609,-0.15442,-0.1575,-0.15637,-0.15279,-0.14889,-0.14675,-0.14796,-0.15332,-0.16268,-0.17506,-0.18891,-0.20246,-0.21399,-0.22212,-0.22594,-0.22508,-0.21963,-0.21012,-0.19732,-0.18214,-0.16548,-0.14815,-0.13081,-0.11397,-0.09793,-0.08291,-0.06897,-0.05613,-0.04436,-0.03363,-0.02389,-0.01512,-0.00728,-3.20E-04,0.00582,0.01118,0.01579,0.01968,0.02288,0.02541,0.02732,0.02871,0.02969,0.03043,0.03113,0.03204,0.03341,0.03549,0.03851,0.04265,0.04809,0.05495,0.06329,0.07314,0.08449,0.09725,0.1113,0.12647,0.14257,0.15939,0.17677,0.19459,0.21275,0.23122,0.24998,0.26898,0.28814,0.3073,0.3262,0.34451,0.36186,0.37784,0.39204,0.40413,0.41382,0.42094,0.42536,0.42702,0.42588,0.42194,0.41515,0.40546,0.39278,0.37701,0.358,0.33564,0.30985,0.28074,0.24859,0.21395,0.17769,0.14101,0.10539,0.07233,0.04315,0.01882
-0.00555,-0.0087,-0.01211,-0.01565,-0.01918,-0.02255,-0.02565,-0.02839,-0.03079,-0.03291,-0.03487,-0.03677,-0.03875,-0.04085,-0.0431,-0.04539,-0.04755,-0.04938,-0.05064,-0.05118,-0.05088,-0.04973,-0.04782,-0.04529,-0.04235,-0.03921,-0.03605,-0.03305,-0.03032,-0.02791,-0.02583,-0.02403,-0.02249,-0.02115,-0.02,-0.01903,-0.01826,-0.01769,-0.01734,-0.01723,-0.01733,-0.01759,-0.01794,-0.01827,-0.01847,-0.01845,-0.01813,-0.01748,-0.01651,-0.01522,-0.01365,-0.0118,-0.00966,-0.00717,-0.00426,-8.20E-04,0.00325,0.00806,0.01366,0.02009,0.02733,0.03537,0.04416,0.05366,0.06383,0.07467,0.08619,0.09846,0.11157,0.12558,0.14054,0.15641,0.17309,0.19039,0.20811,0.226,0.24383,0.26138,0.27842,0.29473,0.31008,0.32416,0.33658,0.34689,0.35449,0.35872,0.35886,0.3542,0.34409,0.32811,0.30618,0.27866,0.24641,0.2108,0.17349,0.13637,0.10123,0.06964,0.04274,0.02115,0.00495
