V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
-0.31877,-0.363278367,-0.481069388,-0.657536122,-0.860076939,-1.044906531,-1.170202041,-1.209904286,-1.161130816,-1.042313469,-0.884125714,-0.718454694,-0.570146939,-0.453632449,-0.373678571,-0.32819898,-0.311284286,-0.315477347,-0.333084694,-0.35690102,-0.380656122,-0.399387143,-0.409770408,-0.410313878,-0.401173469,-0.383545918,-0.358895714,-0.328255306,-0.291981429,-0.24992,-0.201899592,-0.148432245,-0.091366939,-0.034141224,0.018622857,0.062158571,0.092748367,0.108657959,0.11038898,0.100387551,0.082489592,0.06126449,0.04148,0.027439592,0.022313061,0.027594694,0.042866939,0.065958367,0.093525306,0.12187,0.14777551,0.169354694,0.185939184,0.197782041,0.205796327,0.211348163,0.216214286,0.222300816,0.231215306,0.243929592,0.260635714,0.280961429,0.304389388,0.330631429,0.359875306,0.392735714,0.430005714,0.472256327,0.519533673,0.571229592,0.626181429,0.682872857,0.739682449,0.795091837,0.847836735,0.896999184,0.94199102,0.982502857,1.01833898,1.04926551,1.074827347,1.094244898,1.106414082,1.109968776,1.103444286,1.085453673,1.054973878,1.011718367,0.956554694,0.891697551,0.820676735,0.74802,0.678674286,0.617368571,0.567772653,0.531878367,0.509599184,0.498983265,0.49695,0.468674571,0.451220531
-0.22542,-0.22604102,-0.272929592,-0.36567898,-0.485793673,-0.599779388,-0.671970816,-0.679864286,-0.622748776,-0.519551429,-0.398816735,-0.287484694,-0.204023878,-0.156624286,-0.14417,-0.158337347,-0.186593265,-0.215966327,-0.23670551,-0.244565714,-0.240839184,-0.230245714,-0.217637551,-0.205246122,-0.192121224,-0.175963061,-0.155768776,-0.133050204,-0.110548571,-0.089612041,-0.068469184,-0.043001837,-0.010028776,0.029058163,0.067402653,0.095777143,0.107538367,0.102103878,0.084880204,0.064142245,0.047187143,0.037985918,0.036852857,0.041582449,0.049262041,0.057691633,0.06556102,0.071660408,0.074701633,0.07443,0.072386939,0.07134898,0.073251633,0.07805898,0.084131429,0.08974898,0.094772857,0.101088776,0.111501224,0.127911429,0.150355102,0.177417551,0.207347755,0.238554286,0.269204286,0.297056939,0.320250204,0.338538776,0.35360102,0.368164286,0.384855714,0.40541449,0.430353878,0.458958776,0.489525102,0.519787143,0.547644898,0.572042857,0.59330102,0.612492857,0.630450612,0.64734,0.662883673,0.676845306,0.68938,0.700876327,0.711011224,0.717677347,0.716828776,0.703628776,0.674247143,0.627472857,0.565614082,0.494572041,0.422606735,0.358120204,0.307337959,0.273003673,0.25443,0.196658714,0.154511714
-0.27212,-0.266854082,-0.293879796,-0.354075714,-0.437334898,-0.52231551,-0.583746122,-0.60324,-0.575949796,-0.50973,-0.419776939,-0.323315918,-0.235791837,-0.168395306,-0.126772857,-0.110907551,-0.116122653,-0.135173673,-0.161253265,-0.19029102,-0.220813469,-0.251577143,-0.278977143,-0.296483469,-0.296826735,-0.275653265,-0.234156939,-0.179123265,-0.120785714,-0.069663265,-0.033553061,-0.015480816,-0.013222857,-0.020561224,-0.029523265,-0.032788571,-0.025683673,-0.00732898,0.019319184,0.048784898,0.07556449,0.096566327,0.11205,0.124613061,0.137403265,0.152777755,0.171463061,0.192474286,0.213920816,0.23391,0.251091837,0.265066939,0.27610449,0.284901633,0.292386327,0.299636531,0.307748571,0.317587755,0.329713061,0.344423265,0.361787347,0.381651837,0.403892041,0.428495714,0.455269184,0.483603469,0.512669796,0.541963265,0.571500816,0.601392653,0.631328571,0.660470612,0.687966531,0.713568163,0.737639592,0.760573469,0.782129796,0.801222857,0.816326531,0.826112245,0.829760816,0.827039592,0.818426735,0.805008776,0.787855714,0.76719449,0.741952449,0.710207551,0.670545714,0.623598776,0.572778776,0.523365714,0.480581837,0.447445918,0.423237755,0.403392449,0.381146735,0.350460612,0.30892,0.288961306,0.260804571
-0.42376,-0.42421449,-0.437617755,-0.468333469,-0.516060408,-0.575830816,-0.639822653,-0.698965714,-0.743502449,-0.763869592,-0.753224694,-0.711178163,-0.645846735,-0.571976122,-0.505481429,-0.457003878,-0.428103469,-0.412286122,-0.399999592,-0.384153878,-0.36266,-0.337217143,-0.310292653,-0.282937755,-0.254630816,-0.22453898,-0.192863878,-0.161260408,-0.132105714,-0.107201429,-0.086899388,-0.070303265,-0.056211429,-0.04396551,-0.033534082,-0.025101429,-0.018567959,-0.013269796,-0.00791102,-0.000732653,0.00997551,0.025026122,0.043622857,0.063412245,0.081469388,0.095868367,0.106687551,0.115655306,0.124836122,0.13558,0.148230612,0.162281224,0.17676898,0.190435102,0.20213,0.21141449,0.219131429,0.22733551,0.238490612,0.254372245,0.275475102,0.301101224,0.329860408,0.360208571,0.390846327,0.420989184,0.450368776,0.479163061,0.50791,0.537444694,0.56872,0.602463265,0.638815102,0.677203265,0.716432857,0.754901429,0.790753265,0.82195,0.846468571,0.862742041,0.870017755,0.868471224,0.859057347,0.843204286,0.822325714,0.797365306,0.768535918,0.735671837,0.698876531,0.658941837,0.617117959,0.574405714,0.530859592,0.485606939,0.437630408,0.38693449,0.335163061,0.285374082,0.24129,0.189006041,0.139581919
-0.28872,-0.323713469,-0.385283673,-0.468568367,-0.552669592,-0.605908367,-0.602090816,-0.537177143,-0.433884898,-0.331089184,-0.26457898,-0.250601633,-0.281512245,-0.333969184,-0.382492857,-0.409993878,-0.411061633,-0.389453469,-0.353502857,-0.312133469,-0.272564082,-0.239524286,-0.215307551,-0.200143061,-0.192460204,-0.189087755,-0.185658776,-0.177646531,-0.161797143,-0.137295918,-0.106367347,-0.073846531,-0.045599592,-0.02631102,-0.017756735,-0.018327143,-0.023857347,-0.029393469,-0.030950204,-0.026527143,-0.01614551,-0.001376735,0.015422857,0.031947347,0.046491429,0.058132245,0.066747347,0.072870816,0.077420204,0.08144,0.085837143,0.09124898,0.098067143,0.106478571,0.116468367,0.12772551,0.139458571,0.150576939,0.160190408,0.168200612,0.175394082,0.183139796,0.193003061,0.206398571,0.224256735,0.246688571,0.272811837,0.30101551,0.329536531,0.357067143,0.382977143,0.407093878,0.429338571,0.44944102,0.466859388,0.480967551,0.491440816,0.49856,0.503085102,0.505668776,0.506478571,0.505426327,0.50264449,0.498755918,0.494674286,0.491166939,0.488618571,0.48693,0.485541429,0.483392449,0.479054082,0.47085,0.456780204,0.434453673,0.401483265,0.356627755,0.301201633,0.239841633,0.18044,0.128257062,0.072369796
-0.316,-0.40864,-0.56728,-0.788,-1.03647,-1.24894,-1.35957,-1.33566,-1.19523,-0.99657,-0.80821,-0.67903,-0.62381,-0.62886,-0.66883,-0.72169,-0.77501,-0.82365,-0.86426,-0.89202,-0.9015,-0.88971,-0.85805,-0.81184,-0.75799,-0.70258,-0.6494,-0.60012,-0.55501,-0.51366,-0.47565,-0.44129,-0.41173,-0.38821,-0.37058,-0.35692,-0.34451,-0.33145,-0.3175,-0.30371,-0.29132,-0.28043,-0.26972,-0.25736,-0.24243,-0.2256,-0.2086,-0.19298,-0.17938,-0.16767,-0.15756,-0.14919,-0.14302,-0.13912,-0.13671,-0.1343,-0.13026,-0.12318,-0.11213,-0.09689,-0.07802,-0.05645,-0.03306,-0.00877,0.01518,0.03757,0.05774,0.07576,0.09242,0.10894,0.12676,0.14714,0.17075,0.19749,0.2268,0.25785,0.28963,0.32099,0.35076,0.37761,0.40004,0.4164,0.42537,0.42656,0.42094,0.4105,0.39754,0.38405,0.37126,0.3594,0.34786,0.33603,0.3243,0.31416,0.30721,0.30381,0.30274,0.30205,0.30042,0.29796,0.29628
-0.25756,-0.30518,-0.38878,-0.50294,-0.63182,-0.75205,-0.83943,-0.8761,-0.85509,-0.78104,-0.66781,-0.53451,-0.40105,-0.2843,-0.19565,-0.14018,-0.1172,-0.12163,-0.14559,-0.17998,-0.21569,-0.24472,-0.26121,-0.26208,-0.24726,-0.21917,-0.18156,-0.13846,-0.09335,-0.049,-0.00746,0.0299,0.06233,0.08952,0.1114,0.12792,0.1391,0.14518,0.14672,0.14472,0.14044,0.13531,0.13074,0.12815,0.129,0.1344,0.14462,0.15867,0.17448,0.18953,0.20145,0.20865,0.21064,0.20829,0.20367,0.19954,0.19857,0.20268,0.2128,0.22893,0.25023,0.27507,0.30124,0.32654,0.34947,0.36963,0.38764,0.40466,0.42194,0.44053,0.46099,0.48325,0.50663,0.53002,0.5523,0.57264,0.59061,0.60612,0.61929,0.63022,0.63885,0.64497,0.64839,0.64906,0.64723,0.64335,0.63789,0.63121,0.62356,0.61521,0.60654,0.59792,0.58947,0.58077,0.57071,0.55778,0.54039,0.51736,0.48826,0.45366,0.41537
-0.09099,-0.16027,-0.27318,-0.41586,-0.56554,-0.69545,-0.78326,-0.81867,-0.806,-0.76093,-0.70353,-0.65113,-0.61398,-0.59471,-0.59053,-0.59611,-0.60571,-0.61421,-0.61742,-0.61235,-0.5976,-0.57357,-0.54231,-0.50671,-0.46963,-0.43312,-0.39812,-0.36455,-0.33179,-0.2993,-0.26713,-0.23603,-0.20718,-0.18161,-0.15974,-0.14115,-0.1248,-0.1096,-0.09483,-0.0804,-0.06661,-0.05383,-0.0422,-0.0315,-0.02119,-0.0106,7.40E-04,0.01294,0.02564,0.03813,0.04955,0.05917,0.06667,0.07232,0.07679,0.08084,0.08503,0.08967,0.09505,0.10162,0.11009,0.12127,0.13581,0.15403,0.17592,0.20119,0.22937,0.25984,0.29181,0.3242,0.3557,0.38499,0.4113,0.43479,0.45658,0.47808,0.50013,0.52243,0.54366,0.56207,0.57628,0.58562,0.59027,0.59091,0.58838,0.58333,0.57601,0.56635,0.55414,0.53938,0.52242,0.50417,0.48622,0.47091,0.4611,0.45955,0.46764,0.48415,0.5045,0.52147,0.52726
-0.12503,-0.19377,-0.33119,-0.51633,-0.71207,-0.87488,-0.96967,-0.98134,-0.91724,-0.80058,-0.66005,-0.52104,-0.40145,-0.31158,-0.25576,-0.23375,-0.24113,-0.26929,-0.30629,-0.33903,-0.3562,-0.35081,-0.32127,-0.27104,-0.2072,-0.13852,-0.07326,-0.01724,0.02729,0.06142,0.08813,0.11054,0.13064,0.14886,0.16439,0.17588,0.18236,0.18384,0.18136,0.17642,0.17049,0.16461,0.15938,0.15505,0.15178,0.1501,0.15102,0.15573,0.16501,0.17881,0.19629,0.21604,0.23643,0.25598,0.27384,0.29015,0.30584,0.32187,0.33866,0.356,0.37339,0.39051,0.40758,0.42541,0.44532,0.46876,0.49709,0.53125,0.57164,0.61789,0.66879,0.72239,0.77642,0.82868,0.87739,0.92134,0.95994,0.99308,1.02092,1.0437,1.06166,1.07504,1.08385,1.08773,1.08589,1.07736,1.06135,1.03761,1.00665,0.96964,0.92815,0.88368,0.8372,0.78893,0.73842,0.68487,0.62764,0.5667,0.50319,0.43972,0.38013
-0.08621,-0.05714,-0.07095,-0.12354,-0.20058,-0.28155,-0.34771,-0.38854,-0.40357,-0.39984,-0.38679,-0.37137,-0.35551,-0.33732,-0.31416,-0.28518,-0.25188,-0.21702,-0.18311,-0.15144,-0.12214,-0.09488,-0.06961,-0.04662,-0.02645,-0.00961,0.00352,0.01292,0.01917,0.02351,0.02757,0.03278,0.03988,0.04875,0.05861,0.06852,0.07791,0.08686,0.09601,0.10616,0.11766,0.13024,0.14315,0.15559,0.16683,0.17633,0.18376,0.18916,0.19296,0.19577,0.19824,0.20077,0.20356,0.20658,0.20965,0.21245,0.21482,0.2172,0.22057,0.22597,0.2341,0.24543,0.26041,0.27961,0.30342,0.33175,0.36382,0.39837,0.43396,0.46925,0.50327,0.53559,0.56645,0.59654,0.62677,0.65779,0.68954,0.72102,0.7506,0.7766,0.79787,0.81411,0.82584,0.8341,0.83992,0.84387,0.84588,0.84536,0.84144,0.833,0.81876,0.79714,0.76653,0.72574,0.67479,0.61532,0.55034,0.48325,0.41681,0.35288,0.29297
