V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
0.046850000,0.080481633,0.101597959,0.111144082,0.114475918,0.119863673,0.135501633,0.166652857,0.214187551,0.275034898,0.343920612,0.415286327,0.484479796,0.548152857,0.604018571,0.650407347,0.686023673,0.709934286,0.721740816,0.721773673,0.711143061,0.691548571,0.664978776,0.633405510,0.598605102,0.562161224,0.525586122,0.490392245,0.458057143,0.429887959,0.406783878,0.389012857,0.376094082,0.366788163,0.359282857,0.351490000,0.341420204,0.327522653,0.308923878,0.285565510,0.258183878,0.228193673,0.197461429,0.168025714,0.141738776,0.119956122,0.103379796,0.091964490,0.085025306,0.081490000,0.080227551,0.080121020,0.080391020,0.080545306,0.080325918,0.079764286,0.079081429,0.078697755,0.079060408,0.080535918,0.083298367,0.087347755,0.092575306,0.098881429,0.106228367,0.114619388,0.124054694,0.134491020,0.145816327,0.157871429,0.170501429,0.183580204,0.197026327,0.210771224,0.224730408,0.238765918,0.252653265,0.266092857,0.278684694,0.289935714,0.299262653,0.305993673,0.309374490,0.308633673,0.303057143,0.292160816,0.275793673,0.254220612,0.228150000,0.198635714,0.166970000,0.134507143,0.102579184,0.072422857,0.045111633,0.021470816,0.001903061,-0.013593265,-0.025360000,-0.042892041,-0.060424081
-0.073000000,-0.042406735,-0.012336531,0.015414490,0.041981020,0.070959592,0.106195918,0.149292857,0.198945102,0.252021020,0.305196531,0.356090612,0.403364490,0.446174490,0.483587143,0.514317755,0.536981837,0.550528367,0.554658571,0.550080408,0.538423265,0.521891429,0.502796327,0.483152857,0.464503061,0.447921429,0.434172041,0.423829796,0.417131429,0.413660204,0.412150000,0.410700816,0.407382857,0.400845102,0.390619388,0.376950000,0.360587959,0.342636122,0.324507959,0.307771429,0.293855102,0.283728571,0.277617143,0.274910612,0.274271837,0.274073878,0.272999184,0.270580000,0.267482449,0.265180000,0.265500612,0.269694898,0.278010816,0.289474490,0.302238776,0.314433061,0.324962857,0.333820000,0.341827347,0.350025306,0.359071837,0.369082041,0.379774694,0.390737143,0.401505510,0.411646327,0.420833061,0.428901224,0.435826939,0.441657551,0.446388571,0.449901224,0.451902245,0.452058571,0.450206531,0.446409796,0.440931837,0.434054286,0.425863878,0.416125102,0.404394694,0.390286531,0.373700612,0.354897755,0.334260000,0.311993061,0.287990204,0.261894694,0.233356327,0.202193061,0.168534694,0.132994286,0.096677755,0.061070000,0.027755714,-0.001917347,-0.026805918,-0.045794898,-0.057680000,-0.079618776,-0.101557551
-0.040890000,-0.036895102,-0.024902449,-0.006787959,0.014132449,0.035771224,0.058820612,0.085957143,0.119717959,0.161092041,0.209216531,0.261777959,0.315448163,0.366382857,0.410785714,0.445663265,0.469608980,0.483222857,0.488688980,0.488743061,0.485692041,0.481065714,0.475809388,0.470524898,0.465591837,0.461132653,0.456988163,0.452706531,0.447597143,0.440830816,0.431594082,0.419293673,0.403726327,0.385190204,0.364714694,0.344165714,0.326021633,0.312582041,0.304786531,0.301459796,0.299835306,0.297178571,0.292278571,0.285792041,0.279431633,0.274722449,0.272219592,0.271590816,0.272147959,0.273270000,0.274522245,0.275622653,0.276417551,0.276837551,0.276726327,0.275743878,0.273471429,0.269566122,0.263979592,0.257128571,0.249850000,0.243146327,0.237874490,0.234638571,0.233739592,0.235229796,0.238936939,0.244515714,0.251498163,0.259436939,0.267980000,0.276873469,0.285932245,0.294901633,0.303416939,0.311080204,0.317553878,0.322625714,0.326123469,0.327666327,0.326443265,0.321256735,0.310925510,0.294699796,0.272531429,0.245143673,0.213869184,0.180449592,0.146752653,0.114460816,0.085063878,0.060007143,0.040690000,0.027945918,0.021460204,0.019656939,0.020145510,0.020503061,0.018960000,0.019383061,0.019806122
-0.047050000,-0.018125306,0.021352653,0.066684286,0.111901429,0.152448367,0.187123878,0.217920000,0.248017143,0.279827959,0.314138163,0.350437143,0.387697959,0.424920408,0.461142857,0.495216327,0.525497551,0.549974490,0.566798980,0.575166327,0.576015306,0.571991429,0.566525714,0.562414490,0.560656122,0.560130612,0.558317551,0.552568980,0.541194286,0.524005918,0.502275306,0.478196735,0.454123673,0.431930816,0.412607143,0.396221429,0.382194082,0.369721837,0.358124286,0.347014082,0.336287551,0.325969184,0.316032857,0.306392245,0.296969796,0.287810612,0.279166122,0.271465714,0.265184490,0.260760000,0.258701429,0.259391224,0.263089592,0.269584286,0.278102653,0.287375306,0.296028571,0.302954694,0.307670000,0.310384286,0.311856939,0.313082245,0.314887959,0.317730000,0.321620816,0.326155510,0.330652041,0.334419388,0.337020204,0.338432449,0.339045714,0.339415102,0.339986735,0.340933673,0.342147959,0.343353673,0.344195102,0.344300000,0.343227143,0.340414898,0.335184490,0.326873061,0.314995918,0.299399592,0.280298571,0.258205510,0.233752449,0.207501429,0.179720408,0.150369388,0.119158163,0.085850000,0.050671429,0.014632245,-0.020378980,-0.051643061,-0.075983265,-0.090311429,-0.092610000,-0.111944184,-0.131278368
-0.014950000,-0.008709796,-0.005812653,-0.005643061,-0.005347959,-0.000185714,0.014282041,0.039857143,0.075014694,0.116019796,0.158644286,0.199351429,0.235674286,0.266227959,0.290610000,0.309222245,0.322963469,0.332884898,0.339844898,0.344315510,0.346393061,0.345941429,0.342789184,0.336894490,0.328569184,0.318574286,0.308071837,0.298371429,0.290534286,0.285022245,0.281507959,0.278962245,0.275967959,0.271159592,0.263627755,0.253104286,0.239969592,0.225030816,0.209306327,0.193841429,0.179553673,0.167089592,0.156690000,0.148198163,0.141130816,0.134911429,0.129012653,0.123125510,0.117198571,0.111300000,0.105655714,0.100468367,0.095983265,0.092469796,0.090252449,0.089696122,0.090997143,0.094047755,0.098338776,0.103144898,0.107725714,0.111598776,0.114684490,0.117231429,0.119551837,0.121864490,0.124173673,0.126419796,0.128605918,0.130844694,0.133327143,0.136239796,0.139748980,0.144017959,0.149186327,0.155248776,0.161895306,0.168455714,0.174041837,0.177807143,0.179141429,0.177656939,0.173122857,0.165372653,0.154332857,0.140147959,0.123335306,0.104834082,0.085846122,0.067509388,0.050643061,0.035621429,0.022423878,0.010875714,0.000868571,-0.007495918,-0.013812245,-0.017596327,-0.018520000,-0.023570205,-0.028620409
-0.067960000,-0.044020000,-0.014650000,0.015560000,0.046170000,0.082940000,0.133810000,0.202720000,0.286970000,0.379770000,0.474400000,0.566270000,0.652350000,0.729640000,0.794460000,0.843010000,0.872760000,0.883620000,0.878410000,0.862140000,0.840370000,0.817580000,0.796370000,0.777680000,0.761420000,0.747120000,0.734150000,0.721920000,0.709930000,0.697810000,0.685290000,0.672160000,0.658260000,0.643380000,0.627260000,0.609670000,0.590510000,0.569990000,0.548640000,0.527340000,0.507140000,0.489030000,0.473620000,0.461030000,0.451050000,0.443420000,0.437940000,0.434390000,0.432360000,0.431300000,0.430630000,0.429940000,0.429060000,0.428080000,0.427310000,0.427060000,0.427620000,0.429140000,0.431550000,0.434440000,0.437010000,0.438340000,0.437870000,0.435580000,0.431940000,0.427590000,0.423110000,0.418860000,0.414870000,0.410880000,0.406480000,0.401360000,0.395380000,0.388630000,0.381430000,0.374270000,0.367720000,0.362300000,0.358310000,0.355840000,0.354730000,0.354520000,0.354480000,0.353680000,0.351140000,0.346010000,0.337580000,0.325270000,0.308590000,0.287210000,0.261120000,0.230850000,0.197780000,0.164140000,0.132640000,0.105560000,0.083900000,0.067080000,0.053570000,0.041880000,0.031490000
-0.009140000,0.015460000,0.047800000,0.084460000,0.120980000,0.153600000,0.180530000,0.202400000,0.221700000,0.241690000,0.265340000,0.294490000,0.329440000,0.368890000,0.410210000,0.450130000,0.485420000,0.513570000,0.533200000,0.544060000,0.546940000,0.543410000,0.535560000,0.525710000,0.516120000,0.508710000,0.504810000,0.504950000,0.508780000,0.515190000,0.522530000,0.528940000,0.532710000,0.532580000,0.527840000,0.518380000,0.504450000,0.486500000,0.465100000,0.440880000,0.414530000,0.386860000,0.358750000,0.331000000,0.304250000,0.278870000,0.255140000,0.233390000,0.214070000,0.197680000,0.184610000,0.174920000,0.168320000,0.164290000,0.162290000,0.161940000,0.163110000,0.165780000,0.169950000,0.175510000,0.182290000,0.190020000,0.198440000,0.207330000,0.216580000,0.226190000,0.236160000,0.246400000,0.256680000,0.266620000,0.275800000,0.283840000,0.290480000,0.295640000,0.299370000,0.301770000,0.302940000,0.302890000,0.301460000,0.298340000,0.293040000,0.285000000,0.273660000,0.258600000,0.239580000,0.216610000,0.189930000,0.160010000,0.127540000,0.093420000,0.058810000,0.025060000,-0.006310000,-0.033710000,-0.055790000,-0.071630000,-0.080990000,-0.084420000,-0.083140000,-0.078830000,-0.073350000
0.003550000,0.016050000,0.031370000,0.049540000,0.071230000,0.097570000,0.129550000,0.167440000,0.210640000,0.257870000,0.307250000,0.356470000,0.402880000,0.443810000,0.477020000,0.501180000,0.515990000,0.522070000,0.520610000,0.513120000,0.501090000,0.485870000,0.468610000,0.450240000,0.431520000,0.413020000,0.395110000,0.377970000,0.361580000,0.345790000,0.330380000,0.315070000,0.299630000,0.283870000,0.267740000,0.251310000,0.234790000,0.218480000,0.202700000,0.187750000,0.173840000,0.161130000,0.149730000,0.139630000,0.130780000,0.123030000,0.116220000,0.110130000,0.104620000,0.099540000,0.094830000,0.090520000,0.086690000,0.083420000,0.080820000,0.078970000,0.078050000,0.078320000,0.080160000,0.083970000,0.090000000,0.098300000,0.108700000,0.120860000,0.134430000,0.149050000,0.164370000,0.180110000,0.196000000,0.211830000,0.227400000,0.242540000,0.257000000,0.270540000,0.282900000,0.293860000,0.303260000,0.310960000,0.316850000,0.320850000,0.322900000,0.322960000,0.321000000,0.316880000,0.310370000,0.301130000,0.288800000,0.273000000,0.253470000,0.230070000,0.202830000,0.171970000,0.137920000,0.101420000,0.063670000,0.026370000,-0.008160000,-0.037220000,-0.058210000,-0.069310000,-0.070210000
-0.033890000,0.002390000,0.049360000,0.103030000,0.159340000,0.215320000,0.269640000,0.322720000,0.376450000,0.433630000,0.496730000,0.566630000,0.641500000,0.716660000,0.785540000,0.841220000,0.878290000,0.894120000,0.889200000,0.866570000,0.830730000,0.786640000,0.738980000,0.691700000,0.647770000,0.608990000,0.575900000,0.548040000,0.524250000,0.503100000,0.483210000,0.463390000,0.442800000,0.420930000,0.397710000,0.373440000,0.348700000,0.324170000,0.300500000,0.278240000,0.257810000,0.239550000,0.223790000,0.210830000,0.200890000,0.193960000,0.189640000,0.187130000,0.185430000,0.183640000,0.181260000,0.178310000,0.175300000,0.173030000,0.172370000,0.174150000,0.179060000,0.187730000,0.200620000,0.218000000,0.239830000,0.265790000,0.295370000,0.327960000,0.362950000,0.399670000,0.437390000,0.475260000,0.512320000,0.547550000,0.579970000,0.608720000,0.633200000,0.653050000,0.668140000,0.678490000,0.684220000,0.685500000,0.682520000,0.675430000,0.664270000,0.648960000,0.629410000,0.605580000,0.577520000,0.545390000,0.509390000,0.469680000,0.426430000,0.379800000,0.330080000,0.277770000,0.223700000,0.168980000,0.115030000,0.063420000,0.015890000,-0.025850000,-0.060320000,-0.086450000,-0.103790000
0.049490000,0.069660000,0.084680000,0.094320000,0.102120000,0.114400000,0.137160000,0.173000000,0.219990000,0.272890000,0.325740000,0.374190000,0.416310000,0.452200000,0.482820000,0.509120000,0.531600000,0.550120000,0.564190000,0.573420000,0.577920000,0.578350000,0.575530000,0.570050000,0.562100000,0.551750000,0.539090000,0.524360000,0.507870000,0.489920000,0.470740000,0.450520000,0.429440000,0.407660000,0.385330000,0.362590000,0.339570000,0.316500000,0.293670000,0.271450000,0.250270000,0.230550000,0.212580000,0.196470000,0.182130000,0.169370000,0.158020000,0.147980000,0.139190000,0.131670000,0.125500000,0.120730000,0.117340000,0.115160000,0.113910000,0.113310000,0.113220000,0.113700000,0.114890000,0.116840000,0.119350000,0.122110000,0.124880000,0.127690000,0.130730000,0.134310000,0.138670000,0.144000000,0.150300000,0.157490000,0.165390000,0.173810000,0.182560000,0.191540000,0.200730000,0.210230000,0.220180000,0.230620000,0.241390000,0.252180000,0.262520000,0.271880000,0.279640000,0.285120000,0.287560000,0.286240000,0.280520000,0.269920000,0.254110000,0.232980000,0.206820000,0.176450000,0.143220000,0.108810000,0.075070000,0.043820000,0.016730000,-0.004980000,-0.020730000,-0.030690000,-0.035670000
