V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
-0.019480000,-0.025259184,-0.030189388,-0.034398980,-0.038206327,-0.041923673,-0.045788571,-0.049910000,-0.054412041,-0.059426531,-0.065210204,-0.072030612,-0.080107347,-0.089408571,-0.099640000,-0.110279796,-0.120690408,-0.130171224,-0.138050408,-0.143735918,-0.146819592,-0.147107143,-0.144645918,-0.139657347,-0.132481837,-0.123558367,-0.113391020,-0.102499388,-0.091381429,-0.080477959,-0.070088163,-0.060384286,-0.051419388,-0.043153061,-0.035514694,-0.028422857,-0.021807347,-0.015627143,-0.009842653,-0.004411429,0.000733469,0.005666327,0.010444286,0.015111633,0.019710816,0.024275102,0.028855102,0.033513469,0.038284490,0.043210000,0.048251633,0.053330816,0.058340204,0.063154082,0.067668367,0.071804286,0.075530000,0.078823469,0.081716531,0.084234898,0.086387551,0.088207143,0.089696327,0.090868571,0.091738980,0.092320612,0.092645510,0.092727959,0.092573673,0.092169592,0.091494286,0.090503673,0.089142449,0.087340408,0.085024082,0.082113878,0.078551633,0.074307143,0.069387551,0.063869184,0.057900408,0.051670612,0.045415102,0.039367755,0.033772857,0.028841020,0.024748163,0.021625306,0.019533469,0.018482449,0.018463878,0.019467143,0.021455306,0.024358980,0.028012041,0.032224694,0.036767551,0.041475714,0.046320000,0.050945510,0.055644918
-0.011400000,-0.010246939,-0.011193878,-0.014694490,-0.020783878,-0.029126735,-0.039120204,-0.050105714,-0.061528163,-0.073086531,-0.084690612,-0.096363878,-0.108089184,-0.119651633,-0.130690000,-0.140699184,-0.149057143,-0.155045510,-0.158088367,-0.157983878,-0.154973673,-0.149648571,-0.142710612,-0.134769796,-0.126247347,-0.117415714,-0.108492449,-0.099678776,-0.091125714,-0.082843469,-0.074690408,-0.066424898,-0.057862449,-0.049017143,-0.040067755,-0.031272857,-0.022798163,-0.014669796,-0.006791837,0.000947143,0.008596122,0.016145102,0.023512857,0.030665306,0.037563265,0.044228571,0.050683673,0.056930612,0.062891020,0.068550000,0.073922857,0.079060408,0.084065714,0.088991837,0.093891837,0.098812653,0.103752857,0.108692041,0.113550408,0.118211633,0.122521020,0.126325918,0.129430000,0.131690000,0.133127755,0.133959592,0.134430612,0.134623673,0.134486531,0.133913061,0.132810000,0.131121020,0.128833061,0.125971429,0.122583673,0.118728163,0.114490612,0.109977143,0.105305714,0.100591429,0.095883469,0.091146735,0.086223265,0.080880000,0.074908571,0.068220816,0.060955510,0.053456735,0.046244490,0.039946531,0.035176735,0.032402857,0.031805510,0.033224694,0.036264490,0.040378367,0.044850408,0.048615306,0.050290000,0.054408470,0.057758449
0.006930000,0.009653469,0.011768571,0.012345102,0.010529184,0.005680204,-0.002667143,-0.014844286,-0.030848776,-0.050138571,-0.071526327,-0.093524898,-0.115003673,-0.135538163,-0.155187143,-0.173914694,-0.191308571,-0.206652041,-0.219147959,-0.228248980,-0.233816327,-0.236122857,-0.235696735,-0.233121837,-0.228855306,-0.223197143,-0.216285306,-0.208194898,-0.199050000,-0.189022857,-0.178249388,-0.166793469,-0.154671429,-0.141890000,-0.128508367,-0.114654286,-0.100542449,-0.086469796,-0.072777959,-0.059809184,-0.047854082,-0.037155102,-0.027851429,-0.019989592,-0.013493673,-0.008167143,-0.003694490,0.000282041,0.004103673,0.007950000,0.011900000,0.015899592,0.019883878,0.023770408,0.027508163,0.031070204,0.034471429,0.037752653,0.040940204,0.044027959,0.046979592,0.049749388,0.052313469,0.054645714,0.056726327,0.058512857,0.059959388,0.061020204,0.061667347,0.061891837,0.061721429,0.061209184,0.060408163,0.059361633,0.058096327,0.056622857,0.054913673,0.052927143,0.050607755,0.047893469,0.044731224,0.041061429,0.036840612,0.032078571,0.026907143,0.021587551,0.016469796,0.011964082,0.008558571,0.006713673,0.006724490,0.008562857,0.011703265,0.015180000,0.017908571,0.019011837,0.018149184,0.015612041,0.012260000,0.010560102,0.008280837
0.008450000,0.006632245,0.000567755,-0.009952653,-0.023981224,-0.039738367,-0.055229796,-0.068981429,-0.080330408,-0.089360816,-0.096560816,-0.102670612,-0.108551429,-0.115036327,-0.122631429,-0.131345714,-0.140618367,-0.149509388,-0.157022857,-0.162428367,-0.165528367,-0.166664286,-0.166529592,-0.165782857,-0.164687755,-0.163009184,-0.160200612,-0.155745714,-0.149408571,-0.141316122,-0.131895714,-0.121722245,-0.111354898,-0.101189592,-0.091378163,-0.081927143,-0.072756531,-0.063850816,-0.055293265,-0.047245714,-0.039880408,-0.033316939,-0.027532857,-0.022387347,-0.017586531,-0.012857959,-0.007945714,-0.002719796,0.002789592,0.008480000,0.014191633,0.019764286,0.025102449,0.030115510,0.034774694,0.039086122,0.043101429,0.046866327,0.050438980,0.053841020,0.057053469,0.060055918,0.062808571,0.065325714,0.067660408,0.069878776,0.072076327,0.074330204,0.076640204,0.078911633,0.080978571,0.082631633,0.083698571,0.084050408,0.083616735,0.082371020,0.080319592,0.077517143,0.074067551,0.070128776,0.065900204,0.061574490,0.057305102,0.053139796,0.049014286,0.044774286,0.040262041,0.035429796,0.030457959,0.025827347,0.022257143,0.020588571,0.021488163,0.025213878,0.031332245,0.038636735,0.045161224,0.048554694,0.046730000,0.051688980,0.054456306
0.021660000,0.019988571,0.017892245,0.015123673,0.010975918,0.003994286,-0.007509388,-0.024504286,-0.046774082,-0.072972041,-0.101182245,-0.129478571,-0.156243061,-0.180271224,-0.200807143,-0.217493878,-0.230288163,-0.239394490,-0.245129184,-0.247873265,-0.247963061,-0.245661429,-0.241171633,-0.234684694,-0.226455306,-0.216894082,-0.206563469,-0.196089592,-0.186007143,-0.176594898,-0.167788776,-0.159237347,-0.150442653,-0.140914490,-0.130324694,-0.118604286,-0.105936122,-0.092680612,-0.079272041,-0.066116327,-0.053540816,-0.041727755,-0.030688571,-0.020340612,-0.010507551,-0.001007551,0.008330408,0.017608980,0.026864898,0.036070000,0.045125102,0.053860204,0.062074898,0.069587143,0.076201429,0.081788367,0.086310000,0.089910000,0.092823673,0.095284898,0.097471224,0.099485510,0.101335714,0.102978571,0.104348980,0.105404490,0.106099184,0.106365306,0.106099592,0.105168980,0.103444286,0.100854082,0.097359388,0.092963469,0.087708367,0.081673673,0.074965510,0.067724286,0.060107959,0.052252857,0.044273673,0.036243878,0.028256939,0.020457347,0.013075714,0.006443469,0.000891224,-0.003332449,-0.006076327,-0.007286531,-0.006964694,-0.005112857,-0.001783673,0.002833469,0.008379388,0.014237347,0.019568163,0.023433878,0.025010000,0.029608266,0.033226633
0.033460000,0.032830000,0.027000000,0.016090000,0.000770000,-0.018670000,-0.042200000,-0.069380000,-0.099150000,-0.130530000,-0.163270000,-0.197500000,-0.232680000,-0.266810000,-0.296760000,-0.319600000,-0.333890000,-0.340120000,-0.340210000,-0.336580000,-0.331250000,-0.325420000,-0.319600000,-0.313940000,-0.308390000,-0.302760000,-0.296730000,-0.289940000,-0.282080000,-0.272900000,-0.262290000,-0.250320000,-0.237250000,-0.223420000,-0.209140000,-0.194600000,-0.179920000,-0.165280000,-0.150940000,-0.137270000,-0.124700000,-0.113520000,-0.103850000,-0.095560000,-0.088420000,-0.082280000,-0.077060000,-0.072660000,-0.068870000,-0.065380000,-0.061900000,-0.058250000,-0.054420000,-0.050570000,-0.046870000,-0.043500000,-0.040570000,-0.038120000,-0.036130000,-0.034420000,-0.032660000,-0.030490000,-0.027720000,-0.024440000,-0.020930000,-0.017540000,-0.014590000,-0.012250000,-0.010570000,-0.009470000,-0.008770000,-0.008350000,-0.008110000,-0.008040000,-0.008210000,-0.008700000,-0.009590000,-0.010890000,-0.012550000,-0.014450000,-0.016470000,-0.018510000,-0.020460000,-0.022180000,-0.023570000,-0.024670000,-0.025640000,-0.026700000,-0.027940000,-0.029180000,-0.030050000,-0.030170000,-0.029400000,-0.027980000,-0.026560000,-0.025800000,-0.025830000,-0.026050000,-0.025320000,-0.022750000,-0.018260000
0.016500000,0.008900000,-0.002030000,-0.016280000,-0.033380000,-0.052520000,-0.072830000,-0.093680000,-0.114760000,-0.136130000,-0.157970000,-0.180520000,-0.203830000,-0.227710000,-0.251640000,-0.274860000,-0.296430000,-0.315380000,-0.330910000,-0.342530000,-0.350040000,-0.353510000,-0.353210000,-0.349650000,-0.343470000,-0.335420000,-0.326210000,-0.316320000,-0.306010000,-0.295230000,-0.283730000,-0.271150000,-0.257140000,-0.241480000,-0.224190000,-0.205540000,-0.185940000,-0.165910000,-0.145940000,-0.126460000,-0.107820000,-0.090310000,-0.074140000,-0.059440000,-0.046210000,-0.034380000,-0.023790000,-0.014360000,-0.005980000,0.001400000,0.007860000,0.013540000,0.018630000,0.023320000,0.027760000,0.032010000,0.036090000,0.039990000,0.043680000,0.047180000,0.050520000,0.053740000,0.056870000,0.059920000,0.062880000,0.065680000,0.068230000,0.070450000,0.072260000,0.073600000,0.074420000,0.074700000,0.074380000,0.073430000,0.071770000,0.069350000,0.066160000,0.062240000,0.057640000,0.052510000,0.047020000,0.041360000,0.035760000,0.030440000,0.025590000,0.021430000,0.018170000,0.016080000,0.015380000,0.016230000,0.018650000,0.022460000,0.027250000,0.032430000,0.037260000,0.041060000,0.043340000,0.043990000,0.043280000,0.041880000,0.040690000
0.002000000,-0.002170000,-0.008700000,-0.017420000,-0.027750000,-0.038830000,-0.049940000,-0.060800000,-0.071470000,-0.082190000,-0.093180000,-0.104430000,-0.115630000,-0.126250000,-0.135660000,-0.143310000,-0.148820000,-0.152050000,-0.153040000,-0.151920000,-0.148890000,-0.144130000,-0.137880000,-0.130390000,-0.121940000,-0.112840000,-0.103380000,-0.093790000,-0.084220000,-0.074730000,-0.065340000,-0.056060000,-0.046880000,-0.037800000,-0.028860000,-0.020080000,-0.011490000,-0.003110000,0.005020000,0.012870000,0.020380000,0.027500000,0.034200000,0.040440000,0.046230000,0.051570000,0.056470000,0.060950000,0.065090000,0.068980000,0.072730000,0.076470000,0.080290000,0.084280000,0.088540000,0.093140000,0.098140000,0.103570000,0.109410000,0.115660000,0.122250000,0.129140000,0.136250000,0.143490000,0.150750000,0.157880000,0.164740000,0.171180000,0.177060000,0.182220000,0.186540000,0.189880000,0.192160000,0.193310000,0.193290000,0.192060000,0.189610000,0.185900000,0.180920000,0.174650000,0.167080000,0.158260000,0.148290000,0.137300000,0.125460000,0.113000000,0.100160000,0.087240000,0.074570000,0.062510000,0.051420000,0.041670000,0.033670000,0.027770000,0.024200000,0.022950000,0.023620000,0.025290000,0.026680000,0.026480000,0.023790000
0.010450000,0.003360000,-0.008660000,-0.025060000,-0.044390000,-0.064670000,-0.084070000,-0.101490000,-0.116800000,-0.130910000,-0.145370000,-0.161680000,-0.180570000,-0.201580000,-0.223240000,-0.243700000,-0.261260000,-0.274710000,-0.283250000,-0.286460000,-0.284250000,-0.276960000,-0.265330000,-0.250370000,-0.233220000,-0.214960000,-0.196440000,-0.178190000,-0.160450000,-0.143240000,-0.126520000,-0.110240000,-0.094420000,-0.079130000,-0.064550000,-0.050890000,-0.038380000,-0.027200000,-0.017460000,-0.009170000,-0.002250000,0.003430000,0.008060000,0.011760000,0.014680000,0.016990000,0.018920000,0.020750000,0.022760000,0.025150000,0.028010000,0.031360000,0.035160000,0.039380000,0.044010000,0.049120000,0.054820000,0.061220000,0.068380000,0.076340000,0.085040000,0.094420000,0.104380000,0.114810000,0.125570000,0.136490000,0.147350000,0.157940000,0.167970000,0.177170000,0.185280000,0.192040000,0.197230000,0.200710000,0.202400000,0.202260000,0.200340000,0.196700000,0.191450000,0.184700000,0.176610000,0.167340000,0.157060000,0.145980000,0.134280000,0.122150000,0.109750000,0.097260000,0.084870000,0.072800000,0.061340000,0.050830000,0.041630000,0.034130000,0.028710000,0.025630000,0.024870000,0.026120000,0.028760000,0.032080000,0.035340000
-0.003230000,-0.012450000,-0.021850000,-0.030820000,-0.039160000,-0.047280000,-0.055900000,-0.065550000,-0.076350000,-0.088020000,-0.100020000,-0.111860000,-0.123220000,-0.134030000,-0.144230000,-0.153570000,-0.161560000,-0.167620000,-0.171280000,-0.172450000,-0.171360000,-0.168490000,-0.164340000,-0.159250000,-0.153410000,-0.146940000,-0.139960000,-0.132530000,-0.124690000,-0.116460000,-0.107840000,-0.098870000,-0.089600000,-0.080120000,-0.070550000,-0.060990000,-0.051540000,-0.042290000,-0.033320000,-0.024720000,-0.016530000,-0.008830000,-0.001690000,0.004850000,0.010750000,0.016040000,0.020750000,0.024970000,0.028770000,0.032230000,0.035420000,0.038380000,0.041170000,0.043860000,0.046510000,0.049200000,0.051950000,0.054740000,0.057530000,0.060250000,0.062860000,0.065310000,0.067570000,0.069610000,0.071410000,0.073000000,0.074390000,0.075610000,0.076670000,0.077550000,0.078170000,0.078440000,0.078220000,0.077410000,0.075860000,0.073470000,0.070190000,0.066020000,0.061060000,0.055430000,0.049260000,0.042660000,0.035710000,0.028530000,0.021250000,0.014050000,0.007200000,0.001000000,-0.004110000,-0.007630000,-0.009120000,-0.008330000,-0.005290000,-0.000350000,0.005890000,0.012620000,0.018930000,0.024010000,0.027280000,0.028630000,0.028340000
