V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
0.03486,0.056093061,0.079240408,0.102092041,0.122047959,0.136558163,0.143641837,0.142215714,0.132226735,0.114569388,0.090842857,0.063004898,0.033017959,0.002561429,-0.02711,-0.055192653,-0.081341224,-0.105550408,-0.128059388,-0.14926102,-0.169622245,-0.189592857,-0.209574898,-0.229916327,-0.250891429,-0.272677143,-0.295358367,-0.318916939,-0.343215714,-0.368022245,-0.393028367,-0.417888163,-0.44227102,-0.465919184,-0.488637551,-0.510324286,-0.530923061,-0.550433673,-0.568861837,-0.58621551,-0.602497143,-0.617731837,-0.631985714,-0.645359388,-0.658003878,-0.670133469,-0.682017959,-0.693981224,-0.706371837,-0.71959,-0.734091837,-0.750265306,-0.768542449,-0.789301224,-0.81286551,-0.839497755,-0.869347143,-0.902472449,-0.938777755,-0.978081837,-1.020050612,-1.064259592,-1.110162245,-1.157135714,-1.204470408,-1.251417755,-1.297199388,-1.341062245,-1.382277959,-1.420157551,-1.454077143,-1.483467755,-1.507823469,-1.526665918,-1.539553673,-1.546067551,-1.545777551,-1.538254286,-1.523043673,-1.499662041,-1.467614898,-1.426403469,-1.375589592,-1.314839388,-1.244034286,-1.163377551,-1.073494082,-0.975517347,-0.871190408,-0.762796531,-0.653077143,-0.545002857,-0.441489184,-0.345127959,-0.25790449,-0.181155102,-0.1155,-0.06106,-0.01752,0.066378245,0.131927627
0.02402,0.037171837,0.053336735,0.071243469,0.088759796,0.103390408,0.112796122,0.115305714,0.110270204,0.098130816,0.080234898,0.058456531,0.034760612,0.010815918,-0.012231429,-0.033776327,-0.053654694,-0.071968367,-0.088916122,-0.104715918,-0.119538367,-0.13353,-0.146832041,-0.159589388,-0.171977551,-0.184171429,-0.196346122,-0.208632857,-0.221138571,-0.23394449,-0.247109796,-0.260691837,-0.274743673,-0.289345306,-0.304557551,-0.320444286,-0.337035714,-0.35435,-0.372416122,-0.391242041,-0.410893061,-0.431437347,-0.452998571,-0.47574102,-0.499879388,-0.525627347,-0.553178367,-0.582694694,-0.614266939,-0.64792,-0.683672857,-0.721388776,-0.760956122,-0.802174082,-0.844840408,-0.888648571,-0.933288571,-0.978362857,-1.023445102,-1.068094082,-1.111851837,-1.154303673,-1.195099388,-1.234004286,-1.27086551,-1.305611224,-1.338178163,-1.368449184,-1.396251429,-1.421318776,-1.443294286,-1.461750612,-1.476227959,-1.486263469,-1.491442041,-1.491445306,-1.486057143,-1.475188571,-1.45886449,-1.437156327,-1.410092041,-1.377523878,-1.33905,-1.293984286,-1.241412857,-1.180300612,-1.109744898,-1.029186531,-0.938670612,-0.839046122,-0.732097755,-0.620572857,-0.508023469,-0.398509184,-0.296213265,-0.204886327,-0.127425306,-0.065437551,-0.01909,0.081428136,0.157624824
0.04156,0.074314286,0.112121224,0.152109592,0.191144694,0.226215102,0.254817143,0.275212857,0.286492857,0.288598367,0.282224898,0.268703469,0.249865918,0.227696735,0.204025714,0.180186939,0.156918367,0.134357551,0.112225306,0.090044898,0.067322449,0.0437,0.018996327,-0.00680898,-0.033602449,-0.061219796,-0.089464694,-0.118136327,-0.147077143,-0.176166939,-0.205336327,-0.234587143,-0.263970816,-0.293584694,-0.323517755,-0.353858571,-0.384658571,-0.41593449,-0.447642653,-0.479727347,-0.51213551,-0.544847551,-0.577904286,-0.611376327,-0.645337959,-0.679808367,-0.71477,-0.750115306,-0.785717755,-0.82143,-0.857121633,-0.892696327,-0.928095306,-0.96333898,-0.99843898,-1.033412857,-1.068238571,-1.102805918,-1.136920204,-1.170356939,-1.202842449,-1.23413102,-1.264050204,-1.292471429,-1.319329592,-1.344582245,-1.368176531,-1.390016122,-1.409943673,-1.427755918,-1.443217143,-1.456050204,-1.465952041,-1.472586327,-1.475581224,-1.474522857,-1.468883673,-1.458028571,-1.44116,-1.417331429,-1.38549898,-1.344619388,-1.293747959,-1.232176939,-1.159587143,-1.076187551,-0.982911429,-0.881543673,-0.774697551,-0.665650612,-0.557953878,-0.454962857,-0.359451429,-0.273400816,-0.198016122,-0.133875306,-0.081065714,-0.039306531,-0.00806,0.06327683,0.116295185
0.05476,0.086198163,0.120129592,0.15455449,0.187770816,0.218446327,0.245638163,0.268781429,0.287583061,0.301832653,0.311320408,0.31580449,0.31509551,0.309235918,0.298631429,0.284077347,0.266661837,0.247598367,0.22802,0.208834082,0.190650408,0.173771429,0.158218367,0.143782857,0.130113878,0.116792449,0.10341,0.089623469,0.07521,0.060051837,0.044125306,0.027489592,0.01021,-0.007646939,-0.026027755,-0.044925714,-0.064351429,-0.084338163,-0.104951633,-0.126282041,-0.148457551,-0.171616122,-0.195921429,-0.221569592,-0.248735306,-0.27757,-0.308212857,-0.340753878,-0.375238776,-0.41168,-0.450105102,-0.490432449,-0.532596531,-0.57650102,-0.622039796,-0.66910551,-0.717581429,-0.767344286,-0.818227551,-0.870019388,-0.922451633,-0.975198571,-1.027894082,-1.08011,-1.131357959,-1.181083673,-1.228693061,-1.273563265,-1.315049796,-1.352519184,-1.385385714,-1.413121224,-1.435277551,-1.451479184,-1.461433265,-1.464922245,-1.461792857,-1.451952857,-1.435366939,-1.41202,-1.381895102,-1.344944898,-1.301065306,-1.250108163,-1.191864286,-1.126151633,-1.052894082,-0.972219796,-0.884590408,-0.790916939,-0.692619796,-0.59163,-0.490316735,-0.391390204,-0.297692245,-0.211993061,-0.136706531,-0.073680816,-0.02397,0.069203374,0.143043998
0.00977,0.019690408,0.029677347,0.038736122,0.045561429,0.04874,0.047119184,0.040257143,0.028526939,0.012951224,-0.005189592,-0.024722245,-0.044712857,-0.064471633,-0.083441429,-0.10116898,-0.117264082,-0.131520408,-0.143937551,-0.15476,-0.164453878,-0.173598571,-0.182749184,-0.192361224,-0.202707347,-0.21389102,-0.22589102,-0.238622041,-0.252,-0.265968367,-0.280533673,-0.295744694,-0.311687143,-0.328467143,-0.346190816,-0.364935714,-0.384758163,-0.405711224,-0.427832449,-0.451177551,-0.475834694,-0.501949592,-0.52969,-0.559252041,-0.590819388,-0.62449898,-0.66033,-0.698229184,-0.738012857,-0.77939,-0.822018571,-0.865463061,-0.909289592,-0.953084286,-0.996439388,-1.039005918,-1.080452857,-1.120514082,-1.158990204,-1.195761633,-1.230792653,-1.264087347,-1.295693469,-1.325642857,-1.353955102,-1.380609796,-1.405529796,-1.428533469,-1.449345714,-1.467588571,-1.482771429,-1.494335102,-1.501695918,-1.504270204,-1.501504898,-1.492906531,-1.478035714,-1.456512857,-1.427999592,-1.392166939,-1.348654286,-1.297053469,-1.236913061,-1.16783551,-1.089595714,-1.002335714,-0.906731633,-0.804133673,-0.696605918,-0.58693449,-0.478496327,-0.37498,-0.280033265,-0.196728776,-0.127137959,-0.072018776,-0.030825102,-0.001938163,0.01685,0.079835565,0.122255192
0.07336,0.1119,0.15498,0.19919,0.2409,0.27663,0.30362,0.32027,0.32632,0.32274,0.31124,0.29373,0.27175,0.24626,0.21762,0.18592,0.15125,0.11395,0.07459,0.03394,-0.00724,-0.04823,-0.08841,-0.12724,-0.16429,-0.19927,-0.23206,-0.26272,-0.2915,-0.31872,-0.34473,-0.36983,-0.39422,-0.41799,-0.44117,-0.46375,-0.48572,-0.50714,-0.52811,-0.54873,-0.56911,-0.58938,-0.60963,-0.62993,-0.65037,-0.67105,-0.69201,-0.71333,-0.73506,-0.75723,-0.77988,-0.80307,-0.82685,-0.85123,-0.87625,-0.90189,-0.92813,-0.9549,-0.98213,-1.00976,-1.03769,-1.06583,-1.09404,-1.12215,-1.14994,-1.17711,-1.20335,-1.22832,-1.25167,-1.27305,-1.29215,-1.30863,-1.32214,-1.33233,-1.33881,-1.34121,-1.33921,-1.33254,-1.32106,-1.30469,-1.28342,-1.25723,-1.22604,-1.18972,-1.148,-1.1006,-1.04724,-0.98776,-0.92218,-0.85079,-0.77405,-0.69266,-0.60752,-0.51983,-0.4311,-0.3433,-0.2588,-0.18038,-0.11092,-0.05301,-0.0085
0.09357,0.12304,0.14885,0.1692,0.18395,0.19416,0.20136,0.20698,0.2119,0.21634,0.21993,0.22199,0.22175,0.21863,0.21228,0.20256,0.18944,0.17294,0.15301,0.12965,0.1029,0.07291,0.04002,0.00471,-0.03242,-0.07069,-0.10944,-0.14802,-0.18587,-0.22251,-0.25757,-0.29077,-0.32196,-0.35106,-0.37812,-0.40325,-0.42666,-0.44861,-0.46942,-0.48942,-0.50893,-0.52824,-0.54758,-0.56713,-0.58697,-0.60714,-0.6276,-0.64832,-0.66924,-0.69029,-0.71144,-0.73268,-0.75402,-0.77549,-0.79717,-0.81919,-0.84169,-0.86484,-0.8888,-0.91369,-0.93955,-0.96634,-0.9939,-1.022,-1.05032,-1.07849,-1.10614,-1.13292,-1.15847,-1.1825,-1.20473,-1.2249,-1.24278,-1.25813,-1.27069,-1.28018,-1.28627,-1.28856,-1.28654,-1.27963,-1.26716,-1.24834,-1.22233,-1.18821,-1.14507,-1.0921,-1.02875,-0.95493,-0.87117,-0.77886,-0.68028,-0.57853,-0.4773,-0.38036,-0.29109,-0.21202,-0.14456,-0.08904,-0.04491,-0.01107,0.01389
0.03378,0.0511,0.06987,0.08878,0.10612,0.12011,0.12912,0.13194,0.12799,0.11731,0.10047,0.07837,0.05197,0.0222,-0.01007,-0.04404,-0.07902,-0.11439,-0.14963,-0.18429,-0.21799,-0.25038,-0.28121,-0.31026,-0.33745,-0.36275,-0.38627,-0.40815,-0.42859,-0.44778,-0.46586,-0.48296,-0.49913,-0.51442,-0.52886,-0.54252,-0.55551,-0.56801,-0.58021,-0.59234,-0.60467,-0.61741,-0.63078,-0.64499,-0.66018,-0.67652,-0.69416,-0.71327,-0.73404,-0.75666,-0.78132,-0.8082,-0.83743,-0.86907,-0.90314,-0.93964,-0.97849,-1.01963,-1.06294,-1.10829,-1.15549,-1.20429,-1.25436,-1.30528,-1.35658,-1.40774,-1.4582,-1.50734,-1.55455,-1.59917,-1.64051,-1.67787,-1.71052,-1.73779,-1.75904,-1.77373,-1.78137,-1.78156,-1.77396,-1.75823,-1.73405,-1.70104,-1.65875,-1.60666,-1.54417,-1.4707,-1.38574,-1.28905,-1.18089,-1.06221,-0.93493,-0.80198,-0.66733,-0.53564,-0.41171,-0.29987,-0.20335,-0.12386,-0.06158,-0.01537,0.01679
0.11382,0.16113,0.2116,0.26156,0.30753,0.34685,0.37795,0.40024,0.41387,0.4193,0.41715,0.4081,0.39296,0.37265,0.34812,0.3202,0.28948,0.25624,0.22054,0.18236,0.14174,0.09894,0.05445,0.00893,-0.03682,-0.08202,-0.12595,-0.16805,-0.20788,-0.24518,-0.27979,-0.31164,-0.34074,-0.36715,-0.39096,-0.41226,-0.43119,-0.44782,-0.46224,-0.47453,-0.48478,-0.4931,-0.49966,-0.50467,-0.50843,-0.51129,-0.51371,-0.51627,-0.51966,-0.5247,-0.5323,-0.54336,-0.55878,-0.57929,-0.60543,-0.63752,-0.67561,-0.71955,-0.76896,-0.8233,-0.88188,-0.9439,-1.00849,-1.0747,-1.14162,-1.2083,-1.2739,-1.33758,-1.39862,-1.45632,-1.51005,-1.55919,-1.60314,-1.64132,-1.67313,-1.69797,-1.71528,-1.72452,-1.72521,-1.71695,-1.69945,-1.67252,-1.63606,-1.59009,-1.53467,-1.46988,-1.39589,-1.31289,-1.22125,-1.12159,-1.01492,-0.90274,-0.78703,-0.67027,-0.55518,-0.4446,-0.34118,-0.24719,-0.1644,-0.09406,-0.03685
0.01429,0.03217,0.05498,0.08194,0.11143,0.14124,0.16897,0.19243,0.20998,0.22069,0.22443,0.22165,0.21322,0.20023,0.18383,0.16513,0.14506,0.12439,0.10361,0.08304,0.0628,0.04289,0.02324,0.00376,-0.0156,-0.03484,-0.05393,-0.07283,-0.09146,-0.1098,-0.12781,-0.14545,-0.16272,-0.17962,-0.19614,-0.21233,-0.22824,-0.24396,-0.25957,-0.27524,-0.29109,-0.30734,-0.32419,-0.34189,-0.36071,-0.38091,-0.40277,-0.42655,-0.45251,-0.48087,-0.51184,-0.54556,-0.58212,-0.62151,-0.66364,-0.70829,-0.75511,-0.80367,-0.85346,-0.90397,-0.95467,-1.0051,-1.05479,-1.10333,-1.15031,-1.19535,-1.23805,-1.27804,-1.31492,-1.34832,-1.37786,-1.40316,-1.4239,-1.43975,-1.45045,-1.45577,-1.45549,-1.44941,-1.43731,-1.41895,-1.39405,-1.36226,-1.3232,-1.27644,-1.22154,-1.15811,-1.08598,-1.00526,-0.91658,-0.82115,-0.72084,-0.61812,-0.51593,-0.41741,-0.32553,-0.24277,-0.17081,-0.11051,-0.06188,-0.02434,0.00311
