V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
-0.01314,-0.015262245,-0.01685,-0.017817551,-0.018253878,-0.018430408,-0.018667551,-0.019207143,-0.020198571,-0.021737347,-0.023914898,-0.026780816,-0.030243673,-0.034019592,-0.037754286,-0.04118898,-0.044234694,-0.046936939,-0.049398571,-0.051728571,-0.054026531,-0.056385714,-0.05884,-0.061335306,-0.063751633,-0.065930204,-0.067722449,-0.069034082,-0.06983,-0.07014102,-0.070006327,-0.069466122,-0.068560408,-0.06733449,-0.06583449,-0.064117143,-0.062253469,-0.060295102,-0.058323265,-0.056417551,-0.054644082,-0.053091633,-0.051795714,-0.050786327,-0.050059388,-0.049604286,-0.049419796,-0.049525102,-0.049970816,-0.05079,-0.052053469,-0.053744082,-0.055868776,-0.05837449,-0.061205102,-0.064273265,-0.067474286,-0.070714286,-0.073913878,-0.07702,-0.079993061,-0.082836327,-0.085536531,-0.08811,-0.090576327,-0.092931429,-0.095182449,-0.09731102,-0.099267959,-0.101010816,-0.102484286,-0.103623061,-0.104378776,-0.104713878,-0.104601633,-0.104020816,-0.102961224,-0.101411429,-0.099367959,-0.096835306,-0.093826122,-0.090361633,-0.086449592,-0.082103878,-0.077331429,-0.072154286,-0.066581633,-0.06066,-0.054445102,-0.048022653,-0.041521633,-0.035088571,-0.028924694,-0.023260204,-0.018291837,-0.014088571,-0.010597959,-0.007658367,-0.00502,0.001365955,0.005639784
-0.0054,-0.00688449,-0.00702898,-0.005119388,-0.00096551,0.004938571,0.011740204,0.018595714,0.024952449,0.030611224,0.035705102,0.040386327,0.044507959,0.04751551,0.048868571,0.048372653,0.046138776,0.042319388,0.037067959,0.03066551,0.023510408,0.016022857,0.008549388,0.001311837,-0.005577959,-0.012159592,-0.01857102,-0.024960408,-0.031431429,-0.03797551,-0.044457143,-0.050664286,-0.056356939,-0.061297755,-0.065350408,-0.068487143,-0.070796122,-0.07245,-0.073663061,-0.074634286,-0.075522041,-0.076458163,-0.077535714,-0.07880449,-0.080244082,-0.081850204,-0.083547755,-0.085280612,-0.086976122,-0.08858,-0.090014694,-0.091242449,-0.092295714,-0.093219388,-0.094082653,-0.094909184,-0.095745714,-0.096669796,-0.097784286,-0.099216939,-0.101050408,-0.103339388,-0.106067959,-0.109195714,-0.11265898,-0.11638102,-0.120259184,-0.124175918,-0.127979796,-0.131516531,-0.134605714,-0.137084898,-0.138802041,-0.139611837,-0.139417959,-0.138193878,-0.135999388,-0.132947143,-0.12916449,-0.124705306,-0.119588571,-0.113813469,-0.107385714,-0.100291837,-0.092528571,-0.084106531,-0.075111837,-0.065746531,-0.056331633,-0.047282653,-0.039001224,-0.031828571,-0.025909388,-0.021161224,-0.017357143,-0.014159184,-0.011293878,-0.008574286,-0.00593,-0.000914272,0.00266627
0.00405,0.003177959,0.002073878,0.000929388,-4.49E-05,-0.000519388,-7.86E-05,0.001504286,0.004152449,0.007430612,0.010653061,0.013198367,0.014686939,0.015004694,0.014195714,0.012387551,0.009780204,0.006614286,0.003123265,-0.000502041,-0.004173469,-0.00787,-0.011588776,-0.015317959,-0.019042857,-0.022731633,-0.026352449,-0.029873469,-0.033268571,-0.036522449,-0.039630612,-0.042586735,-0.045393265,-0.048067551,-0.05061,-0.053024286,-0.05529898,-0.057420408,-0.059377959,-0.061176939,-0.062827959,-0.064333265,-0.065701429,-0.066943061,-0.068059796,-0.069097551,-0.070109388,-0.071157959,-0.072267755,-0.07347,-0.074757551,-0.076138776,-0.077613061,-0.07916898,-0.080788367,-0.082478163,-0.084221429,-0.08602551,-0.087877959,-0.089763673,-0.09169102,-0.093662449,-0.095680612,-0.097727143,-0.099766939,-0.10171102,-0.103474694,-0.104959184,-0.106083469,-0.106793673,-0.107068571,-0.106895918,-0.10629449,-0.105301837,-0.10396,-0.102311429,-0.10039898,-0.098241429,-0.095816327,-0.093067347,-0.089920204,-0.086294082,-0.082117551,-0.077313061,-0.071831429,-0.065633469,-0.05871449,-0.051147143,-0.043122449,-0.034993878,-0.027229388,-0.020308571,-0.014594898,-0.010248367,-0.007240204,-0.005385918,-0.004435918,-0.004145306,-0.00429,0.001008295,0.003194837
0.00189,0.003342245,0.005486327,0.008448367,0.012329592,0.017147959,0.022672857,0.028518571,0.034214082,0.039335306,0.043533265,0.046584694,0.048415306,0.04907551,0.048685714,0.047411224,0.045425918,0.042875102,0.03986449,0.036490612,0.032853878,0.029015714,0.025023061,0.020924286,0.016752041,0.012558163,0.008432857,0.004466122,0.000702857,-0.002858163,-0.006264286,-0.009589796,-0.012882857,-0.016182041,-0.019515918,-0.022912857,-0.026434082,-0.030138776,-0.034041224,-0.038133469,-0.042388571,-0.046749592,-0.051152857,-0.055552245,-0.059905306,-0.064206327,-0.068474082,-0.072729796,-0.077014286,-0.08139,-0.08592551,-0.090713673,-0.095827551,-0.101318571,-0.107211429,-0.113457551,-0.119955714,-0.126567959,-0.133156327,-0.13959102,-0.14578102,-0.15165449,-0.157145102,-0.162175714,-0.166676735,-0.170629388,-0.174065102,-0.177058163,-0.179667347,-0.181908163,-0.183748571,-0.185111429,-0.185910612,-0.186062041,-0.185480408,-0.184086122,-0.181810816,-0.17863,-0.174567347,-0.169665306,-0.16396,-0.157457143,-0.150112449,-0.141855306,-0.132582857,-0.122200408,-0.110645714,-0.097974286,-0.084353265,-0.070079796,-0.055574898,-0.041327143,-0.027852857,-0.015672041,-0.005249592,0.003023878,0.008881429,0.012176122,0.01301,0.028861516,0.036747692
-0.00115,-0.001520816,-0.00101551,0.000667143,0.003521429,0.007203061,0.011227551,0.015167143,0.018808776,0.022126531,0.025165306,0.027922245,0.030339388,0.032339796,0.033838571,0.034729388,0.034879184,0.034251837,0.03291551,0.031010204,0.028704082,0.026145714,0.023470204,0.020789592,0.018190408,0.015685306,0.013215918,0.010663878,0.007858571,0.004655102,0.000967347,-0.003198776,-0.00775102,-0.012565918,-0.017488367,-0.022391429,-0.027198367,-0.031890816,-0.036484286,-0.041007959,-0.045469184,-0.049876327,-0.054188571,-0.058370408,-0.06238102,-0.066150408,-0.069623061,-0.072803469,-0.075712041,-0.07844,-0.081073265,-0.083741429,-0.086536939,-0.089501429,-0.092662653,-0.096005102,-0.099472857,-0.102996531,-0.106544694,-0.11015898,-0.113980204,-0.118177347,-0.122824694,-0.127895714,-0.133247755,-0.138684082,-0.143978163,-0.148921429,-0.153327755,-0.157029796,-0.159855714,-0.161637347,-0.162208367,-0.161425102,-0.159200612,-0.155524286,-0.150423265,-0.143991429,-0.136372653,-0.127733878,-0.118268163,-0.108170612,-0.097618776,-0.086789388,-0.075891429,-0.065191837,-0.055014898,-0.045707959,-0.037557551,-0.030747347,-0.02531102,-0.021137143,-0.018026327,-0.015721429,-0.013957143,-0.012505714,-0.011192245,-0.009866531,-0.0085,-0.006133069,-0.004415236
-0.00142,-0.00703,-0.01239,-0.01622,-0.01743,-0.01567,-0.01142,-0.00575,7.00E-05,0.00506,0.00873,0.01098,0.01205,0.0122,0.01171,0.01092,0.01019,0.00976,0.00962,0.00956,0.00929,0.00865,0.00753,0.00586,0.00353,4.90E-04,-0.0032,-0.00738,-0.01187,-0.01654,-0.02134,-0.0263,-0.03142,-0.0367,-0.04204,-0.0473,-0.05234,-0.05704,-0.06136,-0.06527,-0.06876,-0.07183,-0.07449,-0.07674,-0.07861,-0.08017,-0.08153,-0.08281,-0.08409,-0.08542,-0.08684,-0.08838,-0.09005,-0.09184,-0.09374,-0.09571,-0.09775,-0.09985,-0.10202,-0.10429,-0.10668,-0.10923,-0.11196,-0.11486,-0.1179,-0.12104,-0.12418,-0.12725,-0.13014,-0.13277,-0.13503,-0.13686,-0.1382,-0.13899,-0.13923,-0.13887,-0.13788,-0.13624,-0.13397,-0.13114,-0.12782,-0.12409,-0.11993,-0.11531,-0.11011,-0.10417,-0.09734,-0.08957,-0.08094,-0.07169,-0.06219,-0.05289,-0.04419,-0.03642,-0.02976,-0.02425,-0.01981,-0.01627,-0.0134,-0.01091,-0.00861
-0.00729,-0.00868,-0.00902,-0.00818,-0.00624,-0.00331,4.90E-04,0.00495,0.00971,0.01448,0.01904,0.02327,0.02712,0.03048,0.03316,0.03498,0.03582,0.03567,0.03463,0.03283,0.03037,0.02731,0.02371,0.01963,0.01515,0.01035,0.00533,2.00E-04,-0.00493,-0.00997,-0.01483,-0.01941,-0.02362,-0.02738,-0.03062,-0.03328,-0.03532,-0.03674,-0.03758,-0.03794,-0.03798,-0.03789,-0.03788,-0.0381,-0.03869,-0.03972,-0.04121,-0.04315,-0.04551,-0.04825,-0.05139,-0.05496,-0.05895,-0.06325,-0.06764,-0.07189,-0.07577,-0.07915,-0.08198,-0.08433,-0.08636,-0.0883,-0.09036,-0.09273,-0.09556,-0.09895,-0.10295,-0.10755,-0.11269,-0.11828,-0.12421,-0.13033,-0.13652,-0.14261,-0.14847,-0.15395,-0.15891,-0.16321,-0.16669,-0.16919,-0.17053,-0.17052,-0.16899,-0.16577,-0.16072,-0.15373,-0.1448,-0.13402,-0.12163,-0.10794,-0.09339,-0.07849,-0.06382,-0.04994,-0.03733,-0.02633,-0.0171,-0.00959,-0.00362,0.00109,0.00486
-0.01137,-0.0113,-0.01061,-0.00922,-0.00718,-0.00492,-0.00301,-0.0019,-0.00171,-0.00236,-0.00365,-0.00534,-0.00708,-0.00854,-0.00943,-0.00967,-0.0094,-0.00898,-0.00878,-0.00911,-0.01014,-0.01196,-0.01457,-0.01801,-0.02224,-0.02717,-0.03257,-0.03817,-0.04365,-0.04876,-0.0533,-0.05719,-0.06045,-0.06313,-0.06529,-0.06698,-0.06823,-0.06908,-0.06957,-0.06977,-0.06977,-0.06964,-0.06944,-0.06921,-0.06901,-0.06889,-0.06898,-0.0694,-0.07027,-0.0716,-0.07339,-0.07563,-0.07828,-0.08133,-0.08479,-0.08867,-0.09299,-0.09776,-0.103,-0.1087,-0.11485,-0.12138,-0.12823,-0.13531,-0.14254,-0.1498,-0.157,-0.16405,-0.17085,-0.1773,-0.18334,-0.18888,-0.19384,-0.19814,-0.20171,-0.20444,-0.20621,-0.20692,-0.20643,-0.2046,-0.20132,-0.19648,-0.19004,-0.18198,-0.17233,-0.16113,-0.14847,-0.13449,-0.11939,-0.1035,-0.08725,-0.07113,-0.0557,-0.04146,-0.02886,-0.0183,-0.01009,-0.00433,-8.80E-04,6.40E-04,7.80E-04
-0.00258,-0.00184,-3.70E-04,0.00231,0.0065,0.01202,0.01836,0.02487,0.03092,0.03589,0.03928,0.04087,0.0408,0.03945,0.03724,0.03445,0.03133,0.02813,0.02514,0.02255,0.02033,0.01827,0.01608,0.0135,0.01036,0.00659,0.00219,-0.00279,-0.00823,-0.01394,-0.01974,-0.02543,-0.03086,-0.03587,-0.04038,-0.0443,-0.04763,-0.05041,-0.05273,-0.0547,-0.05645,-0.05808,-0.05964,-0.06118,-0.0627,-0.06424,-0.06584,-0.06759,-0.06961,-0.07203,-0.07497,-0.07856,-0.08289,-0.08801,-0.09393,-0.10062,-0.108,-0.11596,-0.12441,-0.13322,-0.14232,-0.15162,-0.16107,-0.17061,-0.18017,-0.18967,-0.19905,-0.2082,-0.21704,-0.2254,-0.23313,-0.24005,-0.24598,-0.25076,-0.25426,-0.25639,-0.25709,-0.25632,-0.25411,-0.2505,-0.24556,-0.23936,-0.23197,-0.22344,-0.21377,-0.20296,-0.19101,-0.17796,-0.16388,-0.14892,-0.1333,-0.1173,-0.10125,-0.08542,-0.07018,-0.05598,-0.04325,-0.03224,-0.02297,-0.01521,-0.00866
-0.00868,-0.01164,-0.01417,-0.01548,-0.0149,-0.01217,-0.00759,-0.0019,0.00393,0.00895,0.01246,0.01417,0.01415,0.01273,0.01034,0.00739,0.00421,0.00105,-0.00185,-0.00435,-0.00638,-0.00798,-0.00925,-0.01031,-0.01127,-0.01216,-0.01297,-0.01372,-0.01445,-0.01522,-0.0161,-0.01711,-0.01826,-0.01952,-0.02086,-0.02226,-0.0237,-0.02516,-0.02662,-0.02808,-0.02952,-0.03096,-0.03242,-0.03398,-0.03574,-0.0378,-0.04027,-0.04325,-0.04678,-0.05086,-0.05548,-0.0606,-0.0661,-0.07184,-0.07761,-0.08324,-0.08862,-0.09368,-0.0984,-0.10282,-0.10697,-0.1109,-0.11468,-0.11837,-0.12201,-0.12561,-0.12918,-0.13271,-0.13618,-0.13955,-0.14276,-0.14574,-0.14837,-0.1506,-0.15233,-0.15351,-0.1541,-0.15406,-0.15337,-0.152,-0.14997,-0.14726,-0.14388,-0.13976,-0.13483,-0.12899,-0.12214,-0.11422,-0.10521,-0.09516,-0.08422,-0.07267,-0.06088,-0.04933,-0.0385,-0.02884,-0.02072,-0.01434,-0.00968,-0.00656,-0.00464
