V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,,
-0.26488,-0.212006939,-0.196407755,-0.233197143,-0.320863265,-0.434961224,-0.534580816,-0.580067143,-0.552212857,-0.461127755,-0.339719592,-0.226819184,-0.150709796,-0.121990408,-0.136152857,-0.180393673,-0.239491633,-0.299026735,-0.346904694,-0.374542653,-0.378046735,-0.358952857,-0.32344102,-0.279749592,-0.234983061,-0.193090204,-0.154813878,-0.119184286,-0.085281429,-0.053389184,-0.025185102,-0.00307898,0.010963469,0.016504898,0.015319184,0.011424286,0.01006102,0.015746327,0.030258571,0.051828163,0.075946531,0.097367551,0.11233,0.120017959,0.122651837,0.124063061,0.127202245,0.132119184,0.135973878,0.13508,0.127516735,0.114772653,0.100167959,0.087079796,0.077656327,0.072945306,0.073671429,0.080722041,0.094913878,0.11637102,0.144286735,0.177238163,0.213797959,0.25276,0.292904898,0.332780408,0.370612449,0.404400612,0.432232653,0.453073469,0.467622857,0.478425714,0.489014082,0.502631224,0.521166939,0.544748571,0.572044082,0.600905714,0.628969388,0.654202041,0.675337347,0.69216551,0.70552898,0.71696,0.727881429,0.738732449,0.74842898,0.754514286,0.753855102,0.743481633,0.721176735,0.686042857,0.639007143,0.582758571,0.52105551,0.45774449,0.396101224,0.338635918,0.28711,0.221853129,0.166056769
-0.33216,-0.387264898,-0.470077143,-0.565838367,-0.647974694,-0.68799102,-0.670559184,-0.601165714,-0.501550204,-0.397825306,-0.30916,-0.242773265,-0.196653673,-0.166566939,-0.151085714,-0.151272449,-0.166948367,-0.19387551,-0.224204898,-0.249368163,-0.262892653,-0.261434286,-0.244375918,-0.213310816,-0.171963061,-0.125917143,-0.081625306,-0.044782041,-0.018768571,-0.003962857,0.001845306,0.002520408,0.00250898,0.005529388,0.013379184,0.025891429,0.042183673,0.061855102,0.084957959,0.11098551,0.138146735,0.163643673,0.184751429,0.200105102,0.210254898,0.217418163,0.224372449,0.233365102,0.245641837,0.26119,0.278737347,0.296017755,0.311040204,0.323236531,0.333892653,0.345619592,0.360948571,0.381057551,0.405229388,0.431470204,0.457866327,0.483539388,0.508608776,0.533555714,0.558554694,0.583340408,0.607456531,0.630512857,0.652337143,0.67302898,0.692928571,0.712322857,0.731127755,0.748957959,0.765376327,0.779963673,0.791944082,0.799948571,0.802365306,0.798008163,0.786736531,0.769570816,0.748219796,0.724343061,0.699032857,0.672623061,0.644899592,0.615631429,0.585113061,0.554274286,0.52427898,0.495887143,0.469344286,0.444477347,0.420630408,0.396340204,0.369384898,0.337462449,0.29937,0.277744626,0.243898619
-0.5346,-0.535407347,-0.555473469,-0.592844082,-0.638164898,-0.676684286,-0.693083878,-0.677377143,-0.628942041,-0.556754286,-0.475956327,-0.402057959,-0.34554,-0.309111224,-0.288715714,-0.277326939,-0.268810204,-0.259804286,-0.24940551,-0.237724898,-0.224675918,-0.20965,-0.191941837,-0.171455102,-0.149025714,-0.126122653,-0.104130816,-0.083777959,-0.065082857,-0.047626327,-0.030989592,-0.014957551,0.000464082,0.015152857,0.029012449,0.041997143,0.054148571,0.065571224,0.076366327,0.086597551,0.096179184,0.104916939,0.112692857,0.11960449,0.125933469,0.131813061,0.137180408,0.141902653,0.146106327,0.15017,0.154549388,0.159544898,0.165206531,0.171535918,0.178558367,0.186335102,0.194884286,0.20405,0.213583061,0.223313673,0.23336898,0.244176735,0.256190612,0.26964,0.284559388,0.300898163,0.318600408,0.337494694,0.357275918,0.377539184,0.397941429,0.41838102,0.439057755,0.460396939,0.4828,0.506378367,0.530793673,0.555244286,0.57856102,0.599432449,0.616776735,0.630010204,0.639185714,0.644857143,0.647671429,0.647872653,0.645014082,0.638112041,0.626046939,0.607914286,0.583243878,0.551964286,0.514523061,0.472152857,0.427323265,0.383972245,0.34685898,0.320312449,0.30675,0.2577123,0.235332533
-0.56404,-0.54267,-0.513421837,-0.491347347,-0.488648163,-0.506172653,-0.530644898,-0.540985714,-0.519425306,-0.459803469,-0.368836122,-0.262092857,-0.158135306,-0.073120612,-0.016721429,0.009942857,0.013749796,0.006260408,-0.000982857,-0.000557755,0.00895449,0.023731429,0.03740898,0.044477143,0.043129388,0.036251837,0.029951837,0.030571429,0.041865714,0.063707143,0.09265,0.123719592,0.152467755,0.176249388,0.194320408,0.207092857,0.215216531,0.21915449,0.219198571,0.215714898,0.209433265,0.201817347,0.195461429,0.19375,0.199592449,0.214027143,0.235602653,0.261149388,0.287002857,0.31012,0.328436939,0.341628367,0.350987755,0.35884,0.367571633,0.378763878,0.393191429,0.411123673,0.432627755,0.457433878,0.484701837,0.51292551,0.540274286,0.565191429,0.586959796,0.606037347,0.624067143,0.643179388,0.664858367,0.689168571,0.715087143,0.741494082,0.767818571,0.793743878,0.818534694,0.840901633,0.859491633,0.873415714,0.88239449,0.886639388,0.886583061,0.88259449,0.874887143,0.863731224,0.849898571,0.834912449,0.820730816,0.808794082,0.798993469,0.78912,0.775312857,0.753315714,0.720062857,0.674780408,0.619149796,0.556603673,0.491365102,0.427976122,0.37133,0.30793302,0.245828661
-0.39255,-0.435978367,-0.492693878,-0.556007551,-0.608374082,-0.625916939,-0.592502653,-0.51205,-0.408179388,-0.312143673,-0.248513061,-0.226824694,-0.241598571,-0.278420612,-0.321784286,-0.361104694,-0.392967143,-0.41962551,-0.445108367,-0.47114,-0.494960408,-0.510008571,-0.508976327,-0.487602449,-0.447056735,-0.39372,-0.336824898,-0.285458367,-0.246302857,-0.222440612,-0.213171224,-0.214865918,-0.222430816,-0.230763469,-0.235793265,-0.235044286,-0.227859388,-0.215215306,-0.199081837,-0.181674286,-0.16491102,-0.150182245,-0.138212857,-0.129105714,-0.122519592,-0.117950204,-0.114661633,-0.111621224,-0.107601224,-0.10148,-0.092473878,-0.080571837,-0.066283265,-0.050672653,-0.035242041,-0.021572245,-0.01045,-0.000949592,0.009602041,0.024495918,0.04602,0.07434,0.107452857,0.141967143,0.174464082,0.202900408,0.227239388,0.248940204,0.269750204,0.290778776,0.312348571,0.334612245,0.358221633,0.384264082,0.413447755,0.445220816,0.47755102,0.507474286,0.532092245,0.549445306,0.558906327,0.560988776,0.556950612,0.548384898,0.536861429,0.523732041,0.510126735,0.496931224,0.484516939,0.472225102,0.458220408,0.440122857,0.416077755,0.385468776,0.349002449,0.308545306,0.266802245,0.227366735,0.19465,0.152564844,0.114751875
-0.27448,-0.27401,-0.32413,-0.44508,-0.6398,-0.87789,-1.09879,-1.23758,-1.25681,-1.16442,-1.00761,-0.84806,-0.73428,-0.68489,-0.68915,-0.72015,-0.7511,-0.76645,-0.76436,-0.75174,-0.73662,-0.72283,-0.70947,-0.69364,-0.6732,-0.64744,-0.61668,-0.58193,-0.54498,-0.50833,-0.47453,-0.44526,-0.4206,-0.39939,-0.38005,-0.36157,-0.34402,-0.32838,-0.31577,-0.30649,-0.29972,-0.2941,-0.28852,-0.28231,-0.27512,-0.26687,-0.25765,-0.24767,-0.23713,-0.2262,-0.21495,-0.20343,-0.19171,-0.17979,-0.16752,-0.15491,-0.14262,-0.1318,-0.12319,-0.11633,-0.10969,-0.10148,-0.09058,-0.07701,-0.06188,-0.04701,-0.03418,-0.0243,-0.01697,-0.01078,-0.00392,0.00541,0.01857,0.03617,0.05779,0.08223,0.10812,0.13436,0.16042,0.18601,0.21074,0.2342,0.25637,0.27789,0.29938,0.3206,0.34008,0.35546,0.36441,0.3658,0.36043,0.35079,0.33964,0.32859,0.31779,0.30673,0.29505,0.2827,0.26965,0.25604,0.24296
-0.23447,-0.24635,-0.28458,-0.34625,-0.42142,-0.49547,-0.55429,-0.5892,-0.59865,-0.58608,-0.55659,-0.51473,-0.46429,-0.4091,-0.3534,-0.30159,-0.25746,-0.22367,-0.20157,-0.19105,-0.19046,-0.19649,-0.20464,-0.21007,-0.20876,-0.19848,-0.17915,-0.15237,-0.12063,-0.08644,-0.05175,-0.01785,0.01449,0.04464,0.07198,0.09591,0.11603,0.13226,0.14494,0.15476,0.16271,0.16993,0.17739,0.18563,0.19453,0.20338,0.2113,0.21756,0.22173,0.22358,0.2229,0.21951,0.21339,0.20503,0.19587,0.18837,0.18553,0.18982,0.20226,0.22209,0.24701,0.27396,0.30003,0.3233,0.34316,0.36024,0.37573,0.39074,0.40596,0.42158,0.4375,0.45351,0.4695,0.48561,0.50226,0.51993,0.53879,0.55839,0.57773,0.59561,0.61095,0.6228,0.63039,0.63307,0.63038,0.62216,0.60862,0.59045,0.5689,0.54571,0.52297,0.5028,0.48706,0.47682,0.47205,0.47148,0.47259,0.47197,0.46583,0.45091,0.4256
-0.07987,-0.1662,-0.31593,-0.50984,-0.71397,-0.88789,-0.99856,-1.03174,-0.99501,-0.91182,-0.81108,-0.71728,-0.6453,-0.60018,-0.58016,-0.57994,-0.59278,-0.61147,-0.62913,-0.63987,-0.63947,-0.62581,-0.59895,-0.5608,-0.51447,-0.46361,-0.41174,-0.36174,-0.3154,-0.27341,-0.23578,-0.20233,-0.17285,-0.14709,-0.12467,-0.10507,-0.0876,-0.0715,-0.05605,-0.04071,-0.02509,-0.00892,0.00798,0.02569,0.04409,0.06282,0.08112,0.09783,0.11164,0.12166,0.12776,0.13064,0.13159,0.13208,0.1334,0.13638,0.14146,0.14887,0.15899,0.17246,0.19,0.21216,0.23893,0.26977,0.30366,0.33941,0.37585,0.41198,0.44705,0.48054,0.51206,0.54137,0.56825,0.59251,0.61393,0.63212,0.64663,0.65708,0.66347,0.66641,0.667,0.66637,0.66516,0.66335,0.6606,0.65668,0.65155,0.64515,0.63711,0.62657,0.6123,0.59294,0.56734,0.53491,0.49616,0.45309,0.40883,0.36675,0.32946,0.2985,0.27471
-0.15238,-0.22144,-0.34935,-0.51768,-0.69056,-0.82465,-0.88564,-0.86132,-0.76398,-0.62219,-0.46797,-0.3269,-0.21432,-0.13644,-0.09309,-0.07998,-0.09017,-0.11537,-0.14722,-0.17821,-0.20234,-0.21556,-0.216,-0.20383,-0.18063,-0.14861,-0.11016,-0.06776,-0.02409,0.01812,0.05621,0.08786,0.11106,0.12433,0.12701,0.11997,0.10587,0.08885,0.07344,0.06302,0.05872,0.05903,0.06056,0.05963,0.05391,0.04345,0.03056,0.01881,0.01185,0.01241,0.02171,0.03934,0.06342,0.09129,0.12016,0.14771,0.17257,0.19466,0.21507,0.23562,0.25821,0.28437,0.31517,0.35129,0.39319,0.44098,0.49423,0.55184,0.61221,0.67352,0.7341,0.7927,0.84865,0.90183,0.95257,1.00144,1.04892,1.09492,1.13846,1.17763,1.21007,1.23362,1.24681,1.24885,1.23931,1.21794,1.18472,1.14011,1.0851,1.02097,0.94914,0.87122,0.78941,0.70674,0.62688,0.55342,0.48886,0.43408,0.3885,0.35099,0.32079
-0.30831,-0.23058,-0.19576,-0.22059,-0.30502,-0.42734,-0.5508,-0.63908,-0.67121,-0.64729,-0.58453,-0.5077,-0.43874,-0.38911,-0.35768,-0.33517,-0.31184,-0.28338,-0.2519,-0.22274,-0.20026,-0.18562,-0.17728,-0.17259,-0.16903,-0.16421,-0.15564,-0.14099,-0.11876,-0.08911,-0.05427,-0.0183,0.01374,0.03731,0.04997,0.05224,0.04715,0.03876,0.0306,0.02486,0.02225,0.02236,0.02427,0.02711,0.03046,0.03418,0.03822,0.04249,0.04705,0.0521,0.05782,0.06408,0.07037,0.07602,0.0806,0.08429,0.08804,0.09355,0.10287,0.11771,0.13873,0.16531,0.19592,0.229,0.26357,0.29931,0.33633,0.37484,0.41501,0.45693,0.50052,0.54536,0.59068,0.6356,0.67923,0.72077,0.75939,0.79416,0.82388,0.84708,0.8623,0.86863,0.86629,0.85677,0.84253,0.82623,0.80981,0.79383,0.77721,0.75762,0.73234,0.69911,0.65685,0.60623,0.55008,0.49316,0.44086,0.39719,0.36328,0.33723,0.3153
