V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,X100,X101
-0.09186,-0.192822857,-0.282622041,-0.350403673,-0.387943265,-0.394001429,-0.376444694,-0.350448571,-0.333065306,-0.337221429,-0.368013265,-0.422906327,-0.494734082,-0.575203061,-0.657138571,-0.734896735,-0.803875102,-0.85998898,-0.899660408,-0.920242449,-0.920505714,-0.900868571,-0.863443265,-0.811911429,-0.751429796,-0.688404286,-0.629876122,-0.582513469,-0.551362857,-0.538728776,-0.543647143,-0.562174082,-0.588388776,-0.615699388,-0.638014082,-0.650502857,-0.65003102,-0.635368367,-0.607324694,-0.56869102,-0.523805306,-0.477811633,-0.435735714,-0.401561224,-0.377647347,-0.364396327,-0.360519184,-0.363533673,-0.370468367,-0.37856,-0.385627347,-0.390388163,-0.392455714,-0.392283878,-0.390980816,-0.39010449,-0.39124,-0.395641224,-0.403984694,-0.416284694,-0.432111429,-0.450822449,-0.471820816,-0.494645714,-0.518968163,-0.544439592,-0.570643061,-0.597093265,-0.623246939,-0.64847551,-0.672001429,-0.692874898,-0.710024286,-0.72235898,-0.728904898,-0.728866122,-0.72167449,-0.70701,-0.684820204,-0.655295714,-0.618750408,-0.575504286,-0.525777551,-0.469649796,-0.407124286,-0.338388776,-0.264096735,-0.185597551,-0.104918163,-0.024612041,0.052556735,0.123822857,0.186514898,0.238060612,0.276076939,0.298743061,0.305439796,0.297470816,0.27822,0.292094286,0.292395673
0.05668,-0.018514082,-0.089664286,-0.146260204,-0.181468367,-0.196829592,-0.20236551,-0.211418571,-0.233859796,-0.272347347,-0.323512653,-0.381968367,-0.443439388,-0.505323061,-0.565752857,-0.622645714,-0.673387755,-0.715105918,-0.745263061,-0.762294694,-0.76591102,-0.756812857,-0.736353673,-0.70674898,-0.671617551,-0.636000204,-0.605351633,-0.583859796,-0.572955714,-0.570828571,-0.573140816,-0.574610408,-0.570772857,-0.559238163,-0.539952857,-0.514474286,-0.484883265,-0.453222245,-0.421745102,-0.393258776,-0.371009796,-0.357886939,-0.355254286,-0.361991224,-0.37439898,-0.387317347,-0.396076122,-0.398431224,-0.395345918,-0.39024,-0.387353673,-0.389795714,-0.398802857,-0.413882857,-0.433447143,-0.455686327,-0.479224286,-0.503132857,-0.526513061,-0.548117143,-0.566558776,-0.581238776,-0.593260816,-0.605202857,-0.619663061,-0.637708367,-0.658275918,-0.678639592,-0.695549796,-0.706551837,-0.71078,-0.708927755,-0.702576735,-0.693372653,-0.682469592,-0.67036102,-0.657089184,-0.642524286,-0.626483469,-0.60866102,-0.588542041,-0.565436735,-0.538763878,-0.508430816,-0.475061429,-0.439915306,-0.40433449,-0.368957347,-0.333006531,-0.294082041,-0.248845102,-0.194481429,-0.130514286,-0.059840816,0.011613265,0.076604286,0.128726531,0.163997959,0.18149,0.240630551,0.283345265
0.12493,0.085172857,0.028923061,-0.036921224,-0.105322449,-0.172033673,-0.235439388,-0.295274286,-0.352469796,-0.409510408,-0.469806327,-0.535505918,-0.605414082,-0.674670408,-0.736461429,-0.784386939,-0.814247755,-0.824898571,-0.818277347,-0.798683878,-0.771553265,-0.74221,-0.714866735,-0.691842857,-0.673290204,-0.657846327,-0.643807959,-0.630045714,-0.616214286,-0.602417959,-0.588746531,-0.575250612,-0.562276327,-0.550555306,-0.540856939,-0.533724286,-0.529591633,-0.528853265,-0.531402653,-0.536181224,-0.541277143,-0.544591429,-0.544682857,-0.541241429,-0.535112857,-0.528013878,-0.522079592,-0.519245714,-0.520540816,-0.52571,-0.533333061,-0.541451837,-0.548669388,-0.554575918,-0.559476939,-0.563957347,-0.568597143,-0.573861633,-0.580035306,-0.587098571,-0.59481102,-0.602721224,-0.610319796,-0.617284286,-0.623653673,-0.629759388,-0.635903265,-0.64224,-0.648949388,-0.656449388,-0.665205714,-0.675085714,-0.684775306,-0.69182551,-0.693585714,-0.688336735,-0.675852857,-0.656981429,-0.632744286,-0.603801429,-0.570467959,-0.532969184,-0.491417347,-0.445625918,-0.395051429,-0.339146122,-0.277947347,-0.212686939,-0.146246122,-0.082997143,-0.027948571,0.014517143,0.041573469,0.052524898,0.048994286,0.034818776,0.015359796,-0.003865918,-0.01877,-0.036956592,-0.054377918
0.1455,0.08665,0.006998163,-0.088730612,-0.190889796,-0.287513265,-0.368043878,-0.426228571,-0.461113878,-0.476461837,-0.479400612,-0.478814694,-0.483544898,-0.500531633,-0.533092857,-0.580060204,-0.636517755,-0.695972857,-0.752868776,-0.804096939,-0.848923469,-0.887762857,-0.92068898,-0.946505918,-0.962680612,-0.966272449,-0.955461429,-0.930881633,-0.895948571,-0.855830204,-0.815632245,-0.778746531,-0.746258776,-0.717458571,-0.690930816,-0.665397143,-0.64003551,-0.614486939,-0.588866939,-0.563913061,-0.541017143,-0.521818367,-0.507588571,-0.498961633,-0.496008571,-0.498333061,-0.505037551,-0.514658571,-0.525512041,-0.536,-0.54475102,-0.551232653,-0.556028163,-0.560600408,-0.566593265,-0.575024694,-0.58591,-0.598573265,-0.612183673,-0.626302041,-0.641003061,-0.656686735,-0.673666122,-0.691762857,-0.710182245,-0.727563469,-0.742366939,-0.753388571,-0.760283878,-0.763679796,-0.764804286,-0.764920612,-0.76486,-0.764820816,-0.764274898,-0.762054898,-0.756613265,-0.746407143,-0.73019102,-0.70708898,-0.67647,-0.637830408,-0.590864898,-0.535777551,-0.473685714,-0.406682449,-0.337492245,-0.26870898,-0.202094286,-0.138275918,-0.07699551,-0.017665714,0.039883265,0.094800816,0.144764082,0.185829796,0.212881837,0.221041837,0.20789,0.242920674,0.259067061
-0.03765,-0.112446122,-0.179620408,-0.230470408,-0.262011633,-0.280307551,-0.297776939,-0.326344286,-0.372010408,-0.434194898,-0.508386735,-0.589167551,-0.67185,-0.752918776,-0.829631429,-0.899132449,-0.957606327,-1.000415918,-1.023612245,-1.02613551,-1.011276327,-0.986174286,-0.959410612,-0.937983061,-0.925132449,-0.919882449,-0.918290612,-0.915641429,-0.908375714,-0.894853878,-0.874939592,-0.849162245,-0.818362653,-0.783866327,-0.747760204,-0.712714286,-0.681371837,-0.655606327,-0.635970408,-0.621726531,-0.611377551,-0.603347755,-0.596471429,-0.590168163,-0.584499184,-0.580055306,-0.57757898,-0.577526327,-0.579900612,-0.58438,-0.590634286,-0.598409388,-0.607748776,-0.618882653,-0.631971429,-0.646817959,-0.662635714,-0.678297347,-0.692799388,-0.705674898,-0.717260204,-0.728437755,-0.740162653,-0.753012857,-0.767022041,-0.781865306,-0.797173469,-0.81284898,-0.829159592,-0.84650449,-0.864874286,-0.883355918,-0.900142041,-0.913007347,-0.919874694,-0.919194694,-0.910160612,-0.892707143,-0.867227551,-0.834156122,-0.793680816,-0.745786939,-0.690606122,-0.628701633,-0.561141429,-0.489443061,-0.415538367,-0.341917551,-0.271774898,-0.208713673,-0.15569449,-0.113824286,-0.081699184,-0.05599102,-0.033047143,-0.010492449,0.011635918,0.030946122,0.04392,0.067204347,0.086741632
0.08386,0.00188,-0.08825,-0.17739,-0.25673,-0.32258,-0.37885,-0.4344,-0.49692,-0.56905,-0.64939,-0.7358,-0.82675,-0.92032,-1.01307,-1.10043,-1.17809,-1.24317,-1.29448,-1.33208,-1.35682,-1.37006,-1.37366,-1.36966,-1.35969,-1.34474,-1.32542,-1.30271,-1.27826,-1.2542,-1.23236,-1.21359,-1.19743,-1.18224,-1.16604,-1.14745,-1.12627,-1.1033,-1.07969,-1.05625,-1.03337,-1.01121,-0.98996,-0.97006,-0.95223,-0.93733,-0.92609,-0.91882,-0.91515,-0.91407,-0.91446,-0.91561,-0.91736,-0.91989,-0.92333,-0.92761,-0.93233,-0.93703,-0.94149,-0.94597,-0.95087,-0.95636,-0.96221,-0.96792,-0.97286,-0.97646,-0.97824,-0.97777,-0.97467,-0.96867,-0.9597,-0.94786,-0.93332,-0.91613,-0.89618,-0.87338,-0.84774,-0.81949,-0.78898,-0.75652,-0.72209,-0.68544,-0.64631,-0.60474,-0.56109,-0.51574,-0.46892,-0.42064,-0.37074,-0.31918,-0.26629,-0.21309,-0.16112,-0.112,-0.06705,-0.02725,0.00674,0.03456,0.05654,0.07381,0.08801
0.20643,0.17973,0.14299,0.09913,0.05263,0.00816,-0.031,-0.06399,-0.09277,-0.12166,-0.15613,-0.20133,-0.26074,-0.33545,-0.42397,-0.52266,-0.62638,-0.72951,-0.82674,-0.91372,-0.98742,-1.04615,-1.08947,-1.11802,-1.13322,-1.13698,-1.13145,-1.11875,-1.10079,-1.07914,-1.05494,-1.02889,-1.00134,-0.97243,-0.94212,-0.9103,-0.87688,-0.84194,-0.8059,-0.7695,-0.7337,-0.69938,-0.66716,-0.63727,-0.60964,-0.58409,-0.56058,-0.53935,-0.52084,-0.50557,-0.49396,-0.48617,-0.48214,-0.48165,-0.48442,-0.49016,-0.4986,-0.50948,-0.52255,-0.53749,-0.55386,-0.57097,-0.58801,-0.60418,-0.61904,-0.63253,-0.64495,-0.65662,-0.66766,-0.67797,-0.68731,-0.69549,-0.70245,-0.70836,-0.71347,-0.718,-0.72199,-0.72525,-0.72736,-0.72773,-0.72565,-0.7202,-0.71024,-0.69442,-0.67141,-0.6401,-0.59991,-0.55084,-0.49348,-0.4289,-0.35862,-0.28463,-0.20942,-0.13585,-0.06697,-0.00562,0.04613,0.0875,0.1193,0.14375,0.16371
-0.01786,-0.07064,-0.13585,-0.20847,-0.28259,-0.35372,-0.41974,-0.48077,-0.53864,-0.59643,-0.65753,-0.72434,-0.79714,-0.87412,-0.95229,-1.02825,-1.09848,-1.15916,-1.20632,-1.23656,-1.24796,-1.24067,-1.21695,-1.18057,-1.13601,-1.08771,-1.03939,-0.99373,-0.95223,-0.9152,-0.88213,-0.85202,-0.82377,-0.79646,-0.76936,-0.74207,-0.71446,-0.68665,-0.65885,-0.63133,-0.6045,-0.57893,-0.55536,-0.5346,-0.51733,-0.504,-0.49477,-0.4895,-0.48783,-0.48925,-0.49327,-0.49961,-0.50819,-0.5192,-0.53301,-0.55017,-0.57124,-0.59648,-0.62565,-0.65804,-0.69261,-0.72826,-0.76392,-0.79872,-0.83207,-0.86369,-0.89358,-0.92186,-0.94865,-0.97395,-0.99764,-1.01952,-1.03933,-1.05676,-1.07149,-1.08317,-1.09139,-1.09575,-1.09581,-1.09117,-1.0814,-1.06616,-1.04518,-1.01815,-0.98462,-0.94398,-0.89537,-0.83786,-0.77051,-0.69271,-0.60441,-0.50632,-0.40006,-0.28826,-0.17469,-0.06432,0.03673,0.12183,0.18506,0.22276,0.23481
0.0435,-0.01772,-0.08836,-0.16335,-0.23791,-0.30895,-0.37482,-0.43469,-0.48851,-0.53757,-0.58455,-0.63291,-0.68591,-0.74577,-0.81304,-0.88623,-0.96171,-1.03401,-1.09665,-1.14326,-1.16877,-1.1705,-1.14863,-1.10619,-1.04845,-0.9818,-0.91253,-0.84577,-0.78485,-0.7312,-0.68472,-0.64421,-0.60789,-0.57395,-0.54106,-0.50866,-0.47697,-0.44686,-0.41956,-0.39628,-0.37785,-0.36435,-0.3551,-0.34891,-0.34461,-0.3415,-0.33946,-0.33866,-0.33938,-0.34184,-0.34615,-0.35239,-0.36054,-0.37053,-0.38224,-0.39555,-0.41038,-0.42678,-0.44501,-0.46549,-0.48853,-0.51428,-0.54255,-0.57292,-0.60485,-0.63771,-0.67076,-0.70318,-0.73411,-0.76275,-0.78848,-0.81077,-0.82928,-0.84374,-0.85399,-0.85985,-0.86121,-0.85794,-0.85005,-0.83763,-0.82074,-0.79921,-0.77252,-0.74,-0.70116,-0.65601,-0.60516,-0.54966,-0.49086,-0.4301,-0.3686,-0.30732,-0.24693,-0.18786,-0.13064,-0.07635,-0.0269,0.01533,0.04839,0.07177,0.08677
-0.07975,-0.19136,-0.30132,-0.39479,-0.45628,-0.47747,-0.46204,-0.42418,-0.3823,-0.35279,-0.34631,-0.36618,-0.40854,-0.46477,-0.52588,-0.58647,-0.64574,-0.70504,-0.76406,-0.81887,-0.86312,-0.89115,-0.90065,-0.89296,-0.87167,-0.84118,-0.80626,-0.77209,-0.74381,-0.72515,-0.71687,-0.71631,-0.7183,-0.71711,-0.7081,-0.6888,-0.65907,-0.62095,-0.57802,-0.53458,-0.49468,-0.46127,-0.43568,-0.41777,-0.40638,-0.39994,-0.39691,-0.39633,-0.39809,-0.40297,-0.41209,-0.42636,-0.44602,-0.47057,-0.4988,-0.52902,-0.55942,-0.58842,-0.61507,-0.63906,-0.66064,-0.6804,-0.69902,-0.71713,-0.73521,-0.75346,-0.77193,-0.79044,-0.80869,-0.82615,-0.84206,-0.85564,-0.86633,-0.87402,-0.87892,-0.88141,-0.88166,-0.87939,-0.87372,-0.86332,-0.84673,-0.82286,-0.79133,-0.75265,-0.70799,-0.65903,-0.60757,-0.55523,-0.50317,-0.45177,-0.40079,-0.34963,-0.29755,-0.2437,-0.18733,-0.12859,-0.06962,-0.01477,0.0304,0.06107,0.07507
