V1,  V2,  V3,  V4,  V5,  V6,  V7,  V8,  V9,  V10,  V11,  V12,  V13,  V14,  V15,  V16,  V17,  V18,  V19,  V20,  V21,  V22,  V23,  V24,  V25,  V26,  V27,  V28,  V29,  V30,  V31,  V32,  V33,  V34,  V35,  V36,  V37,  V38,  V39,  V40,  V41,  V42,  V43,  V44,  V45,  V46,  V47,  V48,  V49,  V50,  V51,  V52,  V53,  V54,  V55,  V56,  V57,  V58,  V59,  V60,  V61,  V62,  V63,  V64,  V65,  V66,  V67,  V68,  V69,  V70,  V71,  V72,  V73,  V74,  V75,  V76,  V77,  V78,  V79,  V80,  V81,  V82,  V83,  V84,  V85,  V86,  V87,  V88,  V89,  V90,  V91,  V92,  V93,  V94,  V95,  V96,  V97,  V98,  V99,  X100,  X101
0.038930000,0.109654286,0.165475510,0.198216939,0.203028776,0.181391020,0.142274286,0.099914286,0.069249796,0.060952449,0.078454490,0.117962245,0.170726327,0.226328163,0.275491429,0.311770000,0.332065102,0.336290000,0.326569184,0.306258163,0.279029592,0.248172857,0.216284286,0.185366939,0.157207755,0.133723061,0.116955714,0.108705918,0.109967143,0.120374082,0.137982245,0.159558980,0.181292857,0.199675918,0.212192245,0.217615714,0.215914490,0.207962653,0.195197347,0.179345714,0.162198776,0.145407755,0.130311429,0.117805918,0.108268367,0.101518367,0.097010204,0.093987551,0.091744286,0.089740000,0.087697347,0.085565102,0.083451837,0.081506939,0.079884490,0.078679592,0.077892857,0.077458980,0.077303673,0.077346531,0.077479184,0.077570204,0.077428571,0.076834286,0.075584286,0.073524286,0.070569184,0.066666327,0.061791633,0.055942653,0.049155714,0.041496122,0.033040408,0.023880000,0.014078980,0.003695714,-0.007173061,-0.018365714,-0.029649796,-0.040704898,-0.051132245,-0.060481224,-0.068284898,-0.074104082,-0.077564286,-0.078440204,-0.076682857,-0.072462857,-0.066141020,-0.058226735,-0.049294694,-0.039945714,-0.030793469,-0.022543265,-0.015999388,-0.011969592,-0.011039796,-0.013204286,-0.017750000,-0.018367347,-0.020317918
-0.102710000,-0.068134490,-0.035707959,-0.012432041,-0.002198980,-0.002677551,-0.005709796,-0.001425714,0.016631020,0.048575306,0.088934490,0.130019796,0.165214082,0.190436939,0.203935714,0.205711224,0.197123469,0.180639388,0.159472857,0.137022245,0.116136531,0.098487143,0.084442653,0.073608571,0.065684490,0.060949796,0.060120816,0.063722653,0.071410000,0.081749184,0.092551224,0.101476735,0.106755918,0.107672857,0.104631224,0.098984286,0.092608776,0.087353265,0.084460612,0.084318163,0.086524286,0.090213061,0.094474286,0.098660408,0.102518367,0.106086735,0.109421020,0.112353673,0.114527143,0.115570000,0.115388367,0.114286735,0.112701429,0.111080612,0.109758163,0.108910816,0.108678571,0.109125102,0.110160612,0.111483061,0.112606939,0.112964898,0.112113878,0.109731429,0.105566122,0.099479184,0.091550000,0.082160612,0.071916122,0.061507959,0.051600000,0.042723673,0.035216735,0.029138776,0.024291837,0.020331020,0.016847143,0.013478571,0.009976735,0.006268571,0.002489184,-0.001018571,-0.003836939,-0.005676939,-0.006551429,-0.006837551,-0.007114082,-0.007872449,-0.009184286,-0.010539388,-0.010947347,-0.009368571,-0.005194898,0.001465102,0.009754898,0.018484694,0.026501224,0.032971837,0.037380000,0.044623572,0.050939225
-0.081830000,-0.054734490,-0.020927551,0.013432857,0.044366327,0.071947959,0.098514490,0.125870000,0.154240612,0.183073469,0.211989796,0.240887143,0.269226735,0.295228367,0.315650000,0.326767347,0.326168163,0.314106122,0.293497143,0.268757755,0.244400612,0.224127143,0.210315306,0.203672857,0.203173673,0.206551224,0.211221429,0.215114694,0.217051429,0.216698367,0.214300408,0.210471837,0.206027347,0.201779388,0.198249592,0.195605714,0.193911429,0.193313469,0.193891429,0.195433061,0.197322857,0.198741020,0.198924286,0.197393061,0.194162857,0.189724082,0.184891429,0.180485102,0.177057755,0.174760000,0.173337755,0.172219388,0.170935714,0.169358571,0.167751429,0.166561224,0.166208571,0.166827347,0.168178367,0.169739592,0.171023061,0.171761020,0.171918980,0.171555714,0.170705714,0.169285714,0.167154490,0.164142245,0.160086939,0.154860408,0.148392857,0.140679388,0.131817551,0.122036735,0.111648980,0.100967347,0.090162653,0.079212857,0.067963265,0.056273469,0.044142857,0.031746122,0.019421633,0.007603673,-0.003187143,-0.012406327,-0.019573061,-0.024424898,-0.027017551,-0.027758367,-0.027294490,-0.026410000,-0.025876327,-0.026304898,-0.027994694,-0.030721633,-0.033690816,-0.035827959,-0.036120000,-0.038673163,-0.040506387
-0.130260000,-0.106100816,-0.070315102,-0.026550000,0.019164286,0.060857143,0.094958776,0.121041429,0.140869184,0.156647551,0.169902653,0.181087755,0.189935918,0.195948367,0.198801429,0.198626939,0.196146531,0.192712041,0.189982245,0.189384898,0.191562449,0.196097143,0.201682857,0.206565306,0.209159184,0.208567347,0.204816327,0.198762653,0.191670000,0.184703878,0.178520204,0.173127755,0.168138776,0.163116122,0.157867959,0.152462857,0.147024082,0.141585306,0.136068980,0.130416735,0.124773878,0.119551224,0.115464286,0.113331633,0.113792449,0.117010816,0.122537755,0.129479184,0.136715102,0.143230000,0.148183469,0.151292857,0.152804898,0.153365306,0.153705102,0.154306327,0.155334286,0.156772653,0.158511633,0.160401429,0.162166531,0.163387347,0.163570408,0.162304286,0.159374694,0.154941633,0.149498980,0.143643061,0.137746531,0.131730204,0.125107143,0.117291633,0.107856327,0.096646122,0.083768571,0.069536735,0.054436122,0.039041429,0.023929184,0.009600612,-0.003544898,-0.015166122,-0.024994694,-0.032887347,-0.038870000,-0.043152449,-0.046052857,-0.047802245,-0.048384694,-0.047462245,-0.044487143,-0.038944286,-0.030642041,-0.019937959,-0.007865510,0.003858980,0.013087143,0.017652449,0.016140000,0.023036735,0.027177571
-0.059160000,-0.006725714,0.041007755,0.076277143,0.096106122,0.104539796,0.109854082,0.119141429,0.134983061,0.156152449,0.180272857,0.205570204,0.231086122,0.256019388,0.279121429,0.298314286,0.310687755,0.313076327,0.303388980,0.282166939,0.253313878,0.223330000,0.199107143,0.185437347,0.183398980,0.190414286,0.201739592,0.212460000,0.219028571,0.219837551,0.215002857,0.205739796,0.193752857,0.180836531,0.168655714,0.158548571,0.151408980,0.147522245,0.146596122,0.147932857,0.150665510,0.153994694,0.157291429,0.160189592,0.162514490,0.164236939,0.165477755,0.166422857,0.167331837,0.168420000,0.169867959,0.171784286,0.174162857,0.176882857,0.179636939,0.182025510,0.183722857,0.184764082,0.185592857,0.186833673,0.188965306,0.191987755,0.195357143,0.198128571,0.199320408,0.198294286,0.194912449,0.189486327,0.182534082,0.174550408,0.165865714,0.156702857,0.147289388,0.137839184,0.128487143,0.119206735,0.109776939,0.099867143,0.089162653,0.077542245,0.065183061,0.052512857,0.040128571,0.028670612,0.018754286,0.010852245,0.005234898,0.001843061,0.000215000,-0.000440000,-0.000940000,-0.001791429,-0.002894082,-0.003694490,-0.003577143,-0.002311429,-0.000321000,0.001435102,0.001880000,0.003753266,0.005186327
-0.045080000,0.016210000,0.073820000,0.113810000,0.125060000,0.106420000,0.069460000,0.033630000,0.016560000,0.025970000,0.058200000,0.102780000,0.148580000,0.188170000,0.218910000,0.241650000,0.258540000,0.271050000,0.279190000,0.281770000,0.277440000,0.265880000,0.248170000,0.226520000,0.203450000,0.181130000,0.161130000,0.144370000,0.131290000,0.122030000,0.116510000,0.114490000,0.115450000,0.118530000,0.122510000,0.126070000,0.128080000,0.127890000,0.125440000,0.121180000,0.115800000,0.109910000,0.103930000,0.098130000,0.092780000,0.088040000,0.083960000,0.080510000,0.077690000,0.075490000,0.073950000,0.073100000,0.072930000,0.073330000,0.074130000,0.075040000,0.075630000,0.075410000,0.074060000,0.071610000,0.068390000,0.064890000,0.061500000,0.058320000,0.055080000,0.051300000,0.046530000,0.040670000,0.034050000,0.027270000,0.020890000,0.015300000,0.010640000,0.006830000,0.003590000,0.000500000,-0.002850000,-0.006670000,-0.010900000,-0.015270000,-0.019490000,-0.023330000,-0.026650000,-0.029260000,-0.030990000,-0.031630000,-0.031000000,-0.028920000,-0.025260000,-0.020070000,-0.013630000,-0.006600000,0.000070000,0.005320000,0.008300000,0.008750000,0.007030000,0.004020000,0.000890000,-0.001090000,-0.000720000
-0.148050000,-0.118660000,-0.081560000,-0.040010000,0.001810000,0.039700000,0.070540000,0.093050000,0.107960000,0.117740000,0.126000000,0.136680000,0.153190000,0.177760000,0.211070000,0.252120000,0.298400000,0.346290000,0.391790000,0.431220000,0.461930000,0.482690000,0.493720000,0.496380000,0.492690000,0.484770000,0.474380000,0.462750000,0.450590000,0.438220000,0.425650000,0.412750000,0.399260000,0.384910000,0.369510000,0.352950000,0.335330000,0.317010000,0.298560000,0.280720000,0.264250000,0.249700000,0.237360000,0.227180000,0.218860000,0.211920000,0.205930000,0.200600000,0.195760000,0.191420000,0.187660000,0.184580000,0.182250000,0.180620000,0.179580000,0.179040000,0.178920000,0.179130000,0.179540000,0.179920000,0.179990000,0.179420000,0.177920000,0.175280000,0.171430000,0.166400000,0.160320000,0.153280000,0.145420000,0.136880000,0.127880000,0.118650000,0.109410000,0.100320000,0.091460000,0.082780000,0.074150000,0.065360000,0.056220000,0.046580000,0.036390000,0.025760000,0.014950000,0.004290000,-0.005830000,-0.015060000,-0.023150000,-0.029980000,-0.035560000,-0.040010000,-0.043570000,-0.046540000,-0.049280000,-0.052200000,-0.055690000,-0.060040000,-0.065280000,-0.071040000,-0.076550000,-0.080750000,-0.082670000
0.057510000,0.087050000,0.112170000,0.130130000,0.140820000,0.147400000,0.154760000,0.166990000,0.185920000,0.211320000,0.241710000,0.275050000,0.308930000,0.340960000,0.369060000,0.391920000,0.408920000,0.419960000,0.425140000,0.424720000,0.419210000,0.409480000,0.396750000,0.382370000,0.367510000,0.352980000,0.339140000,0.326030000,0.313480000,0.301290000,0.289250000,0.277220000,0.265160000,0.253150000,0.241350000,0.229960000,0.219190000,0.209270000,0.200350000,0.192520000,0.185830000,0.180290000,0.175870000,0.172530000,0.170220000,0.168860000,0.168360000,0.168510000,0.168980000,0.169380000,0.169430000,0.168960000,0.167970000,0.166510000,0.164620000,0.162200000,0.159070000,0.155020000,0.149970000,0.143980000,0.137320000,0.130290000,0.123210000,0.116250000,0.109490000,0.102840000,0.096170000,0.089290000,0.082120000,0.074610000,0.066830000,0.058850000,0.050710000,0.042410000,0.033830000,0.024800000,0.015150000,0.004770000,-0.006330000,-0.017990000,-0.029910000,-0.041740000,-0.053170000,-0.063940000,-0.073790000,-0.082410000,-0.089410000,-0.094330000,-0.096660000,-0.095920000,-0.091760000,-0.084010000,-0.072830000,-0.058700000,-0.042490000,-0.025410000,-0.009020000,0.004860000,0.014480000,0.018670000,0.017260000
0.038590000,0.061890000,0.081630000,0.094930000,0.100960000,0.101560000,0.100240000,0.100460000,0.104380000,0.112630000,0.124640000,0.139030000,0.154070000,0.168050000,0.179670000,0.188050000,0.192680000,0.193160000,0.189170000,0.180710000,0.168330000,0.153170000,0.136840000,0.121020000,0.107270000,0.096740000,0.089970000,0.086770000,0.086240000,0.087010000,0.087630000,0.086960000,0.084280000,0.079370000,0.072400000,0.063890000,0.054640000,0.045570000,0.037560000,0.031250000,0.026890000,0.024320000,0.023030000,0.022410000,0.021950000,0.021430000,0.020930000,0.020690000,0.021030000,0.022170000,0.024210000,0.027020000,0.030330000,0.033750000,0.036900000,0.039390000,0.040910000,0.041250000,0.040330000,0.038160000,0.034810000,0.030420000,0.025140000,0.019120000,0.012440000,0.005150000,-0.002760000,-0.011380000,-0.020830000,-0.031290000,-0.042940000,-0.055920000,-0.070230000,-0.085750000,-0.102220000,-0.119260000,-0.136420000,-0.153270000,-0.169500000,-0.184900000,-0.199250000,-0.212180000,-0.223040000,-0.231050000,-0.235530000,-0.236110000,-0.232770000,-0.225720000,-0.215290000,-0.201780000,-0.185390000,-0.166270000,-0.144530000,-0.120450000,-0.094550000,-0.067770000,-0.041710000,-0.018340000,0.000610000,0.014380000,0.023420000
0.042700000,0.133560000,0.221630000,0.293330000,0.335570000,0.341870000,0.315820000,0.269320000,0.217420000,0.173220000,0.144680000,0.133610000,0.136440000,0.146960000,0.159700000,0.172220000,0.185030000,0.199530000,0.215750000,0.231670000,0.244200000,0.250830000,0.250790000,0.244940000,0.235070000,0.223170000,0.211230000,0.201120000,0.194250000,0.191160000,0.191210000,0.192740000,0.193680000,0.192260000,0.187510000,0.179380000,0.168550000,0.156070000,0.143120000,0.130790000,0.119900000,0.110960000,0.104100000,0.099170000,0.095910000,0.094010000,0.093220000,0.093390000,0.094480000,0.096550000,0.099630000,0.103620000,0.108300000,0.113310000,0.118250000,0.122810000,0.126870000,0.130420000,0.133550000,0.136270000,0.138440000,0.139820000,0.140110000,0.139060000,0.136530000,0.132480000,0.126970000,0.120100000,0.112060000,0.103120000,0.093580000,0.083780000,0.073950000,0.064210000,0.054530000,0.044760000,0.034730000,0.024270000,0.013310000,0.001850000,-0.009990000,-0.021990000,-0.033880000,-0.045310000,-0.055950000,-0.065470000,-0.073620000,-0.080250000,-0.085260000,-0.088570000,-0.090100000,-0.089780000,-0.087530000,-0.083230000,-0.076790000,-0.068380000,-0.058750000,-0.049290000,-0.041640000,-0.037140000,-0.036300000
