V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,X100,X101
0.01801,-0.012282857,-0.0439,-0.074778776,-0.103644082,-0.131328776,-0.160800612,-0.195571429,-0.23773102,-0.286786327,-0.340033265,-0.393907347,-0.445072245,-0.490827143,-0.529052857,-0.558115102,-0.577007347,-0.585508776,-0.584232041,-0.57459449,-0.558500612,-0.537917143,-0.514551429,-0.489925714,-0.465705306,-0.443735918,-0.425635918,-0.412234286,-0.403191429,-0.397002857,-0.391486531,-0.384510204,-0.374666531,-0.361609184,-0.345939388,-0.328748571,-0.311217959,-0.294427347,-0.279478776,-0.267560816,-0.259785306,-0.256841429,-0.258575714,-0.263764082,-0.270294694,-0.275717143,-0.278139592,-0.276975102,-0.273158367,-0.26864,-0.265520408,-0.265161224,-0.267837551,-0.27290449,-0.279236122,-0.285744694,-0.291787143,-0.297294082,-0.302589796,-0.308063265,-0.31402102,-0.320710408,-0.328481633,-0.337697143,-0.34843898,-0.360249184,-0.372132245,-0.382900408,-0.391558776,-0.397611837,-0.401148571,-0.402673878,-0.402869184,-0.402416122,-0.401875306,-0.401586327,-0.401579592,-0.40154,-0.400840816,-0.398618367,-0.393902857,-0.385798776,-0.373656327,-0.357149388,-0.336294286,-0.311416735,-0.283104286,-0.252107959,-0.219205102,-0.185080612,-0.150342245,-0.115644286,-0.081936122,-0.050495306,-0.022712653,2.74E-04,0.017859388,0.030040612,0.03728,0.052163367,0.064483326
0.06854,0.060840408,0.043587755,0.019533061,-0.008693469,-0.040559796,-0.07711898,-0.119262857,-0.166523673,-0.217180612,-0.26880102,-0.31873449,-0.364229184,-0.402642653,-0.431818571,-0.450617551,-0.459293469,-0.459413878,-0.453345714,-0.443498163,-0.431743061,-0.41929,-0.406812857,-0.394568367,-0.382475714,-0.370409388,-0.358502041,-0.34714449,-0.33666,-0.326979184,-0.317648571,-0.308103469,-0.29810551,-0.287962449,-0.278308571,-0.269858571,-0.263187143,-0.258599796,-0.255947143,-0.254568571,-0.253507347,-0.251813878,-0.248888571,-0.244553673,-0.239017347,-0.232802041,-0.226676735,-0.221542857,-0.21824449,-0.21724,-0.21841102,-0.22098449,-0.224083878,-0.226914898,-0.228843469,-0.229389592,-0.228355714,-0.225988367,-0.223000204,-0.220312449,-0.218783878,-0.218984286,-0.221117959,-0.225142857,-0.230922449,-0.238258367,-0.246808571,-0.256113061,-0.265766939,-0.275554694,-0.285395714,-0.29509449,-0.30405551,-0.311264898,-0.315688367,-0.316758163,-0.314521837,-0.309361429,-0.301556939,-0.291054898,-0.277615714,-0.261078571,-0.241496122,-0.219103469,-0.19423,-0.167262653,-0.138717959,-0.109367755,-0.080347551,-0.053125102,-0.029264286,-0.010087143,0.003634898,0.011843878,0.015171429,0.014846122,0.012412041,0.009361429,0.00673,0.003987654,0.001247756
0.03294,0.013417551,-0.011391837,-0.04091551,-0.074262857,-0.110872041,-0.150863878,-0.194988571,-0.244113061,-0.298548776,-0.357456939,-0.418720816,-0.4794,-0.536472653,-0.587414286,-0.630453061,-0.664485306,-0.688966327,-0.703914082,-0.709926735,-0.708106327,-0.699862857,-0.686731837,-0.670216939,-0.651696939,-0.632380612,-0.613233673,-0.594907143,-0.577684286,-0.561498367,-0.546026939,-0.53076551,-0.515147551,-0.498630816,-0.480830408,-0.461645714,-0.441297143,-0.420276735,-0.399216735,-0.378719388,-0.359262245,-0.34116551,-0.324604286,-0.309621837,-0.296230408,-0.284440612,-0.27422551,-0.265514898,-0.258165918,-0.25202,-0.247043061,-0.243245918,-0.24072102,-0.23951,-0.239636531,-0.241043878,-0.243638571,-0.247257347,-0.251645102,-0.256502245,-0.261576939,-0.266682245,-0.271690816,-0.27649,-0.280929796,-0.284869796,-0.28816102,-0.290697347,-0.292407551,-0.293301429,-0.293455714,-0.293006735,-0.29208898,-0.29078,-0.28908102,-0.286901837,-0.284066327,-0.280315714,-0.275312653,-0.268641224,-0.259895714,-0.248730816,-0.234925306,-0.21837551,-0.199114286,-0.177285306,-0.153156531,-0.127206327,-0.100214694,-0.073253469,-0.047642245,-0.024775714,-0.005887959,0.008109184,0.016769388,0.020142449,0.01869898,0.013291224,0.00506,0.001634388,-0.003431123
0.05473,0.02432102,-0.013886327,-0.058501429,-0.10632102,-0.153324082,-0.196196327,-0.233411429,-0.265384082,-0.293858367,-0.321037959,-0.348943061,-0.378957347,-0.411683061,-0.446941429,-0.483873061,-0.521226531,-0.557723061,-0.592423878,-0.624782449,-0.65441102,-0.680685714,-0.702403265,-0.717833469,-0.725084082,-0.722670816,-0.710126735,-0.688371429,-0.659674286,-0.627112653,-0.593751429,-0.561884694,-0.532705102,-0.50641102,-0.482646122,-0.460847143,-0.440497347,-0.421179592,-0.402656327,-0.384930204,-0.368260816,-0.353075306,-0.339795714,-0.328756939,-0.320169592,-0.314105306,-0.310401224,-0.308607347,-0.308226531,-0.3089,-0.310532449,-0.313203061,-0.317111633,-0.322413265,-0.329065306,-0.336796735,-0.345125714,-0.353554286,-0.361687755,-0.369377551,-0.376720408,-0.383899184,-0.391049184,-0.398067143,-0.404576327,-0.409990612,-0.413781224,-0.415781633,-0.41637,-0.416414898,-0.417002857,-0.419042449,-0.422975918,-0.428626122,-0.435253673,-0.441760204,-0.446974898,-0.44995,-0.45007898,-0.447015714,-0.440532857,-0.430376531,-0.416226531,-0.397826531,-0.375135714,-0.348416939,-0.318166939,-0.284906531,-0.249025714,-0.210744082,-0.170300612,-0.128155714,-0.085301429,-0.043342653,-0.004565102,0.028316122,0.052474694,0.065596327,0.0667,0.085340103,0.098167429
0.0058,-0.015084898,-0.035726531,-0.053703061,-0.068736122,-0.084069796,-0.10508449,-0.135642857,-0.175467347,-0.220287143,-0.264215714,-0.302435918,-0.332737959,-0.355641837,-0.373315714,-0.387965714,-0.400542857,-0.410361837,-0.415945918,-0.416489388,-0.412930204,-0.407877143,-0.404470612,-0.404872041,-0.409263469,-0.415804286,-0.421475306,-0.42326898,-0.419131429,-0.408352245,-0.391374694,-0.369378776,-0.343873878,-0.316518163,-0.289020204,-0.26306,-0.240097959,-0.221133061,-0.206533469,-0.19594898,-0.188514286,-0.183104694,-0.17863,-0.174211429,-0.16928898,-0.16366551,-0.157380204,-0.150659796,-0.143787551,-0.13713,-0.131140612,-0.126226327,-0.122726327,-0.120785918,-0.120354286,-0.121085306,-0.12251,-0.124256939,-0.126243265,-0.128692245,-0.132011633,-0.136584286,-0.142574694,-0.149845714,-0.158062041,-0.166856327,-0.17600449,-0.185499184,-0.195511224,-0.206170408,-0.217328571,-0.228410204,-0.238539592,-0.246813878,-0.25256898,-0.255444082,-0.255365102,-0.252498571,-0.247122857,-0.239498367,-0.229725714,-0.217763265,-0.203496327,-0.186870204,-0.167981429,-0.147162245,-0.125060612,-0.102714082,-0.081539388,-0.063141429,-0.048777959,-0.038825714,-0.032554286,-0.028366939,-0.02454449,-0.019921633,-0.014326122,-0.008535918,-0.00387,0.001822857,0.007217368
0.03799,0.0136,-0.00796,-0.02346,-0.03257,-0.04019,-0.05587,-0.08985,-0.14821,-0.23038,-0.32992,-0.43736,-0.54306,-0.63934,-0.7214,-0.78705,-0.83571,-0.86736,-0.8821,-0.88029,-0.86313,-0.83307,-0.79372,-0.74921,-0.7035,-0.65978,-0.62045,-0.58705,-0.56036,-0.54042,-0.52672,-0.51846,-0.51466,-0.51395,-0.51457,-0.51455,-0.5123,-0.50686,-0.49808,-0.48642,-0.4728,-0.45832,-0.44401,-0.43065,-0.4188,-0.4088,-0.40084,-0.39493,-0.39092,-0.38848,-0.3873,-0.3871,-0.38768,-0.38887,-0.39055,-0.3925,-0.39442,-0.39598,-0.39701,-0.39766,-0.39831,-0.39934,-0.40098,-0.40326,-0.40604,-0.40899,-0.41167,-0.41359,-0.41431,-0.41349,-0.41098,-0.4069,-0.40146,-0.39493,-0.3875,-0.37934,-0.37058,-0.36133,-0.35163,-0.34148,-0.33088,-0.31991,-0.30874,-0.29751,-0.28614,-0.2741,-0.26042,-0.24385,-0.2234,-0.19878,-0.17077,-0.14122,-0.11254,-0.08697,-0.06598,-0.04999,-0.03862,-0.03088,-0.02544,-0.02078,-0.01567
0.09703,0.09244,0.08255,0.0679,0.0498,0.02984,0.00917,-0.01186,-0.03374,-0.05741,-0.08393,-0.11422,-0.14875,-0.18736,-0.22907,-0.27203,-0.31383,-0.352,-0.38461,-0.41063,-0.43003,-0.44359,-0.45262,-0.45858,-0.46282,-0.46633,-0.46964,-0.47279,-0.47542,-0.47687,-0.47638,-0.4732,-0.4667,-0.45644,-0.44225,-0.4242,-0.40259,-0.37801,-0.35129,-0.32346,-0.29565,-0.26891,-0.24406,-0.22162,-0.20185,-0.18488,-0.17081,-0.15973,-0.15175,-0.14684,-0.14477,-0.14507,-0.14702,-0.14974,-0.15241,-0.15434,-0.15515,-0.15475,-0.15334,-0.15131,-0.14914,-0.1473,-0.14617,-0.14606,-0.14729,-0.15015,-0.1549,-0.16165,-0.1703,-0.18059,-0.19216,-0.20467,-0.21785,-0.23152,-0.24556,-0.25983,-0.27409,-0.28797,-0.30097,-0.31245,-0.32171,-0.32799,-0.33047,-0.32837,-0.32105,-0.30816,-0.28977,-0.26639,-0.23883,-0.20814,-0.17544,-0.14184,-0.10847,-0.07638,-0.04658,-0.01993,0.00294,0.02182,0.03695,0.04901,0.05884
0.01668,0.0214,0.02175,0.01775,0.00938,-0.00429,-0.02487,-0.05369,-0.09096,-0.13536,-0.1842,-0.23366,-0.27943,-0.31766,-0.34582,-0.36322,-0.37081,-0.37064,-0.3651,-0.35649,-0.34668,-0.33709,-0.32863,-0.32176,-0.31647,-0.31245,-0.30912,-0.30586,-0.30207,-0.29729,-0.29114,-0.28336,-0.27373,-0.26211,-0.24853,-0.23322,-0.21663,-0.19944,-0.18241,-0.1663,-0.15171,-0.13905,-0.12848,-0.12,-0.11351,-0.10878,-0.10548,-0.10316,-0.10126,-0.09928,-0.09696,-0.09442,-0.09208,-0.09048,-0.09019,-0.09162,-0.09509,-0.10076,-0.10869,-0.11887,-0.1312,-0.1455,-0.16158,-0.17916,-0.19798,-0.21777,-0.23822,-0.25901,-0.27977,-0.30013,-0.31975,-0.33831,-0.35558,-0.37135,-0.38546,-0.39777,-0.4081,-0.41618,-0.42168,-0.42418,-0.42329,-0.4187,-0.4103,-0.39811,-0.38215,-0.3624,-0.33876,-0.31119,-0.27981,-0.24501,-0.2075,-0.16822,-0.12828,-0.08882,-0.05102,-0.01613,0.01444,0.03913,0.0566,0.06619,0.06834
0.05481,0.03045,-0.00493,-0.04767,-0.0935,-0.1391,-0.18295,-0.22524,-0.26742,-0.3113,-0.35796,-0.40705,-0.45658,-0.50348,-0.54432,-0.576,-0.59614,-0.60341,-0.59763,-0.57986,-0.55218,-0.51738,-0.47861,-0.43894,-0.40104,-0.3669,-0.33764,-0.31354,-0.2941,-0.27833,-0.26502,-0.25297,-0.24119,-0.22899,-0.21608,-0.20257,-0.189,-0.17612,-0.16475,-0.1555,-0.14863,-0.14399,-0.14108,-0.13911,-0.13729,-0.13496,-0.13178,-0.12772,-0.12308,-0.11831,-0.11394,-0.11046,-0.10829,-0.10768,-0.10878,-0.11156,-0.11587,-0.12154,-0.12845,-0.13659,-0.14612,-0.1572,-0.16997,-0.18444,-0.20059,-0.21836,-0.23768,-0.25839,-0.28024,-0.30284,-0.32569,-0.34824,-0.3699,-0.39009,-0.40825,-0.42387,-0.43653,-0.44594,-0.45208,-0.45512,-0.45527,-0.45262,-0.44704,-0.43821,-0.42581,-0.4097,-0.38986,-0.36638,-0.33933,-0.30877,-0.27483,-0.23784,-0.1985,-0.15796,-0.1178,-0.07986,-0.0461,-0.01822,0.00289,0.01738,0.02651
-0.02303,-0.06692,-0.11035,-0.14674,-0.16991,-0.1782,-0.17647,-0.17444,-0.18243,-0.20753,-0.25173,-0.31183,-0.38055,-0.44886,-0.50894,-0.55645,-0.5911,-0.61503,-0.63051,-0.63836,-0.63806,-0.62899,-0.61162,-0.58775,-0.55986,-0.53043,-0.50177,-0.47609,-0.45544,-0.44111,-0.43295,-0.42904,-0.42617,-0.42083,-0.41025,-0.39306,-0.36939,-0.34065,-0.30903,-0.27695,-0.24651,-0.21918,-0.19568,-0.17613,-0.16033,-0.148,-0.13889,-0.13287,-0.13002,-0.13057,-0.13479,-0.14271,-0.15401,-0.16801,-0.18373,-0.20008,-0.21602,-0.23085,-0.24431,-0.25662,-0.26829,-0.27999,-0.29231,-0.30573,-0.32052,-0.33676,-0.35434,-0.373,-0.39234,-0.41187,-0.43101,-0.44914,-0.46574,-0.48041,-0.49299,-0.50344,-0.51178,-0.51797,-0.52183,-0.52305,-0.52125,-0.51607,-0.50719,-0.49434,-0.47731,-0.45588,-0.42994,-0.39952,-0.36489,-0.32665,-0.28578,-0.24364,-0.20174,-0.16133,-0.12319,-0.08775,-0.05559,-0.0278,-0.00584,0.009,0.01628
