V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
36.524784000,35.791861470,34.762981240,33.568167140,32.353891290,31.197697900,30.142455070,29.171311900,28.209245630,27.208123290,26.170258830,25.085653780,23.928872140,22.689759440,21.387600630,20.070920900,18.815427830,17.693668490,16.727803220,15.888437030,15.121561690,14.368625900,13.592089310,12.770454560,11.915110970,11.031341190,10.126543250,9.222548814,8.334401102,7.460640678,6.591786492,5.732988475,4.881902627,4.034565051,3.189941017,2.343592305,1.484424068,0.610228220,-0.261209186,-1.100518102,-1.879208627,-2.600599983,-3.265893661,-3.858793627,-4.375452136,-4.845112695,-5.297991678,-5.703727932,-5.971345051,-6.007738661,-5.722589932,-5.082205492,-4.070837119,-2.693504203,-0.973332068,1.032621576,3.255179339,5.615765525,8.015459492,10.387672000,12.505225000,14.325599820,16.125275330,17.904430000,19.661886950,21.394576950,23.096119850,24.755146820,26.350943790,27.871738540,29.344893310,30.783792620,32.188660920,33.549654330,34.847722380,36.057141460,37.158780690,38.162857670,39.086454770,39.936305740,40.712112950,41.404624690,41.997409640,42.471066870,42.785411690,42.916625210,42.869809670,42.658080150,42.308256560,41.852224820,41.317953540,40.722523380,40.062494460,39.345237080,38.591036410,37.847863130,37.181420460,36.640361540,36.218009130,35.825378000,35.343672340
28.823433000,28.850352000,28.877943760,29.030990880,29.193212610,29.155830270,28.808045390,28.148326730,27.226531170,26.160327440,25.100791680,24.115544930,23.152622730,22.112059460,20.933877320,19.628188660,18.242256120,16.827101880,15.410923030,13.993338420,12.562033080,11.114844240,9.663227712,8.220665678,6.795184102,5.388839661,4.005065186,2.639709186,1.273719966,-0.118014136,-1.551055864,-3.025697390,-4.531671220,-6.039074034,-7.495594966,-8.860016492,-10.109166320,-11.232204250,-12.234044050,-13.134249240,-13.952185340,-14.695693830,-15.362300540,-15.951824630,-16.477840460,-16.966624850,-17.435996780,-17.880652440,-18.270457800,-18.556883390,-18.672162510,-18.546391540,-18.136010630,-17.432787930,-16.438396140,-15.149728710,-13.583301290,-11.762577420,-9.694893932,-7.416452000,-5.138151000,-2.968595282,-0.820812256,1.315030385,3.424019000,5.471403923,7.435172615,9.312166179,11.105571330,12.820788460,14.467641540,16.060275210,17.614926690,19.142343000,20.637977180,22.081862380,23.444649360,24.696657490,25.813342000,26.782020870,27.588875130,28.218258620,28.677597030,28.984617920,29.146210230,29.169923900,29.071488330,28.874674460,28.612817080,28.328040330,28.062740920,27.856152310,27.742265950,27.733462080,27.812079100,27.958212670,28.162943310,28.393956820,28.592018000,28.694767000,28.909304350
39.167389000,39.007192170,38.832815320,38.740777780,38.725253590,38.706936980,38.588697680,38.309780070,37.866434560,37.289694590,36.600680690,35.805763610,34.934325580,34.003439100,33.023670460,32.014048810,30.995330150,29.976013750,28.952198100,27.918585140,26.876494220,25.832722860,24.803244140,23.802815410,22.835321470,21.895808020,20.980122140,20.084271200,19.199581880,18.324831420,17.460447930,16.603765730,15.755875810,14.919779880,14.093418660,13.269368640,12.445502680,11.632835390,10.844669780,10.089967610,9.378701475,8.711983085,8.088255814,7.503618763,6.952634475,6.439248271,6.002257932,5.718517441,5.662922831,5.868079881,6.339185441,7.031395898,7.928790186,9.035787814,10.348365970,11.831535800,13.429161340,15.092601900,16.787418630,18.488361000,20.020086000,21.332797230,22.618690900,23.873555920,25.093083790,26.272393640,27.406770230,28.493761870,29.536294280,30.541522310,31.513124820,32.443929330,33.327823690,34.161223330,34.941520050,35.664409770,36.319915820,36.899881360,37.405597850,37.831166260,38.173714950,38.435154690,38.620579260,38.733534640,38.760558540,38.703800560,38.576820670,38.392114080,38.170895970,37.943372770,37.746238150,37.617530050,37.603761790,37.702169690,37.889333770,38.132174330,38.392414460,38.630915080,38.811450820,38.905922000,39.115440180
34.761364000,34.303548220,33.851882760,33.586579200,33.504073750,33.429804390,33.148505510,32.546116140,31.649448140,30.561240190,29.370305880,28.110693360,26.790787080,25.425696780,24.035644440,22.639355410,21.257193470,19.901458580,18.563195970,17.227838150,15.896765760,14.595937220,13.348153730,12.167124310,11.058303490,10.018463900,9.036688678,8.098847458,7.186702847,6.274175186,5.345944288,4.403248559,3.449798034,2.490328102,1.522451729,0.541754271,-0.453355288,-1.471885559,-2.515569390,-3.556702373,-4.557869898,-5.496240797,-6.363829237,-7.161158847,-7.887829525,-8.546079220,-9.142066373,-9.672130746,-10.082229800,-10.265995830,-10.127429660,-9.643955780,-8.860059339,-7.836672712,-6.603517322,-5.147471814,-3.441964864,-1.494798763,0.635683034,2.873153000,5.054340000,7.144724256,9.235432487,11.306063080,13.335651640,15.310453440,17.228721850,19.091722050,20.896962080,22.640510920,24.323049150,25.949851330,27.524591460,29.043792000,30.496040310,31.866229380,33.139646330,34.296237900,35.313695000,36.174851540,36.863959460,37.372000310,37.693777560,37.834007900,37.806954000,37.615642590,37.267134330,36.784879850,36.210115030,35.606622770,35.057908380,34.645430850,34.416201820,34.363581540,34.436564210,34.566399100,34.688291380,34.742425540,34.664017230,34.400082000,34.387944930
38.146709000,38.527888880,38.452905220,38.104073120,37.822798140,37.835017390,38.065801900,38.245397200,38.134201950,37.653780320,36.852073920,35.836424460,34.736480240,33.649372470,32.600992390,31.581944250,30.580967410,29.575180730,28.550751540,27.491972150,26.365508810,25.160815460,23.901296490,22.605698120,21.290781490,19.979829240,18.687208760,17.425431050,16.203953660,15.024391100,13.880361810,12.781607460,11.747269360,10.784001760,9.876160542,8.994047881,8.120993695,7.252060542,6.393556322,5.560884186,4.769593729,4.039769864,3.399916000,2.863560068,2.407996102,2.002646136,1.652487237,1.382670220,1.227661898,1.221463949,1.418564186,1.903999424,2.746331898,3.958931695,5.525870068,7.418288814,9.575935932,11.903315150,14.286829150,16.639709000,18.740269000,20.567919640,22.376171440,24.182555690,25.987980620,27.777858640,29.524381460,31.196012490,32.774679050,34.271425230,35.707967920,37.086498770,38.400855690,39.638772000,40.798586620,41.881032690,42.875605620,43.761803560,44.524754080,45.166730740,45.681856260,46.076026620,46.354781130,46.507789850,46.520182540,46.371268970,46.038728330,45.500768850,44.739468080,43.761078310,42.582044080,41.250133540,39.828714440,38.441080920,37.277571050,36.523888050,36.276123230,36.488614820,36.982558870,37.515179000,37.868396820
36.000550000,35.582602540,35.382636440,35.426904410,35.588909660,35.691091190,35.603363560,35.273817970,34.712885760,33.968031690,33.103684580,32.183012200,31.251041020,30.327967290,29.412750170,28.488198980,27.527898140,26.508184410,25.417982370,24.259653560,23.047137800,21.806400170,20.570806950,19.370935420,18.229371190,17.161444750,16.173612030,15.259597630,14.403798310,13.596674070,12.845782710,12.159920000,11.527830170,10.921524070,10.311610340,9.679874915,9.018328305,8.320287458,7.576693559,6.780347458,5.930689831,5.031657119,4.086669661,3.099176271,2.076594915,1.033940678,-0.000204000,-0.973858644,-1.803041864,-2.377486949,-2.594629322,-2.411788644,-1.875263220,-1.094473898,-0.179768644,0.805762542,1.851600000,2.975535254,4.202260678,5.556990000,7.009450000,8.518050000,10.122230000,11.782023000,13.457166000,15.116700000,16.741815000,18.324247500,19.864254000,21.367371500,22.838295000,24.275293000,25.669482000,27.008514500,28.280974000,29.479100000,30.600062000,31.646897000,32.628063000,33.553331000,34.427920000,35.245091000,35.994987000,36.657123000,37.203734000,37.605242500,37.839177000,37.897985000,37.794736000,37.566831000,37.275180000,36.993996000,36.790048000,36.699334500,36.713660000,36.783502500,36.833878000,36.786753500,36.586723000,36.229724000,35.786910000
44.209640000,44.206783730,44.198728980,44.211616270,44.287781860,44.461272200,44.721093560,44.986031690,45.114683050,44.958946440,44.438111360,43.584613390,42.522863560,41.396589830,40.300264070,39.252022030,38.204465080,37.091381690,35.866623730,34.512516950,33.033397970,31.446522880,29.779013220,28.066498810,26.345566440,24.643693560,22.977407630,21.358794070,19.800405760,18.313283390,16.904367120,15.567854410,14.286138140,13.039123730,11.809308810,10.587794750,9.377447966,8.192845085,7.054995763,5.981844576,4.981233729,4.050912203,3.183895932,2.374063729,1.618489322,0.919578644,0.279832034,-0.288051695,-0.753557627,-1.066164915,-1.162219153,-0.981474746,-0.485927627,0.330128814,1.442691017,2.808327966,4.376337797,6.099206271,7.937775932,9.859720000,11.711050000,13.401745000,15.102712000,16.807119000,18.508686000,20.199490000,21.868954000,23.504401000,25.092778000,26.622706000,28.085890000,29.468146000,30.777154000,32.014447000,33.183118000,34.287330000,35.331734000,36.320726000,37.257494000,38.143063000,38.976040000,39.745684000,40.454208000,41.095970000,41.663810000,42.150560000,42.551498000,42.866597000,43.101810000,43.269106000,43.385530000,43.470742000,43.550514000,43.639098000,43.742442000,43.856660000,43.968926000,44.061230000,44.116510000,44.125791000,44.094120000
35.137700000,34.839835080,34.650887630,34.599650170,34.663168140,34.779618140,34.864257800,34.826006780,34.591620340,34.129006610,33.452593050,32.606550850,31.637536610,30.573839320,29.421237630,28.175162200,26.838694410,25.433328640,23.996644920,22.570611860,21.188432200,19.866384070,18.602552540,17.381499660,16.183594580,14.993769150,13.802583730,12.600209660,11.371857800,10.100458140,8.773802203,7.388942373,5.950998644,4.470657288,2.963060678,1.446712373,-0.057652373,-1.526522203,-2.932155085,-4.243192712,-5.429114746,-6.467699831,-7.351640169,-8.088296271,-8.691652203,-9.172816610,-9.534837627,-9.771589153,-9.866905763,-9.792011356,-9.505102881,-8.959349492,-8.121293898,-6.990995593,-5.608557966,-4.039674915,-2.350486441,-0.588130339,1.225347966,3.087170000,4.971160000,6.865263250,8.817924500,10.822798250,12.856628000,14.878283750,16.840889500,18.711249250,20.482460000,22.170385500,23.798242500,25.381234750,26.920085000,28.405067000,29.824114500,31.167133750,32.424796000,33.585028250,34.631462000,35.545923500,36.313270000,36.925510000,37.383926500,37.699253750,37.888894000,37.971306250,37.962224500,37.876847000,37.735283000,37.564822000,37.395510000,37.251518250,37.144390000,37.071635250,37.018455000,36.960036250,36.865847000,36.709203500,36.481755000,36.206547500,35.940080000
26.691650000,26.680270000,26.792660000,27.007780000,27.247410000,27.405320000,27.382380000,27.108180000,26.548700000,25.703400000,24.598090000,23.279000000,21.805390000,20.237880000,18.625640000,16.995660000,15.346930000,13.660450000,11.926180000,10.161970000,8.406560000,6.698250000,5.057920000,3.483860000,1.957370000,0.454610000,-1.041130000,-2.531800000,-4.006760000,-5.452600000,-6.858700000,-8.214560000,-9.507950000,-10.731560000,-11.893240000,-13.020020000,-14.152330000,-15.330710000,-16.580980000,-17.905670000,-19.283550000,-20.675980000,-22.038000000,-23.329480000,-24.520060000,-25.587320000,-26.514150000,-27.287320000,-27.894820000,-28.320360000,-28.536160000,-28.498320000,-28.151470000,-27.444330000,-26.349900000,-24.881460000,-23.097630000,-21.092290000,-18.969880000,-16.816670000,-14.682300000,-12.578420000,-10.492120000,-8.404560000,-6.304240000,-4.191300000,-2.076460000,0.022850000,2.089830000,4.116830000,6.108300000,8.074160000,10.018720000,11.935790000,13.814160000,15.646750000,17.432280000,19.167330000,20.837730000,22.418100000,23.879070000,25.195010000,26.346970000,27.322810000,28.117690000,28.732440000,29.169170000,29.427760000,29.507620000,29.413820000,29.161410000,28.776020000,28.294360000,27.764960000,27.242870000,26.775690000,26.389070000,26.083420000,25.846200000,25.674800000,25.594740000
38.331760000,37.785821530,37.122186100,36.476511530,35.982568640,35.690407460,35.527416610,35.333177290,34.941047120,34.249296270,33.246906950,31.997140340,30.599813900,29.151667460,27.718712200,26.328571020,24.979203730,23.651250680,22.317170000,20.949096270,19.526715930,18.042446100,16.501042710,14.915635930,13.306154410,11.700616780,10.132922200,8.636039322,7.235635424,5.946574407,4.772848814,3.703040847,2.711673559,1.762404746,0.809877627,-0.189066441,-1.262701356,-2.418214407,-3.642467797,-4.904765763,-6.159941525,-7.354578983,-8.436701017,-9.365113729,-10.115402880,-10.681343220,-11.071115930,-11.298367630,-11.369781360,-11.274366610,-10.980908640,-10.445679660,-9.627711864,-8.505886102,-7.091449661,-5.429649492,-3.585795424,-1.619357797,0.437615254,2.581650000,4.747340000,6.889400000,9.096314000,11.338697500,13.577534000,15.771810000,17.886752000,19.899701500,21.802080000,23.597900500,25.299740000,26.922991500,28.480208000,29.978026000,31.417875000,32.799060000,34.121248000,35.384540000,36.587704000,37.726098500,38.790450000,39.760808500,40.621709000,41.348170000,41.911562000,42.286582500,42.459946000,42.435790500,42.236834000,41.902460000,41.484460000,41.040589500,40.626376000,40.285940000,40.043307000,39.896365000,39.814864000,39.742723000,39.605895000,39.328732500,38.858340000
