V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, V100, 
9.050554000,11.015276540,13.007854680,15.034267560,17.180668750,19.338135190,21.286686810,22.855301690,24.019655420,24.841676050,25.349743200,25.534851810,25.411473200,25.037567850,24.494436530,23.829856050,23.048865680,22.146993830,21.135378780,20.042631140,18.883913120,17.688254640,16.515677470,15.416518530,14.396557560,13.442981970,12.554928610,11.743433930,11.011417050,10.358025360,9.776808458,9.250553712,8.775639119,8.355014780,7.983659373,7.667816864,7.426548610,7.270673390,7.214921475,7.282065610,7.507089949,7.908996559,8.495916186,9.273365322,10.249605730,11.420930540,12.785629250,14.365999800,16.197915490,18.316852440,20.744431590,23.496686680,26.568683490,29.926687810,33.527408800,37.303900290,41.162125850,44.978438150,48.625330220,52.019512000,54.965496000,57.475554180,59.706296210,61.625057150,63.180593560,64.342874410,65.126069080,65.574453490,65.724329130,65.594156850,65.183696210,64.473865950,63.449224150,62.119654670,60.511792720,58.666722850,56.648743280,54.486928330,52.145584310,49.594864080,46.831706920,43.867442690,40.722188770,37.424882900,34.014332540,30.526605560,26.997780670,23.478967460,20.035237440,16.740719970,13.679995380,10.942657590,8.612067000,6.761386923,5.453970564,4.737253718,4.632813154,5.131929256,6.181322128,7.655090000,7.882936113
12.967862000,14.281395800,15.026053900,15.544581860,16.394224860,17.647919000,18.948851190,19.986277150,20.674340810,21.020366800,21.005246710,20.663954390,20.145370000,19.575785020,18.962943590,18.255069540,17.422714200,16.464579930,15.395393290,14.265469810,13.128526290,12.003743900,10.891089750,9.786374441,8.701010000,7.674100915,6.733807610,5.885190288,5.139220136,4.507369441,3.987944780,3.573773136,3.260487712,3.034157712,2.872234458,2.763734661,2.721504966,2.772153847,2.939592373,3.240186678,3.685711237,4.297099746,5.097061610,6.098280407,7.314915644,8.771849288,10.482468580,12.444995800,14.673199120,17.198454810,20.041111660,23.194404800,26.638570920,30.345873410,34.276159000,38.383817000,42.575470080,46.680091810,50.534501590,54.048618000,57.087280000,59.710649950,62.024520590,64.040028850,65.736510100,67.076232410,68.046896380,68.661737100,68.937342670,68.876355540,68.471022870,67.720491130,66.642922770,65.265594000,63.609832310,61.682353380,59.473081360,56.984302950,54.246799540,51.297298410,48.158279670,44.836729620,41.342134180,37.708361360,33.989783000,30.251214950,26.565041670,22.991011770,19.569051640,16.352958560,13.446657850,10.991443030,9.115471333,7.898120000,7.374743436,7.552896923,8.417146231,9.824222179,11.479353620,13.085979000,14.310431050
3.887193000,4.640480000,5.301334000,6.073267000,7.196634000,8.648717000,10.131956000,11.328516000,12.198038000,12.956430000,13.750713000,14.475477000,14.928249000,14.994297000,14.667255000,14.013744000,13.156708000,12.205253000,11.206036000,10.211763000,9.315409000,8.587887000,8.005532000,7.476481000,6.938283000,6.398589000,5.883962000,5.415656000,5.003973000,4.651910000,4.365794000,4.148242000,4.002197000,3.936163000,3.954652000,4.050450000,4.204533000,4.391438000,4.596910000,4.827441000,5.091890000,5.399207000,5.767127000,6.208454000,6.732143000,7.366184000,8.157215000,9.150281000,10.373162000,11.844269000,13.596260000,15.664967000,18.071976000,20.837786000,23.962261000,27.374245000,30.927206000,34.458847000,37.857281000,41.067509000,44.054367000,46.839451210,49.325009360,51.584263850,53.764972870,55.953435310,58.086455150,59.992625920,61.505002130,62.529032460,63.038941180,63.051449380,62.594241690,61.706399670,60.450272490,58.893239540,57.078272150,55.034563720,52.793231150,50.368519510,47.745649260,44.904054920,41.851416870,38.617883740,35.249975850,31.790549950,28.274500000,24.733676380,21.201296080,17.720609620,14.355897310,11.194886030,8.342095872,5.913644231,4.032261205,2.812320692,2.312426231,2.472802538,3.112544590,3.928556000,3.837506703
8.312963000,9.907479881,10.695428460,11.111280830,11.755240730,12.752873930,13.824027800,14.684476560,15.287556290,15.702843810,15.894694390,15.768463050,15.331392440,14.687334510,13.939796170,13.135601050,12.279800540,11.392575950,10.504016120,9.617294000,8.745761441,7.904469746,7.112825169,6.403368729,5.772835288,5.228589119,4.824675542,4.591604186,4.499746898,4.496070864,4.539057356,4.603049627,4.674504627,4.742028525,4.794378576,4.835928203,4.908471712,5.081186390,5.402298949,5.860135966,6.441908932,7.178159814,8.066931136,9.084486746,10.224342140,11.500152340,12.939359320,14.589331030,16.500327980,18.741885710,21.379178860,24.412023290,27.762959660,31.291595170,34.872592860,38.449718460,42.000600320,45.495974370,48.898772470,52.148930000,55.013664000,57.461174150,59.623568030,61.476074460,62.986344000,64.122026050,64.860319150,65.211519310,65.239573050,65.021686460,64.601795970,63.990974410,63.174617080,62.100378670,60.686524950,58.871683770,56.664896970,54.138476080,51.378774080,48.404007210,45.146682790,41.570163920,37.701344950,33.614210870,29.431211150,25.261465490,21.160798000,17.143326000,13.232579900,9.508781872,6.136221385,3.350316462,1.396024821,0.429329615,0.433980436,1.239491897,2.632881615,4.424235641,6.410498897,8.300531000,9.971436456
6.284713000,6.497707186,5.926164508,5.427654254,5.643205153,6.363457949,7.253503017,8.075771746,8.601358780,8.732586559,8.568040678,8.237797949,7.813505932,7.300139525,6.707045373,6.115062356,5.650752593,5.408282339,5.388806356,5.537992288,5.817677407,6.183953678,6.568797508,6.927905390,7.257004136,7.542076339,7.777831898,7.958927610,8.067528034,8.109071814,8.105229000,8.057517305,7.960909000,7.853927814,7.783819627,7.767164424,7.815939102,7.957878424,8.220834949,8.620912237,9.180031153,9.896224458,10.772438880,11.824214250,13.051904020,14.448807610,16.017299560,17.768175030,19.735291190,21.993260150,24.665197880,27.807663980,31.427448360,35.426421030,39.621882950,43.834078970,47.939846610,51.801888900,55.222921190,58.162064000,60.570602000,62.555440050,64.384023130,65.981868770,67.303632230,68.335219770,69.086819540,69.581912770,69.841798310,69.866000380,69.689419720,69.306262380,68.699703150,67.853047670,66.754787410,65.398541230,63.766623180,61.863386150,59.734834770,57.395379540,54.841056740,52.055241460,49.024072690,45.755009820,42.258395770,38.589789740,34.815214000,30.997438540,27.196628490,23.467306490,19.861331310,16.434963540,13.289573850,10.469303380,8.091921256,6.351510128,5.401705231,5.247709897,5.681866615,6.303112000,5.852190313
18.436320000,19.452120000,20.518151190,22.010915590,23.969234580,26.083656440,28.008390850,29.611675760,30.956198310,32.129795590,33.139177800,33.933173900,34.465764750,34.716350850,34.682741690,34.384370340,33.861488470,33.155356950,32.295668640,31.313393220,30.259085760,29.201204750,28.205248310,27.313385590,26.538641860,25.874594240,25.310855930,24.841764070,24.464610680,24.173013900,23.954062540,23.786540170,23.644088310,23.500178310,23.333152030,23.132307460,22.900066100,22.648486440,22.393676950,22.151885930,21.939914920,21.778677800,21.695431360,21.722111530,21.891708980,22.235732200,22.783542370,23.564225930,24.610695420,25.960600170,27.647290170,29.682172030,32.037168640,34.637091020,37.371806100,40.130961530,42.847673050,45.521833050,48.195925930,50.888900000,53.456830000,55.757920000,57.835324000,59.639495500,61.149392000,62.351002500,63.229455000,63.775308500,63.989704000,63.880648000,63.456780000,62.727744500,61.710894000,60.435524500,58.938299000,57.252502500,55.398322000,53.379399500,51.187971000,48.816262500,46.265940000,43.537559000,40.645495000,37.584656500,34.350744000,30.956502500,27.444971000,23.898474500,20.442932000,17.243020000,14.481660000,12.326144000,10.894824000,10.238494500,10.338342000,11.111145000,12.413116000,14.042870000,15.753670000,17.291887000,18.479140000
19.088920000,21.963170000,24.858950000,27.537900000,29.832250000,31.666530000,33.041310000,34.005550000,34.633490000,35.006200000,35.193640000,35.240070000,35.159880000,34.946250000,34.585510000,34.068530000,33.395510000,32.575360000,31.622910000,30.556740000,29.398570000,28.171860000,26.898270000,25.594520000,24.273690000,22.949910000,21.640990000,20.366300000,19.142690000,17.982740000,16.895320000,15.887350000,14.965480000,14.137410000,13.413860000,12.810970000,12.351380000,12.061670000,11.966340000,12.081440000,12.410790000,12.945660000,13.667470000,14.552120000,15.573910000,16.708550000,17.936780000,19.248950000,20.648870000,22.156280000,23.807530000,25.653400000,27.751230000,30.150340000,32.873500000,35.901340000,39.169090000,42.580920000,46.035610000,49.446790000,52.746040000,55.875170000,58.780670000,61.416790000,63.752950000,65.775570000,67.478240000,68.847060000,69.854370000,70.466140000,70.655050000,70.409080000,69.731990000,68.638970000,67.150950000,65.290400000,63.079670000,60.541350000,57.698890000,54.577650000,51.207950000,47.631270000,43.905580000,40.103860000,36.305480000,32.585040000,29.002960000,25.601250000,22.410110000,19.460790000,16.794960000,14.466430000,12.537900000,11.075270000,10.140450000,9.782010000,10.026420000,10.874800000,12.304140000,14.263410000,16.655590000
8.383000000,10.386550000,12.519610000,14.744730000,16.960570000,19.013670000,20.776320000,22.207590000,23.342800000,24.233480000,24.901910000,25.341970000,25.541810000,25.498050000,25.220630000,24.734480000,24.074640000,23.275570000,22.363350000,21.353560000,20.253880000,19.071350000,17.820930000,16.527490000,15.219810000,13.923560000,12.657480000,11.432200000,10.252930000,9.125130000,8.058540000,7.066800000,6.165130000,5.369550000,4.696370000,4.161220000,3.779030000,3.563810000,3.526740000,3.673220000,4.000630000,4.498320000,5.151010000,5.943940000,6.866320000,7.911770000,9.077480000,10.364530000,11.780110000,13.339980000,15.070260000,17.008360000,19.198370000,21.675110000,24.441820000,27.456050000,30.634100000,33.876110000,37.104970000,40.291850000,43.442910000,46.557630000,49.594620000,52.469210000,55.078140000,57.328180000,59.150360000,60.501310000,61.363450000,61.748720000,61.702200000,61.294300000,60.595730000,59.652550000,58.479210000,57.066580000,55.394610000,53.445950000,51.216890000,48.720780000,45.985860000,43.051130000,39.958670000,36.744240000,33.430390000,30.026520000,26.538100000,22.980210000,19.388940000,15.828060000,12.392110000,9.206730000,6.424530000,4.211840000,2.721820000,2.055670000,2.225030000,3.135810000,4.607780000,6.427820000,8.419020000
9.466420000,10.850703050,12.226581020,13.680189490,15.207408140,16.705019320,18.040836780,19.129096440,19.952416440,20.532732710,20.891652710,21.030174410,20.930373220,20.569670850,19.938183900,19.051362540,17.952873390,16.705801860,15.375657630,14.015496950,12.660862880,11.332542200,10.041587290,8.793843559,7.593029322,6.441697119,5.341234237,4.293552542,3.305579322,2.393054576,1.578238136,0.881223559,0.311462881,0.173630678,0.463925254,0.688868644,0.815491864,0.847135254,0.782388136,0.612974576,0.323687119,0.189182373,0.683284068,1.424283729,2.331529661,3.412157119,4.679693220,6.153785424,7.856614915,9.810650169,12.039467630,14.567817120,17.415728140,20.586367460,24.053723050,27.757802370,31.611000510,35.514812370,39.379244920,43.134450000,46.788660000,50.316062750,53.580971000,56.531307500,59.112399000,61.282647500,63.025816000,64.347892500,65.262212000,65.777439250,65.896325000,65.622450500,64.967432000,63.953689000,62.612087000,60.976147500,59.076030000,56.935387750,54.571446500,51.995497250,49.212330000,46.220953000,43.020231500,39.620098250,36.052634000,32.373108750,28.646708000,24.930415750,21.264940000,17.683740000,14.236572500,11.015264500,8.164600000,5.865049750,4.287963500,3.539358750,3.614635000,4.382637750,5.610273000,7.031571000,8.445840000
19.637950000,20.904632030,21.897546610,22.566583560,22.916041190,22.992112370,22.862747460,22.593468470,22.228433900,21.784477290,21.258299150,20.640610340,19.928485420,19.129458310,18.257209490,17.324837970,16.342278980,15.318856610,14.266603900,13.200224580,12.134952710,11.084661360,10.058465420,9.062472203,8.100190169,7.174156780,6.288773729,5.452250508,4.675706102,3.970287797,3.344786780,2.805859831,2.360389661,2.017620169,1.789331356,1.688090339,1.724710678,1.906303729,2.235611525,2.711066102,3.332447797,4.089936949,4.977590000,5.999543898,7.169369831,8.510607797,10.056376270,11.847701020,13.929318310,16.342755250,19.117759660,22.263500680,25.760571360,29.554893390,33.556475250,37.647776270,41.703270850,45.613384070,49.300487970,52.720930000,56.005490000,59.152487000,61.889984000,64.184596750,66.009810000,67.359160000,68.247472000,68.700157750,68.738746000,68.371868500,67.596945000,66.410259250,64.817803000,62.841782250,60.510572500,57.893863750,55.060020000,52.054515500,48.895877500,45.576795750,42.075305000,38.369539750,34.450309500,30.333246250,26.076372000,21.801318750,17.703249000,14.051567000,11.152243000,9.198663000,8.283647500,8.337582000,9.129866000,10.326162500,11.600394500,12.765685000,13.845890000,15.011633500,16.404452500,17.997478000,19.609730000
