V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
-0.001030000,-0.002062653,-0.004241837,-0.007586122,-0.011707755,-0.016014898,-0.019859796,-0.022798571,-0.024716122,-0.025780204,-0.026359796,-0.026842449,-0.027517959,-0.028503061,-0.029767143,-0.031191633,-0.032571633,-0.033684490,-0.034300816,-0.034222857,-0.033280000,-0.031372857,-0.028508367,-0.024798367,-0.020465714,-0.015833061,-0.011255918,-0.007051020,-0.003437143,-0.000477551,0.001916327,0.003945714,0.005880816,0.007987959,0.010487143,0.013508571,0.017081633,0.021130816,0.025503469,0.029990000,0.034359388,0.038436735,0.042114286,0.045419388,0.048467959,0.051488367,0.054724694,0.058373061,0.062585306,0.067390000,0.072745306,0.078522449,0.084596531,0.090887551,0.097379388,0.104112449,0.111198571,0.118789592,0.127046122,0.136076735,0.145917551,0.156442857,0.167432449,0.178601429,0.189763673,0.200885714,0.212101429,0.223609184,0.235590204,0.248135102,0.261211429,0.274642449,0.288170000,0.301503469,0.314340204,0.326420204,0.337548163,0.347577143,0.356403469,0.363899388,0.369855102,0.373961224,0.375793469,0.374808571,0.370401429,0.362007959,0.349162449,0.331623673,0.309404898,0.282825306,0.252553673,0.219547143,0.184945510,0.150050816,0.116162041,0.084583265,0.056447143,0.032652449,0.013760000,-0.016299490,-0.041972980
-0.033470000,-0.046730816,-0.058133673,-0.065960408,-0.069266531,-0.067957347,-0.062827143,-0.055370000,-0.047478163,-0.040995714,-0.037312041,-0.037049592,-0.039983061,-0.045274082,-0.051872857,-0.058843265,-0.065528163,-0.071477551,-0.076353061,-0.079878776,-0.081819592,-0.082052857,-0.080633265,-0.077851633,-0.074174898,-0.070195306,-0.066517755,-0.063638571,-0.061912857,-0.061496939,-0.062358163,-0.064331429,-0.067158776,-0.070546939,-0.074233469,-0.078031429,-0.081840408,-0.085669184,-0.089583469,-0.093665510,-0.097934898,-0.102366531,-0.106825714,-0.111162041,-0.115208980,-0.118879388,-0.122127143,-0.124957755,-0.127391633,-0.129400000,-0.130930612,-0.131938367,-0.132366327,-0.132267551,-0.131700204,-0.130766735,-0.129537143,-0.128045714,-0.126263469,-0.124067551,-0.121293673,-0.117726327,-0.113177143,-0.107491429,-0.100602653,-0.092522245,-0.083366327,-0.073337347,-0.062694898,-0.051725510,-0.040681429,-0.029732857,-0.018960204,-0.008335714,0.002225510,0.012797755,0.023378571,0.033875714,0.044095510,0.053764898,0.062540408,0.070046531,0.075958980,0.080098571,0.082434286,0.083072245,0.082168571,0.079866939,0.076297347,0.071570816,0.065793469,0.059062857,0.051535918,0.043391429,0.034910816,0.026466327,0.018459184,0.011341633,0.005480000,-0.002864306,-0.010262938
-0.046630000,-0.065805714,-0.085029388,-0.102585306,-0.117017143,-0.127268163,-0.132787755,-0.133585714,-0.130134694,-0.123267347,-0.114004082,-0.103401020,-0.092416531,-0.081812041,-0.072084286,-0.063465918,-0.055916122,-0.049209388,-0.043001633,-0.036911837,-0.030611837,-0.023881429,-0.016636531,-0.008904082,-0.000812245,0.007442857,0.015664898,0.023668367,0.031307143,0.038500000,0.045218367,0.051495918,0.057409388,0.063050408,0.068535306,0.073955714,0.079378571,0.084860000,0.090398776,0.095949796,0.101476327,0.106904694,0.112184286,0.117255102,0.122107347,0.126741020,0.131184286,0.135488163,0.139754694,0.144080000,0.148563878,0.153267959,0.158232857,0.163466735,0.168947347,0.174640408,0.180497143,0.186494694,0.192606735,0.198841429,0.205232245,0.211791429,0.218556122,0.225515714,0.232653469,0.239927755,0.247271429,0.254606531,0.261848163,0.268919592,0.275765714,0.282344082,0.288631020,0.294616735,0.300274898,0.305557755,0.310368571,0.314551429,0.317896327,0.320145306,0.320990816,0.320123469,0.317252857,0.312120204,0.304517143,0.294333469,0.281532653,0.266163265,0.248323469,0.228160204,0.205866122,0.181728571,0.156204490,0.129925714,0.103715510,0.078497959,0.055216531,0.034717755,0.017680000,-0.006789816,-0.028374939
-0.019470000,-0.028346735,-0.036605918,-0.042810408,-0.045644286,-0.044091224,-0.037625510,-0.026340000,-0.011009388,0.007060408,0.026219592,0.044697755,0.060916122,0.073643673,0.082180000,0.086384082,0.086617551,0.083565510,0.078052857,0.070900408,0.062812653,0.054364286,0.046036122,0.038270408,0.031457347,0.025916531,0.021876122,0.019390204,0.018325714,0.018392245,0.019180000,0.020262245,0.021283878,0.021980408,0.022208571,0.021937143,0.021210204,0.020091429,0.018675510,0.017020816,0.015169796,0.013148163,0.010942857,0.008541429,0.005969184,0.003239592,0.000428980,-0.002348980,-0.004928571,-0.007160000,-0.008861633,-0.009915102,-0.010247347,-0.009814286,-0.008679592,-0.006914286,-0.004647143,-0.002012857,0.000873673,0.003916531,0.007069388,0.010323265,0.013715306,0.017307143,0.021183673,0.025413469,0.030035306,0.035087551,0.040592449,0.046588367,0.053107143,0.060180612,0.067821837,0.076044694,0.084886531,0.094373878,0.104533469,0.115351429,0.126745102,0.138534898,0.150430408,0.162024286,0.172786122,0.182087347,0.189220000,0.193459184,0.194143673,0.190745306,0.182974898,0.170846327,0.154728980,0.135325714,0.113655102,0.090887755,0.068294898,0.047113673,0.028392857,0.012916939,0.001070000,-0.019036286,-0.035900939
-0.006710000,-0.009081837,-0.010098163,-0.009166327,-0.005920612,-0.000361429,0.007054082,0.015421429,0.023628776,0.030683878,0.035900204,0.038995510,0.040041633,0.039362245,0.037478571,0.035089796,0.032964082,0.031820204,0.032210000,0.034357551,0.038088163,0.042900000,0.048114286,0.053051633,0.057188776,0.060255102,0.062224082,0.063241633,0.063548571,0.063416122,0.063083469,0.062743878,0.062525510,0.062510408,0.062758980,0.063288571,0.064106531,0.065200816,0.066550204,0.068133469,0.069904898,0.071803061,0.073747143,0.075652245,0.077451429,0.079081020,0.080543061,0.081838571,0.083036122,0.084210000,0.085437755,0.086835714,0.088501837,0.090570000,0.093126122,0.096260816,0.100018571,0.104375714,0.109234898,0.114487959,0.120036122,0.125874490,0.132114490,0.138970000,0.146692449,0.155443469,0.165270000,0.176074898,0.187654490,0.199744286,0.212064286,0.224346327,0.236332041,0.247798571,0.258553673,0.268454082,0.277394490,0.285272857,0.291931020,0.297122857,0.300504898,0.301642857,0.300069796,0.295297959,0.286914286,0.274598776,0.258227959,0.237942653,0.214217755,0.187836122,0.159897755,0.131655714,0.104374694,0.079173878,0.056907551,0.038083061,0.022898776,0.011230612,0.002780000,-0.014152265,-0.027663020
-0.028130000,-0.039610000,-0.050840000,-0.059800000,-0.064600000,-0.063970000,-0.057770000,-0.047100000,-0.034110000,-0.021500000,-0.011830000,-0.006850000,-0.007140000,-0.012050000,-0.020060000,-0.029270000,-0.037840000,-0.044370000,-0.048030000,-0.048540000,-0.046030000,-0.040960000,-0.033940000,-0.025660000,-0.016770000,-0.007790000,0.000930000,0.009260000,0.017140000,0.024570000,0.031490000,0.037840000,0.043560000,0.048690000,0.053410000,0.057980000,0.062730000,0.067910000,0.073660000,0.079990000,0.086770000,0.093790000,0.100820000,0.107660000,0.114190000,0.120350000,0.126140000,0.131650000,0.136970000,0.142260000,0.147610000,0.153120000,0.158840000,0.164800000,0.171040000,0.177600000,0.184510000,0.191820000,0.199520000,0.207570000,0.215830000,0.224140000,0.232350000,0.240370000,0.248170000,0.255810000,0.263380000,0.271020000,0.278840000,0.286910000,0.295260000,0.303860000,0.312660000,0.321610000,0.330610000,0.339550000,0.348250000,0.356490000,0.363980000,0.370390000,0.375410000,0.378760000,0.380170000,0.379430000,0.376300000,0.370610000,0.362170000,0.350820000,0.336390000,0.318700000,0.297610000,0.273080000,0.245250000,0.214530000,0.181650000,0.147670000,0.113880000,0.081750000,0.052790000,0.028350000,0.009380000
-0.054200000,-0.070700000,-0.085500000,-0.097170000,-0.105030000,-0.109100000,-0.109990000,-0.108650000,-0.106150000,-0.103520000,-0.101640000,-0.101140000,-0.102420000,-0.105590000,-0.110490000,-0.116690000,-0.123540000,-0.130260000,-0.136060000,-0.140260000,-0.142340000,-0.142000000,-0.139160000,-0.133930000,-0.126600000,-0.117610000,-0.107450000,-0.096650000,-0.085680000,-0.074980000,-0.064890000,-0.055640000,-0.047340000,-0.039990000,-0.033500000,-0.027690000,-0.022340000,-0.017180000,-0.012010000,-0.006640000,-0.000980000,0.005010000,0.011340000,0.017990000,0.024950000,0.032220000,0.039840000,0.047810000,0.056120000,0.064720000,0.073480000,0.082250000,0.090880000,0.099310000,0.107520000,0.115580000,0.123570000,0.131630000,0.139890000,0.148490000,0.157580000,0.167280000,0.177740000,0.189090000,0.201450000,0.214900000,0.229480000,0.245160000,0.261860000,0.279440000,0.297660000,0.316260000,0.334910000,0.353280000,0.371060000,0.387950000,0.403700000,0.418100000,0.430920000,0.441930000,0.450820000,0.457140000,0.460340000,0.459740000,0.454570000,0.444080000,0.427640000,0.404890000,0.375890000,0.341260000,0.302160000,0.260240000,0.217400000,0.175540000,0.136330000,0.101020000,0.070360000,0.044630000,0.023700000,0.007190000,-0.005410000
-0.039370000,-0.050650000,-0.059790000,-0.065960000,-0.069030000,-0.069530000,-0.068420000,-0.067010000,-0.066720000,-0.068700000,-0.073660000,-0.081640000,-0.092160000,-0.104330000,-0.117070000,-0.129310000,-0.140080000,-0.148660000,-0.154580000,-0.157640000,-0.157880000,-0.155520000,-0.150940000,-0.144630000,-0.137130000,-0.128960000,-0.120630000,-0.112520000,-0.104950000,-0.098100000,-0.092070000,-0.086850000,-0.082390000,-0.078560000,-0.075220000,-0.072190000,-0.069290000,-0.066400000,-0.063440000,-0.060380000,-0.057270000,-0.054150000,-0.051120000,-0.048260000,-0.045630000,-0.043280000,-0.041250000,-0.039500000,-0.037970000,-0.036550000,-0.035130000,-0.033590000,-0.031860000,-0.029900000,-0.027730000,-0.025350000,-0.022780000,-0.020020000,-0.017020000,-0.013690000,-0.009890000,-0.005470000,-0.000280000,0.005830000,0.012940000,0.021110000,0.030320000,0.040510000,0.051560000,0.063350000,0.075760000,0.088680000,0.101990000,0.115610000,0.129430000,0.143340000,0.157210000,0.170880000,0.184150000,0.196800000,0.208550000,0.219090000,0.228070000,0.235090000,0.239750000,0.241650000,0.240430000,0.235810000,0.227660000,0.216010000,0.201070000,0.183250000,0.163130000,0.141440000,0.118980000,0.096500000,0.074670000,0.054160000,0.035590000,0.019510000,0.006350000
-0.061020000,-0.078260000,-0.092740000,-0.102630000,-0.106840000,-0.105160000,-0.098260000,-0.087640000,-0.075370000,-0.063720000,-0.054780000,-0.050120000,-0.050630000,-0.056450000,-0.067020000,-0.081200000,-0.097540000,-0.114440000,-0.130390000,-0.144110000,-0.154670000,-0.161550000,-0.164620000,-0.164110000,-0.160510000,-0.154440000,-0.146580000,-0.137560000,-0.127920000,-0.118080000,-0.108330000,-0.098860000,-0.089740000,-0.081020000,-0.072680000,-0.064720000,-0.057170000,-0.050060000,-0.043480000,-0.037490000,-0.032110000,-0.027310000,-0.023000000,-0.019010000,-0.015170000,-0.011330000,-0.007370000,-0.003250000,0.001030000,0.005420000,0.009830000,0.014210000,0.018520000,0.022740000,0.026950000,0.031230000,0.035750000,0.040660000,0.046130000,0.052310000,0.059340000,0.067320000,0.076340000,0.086460000,0.097750000,0.110250000,0.123990000,0.138950000,0.155130000,0.172420000,0.190680000,0.209700000,0.229150000,0.248690000,0.267900000,0.286380000,0.303760000,0.319700000,0.333940000,0.346240000,0.356400000,0.364180000,0.369360000,0.371630000,0.370730000,0.366360000,0.358260000,0.346220000,0.330180000,0.310190000,0.286540000,0.259710000,0.230480000,0.199800000,0.168710000,0.138120000,0.108830000,0.081610000,0.057170000,0.036140000,0.018920000
-0.012310000,-0.021500000,-0.031620000,-0.041410000,-0.049310000,-0.053880000,-0.054130000,-0.049820000,-0.041430000,-0.030060000,-0.017160000,-0.004160000,0.007710000,0.017640000,0.025190000,0.030220000,0.032800000,0.033190000,0.031810000,0.029260000,0.026250000,0.023450000,0.021420000,0.020490000,0.020750000,0.022060000,0.024120000,0.026560000,0.028980000,0.031080000,0.032690000,0.033830000,0.034670000,0.035450000,0.036430000,0.037780000,0.039550000,0.041720000,0.044170000,0.046750000,0.049370000,0.052010000,0.054730000,0.057640000,0.060920000,0.064740000,0.069240000,0.074540000,0.080750000,0.087910000,0.096050000,0.105200000,0.115400000,0.126730000,0.139330000,0.153360000,0.168960000,0.186230000,0.205180000,0.225770000,0.247860000,0.271280000,0.295790000,0.321160000,0.347150000,0.373510000,0.400050000,0.426570000,0.452870000,0.478790000,0.504150000,0.528740000,0.552320000,0.574600000,0.595260000,0.613910000,0.630170000,0.643650000,0.653970000,0.660750000,0.663580000,0.662060000,0.655730000,0.644160000,0.626980000,0.603900000,0.574800000,0.539800000,0.499290000,0.454010000,0.405010000,0.353650000,0.301520000,0.250320000,0.201660000,0.156920000,0.117080000,0.082720000,0.054040000,0.031000000,0.013350000
