V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, , 
0.013140000,0.015262245,0.016850000,0.017817551,0.018253878,0.018430408,0.018667551,0.019207143,0.020198571,0.021737347,0.023914898,0.026780816,0.030243673,0.034019592,0.037754286,0.041188980,0.044234694,0.046936939,0.049398571,0.051728571,0.054026531,0.056385714,0.058840000,0.061335306,0.063751633,0.065930204,0.067722449,0.069034082,0.069830000,0.070141020,0.070006327,0.069466122,0.068560408,0.067334490,0.065834490,0.064117143,0.062253469,0.060295102,0.058323265,0.056417551,0.054644082,0.053091633,0.051795714,0.050786327,0.050059388,0.049604286,0.049419796,0.049525102,0.049970816,0.050790000,0.052053469,0.053744082,0.055868776,0.058374490,0.061205102,0.064273265,0.067474286,0.070714286,0.073913878,0.077020000,0.079993061,0.082836327,0.085536531,0.088110000,0.090576327,0.092931429,0.095182449,0.097311020,0.099267959,0.101010816,0.102484286,0.103623061,0.104378776,0.104713878,0.104601633,0.104020816,0.102961224,0.101411429,0.099367959,0.096835306,0.093826122,0.090361633,0.086449592,0.082103878,0.077331429,0.072154286,0.066581633,0.060660000,0.054445102,0.048022653,0.041521633,0.035088571,0.028924694,0.023260204,0.018291837,0.014088571,0.010597959,0.007658367,0.005020000,-0.001365955,-0.005639784
0.005400000,0.006884490,0.007028980,0.005119388,0.000965510,-0.004938571,-0.011740204,-0.018595714,-0.024952449,-0.030611224,-0.035705102,-0.040386327,-0.044507959,-0.047515510,-0.048868571,-0.048372653,-0.046138776,-0.042319388,-0.037067959,-0.030665510,-0.023510408,-0.016022857,-0.008549388,-0.001311837,0.005577959,0.012159592,0.018571020,0.024960408,0.031431429,0.037975510,0.044457143,0.050664286,0.056356939,0.061297755,0.065350408,0.068487143,0.070796122,0.072450000,0.073663061,0.074634286,0.075522041,0.076458163,0.077535714,0.078804490,0.080244082,0.081850204,0.083547755,0.085280612,0.086976122,0.088580000,0.090014694,0.091242449,0.092295714,0.093219388,0.094082653,0.094909184,0.095745714,0.096669796,0.097784286,0.099216939,0.101050408,0.103339388,0.106067959,0.109195714,0.112658980,0.116381020,0.120259184,0.124175918,0.127979796,0.131516531,0.134605714,0.137084898,0.138802041,0.139611837,0.139417959,0.138193878,0.135999388,0.132947143,0.129164490,0.124705306,0.119588571,0.113813469,0.107385714,0.100291837,0.092528571,0.084106531,0.075111837,0.065746531,0.056331633,0.047282653,0.039001224,0.031828571,0.025909388,0.021161224,0.017357143,0.014159184,0.011293878,0.008574286,0.005930000,0.000914272,-0.002666270
-0.004050000,-0.003177959,-0.002073878,-0.000929388,0.000044900,0.000519388,0.000078600,-0.001504286,-0.004152449,-0.007430612,-0.010653061,-0.013198367,-0.014686939,-0.015004694,-0.014195714,-0.012387551,-0.009780204,-0.006614286,-0.003123265,0.000502041,0.004173469,0.007870000,0.011588776,0.015317959,0.019042857,0.022731633,0.026352449,0.029873469,0.033268571,0.036522449,0.039630612,0.042586735,0.045393265,0.048067551,0.050610000,0.053024286,0.055298980,0.057420408,0.059377959,0.061176939,0.062827959,0.064333265,0.065701429,0.066943061,0.068059796,0.069097551,0.070109388,0.071157959,0.072267755,0.073470000,0.074757551,0.076138776,0.077613061,0.079168980,0.080788367,0.082478163,0.084221429,0.086025510,0.087877959,0.089763673,0.091691020,0.093662449,0.095680612,0.097727143,0.099766939,0.101711020,0.103474694,0.104959184,0.106083469,0.106793673,0.107068571,0.106895918,0.106294490,0.105301837,0.103960000,0.102311429,0.100398980,0.098241429,0.095816327,0.093067347,0.089920204,0.086294082,0.082117551,0.077313061,0.071831429,0.065633469,0.058714490,0.051147143,0.043122449,0.034993878,0.027229388,0.020308571,0.014594898,0.010248367,0.007240204,0.005385918,0.004435918,0.004145306,0.004290000,-0.001008295,-0.003194837
-0.001890000,-0.003342245,-0.005486327,-0.008448367,-0.012329592,-0.017147959,-0.022672857,-0.028518571,-0.034214082,-0.039335306,-0.043533265,-0.046584694,-0.048415306,-0.049075510,-0.048685714,-0.047411224,-0.045425918,-0.042875102,-0.039864490,-0.036490612,-0.032853878,-0.029015714,-0.025023061,-0.020924286,-0.016752041,-0.012558163,-0.008432857,-0.004466122,-0.000702857,0.002858163,0.006264286,0.009589796,0.012882857,0.016182041,0.019515918,0.022912857,0.026434082,0.030138776,0.034041224,0.038133469,0.042388571,0.046749592,0.051152857,0.055552245,0.059905306,0.064206327,0.068474082,0.072729796,0.077014286,0.081390000,0.085925510,0.090713673,0.095827551,0.101318571,0.107211429,0.113457551,0.119955714,0.126567959,0.133156327,0.139591020,0.145781020,0.151654490,0.157145102,0.162175714,0.166676735,0.170629388,0.174065102,0.177058163,0.179667347,0.181908163,0.183748571,0.185111429,0.185910612,0.186062041,0.185480408,0.184086122,0.181810816,0.178630000,0.174567347,0.169665306,0.163960000,0.157457143,0.150112449,0.141855306,0.132582857,0.122200408,0.110645714,0.097974286,0.084353265,0.070079796,0.055574898,0.041327143,0.027852857,0.015672041,0.005249592,-0.003023878,-0.008881429,-0.012176122,-0.013010000,-0.028861516,-0.036747692
0.001150000,0.001520816,0.001015510,-0.000667143,-0.003521429,-0.007203061,-0.011227551,-0.015167143,-0.018808776,-0.022126531,-0.025165306,-0.027922245,-0.030339388,-0.032339796,-0.033838571,-0.034729388,-0.034879184,-0.034251837,-0.032915510,-0.031010204,-0.028704082,-0.026145714,-0.023470204,-0.020789592,-0.018190408,-0.015685306,-0.013215918,-0.010663878,-0.007858571,-0.004655102,-0.000967347,0.003198776,0.007751020,0.012565918,0.017488367,0.022391429,0.027198367,0.031890816,0.036484286,0.041007959,0.045469184,0.049876327,0.054188571,0.058370408,0.062381020,0.066150408,0.069623061,0.072803469,0.075712041,0.078440000,0.081073265,0.083741429,0.086536939,0.089501429,0.092662653,0.096005102,0.099472857,0.102996531,0.106544694,0.110158980,0.113980204,0.118177347,0.122824694,0.127895714,0.133247755,0.138684082,0.143978163,0.148921429,0.153327755,0.157029796,0.159855714,0.161637347,0.162208367,0.161425102,0.159200612,0.155524286,0.150423265,0.143991429,0.136372653,0.127733878,0.118268163,0.108170612,0.097618776,0.086789388,0.075891429,0.065191837,0.055014898,0.045707959,0.037557551,0.030747347,0.025311020,0.021137143,0.018026327,0.015721429,0.013957143,0.012505714,0.011192245,0.009866531,0.008500000,0.006133069,0.004415236
0.001420000,0.007030000,0.012390000,0.016220000,0.017430000,0.015670000,0.011420000,0.005750000,-0.000070000,-0.005060000,-0.008730000,-0.010980000,-0.012050000,-0.012200000,-0.011710000,-0.010920000,-0.010190000,-0.009760000,-0.009620000,-0.009560000,-0.009290000,-0.008650000,-0.007530000,-0.005860000,-0.003530000,-0.000490000,0.003200000,0.007380000,0.011870000,0.016540000,0.021340000,0.026300000,0.031420000,0.036700000,0.042040000,0.047300000,0.052340000,0.057040000,0.061360000,0.065270000,0.068760000,0.071830000,0.074490000,0.076740000,0.078610000,0.080170000,0.081530000,0.082810000,0.084090000,0.085420000,0.086840000,0.088380000,0.090050000,0.091840000,0.093740000,0.095710000,0.097750000,0.099850000,0.102020000,0.104290000,0.106680000,0.109230000,0.111960000,0.114860000,0.117900000,0.121040000,0.124180000,0.127250000,0.130140000,0.132770000,0.135030000,0.136860000,0.138200000,0.138990000,0.139230000,0.138870000,0.137880000,0.136240000,0.133970000,0.131140000,0.127820000,0.124090000,0.119930000,0.115310000,0.110110000,0.104170000,0.097340000,0.089570000,0.080940000,0.071690000,0.062190000,0.052890000,0.044190000,0.036420000,0.029760000,0.024250000,0.019810000,0.016270000,0.013400000,0.010910000,0.008610000
0.007290000,0.008680000,0.009020000,0.008180000,0.006240000,0.003310000,-0.000490000,-0.004950000,-0.009710000,-0.014480000,-0.019040000,-0.023270000,-0.027120000,-0.030480000,-0.033160000,-0.034980000,-0.035820000,-0.035670000,-0.034630000,-0.032830000,-0.030370000,-0.027310000,-0.023710000,-0.019630000,-0.015150000,-0.010350000,-0.005330000,-0.000200000,0.004930000,0.009970000,0.014830000,0.019410000,0.023620000,0.027380000,0.030620000,0.033280000,0.035320000,0.036740000,0.037580000,0.037940000,0.037980000,0.037890000,0.037880000,0.038100000,0.038690000,0.039720000,0.041210000,0.043150000,0.045510000,0.048250000,0.051390000,0.054960000,0.058950000,0.063250000,0.067640000,0.071890000,0.075770000,0.079150000,0.081980000,0.084330000,0.086360000,0.088300000,0.090360000,0.092730000,0.095560000,0.098950000,0.102950000,0.107550000,0.112690000,0.118280000,0.124210000,0.130330000,0.136520000,0.142610000,0.148470000,0.153950000,0.158910000,0.163210000,0.166690000,0.169190000,0.170530000,0.170520000,0.168990000,0.165770000,0.160720000,0.153730000,0.144800000,0.134020000,0.121630000,0.107940000,0.093390000,0.078490000,0.063820000,0.049940000,0.037330000,0.026330000,0.017100000,0.009590000,0.003620000,-0.001090000,-0.004860000
0.011370000,0.011300000,0.010610000,0.009220000,0.007180000,0.004920000,0.003010000,0.001900000,0.001710000,0.002360000,0.003650000,0.005340000,0.007080000,0.008540000,0.009430000,0.009670000,0.009400000,0.008980000,0.008780000,0.009110000,0.010140000,0.011960000,0.014570000,0.018010000,0.022240000,0.027170000,0.032570000,0.038170000,0.043650000,0.048760000,0.053300000,0.057190000,0.060450000,0.063130000,0.065290000,0.066980000,0.068230000,0.069080000,0.069570000,0.069770000,0.069770000,0.069640000,0.069440000,0.069210000,0.069010000,0.068890000,0.068980000,0.069400000,0.070270000,0.071600000,0.073390000,0.075630000,0.078280000,0.081330000,0.084790000,0.088670000,0.092990000,0.097760000,0.103000000,0.108700000,0.114850000,0.121380000,0.128230000,0.135310000,0.142540000,0.149800000,0.157000000,0.164050000,0.170850000,0.177300000,0.183340000,0.188880000,0.193840000,0.198140000,0.201710000,0.204440000,0.206210000,0.206920000,0.206430000,0.204600000,0.201320000,0.196480000,0.190040000,0.181980000,0.172330000,0.161130000,0.148470000,0.134490000,0.119390000,0.103500000,0.087250000,0.071130000,0.055700000,0.041460000,0.028860000,0.018300000,0.010090000,0.004330000,0.000880000,-0.000640000,-0.000780000
0.002580000,0.001840000,0.000370000,-0.002310000,-0.006500000,-0.012020000,-0.018360000,-0.024870000,-0.030920000,-0.035890000,-0.039280000,-0.040870000,-0.040800000,-0.039450000,-0.037240000,-0.034450000,-0.031330000,-0.028130000,-0.025140000,-0.022550000,-0.020330000,-0.018270000,-0.016080000,-0.013500000,-0.010360000,-0.006590000,-0.002190000,0.002790000,0.008230000,0.013940000,0.019740000,0.025430000,0.030860000,0.035870000,0.040380000,0.044300000,0.047630000,0.050410000,0.052730000,0.054700000,0.056450000,0.058080000,0.059640000,0.061180000,0.062700000,0.064240000,0.065840000,0.067590000,0.069610000,0.072030000,0.074970000,0.078560000,0.082890000,0.088010000,0.093930000,0.100620000,0.108000000,0.115960000,0.124410000,0.133220000,0.142320000,0.151620000,0.161070000,0.170610000,0.180170000,0.189670000,0.199050000,0.208200000,0.217040000,0.225400000,0.233130000,0.240050000,0.245980000,0.250760000,0.254260000,0.256390000,0.257090000,0.256320000,0.254110000,0.250500000,0.245560000,0.239360000,0.231970000,0.223440000,0.213770000,0.202960000,0.191010000,0.177960000,0.163880000,0.148920000,0.133300000,0.117300000,0.101250000,0.085420000,0.070180000,0.055980000,0.043250000,0.032240000,0.022970000,0.015210000,0.008660000
0.008680000,0.011640000,0.014170000,0.015480000,0.014900000,0.012170000,0.007590000,0.001900000,-0.003930000,-0.008950000,-0.012460000,-0.014170000,-0.014150000,-0.012730000,-0.010340000,-0.007390000,-0.004210000,-0.001050000,0.001850000,0.004350000,0.006380000,0.007980000,0.009250000,0.010310000,0.011270000,0.012160000,0.012970000,0.013720000,0.014450000,0.015220000,0.016100000,0.017110000,0.018260000,0.019520000,0.020860000,0.022260000,0.023700000,0.025160000,0.026620000,0.028080000,0.029520000,0.030960000,0.032420000,0.033980000,0.035740000,0.037800000,0.040270000,0.043250000,0.046780000,0.050860000,0.055480000,0.060600000,0.066100000,0.071840000,0.077610000,0.083240000,0.088620000,0.093680000,0.098400000,0.102820000,0.106970000,0.110900000,0.114680000,0.118370000,0.122010000,0.125610000,0.129180000,0.132710000,0.136180000,0.139550000,0.142760000,0.145740000,0.148370000,0.150600000,0.152330000,0.153510000,0.154100000,0.154060000,0.153370000,0.152000000,0.149970000,0.147260000,0.143880000,0.139760000,0.134830000,0.128990000,0.122140000,0.114220000,0.105210000,0.095160000,0.084220000,0.072670000,0.060880000,0.049330000,0.038500000,0.028840000,0.020720000,0.014340000,0.009680000,0.006560000,0.004640000
