V1, V2, V3, V4, V5, V6, V7, V8, V9, V10, V11, V12, V13, V14, V15, V16, V17, V18, V19, V20, V21, V22, V23, V24, V25, V26, V27, V28, V29, V30, V31, V32, V33, V34, V35, V36, V37, V38, V39, V40, V41, V42, V43, V44, V45, V46, V47, V48, V49, V50, V51, V52, V53, V54, V55, V56, V57, V58, V59, V60, V61, V62, V63, V64, V65, V66, V67, V68, V69, V70, V71, V72, V73, V74, V75, V76, V77, V78, V79, V80, V81, V82, V83, V84, V85, V86, V87, V88, V89, V90, V91, V92, V93, V94, V95, V96, V97, V98, V99, X100, X101
0.091860000,0.192822857,0.282622041,0.350403673,0.387943265,0.394001429,0.376444694,0.350448571,0.333065306,0.337221429,0.368013265,0.422906327,0.494734082,0.575203061,0.657138571,0.734896735,0.803875102,0.859988980,0.899660408,0.920242449,0.920505714,0.900868571,0.863443265,0.811911429,0.751429796,0.688404286,0.629876122,0.582513469,0.551362857,0.538728776,0.543647143,0.562174082,0.588388776,0.615699388,0.638014082,0.650502857,0.650031020,0.635368367,0.607324694,0.568691020,0.523805306,0.477811633,0.435735714,0.401561224,0.377647347,0.364396327,0.360519184,0.363533673,0.370468367,0.378560000,0.385627347,0.390388163,0.392455714,0.392283878,0.390980816,0.390104490,0.391240000,0.395641224,0.403984694,0.416284694,0.432111429,0.450822449,0.471820816,0.494645714,0.518968163,0.544439592,0.570643061,0.597093265,0.623246939,0.648475510,0.672001429,0.692874898,0.710024286,0.722358980,0.728904898,0.728866122,0.721674490,0.707010000,0.684820204,0.655295714,0.618750408,0.575504286,0.525777551,0.469649796,0.407124286,0.338388776,0.264096735,0.185597551,0.104918163,0.024612041,-0.052556735,-0.123822857,-0.186514898,-0.238060612,-0.276076939,-0.298743061,-0.305439796,-0.297470816,-0.278220000,-0.292094286,-0.292395673
-0.056680000,0.018514082,0.089664286,0.146260204,0.181468367,0.196829592,0.202365510,0.211418571,0.233859796,0.272347347,0.323512653,0.381968367,0.443439388,0.505323061,0.565752857,0.622645714,0.673387755,0.715105918,0.745263061,0.762294694,0.765911020,0.756812857,0.736353673,0.706748980,0.671617551,0.636000204,0.605351633,0.583859796,0.572955714,0.570828571,0.573140816,0.574610408,0.570772857,0.559238163,0.539952857,0.514474286,0.484883265,0.453222245,0.421745102,0.393258776,0.371009796,0.357886939,0.355254286,0.361991224,0.374398980,0.387317347,0.396076122,0.398431224,0.395345918,0.390240000,0.387353673,0.389795714,0.398802857,0.413882857,0.433447143,0.455686327,0.479224286,0.503132857,0.526513061,0.548117143,0.566558776,0.581238776,0.593260816,0.605202857,0.619663061,0.637708367,0.658275918,0.678639592,0.695549796,0.706551837,0.710780000,0.708927755,0.702576735,0.693372653,0.682469592,0.670361020,0.657089184,0.642524286,0.626483469,0.608661020,0.588542041,0.565436735,0.538763878,0.508430816,0.475061429,0.439915306,0.404334490,0.368957347,0.333006531,0.294082041,0.248845102,0.194481429,0.130514286,0.059840816,-0.011613265,-0.076604286,-0.128726531,-0.163997959,-0.181490000,-0.240630551,-0.283345265
-0.124930000,-0.085172857,-0.028923061,0.036921224,0.105322449,0.172033673,0.235439388,0.295274286,0.352469796,0.409510408,0.469806327,0.535505918,0.605414082,0.674670408,0.736461429,0.784386939,0.814247755,0.824898571,0.818277347,0.798683878,0.771553265,0.742210000,0.714866735,0.691842857,0.673290204,0.657846327,0.643807959,0.630045714,0.616214286,0.602417959,0.588746531,0.575250612,0.562276327,0.550555306,0.540856939,0.533724286,0.529591633,0.528853265,0.531402653,0.536181224,0.541277143,0.544591429,0.544682857,0.541241429,0.535112857,0.528013878,0.522079592,0.519245714,0.520540816,0.525710000,0.533333061,0.541451837,0.548669388,0.554575918,0.559476939,0.563957347,0.568597143,0.573861633,0.580035306,0.587098571,0.594811020,0.602721224,0.610319796,0.617284286,0.623653673,0.629759388,0.635903265,0.642240000,0.648949388,0.656449388,0.665205714,0.675085714,0.684775306,0.691825510,0.693585714,0.688336735,0.675852857,0.656981429,0.632744286,0.603801429,0.570467959,0.532969184,0.491417347,0.445625918,0.395051429,0.339146122,0.277947347,0.212686939,0.146246122,0.082997143,0.027948571,-0.014517143,-0.041573469,-0.052524898,-0.048994286,-0.034818776,-0.015359796,0.003865918,0.018770000,0.036956592,0.054377918
-0.145500000,-0.086650000,-0.006998163,0.088730612,0.190889796,0.287513265,0.368043878,0.426228571,0.461113878,0.476461837,0.479400612,0.478814694,0.483544898,0.500531633,0.533092857,0.580060204,0.636517755,0.695972857,0.752868776,0.804096939,0.848923469,0.887762857,0.920688980,0.946505918,0.962680612,0.966272449,0.955461429,0.930881633,0.895948571,0.855830204,0.815632245,0.778746531,0.746258776,0.717458571,0.690930816,0.665397143,0.640035510,0.614486939,0.588866939,0.563913061,0.541017143,0.521818367,0.507588571,0.498961633,0.496008571,0.498333061,0.505037551,0.514658571,0.525512041,0.536000000,0.544751020,0.551232653,0.556028163,0.560600408,0.566593265,0.575024694,0.585910000,0.598573265,0.612183673,0.626302041,0.641003061,0.656686735,0.673666122,0.691762857,0.710182245,0.727563469,0.742366939,0.753388571,0.760283878,0.763679796,0.764804286,0.764920612,0.764860000,0.764820816,0.764274898,0.762054898,0.756613265,0.746407143,0.730191020,0.707088980,0.676470000,0.637830408,0.590864898,0.535777551,0.473685714,0.406682449,0.337492245,0.268708980,0.202094286,0.138275918,0.076995510,0.017665714,-0.039883265,-0.094800816,-0.144764082,-0.185829796,-0.212881837,-0.221041837,-0.207890000,-0.242920674,-0.259067061
0.037650000,0.112446122,0.179620408,0.230470408,0.262011633,0.280307551,0.297776939,0.326344286,0.372010408,0.434194898,0.508386735,0.589167551,0.671850000,0.752918776,0.829631429,0.899132449,0.957606327,1.000415918,1.023612245,1.026135510,1.011276327,0.986174286,0.959410612,0.937983061,0.925132449,0.919882449,0.918290612,0.915641429,0.908375714,0.894853878,0.874939592,0.849162245,0.818362653,0.783866327,0.747760204,0.712714286,0.681371837,0.655606327,0.635970408,0.621726531,0.611377551,0.603347755,0.596471429,0.590168163,0.584499184,0.580055306,0.577578980,0.577526327,0.579900612,0.584380000,0.590634286,0.598409388,0.607748776,0.618882653,0.631971429,0.646817959,0.662635714,0.678297347,0.692799388,0.705674898,0.717260204,0.728437755,0.740162653,0.753012857,0.767022041,0.781865306,0.797173469,0.812848980,0.829159592,0.846504490,0.864874286,0.883355918,0.900142041,0.913007347,0.919874694,0.919194694,0.910160612,0.892707143,0.867227551,0.834156122,0.793680816,0.745786939,0.690606122,0.628701633,0.561141429,0.489443061,0.415538367,0.341917551,0.271774898,0.208713673,0.155694490,0.113824286,0.081699184,0.055991020,0.033047143,0.010492449,-0.011635918,-0.030946122,-0.043920000,-0.067204347,-0.086741632
-0.083860000,-0.001880000,0.088250000,0.177390000,0.256730000,0.322580000,0.378850000,0.434400000,0.496920000,0.569050000,0.649390000,0.735800000,0.826750000,0.920320000,1.013070000,1.100430000,1.178090000,1.243170000,1.294480000,1.332080000,1.356820000,1.370060000,1.373660000,1.369660000,1.359690000,1.344740000,1.325420000,1.302710000,1.278260000,1.254200000,1.232360000,1.213590000,1.197430000,1.182240000,1.166040000,1.147450000,1.126270000,1.103300000,1.079690000,1.056250000,1.033370000,1.011210000,0.989960000,0.970060000,0.952230000,0.937330000,0.926090000,0.918820000,0.915150000,0.914070000,0.914460000,0.915610000,0.917360000,0.919890000,0.923330000,0.927610000,0.932330000,0.937030000,0.941490000,0.945970000,0.950870000,0.956360000,0.962210000,0.967920000,0.972860000,0.976460000,0.978240000,0.977770000,0.974670000,0.968670000,0.959700000,0.947860000,0.933320000,0.916130000,0.896180000,0.873380000,0.847740000,0.819490000,0.788980000,0.756520000,0.722090000,0.685440000,0.646310000,0.604740000,0.561090000,0.515740000,0.468920000,0.420640000,0.370740000,0.319180000,0.266290000,0.213090000,0.161120000,0.112000000,0.067050000,0.027250000,-0.006740000,-0.034560000,-0.056540000,-0.073810000,-0.088010000
-0.206430000,-0.179730000,-0.142990000,-0.099130000,-0.052630000,-0.008160000,0.031000000,0.063990000,0.092770000,0.121660000,0.156130000,0.201330000,0.260740000,0.335450000,0.423970000,0.522660000,0.626380000,0.729510000,0.826740000,0.913720000,0.987420000,1.046150000,1.089470000,1.118020000,1.133220000,1.136980000,1.131450000,1.118750000,1.100790000,1.079140000,1.054940000,1.028890000,1.001340000,0.972430000,0.942120000,0.910300000,0.876880000,0.841940000,0.805900000,0.769500000,0.733700000,0.699380000,0.667160000,0.637270000,0.609640000,0.584090000,0.560580000,0.539350000,0.520840000,0.505570000,0.493960000,0.486170000,0.482140000,0.481650000,0.484420000,0.490160000,0.498600000,0.509480000,0.522550000,0.537490000,0.553860000,0.570970000,0.588010000,0.604180000,0.619040000,0.632530000,0.644950000,0.656620000,0.667660000,0.677970000,0.687310000,0.695490000,0.702450000,0.708360000,0.713470000,0.718000000,0.721990000,0.725250000,0.727360000,0.727730000,0.725650000,0.720200000,0.710240000,0.694420000,0.671410000,0.640100000,0.599910000,0.550840000,0.493480000,0.428900000,0.358620000,0.284630000,0.209420000,0.135850000,0.066970000,0.005620000,-0.046130000,-0.087500000,-0.119300000,-0.143750000,-0.163710000
0.017860000,0.070640000,0.135850000,0.208470000,0.282590000,0.353720000,0.419740000,0.480770000,0.538640000,0.596430000,0.657530000,0.724340000,0.797140000,0.874120000,0.952290000,1.028250000,1.098480000,1.159160000,1.206320000,1.236560000,1.247960000,1.240670000,1.216950000,1.180570000,1.136010000,1.087710000,1.039390000,0.993730000,0.952230000,0.915200000,0.882130000,0.852020000,0.823770000,0.796460000,0.769360000,0.742070000,0.714460000,0.686650000,0.658850000,0.631330000,0.604500000,0.578930000,0.555360000,0.534600000,0.517330000,0.504000000,0.494770000,0.489500000,0.487830000,0.489250000,0.493270000,0.499610000,0.508190000,0.519200000,0.533010000,0.550170000,0.571240000,0.596480000,0.625650000,0.658040000,0.692610000,0.728260000,0.763920000,0.798720000,0.832070000,0.863690000,0.893580000,0.921860000,0.948650000,0.973950000,0.997640000,1.019520000,1.039330000,1.056760000,1.071490000,1.083170000,1.091390000,1.095750000,1.095810000,1.091170000,1.081400000,1.066160000,1.045180000,1.018150000,0.984620000,0.943980000,0.895370000,0.837860000,0.770510000,0.692710000,0.604410000,0.506320000,0.400060000,0.288260000,0.174690000,0.064320000,-0.036730000,-0.121830000,-0.185060000,-0.222760000,-0.234810000
-0.043500000,0.017720000,0.088360000,0.163350000,0.237910000,0.308950000,0.374820000,0.434690000,0.488510000,0.537570000,0.584550000,0.632910000,0.685910000,0.745770000,0.813040000,0.886230000,0.961710000,1.034010000,1.096650000,1.143260000,1.168770000,1.170500000,1.148630000,1.106190000,1.048450000,0.981800000,0.912530000,0.845770000,0.784850000,0.731200000,0.684720000,0.644210000,0.607890000,0.573950000,0.541060000,0.508660000,0.476970000,0.446860000,0.419560000,0.396280000,0.377850000,0.364350000,0.355100000,0.348910000,0.344610000,0.341500000,0.339460000,0.338660000,0.339380000,0.341840000,0.346150000,0.352390000,0.360540000,0.370530000,0.382240000,0.395550000,0.410380000,0.426780000,0.445010000,0.465490000,0.488530000,0.514280000,0.542550000,0.572920000,0.604850000,0.637710000,0.670760000,0.703180000,0.734110000,0.762750000,0.788480000,0.810770000,0.829280000,0.843740000,0.853990000,0.859850000,0.861210000,0.857940000,0.850050000,0.837630000,0.820740000,0.799210000,0.772520000,0.740000000,0.701160000,0.656010000,0.605160000,0.549660000,0.490860000,0.430100000,0.368600000,0.307320000,0.246930000,0.187860000,0.130640000,0.076350000,0.026900000,-0.015330000,-0.048390000,-0.071770000,-0.086770000
0.079750000,0.191360000,0.301320000,0.394790000,0.456280000,0.477470000,0.462040000,0.424180000,0.382300000,0.352790000,0.346310000,0.366180000,0.408540000,0.464770000,0.525880000,0.586470000,0.645740000,0.705040000,0.764060000,0.818870000,0.863120000,0.891150000,0.900650000,0.892960000,0.871670000,0.841180000,0.806260000,0.772090000,0.743810000,0.725150000,0.716870000,0.716310000,0.718300000,0.717110000,0.708100000,0.688800000,0.659070000,0.620950000,0.578020000,0.534580000,0.494680000,0.461270000,0.435680000,0.417770000,0.406380000,0.399940000,0.396910000,0.396330000,0.398090000,0.402970000,0.412090000,0.426360000,0.446020000,0.470570000,0.498800000,0.529020000,0.559420000,0.588420000,0.615070000,0.639060000,0.660640000,0.680400000,0.699020000,0.717130000,0.735210000,0.753460000,0.771930000,0.790440000,0.808690000,0.826150000,0.842060000,0.855640000,0.866330000,0.874020000,0.878920000,0.881410000,0.881660000,0.879390000,0.873720000,0.863320000,0.846730000,0.822860000,0.791330000,0.752650000,0.707990000,0.659030000,0.607570000,0.555230000,0.503170000,0.451770000,0.400790000,0.349630000,0.297550000,0.243700000,0.187330000,0.128590000,0.069620000,0.014770000,-0.030400000,-0.061070000,-0.075070000
